,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 August 2017 00:00,3160,-,All Island
1,1 August 2017 00:15,3091,-,All Island
2,1 August 2017 00:30,3033,-,All Island
3,1 August 2017 00:45,2980,-,All Island
4,1 August 2017 01:00,2918,-,All Island
5,1 August 2017 01:15,2867,-,All Island
6,1 August 2017 01:30,2820,-,All Island
7,1 August 2017 01:45,2792,-,All Island
8,1 August 2017 02:00,2770,-,All Island
9,1 August 2017 02:15,2766,-,All Island
10,1 August 2017 02:30,2745,-,All Island
11,1 August 2017 02:45,2717,-,All Island
12,1 August 2017 03:00,2706,-,All Island
13,1 August 2017 03:15,2675,-,All Island
14,1 August 2017 03:30,2667,-,All Island
15,1 August 2017 03:45,2661,-,All Island
16,1 August 2017 04:00,2666,-,All Island
17,1 August 2017 04:15,2680,-,All Island
18,1 August 2017 04:30,2684,-,All Island
19,1 August 2017 04:45,2693,-,All Island
20,1 August 2017 05:00,2722,-,All Island
21,1 August 2017 05:15,2738,-,All Island
22,1 August 2017 05:30,2725,-,All Island
23,1 August 2017 05:45,2716,-,All Island
24,1 August 2017 06:00,2768,-,All Island
25,1 August 2017 06:15,2900,-,All Island
26,1 August 2017 06:30,2973,-,All Island
27,1 August 2017 06:45,3102,-,All Island
28,1 August 2017 07:00,3263,-,All Island
29,1 August 2017 07:15,3463,-,All Island
30,1 August 2017 07:30,3588,-,All Island
31,1 August 2017 07:45,3734,-,All Island
32,1 August 2017 08:00,3861,-,All Island
33,1 August 2017 08:15,4026,-,All Island
34,1 August 2017 08:30,4125,-,All Island
35,1 August 2017 08:45,4212,-,All Island
36,1 August 2017 09:00,4307,-,All Island
37,1 August 2017 09:15,4359,-,All Island
38,1 August 2017 09:30,4404,-,All Island
39,1 August 2017 09:45,4425,-,All Island
40,1 August 2017 10:00,4432,-,All Island
41,1 August 2017 10:15,4427,-,All Island
42,1 August 2017 10:30,4441,-,All Island
43,1 August 2017 10:45,4442,-,All Island
44,1 August 2017 11:00,4462,-,All Island
45,1 August 2017 11:15,4462,-,All Island
46,1 August 2017 11:30,4456,-,All Island
47,1 August 2017 11:45,4477,-,All Island
48,1 August 2017 12:00,4480,-,All Island
49,1 August 2017 12:15,4500,-,All Island
50,1 August 2017 12:30,4507,-,All Island
51,1 August 2017 12:45,4518,-,All Island
52,1 August 2017 13:00,4510,-,All Island
53,1 August 2017 13:15,4451,-,All Island
54,1 August 2017 13:30,4406,-,All Island
55,1 August 2017 13:45,4381,-,All Island
56,1 August 2017 14:00,4368,-,All Island
57,1 August 2017 14:15,4370,-,All Island
58,1 August 2017 14:30,4362,-,All Island
59,1 August 2017 14:45,4344,-,All Island
60,1 August 2017 15:00,4350,-,All Island
61,1 August 2017 15:15,4349,-,All Island
62,1 August 2017 15:30,4360,-,All Island
63,1 August 2017 15:45,4351,-,All Island
64,1 August 2017 16:00,4366,-,All Island
65,1 August 2017 16:15,4401,-,All Island
66,1 August 2017 16:30,4460,-,All Island
67,1 August 2017 16:45,4505,-,All Island
68,1 August 2017 17:00,4542,-,All Island
69,1 August 2017 17:15,4597,-,All Island
70,1 August 2017 17:30,4639,-,All Island
71,1 August 2017 17:45,4630,-,All Island
72,1 August 2017 18:00,4607,-,All Island
73,1 August 2017 18:15,4545,-,All Island
74,1 August 2017 18:30,4501,-,All Island
75,1 August 2017 18:45,4454,-,All Island
76,1 August 2017 19:00,4402,-,All Island
77,1 August 2017 19:15,4338,-,All Island
78,1 August 2017 19:30,4278,-,All Island
79,1 August 2017 19:45,4218,-,All Island
80,1 August 2017 20:00,4177,-,All Island
81,1 August 2017 20:15,4153,-,All Island
82,1 August 2017 20:30,4123,-,All Island
83,1 August 2017 20:45,4103,-,All Island
84,1 August 2017 21:00,4084,-,All Island
85,1 August 2017 21:15,4067,-,All Island
86,1 August 2017 21:30,4086,-,All Island
87,1 August 2017 21:45,4132,-,All Island
88,1 August 2017 22:00,4115,-,All Island
89,1 August 2017 22:15,4030,-,All Island
90,1 August 2017 22:30,3904,-,All Island
91,1 August 2017 22:45,3812,-,All Island
92,1 August 2017 23:00,3683,-,All Island
93,1 August 2017 23:15,3561,-,All Island
94,1 August 2017 23:30,3457,-,All Island
95,1 August 2017 23:45,3357,-,All Island
96,2 August 2017 00:00,3248,-,All Island
97,2 August 2017 00:15,3184,-,All Island
98,2 August 2017 00:30,3086,-,All Island
99,2 August 2017 00:45,3012,-,All Island
100,2 August 2017 01:00,2944,-,All Island
101,2 August 2017 01:15,2913,-,All Island
102,2 August 2017 01:30,2856,-,All Island
103,2 August 2017 01:45,2819,-,All Island
104,2 August 2017 02:00,2793,-,All Island
105,2 August 2017 02:15,2767,-,All Island
106,2 August 2017 02:30,2752,-,All Island
107,2 August 2017 02:45,2738,-,All Island
108,2 August 2017 03:00,2720,-,All Island
109,2 August 2017 03:15,2720,-,All Island
110,2 August 2017 03:30,2700,-,All Island
111,2 August 2017 03:45,2707,-,All Island
112,2 August 2017 04:00,2719,-,All Island
113,2 August 2017 04:15,2704,-,All Island
114,2 August 2017 04:30,2715,-,All Island
115,2 August 2017 04:45,2729,-,All Island
116,2 August 2017 05:00,2757,-,All Island
117,2 August 2017 05:15,2769,-,All Island
118,2 August 2017 05:30,2780,-,All Island
119,2 August 2017 05:45,2766,-,All Island
120,2 August 2017 06:00,2813,-,All Island
121,2 August 2017 06:15,2953,-,All Island
122,2 August 2017 06:30,3023,-,All Island
123,2 August 2017 06:45,3146,-,All Island
124,2 August 2017 07:00,3294,-,All Island
125,2 August 2017 07:15,3507,-,All Island
126,2 August 2017 07:30,3615,-,All Island
127,2 August 2017 07:45,3770,-,All Island
128,2 August 2017 08:00,3902,-,All Island
129,2 August 2017 08:15,4059,-,All Island
130,2 August 2017 08:30,4142,-,All Island
131,2 August 2017 08:45,4197,-,All Island
132,2 August 2017 09:00,4275,-,All Island
133,2 August 2017 09:15,4367,-,All Island
134,2 August 2017 09:30,4422,-,All Island
135,2 August 2017 09:45,4446,-,All Island
136,2 August 2017 10:00,4458,-,All Island
137,2 August 2017 10:15,4487,-,All Island
138,2 August 2017 10:30,4506,-,All Island
139,2 August 2017 10:45,4541,-,All Island
140,2 August 2017 11:00,4532,-,All Island
141,2 August 2017 11:15,4543,-,All Island
142,2 August 2017 11:30,4539,-,All Island
143,2 August 2017 11:45,4539,-,All Island
144,2 August 2017 12:00,4566,-,All Island
