,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 April 2018 00:00,3792,-,All Island
1,1 April 2018 00:15,3801,-,All Island
2,1 April 2018 00:30,3744,-,All Island
3,1 April 2018 00:45,3678,-,All Island
4,1 April 2018 01:00,3624,-,All Island
5,1 April 2018 01:15,3577,-,All Island
6,1 April 2018 01:30,3520,-,All Island
7,1 April 2018 01:45,3469,-,All Island
8,1 April 2018 02:00,3429,-,All Island
9,1 April 2018 02:15,3420,-,All Island
10,1 April 2018 02:30,3373,-,All Island
11,1 April 2018 02:45,3339,-,All Island
12,1 April 2018 03:00,3298,-,All Island
13,1 April 2018 03:15,3268,-,All Island
14,1 April 2018 03:30,3230,-,All Island
15,1 April 2018 03:45,3210,-,All Island
16,1 April 2018 04:00,3195,-,All Island
17,1 April 2018 04:15,3173,-,All Island
18,1 April 2018 04:30,3172,-,All Island
19,1 April 2018 04:45,3170,-,All Island
20,1 April 2018 05:00,3164,-,All Island
21,1 April 2018 05:15,3174,-,All Island
22,1 April 2018 05:30,3171,-,All Island
23,1 April 2018 05:45,3180,-,All Island
24,1 April 2018 06:00,3206,-,All Island
25,1 April 2018 06:15,3247,-,All Island
26,1 April 2018 06:30,3261,-,All Island
27,1 April 2018 06:45,3274,-,All Island
28,1 April 2018 07:00,3261,-,All Island
29,1 April 2018 07:15,3333,-,All Island
30,1 April 2018 07:30,3382,-,All Island
31,1 April 2018 07:45,3463,-,All Island
32,1 April 2018 08:00,3548,-,All Island
33,1 April 2018 08:15,3676,-,All Island
34,1 April 2018 08:30,3753,-,All Island
35,1 April 2018 08:45,3857,-,All Island
36,1 April 2018 09:00,3927,-,All Island
37,1 April 2018 09:15,3992,-,All Island
38,1 April 2018 09:30,4045,-,All Island
39,1 April 2018 09:45,4123,-,All Island
40,1 April 2018 10:00,4193,-,All Island
41,1 April 2018 10:15,4260,-,All Island
42,1 April 2018 10:30,4307,-,All Island
43,1 April 2018 10:45,4332,-,All Island
44,1 April 2018 11:00,4373,-,All Island
45,1 April 2018 11:15,4437,-,All Island
46,1 April 2018 11:30,4447,-,All Island
47,1 April 2018 11:45,4461,-,All Island
48,1 April 2018 12:00,4469,-,All Island
49,1 April 2018 12:15,4514,-,All Island
50,1 April 2018 12:30,4557,-,All Island
51,1 April 2018 12:45,4558,-,All Island
