,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 February 2018 00:00,4011,-,All Island
1,1 February 2018 00:15,3929,-,All Island
2,1 February 2018 00:30,3848,-,All Island
3,1 February 2018 00:45,3793,-,All Island
4,1 February 2018 01:00,3738,-,All Island
5,1 February 2018 01:15,3704,-,All Island
6,1 February 2018 01:30,3630,-,All Island
7,1 February 2018 01:45,3581,-,All Island
8,1 February 2018 02:00,3567,-,All Island
9,1 February 2018 02:15,3540,-,All Island
10,1 February 2018 02:30,3500,-,All Island
11,1 February 2018 02:45,3502,-,All Island
12,1 February 2018 03:00,3503,-,All Island
13,1 February 2018 03:15,3473,-,All Island
14,1 February 2018 03:30,3459,-,All Island
15,1 February 2018 03:45,3462,-,All Island
16,1 February 2018 04:00,3454,-,All Island
17,1 February 2018 04:15,3441,-,All Island
18,1 February 2018 04:30,3449,-,All Island
19,1 February 2018 04:45,3421,-,All Island
20,1 February 2018 05:00,3453,-,All Island
21,1 February 2018 05:15,3496,-,All Island
22,1 February 2018 05:30,3504,-,All Island
23,1 February 2018 05:45,3593,-,All Island
24,1 February 2018 06:00,3677,-,All Island
25,1 February 2018 06:15,3852,-,All Island
26,1 February 2018 06:30,3972,-,All Island
27,1 February 2018 06:45,4195,-,All Island
28,1 February 2018 07:00,4405,-,All Island
29,1 February 2018 07:15,4738,-,All Island
30,1 February 2018 07:30,4959,-,All Island
31,1 February 2018 07:45,5164,-,All Island
32,1 February 2018 08:00,5196,-,All Island
33,1 February 2018 08:15,5203,-,All Island
34,1 February 2018 08:30,5160,-,All Island
35,1 February 2018 08:45,5179,-,All Island
36,1 February 2018 09:00,5223,-,All Island
37,1 February 2018 09:15,5305,-,All Island
38,1 February 2018 09:30,5367,-,All Island
39,1 February 2018 09:45,5388,-,All Island
40,1 February 2018 10:00,5342,-,All Island
41,1 February 2018 10:15,5304,-,All Island
42,1 February 2018 10:30,5321,-,All Island
43,1 February 2018 10:45,5306,-,All Island
44,1 February 2018 11:00,5304,-,All Island
45,1 February 2018 11:15,5301,-,All Island
46,1 February 2018 11:30,5315,-,All Island
47,1 February 2018 11:45,5319,-,All Island
48,1 February 2018 12:00,5305,-,All Island
