,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 September 2018 00:00,3384,-,All Island
1,1 September 2018 00:15,3331,-,All Island
2,1 September 2018 00:30,3270,-,All Island
3,1 September 2018 00:45,3222,-,All Island
4,1 September 2018 01:00,3174,-,All Island
5,1 September 2018 01:15,3116,-,All Island
6,1 September 2018 01:30,3072,-,All Island
7,1 September 2018 01:45,3045,-,All Island
8,1 September 2018 02:00,3013,-,All Island
9,1 September 2018 02:15,2988,-,All Island
10,1 September 2018 02:30,2960,-,All Island
11,1 September 2018 02:45,2937,-,All Island
12,1 September 2018 03:00,2929,-,All Island
13,1 September 2018 03:15,2911,-,All Island
14,1 September 2018 03:30,2908,-,All Island
15,1 September 2018 03:45,2894,-,All Island
16,1 September 2018 04:00,2884,-,All Island
17,1 September 2018 04:15,2882,-,All Island
18,1 September 2018 04:30,2876,-,All Island
19,1 September 2018 04:45,2885,-,All Island
20,1 September 2018 05:00,2899,-,All Island
21,1 September 2018 05:15,2923,-,All Island
22,1 September 2018 05:30,2924,-,All Island
23,1 September 2018 05:45,2952,-,All Island
24,1 September 2018 06:00,2994,-,All Island
25,1 September 2018 06:15,3079,-,All Island
26,1 September 2018 06:30,3077,-,All Island
27,1 September 2018 06:45,3095,-,All Island
28,1 September 2018 07:00,3141,-,All Island
29,1 September 2018 07:15,3275,-,All Island
30,1 September 2018 07:30,3355,-,All Island
31,1 September 2018 07:45,3470,-,All Island
32,1 September 2018 08:00,3590,-,All Island
33,1 September 2018 08:15,3736,-,All Island
34,1 September 2018 08:30,3848,-,All Island
35,1 September 2018 08:45,3952,-,All Island
36,1 September 2018 09:00,4053,-,All Island
37,1 September 2018 09:15,4137,-,All Island
38,1 September 2018 09:30,4188,-,All Island
39,1 September 2018 09:45,4236,-,All Island
40,1 September 2018 10:00,4278,-,All Island
41,1 September 2018 10:15,4312,-,All Island
42,1 September 2018 10:30,4339,-,All Island
43,1 September 2018 10:45,4349,-,All Island
44,1 September 2018 11:00,4345,-,All Island
45,1 September 2018 11:15,4355,-,All Island
46,1 September 2018 11:30,4362,-,All Island
47,1 September 2018 11:45,4360,-,All Island
48,1 September 2018 12:00,4345,-,All Island
49,1 September 2018 12:15,4352,-,All Island
50,1 September 2018 12:30,4362,-,All Island
51,1 September 2018 12:45,4345,-,All Island
52,1 September 2018 13:00,4332,-,All Island
53,1 September 2018 13:15,4293,-,All Island
54,1 September 2018 13:30,4256,-,All Island
55,1 September 2018 13:45,4212,-,All Island
56,1 September 2018 14:00,4166,-,All Island
57,1 September 2018 14:15,4128,-,All Island
58,1 September 2018 14:30,4118,-,All Island
59,1 September 2018 14:45,4090,-,All Island
60,1 September 2018 15:00,4067,-,All Island
61,1 September 2018 15:15,4055,-,All Island
62,1 September 2018 15:30,4053,-,All Island
63,1 September 2018 15:45,4034,-,All Island
64,1 September 2018 16:00,4055,-,All Island
65,1 September 2018 16:15,4078,-,All Island
66,1 September 2018 16:30,4112,-,All Island
67,1 September 2018 16:45,4153,-,All Island
68,1 September 2018 17:00,4210,-,All Island
69,1 September 2018 17:15,4257,-,All Island
70,1 September 2018 17:30,4309,-,All Island
71,1 September 2018 17:45,4326,-,All Island
72,1 September 2018 18:00,4313,-,All Island
73,1 September 2018 18:15,4291,-,All Island
74,1 September 2018 18:30,4269,-,All Island
75,1 September 2018 18:45,4229,-,All Island
76,1 September 2018 19:00,4196,-,All Island
77,1 September 2018 19:15,4151,-,All Island
78,1 September 2018 19:30,4111,-,All Island
79,1 September 2018 19:45,4075,-,All Island
80,1 September 2018 20:00,4046,-,All Island
81,1 September 2018 20:15,4041,-,All Island
82,1 September 2018 20:30,4109,-,All Island
83,1 September 2018 20:45,4181,-,All Island
84,1 September 2018 21:00,4174,-,All Island
85,1 September 2018 21:15,4118,-,All Island
86,1 September 2018 21:30,4051,-,All Island
87,1 September 2018 21:45,3959,-,All Island
88,1 September 2018 22:00,3863,-,All Island
89,1 September 2018 22:15,3771,-,All Island
90,1 September 2018 22:30,3683,-,All Island
91,1 September 2018 22:45,3586,-,All Island
92,1 September 2018 23:00,3511,-,All Island
93,1 September 2018 23:15,3439,-,All Island
94,1 September 2018 23:30,3354,-,All Island
95,1 September 2018 23:45,3278,-,All Island
96,2 September 2018 00:00,3199,-,All Island
97,2 September 2018 00:15,3131,-,All Island
98,2 September 2018 00:30,3052,-,All Island
99,2 September 2018 00:45,2998,-,All Island
100,2 September 2018 01:00,2949,-,All Island
101,2 September 2018 01:15,2910,-,All Island
102,2 September 2018 01:30,2872,-,All Island
103,2 September 2018 01:45,2827,-,All Island
104,2 September 2018 02:00,2802,-,All Island
105,2 September 2018 02:15,2779,-,All Island
106,2 September 2018 02:30,2759,-,All Island
107,2 September 2018 02:45,2711,-,All Island
108,2 September 2018 03:00,2690,-,All Island
109,2 September 2018 03:15,2681,-,All Island
110,2 September 2018 03:30,2670,-,All Island
111,2 September 2018 03:45,2677,-,All Island
112,2 September 2018 04:00,2668,-,All Island
113,2 September 2018 04:15,2652,-,All Island
114,2 September 2018 04:30,2671,-,All Island
115,2 September 2018 04:45,2655,-,All Island
116,2 September 2018 05:00,2666,-,All Island
117,2 September 2018 05:15,2684,-,All Island
118,2 September 2018 05:30,2672,-,All Island
119,2 September 2018 05:45,2694,-,All Island
120,2 September 2018 06:00,2716,-,All Island
121,2 September 2018 06:15,2746,-,All Island
122,2 September 2018 06:30,2732,-,All Island
123,2 September 2018 06:45,2733,-,All Island
124,2 September 2018 07:00,2756,-,All Island
125,2 September 2018 07:15,2847,-,All Island
126,2 September 2018 07:30,2885,-,All Island
127,2 September 2018 07:45,2954,-,All Island
128,2 September 2018 08:00,3040,-,All Island
129,2 September 2018 08:15,3156,-,All Island
130,2 September 2018 08:30,3274,-,All Island
131,2 September 2018 08:45,3391,-,All Island
132,2 September 2018 09:00,3489,-,All Island
133,2 September 2018 09:15,3618,-,All Island
134,2 September 2018 09:30,3650,-,All Island
135,2 September 2018 09:45,3737,-,All Island
136,2 September 2018 10:00,3811,-,All Island
137,2 September 2018 10:15,3851,-,All Island
138,2 September 2018 10:30,3882,-,All Island
139,2 September 2018 10:45,3921,-,All Island
140,2 September 2018 11:00,3959,-,All Island
141,2 September 2018 11:15,4009,-,All Island
142,2 September 2018 11:30,4028,-,All Island
143,2 September 2018 11:45,4038,-,All Island
144,2 September 2018 12:00,4067,-,All Island
145,2 September 2018 12:15,4097,-,All Island
146,2 September 2018 12:30,4135,-,All Island
147,2 September 2018 12:45,4153,-,All Island
148,2 September 2018 13:00,4164,-,All Island
149,2 September 2018 13:15,4136,-,All Island
150,2 September 2018 13:30,4104,-,All Island
151,2 September 2018 13:45,4069,-,All Island
152,2 September 2018 14:00,4060,-,All Island
153,2 September 2018 14:15,4003,-,All Island
154,2 September 2018 14:30,3998,-,All Island
155,2 September 2018 14:45,3985,-,All Island
156,2 September 2018 15:00,3946,-,All Island
157,2 September 2018 15:15,3952,-,All Island
158,2 September 2018 15:30,3956,-,All Island
159,2 September 2018 15:45,3942,-,All Island
160,2 September 2018 16:00,3927,-,All Island
161,2 September 2018 16:15,4002,-,All Island
162,2 September 2018 16:30,4021,-,All Island
163,2 September 2018 16:45,3997,-,All Island
164,2 September 2018 17:00,4026,-,All Island
165,2 September 2018 17:15,4054,-,All Island
166,2 September 2018 17:30,4132,-,All Island
167,2 September 2018 17:45,4193,-,All Island
168,2 September 2018 18:00,4186,-,All Island
169,2 September 2018 18:15,4186,-,All Island
170,2 September 2018 18:30,4182,-,All Island
171,2 September 2018 18:45,4148,-,All Island
172,2 September 2018 19:00,4142,-,All Island
173,2 September 2018 19:15,4127,-,All Island
174,2 September 2018 19:30,4089,-,All Island
175,2 September 2018 19:45,4092,-,All Island
176,2 September 2018 20:00,4101,-,All Island
177,2 September 2018 20:15,4108,-,All Island
178,2 September 2018 20:30,4169,-,All Island
179,2 September 2018 20:45,4184,-,All Island
180,2 September 2018 21:00,4135,-,All Island
181,2 September 2018 21:15,4072,-,All Island
182,2 September 2018 21:30,3987,-,All Island
183,2 September 2018 21:45,3885,-,All Island
184,2 September 2018 22:00,3799,-,All Island
185,2 September 2018 22:15,3704,-,All Island
186,2 September 2018 22:30,3605,-,All Island
187,2 September 2018 22:45,3499,-,All Island
188,2 September 2018 23:00,3380,-,All Island
189,2 September 2018 23:15,3289,-,All Island
190,2 September 2018 23:30,3203,-,All Island
191,2 September 2018 23:45,3110,-,All Island
192,3 September 2018 00:00,3041,-,All Island
193,3 September 2018 00:15,2999,-,All Island
194,3 September 2018 00:30,2960,-,All Island
195,3 September 2018 00:45,2918,-,All Island
196,3 September 2018 01:00,2875,-,All Island
197,3 September 2018 01:15,2831,-,All Island
198,3 September 2018 01:30,2798,-,All Island
199,3 September 2018 01:45,2761,-,All Island
200,3 September 2018 02:00,2738,-,All Island
201,3 September 2018 02:15,2738,-,All Island
202,3 September 2018 02:30,2713,-,All Island
203,3 September 2018 02:45,2706,-,All Island
204,3 September 2018 03:00,2687,-,All Island
205,3 September 2018 03:15,2687,-,All Island
206,3 September 2018 03:30,2678,-,All Island
207,3 September 2018 03:45,2680,-,All Island
208,3 September 2018 04:00,2680,-,All Island
209,3 September 2018 04:15,2705,-,All Island
210,3 September 2018 04:30,2715,-,All Island
211,3 September 2018 04:45,2724,-,All Island
212,3 September 2018 05:00,2744,-,All Island
213,3 September 2018 05:15,2803,-,All Island
214,3 September 2018 05:30,2828,-,All Island
215,3 September 2018 05:45,2904,-,All Island
216,3 September 2018 06:00,3014,-,All Island
217,3 September 2018 06:15,3161,-,All Island
218,3 September 2018 06:30,3199,-,All Island
219,3 September 2018 06:45,3327,-,All Island
220,3 September 2018 07:00,3533,-,All Island
221,3 September 2018 07:15,3837,-,All Island
222,3 September 2018 07:30,4002,-,All Island
223,3 September 2018 07:45,4140,-,All Island
224,3 September 2018 08:00,4228,-,All Island
225,3 September 2018 08:15,4317,-,All Island
226,3 September 2018 08:30,4329,-,All Island
227,3 September 2018 08:45,4386,-,All Island
228,3 September 2018 09:00,4434,-,All Island
229,3 September 2018 09:15,4471,-,All Island
230,3 September 2018 09:30,4509,-,All Island
231,3 September 2018 09:45,4515,-,All Island
232,3 September 2018 10:00,4486,-,All Island
233,3 September 2018 10:15,4456,-,All Island
234,3 September 2018 10:30,4456,-,All Island
235,3 September 2018 10:45,4475,-,All Island
236,3 September 2018 11:00,4480,-,All Island
237,3 September 2018 11:15,4479,-,All Island
238,3 September 2018 11:30,4479,-,All Island
239,3 September 2018 11:45,4477,-,All Island
240,3 September 2018 12:00,4484,-,All Island
241,3 September 2018 12:15,4505,-,All Island
242,3 September 2018 12:30,4529,-,All Island
243,3 September 2018 12:45,4528,-,All Island
244,3 September 2018 13:00,4516,-,All Island
245,3 September 2018 13:15,4479,-,All Island
