,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 December 2019 00:00,3960,-,All Island
1,1 December 2019 00:15,3896,-,All Island
2,1 December 2019 00:30,3824,-,All Island
3,1 December 2019 00:45,3752,-,All Island
4,1 December 2019 01:00,3691,-,All Island
5,1 December 2019 01:15,3657,-,All Island
6,1 December 2019 01:30,3602,-,All Island
7,1 December 2019 01:45,3551,-,All Island
8,1 December 2019 02:00,3499,-,All Island
9,1 December 2019 02:15,3454,-,All Island
10,1 December 2019 02:30,3410,-,All Island
11,1 December 2019 02:45,3362,-,All Island
12,1 December 2019 03:00,3325,-,All Island
13,1 December 2019 03:15,3313,-,All Island
14,1 December 2019 03:30,3302,-,All Island
15,1 December 2019 03:45,3293,-,All Island
16,1 December 2019 04:00,3279,-,All Island
17,1 December 2019 04:15,3262,-,All Island
18,1 December 2019 04:30,3254,-,All Island
19,1 December 2019 04:45,3234,-,All Island
20,1 December 2019 05:00,3240,-,All Island
21,1 December 2019 05:15,3253,-,All Island
22,1 December 2019 05:30,3254,-,All Island
23,1 December 2019 05:45,3257,-,All Island
24,1 December 2019 06:00,3293,-,All Island
25,1 December 2019 06:15,3336,-,All Island
26,1 December 2019 06:30,3346,-,All Island
27,1 December 2019 06:45,3394,-,All Island
28,1 December 2019 07:00,3448,-,All Island
29,1 December 2019 07:15,3518,-,All Island
30,1 December 2019 07:30,3560,-,All Island
31,1 December 2019 07:45,3622,-,All Island
32,1 December 2019 08:00,3678,-,All Island
33,1 December 2019 08:15,3694,-,All Island
34,1 December 2019 08:30,3753,-,All Island
35,1 December 2019 08:45,3857,-,All Island
36,1 December 2019 09:00,3974,-,All Island
37,1 December 2019 09:15,4112,-,All Island
38,1 December 2019 09:30,4228,-,All Island
39,1 December 2019 09:45,4310,-,All Island
40,1 December 2019 10:00,4437,-,All Island
41,1 December 2019 10:15,4534,-,All Island
42,1 December 2019 10:30,4580,-,All Island
43,1 December 2019 10:45,4638,-,All Island
44,1 December 2019 11:00,4692,-,All Island
