,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 October 2019 00:00,3373,-,All Island
1,1 October 2019 00:15,3330,-,All Island
2,1 October 2019 00:30,3278,-,All Island
3,1 October 2019 00:45,3211,-,All Island
4,1 October 2019 01:00,3164,-,All Island
5,1 October 2019 01:15,3125,-,All Island
6,1 October 2019 01:30,3109,-,All Island
7,1 October 2019 01:45,3085,-,All Island
8,1 October 2019 02:00,3048,-,All Island
9,1 October 2019 02:15,3024,-,All Island
10,1 October 2019 02:30,3003,-,All Island
11,1 October 2019 02:45,2982,-,All Island
12,1 October 2019 03:00,2973,-,All Island
13,1 October 2019 03:15,2972,-,All Island
14,1 October 2019 03:30,2951,-,All Island
15,1 October 2019 03:45,2956,-,All Island
16,1 October 2019 04:00,2949,-,All Island
17,1 October 2019 04:15,2945,-,All Island
18,1 October 2019 04:30,2965,-,All Island
19,1 October 2019 04:45,2969,-,All Island
20,1 October 2019 05:00,3001,-,All Island
21,1 October 2019 05:15,3053,-,All Island
22,1 October 2019 05:30,3077,-,All Island
23,1 October 2019 05:45,3154,-,All Island
24,1 October 2019 06:00,3288,-,All Island
25,1 October 2019 06:15,3492,-,All Island
26,1 October 2019 06:30,3602,-,All Island
27,1 October 2019 06:45,3813,-,All Island
28,1 October 2019 07:00,4001,-,All Island
29,1 October 2019 07:15,4309,-,All Island
30,1 October 2019 07:30,4444,-,All Island
31,1 October 2019 07:45,4576,-,All Island
32,1 October 2019 08:00,4635,-,All Island
33,1 October 2019 08:15,4716,-,All Island
34,1 October 2019 08:30,4700,-,All Island
35,1 October 2019 08:45,4695,-,All Island
36,1 October 2019 09:00,4701,-,All Island
37,1 October 2019 09:15,4734,-,All Island
38,1 October 2019 09:30,4738,-,All Island
39,1 October 2019 09:45,4780,-,All Island
40,1 October 2019 10:00,4736,-,All Island
41,1 October 2019 10:15,4712,-,All Island
42,1 October 2019 10:30,4721,-,All Island
43,1 October 2019 10:45,4736,-,All Island
44,1 October 2019 11:00,4730,-,All Island
45,1 October 2019 11:15,4722,-,All Island
46,1 October 2019 11:30,4726,-,All Island
47,1 October 2019 11:45,4712,-,All Island
48,1 October 2019 12:00,4671,-,All Island
49,1 October 2019 12:15,4730,-,All Island
50,1 October 2019 12:30,4758,-,All Island
51,1 October 2019 12:45,4781,-,All Island
52,1 October 2019 13:00,4789,-,All Island
53,1 October 2019 13:15,4738,-,All Island
54,1 October 2019 13:30,4697,-,All Island
55,1 October 2019 13:45,4671,-,All Island
56,1 October 2019 14:00,4698,-,All Island
57,1 October 2019 14:15,4719,-,All Island
58,1 October 2019 14:30,4706,-,All Island
59,1 October 2019 14:45,4696,-,All Island
60,1 October 2019 15:00,4732,-,All Island
61,1 October 2019 15:15,4747,-,All Island
62,1 October 2019 15:30,4756,-,All Island
63,1 October 2019 15:45,4771,-,All Island
64,1 October 2019 16:00,4815,-,All Island
65,1 October 2019 16:15,4889,-,All Island
66,1 October 2019 16:30,4945,-,All Island
67,1 October 2019 16:45,5006,-,All Island
68,1 October 2019 17:00,5050,-,All Island
69,1 October 2019 17:15,5076,-,All Island
70,1 October 2019 17:30,5112,-,All Island
71,1 October 2019 17:45,5078,-,All Island
72,1 October 2019 18:00,5049,-,All Island
73,1 October 2019 18:15,5003,-,All Island
74,1 October 2019 18:30,4963,-,All Island
75,1 October 2019 18:45,4947,-,All Island
76,1 October 2019 19:00,4967,-,All Island
77,1 October 2019 19:15,5040,-,All Island
78,1 October 2019 19:30,5160,-,All Island
79,1 October 2019 19:45,5159,-,All Island
80,1 October 2019 20:00,5144,-,All Island
81,1 October 2019 20:15,5076,-,All Island
82,1 October 2019 20:30,5014,-,All Island
83,1 October 2019 20:45,4917,-,All Island
84,1 October 2019 21:00,4858,-,All Island
85,1 October 2019 21:15,4743,-,All Island
86,1 October 2019 21:30,4624,-,All Island
87,1 October 2019 21:45,4515,-,All Island
88,1 October 2019 22:00,4386,-,All Island
89,1 October 2019 22:15,4264,-,All Island
90,1 October 2019 22:30,4121,-,All Island
91,1 October 2019 22:45,3977,-,All Island
92,1 October 2019 23:00,3852,-,All Island
93,1 October 2019 23:15,3714,-,All Island
94,1 October 2019 23:30,3622,-,All Island
95,1 October 2019 23:45,3504,-,All Island
96,2 October 2019 00:00,3460,-,All Island
97,2 October 2019 00:15,3435,-,All Island
98,2 October 2019 00:30,3376,-,All Island
99,2 October 2019 00:45,3324,-,All Island
100,2 October 2019 01:00,3271,-,All Island
101,2 October 2019 01:15,3226,-,All Island
102,2 October 2019 01:30,3197,-,All Island
103,2 October 2019 01:45,3169,-,All Island
104,2 October 2019 02:00,3146,-,All Island
105,2 October 2019 02:15,3135,-,All Island
106,2 October 2019 02:30,3115,-,All Island
107,2 October 2019 02:45,3091,-,All Island
108,2 October 2019 03:00,3072,-,All Island
109,2 October 2019 03:15,3062,-,All Island
110,2 October 2019 03:30,3066,-,All Island
111,2 October 2019 03:45,3053,-,All Island
112,2 October 2019 04:00,3055,-,All Island
