,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 June 2020 00:00,3065,-,All Island
1,1 June 2020 00:15,3024,-,All Island
2,1 June 2020 00:30,2968,-,All Island
3,1 June 2020 00:45,2914,-,All Island
4,1 June 2020 01:00,2860,-,All Island
5,1 June 2020 01:15,2823,-,All Island
6,1 June 2020 01:30,2778,-,All Island
7,1 June 2020 01:45,2748,-,All Island
8,1 June 2020 02:00,2729,-,All Island
9,1 June 2020 02:15,2723,-,All Island
10,1 June 2020 02:30,2694,-,All Island
11,1 June 2020 02:45,2681,-,All Island
12,1 June 2020 03:00,2661,-,All Island
13,1 June 2020 03:15,2660,-,All Island
14,1 June 2020 03:30,2646,-,All Island
15,1 June 2020 03:45,2635,-,All Island
16,1 June 2020 04:00,2629,-,All Island
17,1 June 2020 04:15,2633,-,All Island
18,1 June 2020 04:30,2619,-,All Island
19,1 June 2020 04:45,2592,-,All Island
20,1 June 2020 05:00,2565,-,All Island
21,1 June 2020 05:15,2567,-,All Island
22,1 June 2020 05:30,2573,-,All Island
23,1 June 2020 05:45,2594,-,All Island
24,1 June 2020 06:00,2647,-,All Island
25,1 June 2020 06:15,2726,-,All Island
26,1 June 2020 06:30,2765,-,All Island
27,1 June 2020 06:45,2819,-,All Island
28,1 June 2020 07:00,2896,-,All Island
29,1 June 2020 07:15,2982,-,All Island
30,1 June 2020 07:30,3057,-,All Island
31,1 June 2020 07:45,3156,-,All Island
32,1 June 2020 08:00,3246,-,All Island
33,1 June 2020 08:15,3354,-,All Island
34,1 June 2020 08:30,3431,-,All Island
35,1 June 2020 08:45,3517,-,All Island
36,1 June 2020 09:00,3591,-,All Island
37,1 June 2020 09:15,3660,-,All Island
38,1 June 2020 09:30,3719,-,All Island
39,1 June 2020 09:45,3779,-,All Island
40,1 June 2020 10:00,3813,-,All Island
41,1 June 2020 10:15,3843,-,All Island
42,1 June 2020 10:30,3877,-,All Island
43,1 June 2020 10:45,3898,-,All Island
44,1 June 2020 11:00,3929,-,All Island
45,1 June 2020 11:15,3942,-,All Island
46,1 June 2020 11:30,3937,-,All Island
47,1 June 2020 11:45,3937,-,All Island
48,1 June 2020 12:00,3953,-,All Island
49,1 June 2020 12:15,3960,-,All Island
50,1 June 2020 12:30,3965,-,All Island
51,1 June 2020 12:45,3974,-,All Island
52,1 June 2020 13:00,3966,-,All Island
53,1 June 2020 13:15,3933,-,All Island
54,1 June 2020 13:30,3886,-,All Island
55,1 June 2020 13:45,3831,-,All Island
