,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 March 2020 00:00,3982,-,All Island
1,1 March 2020 00:15,3944,-,All Island
2,1 March 2020 00:30,3860,-,All Island
3,1 March 2020 00:45,3775,-,All Island
4,1 March 2020 01:00,3691,-,All Island
5,1 March 2020 01:15,3683,-,All Island
6,1 March 2020 01:30,3654,-,All Island
7,1 March 2020 01:45,3594,-,All Island
8,1 March 2020 02:00,3570,-,All Island
9,1 March 2020 02:15,3534,-,All Island
10,1 March 2020 02:30,3505,-,All Island
11,1 March 2020 02:45,3458,-,All Island
12,1 March 2020 03:00,3406,-,All Island
13,1 March 2020 03:15,3391,-,All Island
14,1 March 2020 03:30,3364,-,All Island
15,1 March 2020 03:45,3348,-,All Island
16,1 March 2020 04:00,3368,-,All Island
17,1 March 2020 04:15,3356,-,All Island
18,1 March 2020 04:30,3328,-,All Island
19,1 March 2020 04:45,3318,-,All Island
20,1 March 2020 05:00,3318,-,All Island
21,1 March 2020 05:15,3343,-,All Island
22,1 March 2020 05:30,3302,-,All Island
23,1 March 2020 05:45,3332,-,All Island
24,1 March 2020 06:00,3358,-,All Island
25,1 March 2020 06:15,3407,-,All Island
26,1 March 2020 06:30,3421,-,All Island
27,1 March 2020 06:45,3468,-,All Island
28,1 March 2020 07:00,3480,-,All Island
29,1 March 2020 07:15,3503,-,All Island
30,1 March 2020 07:30,3545,-,All Island
31,1 March 2020 07:45,3634,-,All Island
32,1 March 2020 08:00,3717,-,All Island
33,1 March 2020 08:15,3793,-,All Island
34,1 March 2020 08:30,3871,-,All Island
35,1 March 2020 08:45,3987,-,All Island
36,1 March 2020 09:00,4072,-,All Island
37,1 March 2020 09:15,4189,-,All Island
38,1 March 2020 09:30,4315,-,All Island
39,1 March 2020 09:45,4371,-,All Island
40,1 March 2020 10:00,4467,-,All Island
41,1 March 2020 10:15,4539,-,All Island
42,1 March 2020 10:30,4596,-,All Island
43,1 March 2020 10:45,4611,-,All Island
44,1 March 2020 11:00,4651,-,All Island
45,1 March 2020 11:15,4672,-,All Island
46,1 March 2020 11:30,4713,-,All Island
47,1 March 2020 11:45,4763,-,All Island
48,1 March 2020 12:00,4788,-,All Island
49,1 March 2020 12:15,4882,-,All Island
50,1 March 2020 12:30,4882,-,All Island
51,1 March 2020 12:45,4870,-,All Island
52,1 March 2020 13:00,4906,-,All Island
53,1 March 2020 13:15,4891,-,All Island
54,1 March 2020 13:30,4813,-,All Island
55,1 March 2020 13:45,4783,-,All Island
56,1 March 2020 14:00,4731,-,All Island
57,1 March 2020 14:15,4674,-,All Island
58,1 March 2020 14:30,4658,-,All Island
59,1 March 2020 14:45,4604,-,All Island
60,1 March 2020 15:00,4630,-,All Island
61,1 March 2020 15:15,4618,-,All Island
62,1 March 2020 15:30,4612,-,All Island
63,1 March 2020 15:45,4607,-,All Island
64,1 March 2020 16:00,4660,-,All Island
65,1 March 2020 16:15,4718,-,All Island
66,1 March 2020 16:30,4768,-,All Island
67,1 March 2020 16:45,4731,-,All Island
68,1 March 2020 17:00,4825,-,All Island
69,1 March 2020 17:15,4920,-,All Island
70,1 March 2020 17:30,5004,-,All Island
71,1 March 2020 17:45,5056,-,All Island
72,1 March 2020 18:00,5135,-,All Island
73,1 March 2020 18:15,5259,-,All Island
74,1 March 2020 18:30,5390,-,All Island
75,1 March 2020 18:45,5458,-,All Island
76,1 March 2020 19:00,5455,-,All Island
77,1 March 2020 19:15,5398,-,All Island
78,1 March 2020 19:30,5339,-,All Island
79,1 March 2020 19:45,5295,-,All Island
80,1 March 2020 20:00,5222,-,All Island
81,1 March 2020 20:15,5155,-,All Island
