,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 May 2020 00:00,3376,-,All Island
1,1 May 2020 00:15,3367,-,All Island
2,1 May 2020 00:30,3316,-,All Island
3,1 May 2020 00:45,3233,-,All Island
4,1 May 2020 01:00,3191,-,All Island
5,1 May 2020 01:15,3130,-,All Island
6,1 May 2020 01:30,3100,-,All Island
7,1 May 2020 01:45,3055,-,All Island
8,1 May 2020 02:00,3024,-,All Island
9,1 May 2020 02:15,3016,-,All Island
10,1 May 2020 02:30,2998,-,All Island
11,1 May 2020 02:45,2973,-,All Island
12,1 May 2020 03:00,2936,-,All Island
13,1 May 2020 03:15,2923,-,All Island
14,1 May 2020 03:30,2898,-,All Island
15,1 May 2020 03:45,2903,-,All Island
16,1 May 2020 04:00,2892,-,All Island
17,1 May 2020 04:15,2903,-,All Island
18,1 May 2020 04:30,2895,-,All Island
19,1 May 2020 04:45,2900,-,All Island
20,1 May 2020 05:00,2939,-,All Island
21,1 May 2020 05:15,2979,-,All Island
22,1 May 2020 05:30,2958,-,All Island
23,1 May 2020 05:45,2920,-,All Island
24,1 May 2020 06:00,2946,-,All Island
25,1 May 2020 06:15,3052,-,All Island
26,1 May 2020 06:30,3093,-,All Island
27,1 May 2020 06:45,3162,-,All Island
28,1 May 2020 07:00,3264,-,All Island
29,1 May 2020 07:15,3403,-,All Island
30,1 May 2020 07:30,3473,-,All Island
31,1 May 2020 07:45,3599,-,All Island
32,1 May 2020 08:00,3715,-,All Island
33,1 May 2020 08:15,3855,-,All Island
34,1 May 2020 08:30,3940,-,All Island
35,1 May 2020 08:45,4017,-,All Island
36,1 May 2020 09:00,4065,-,All Island
37,1 May 2020 09:15,4113,-,All Island
38,1 May 2020 09:30,4133,-,All Island
39,1 May 2020 09:45,4139,-,All Island
40,1 May 2020 10:00,4159,-,All Island
41,1 May 2020 10:15,4181,-,All Island
42,1 May 2020 10:30,4180,-,All Island
43,1 May 2020 10:45,4193,-,All Island
44,1 May 2020 11:00,4221,-,All Island
45,1 May 2020 11:15,4214,-,All Island
46,1 May 2020 11:30,4224,-,All Island
47,1 May 2020 11:45,4287,-,All Island
48,1 May 2020 12:00,4282,-,All Island
49,1 May 2020 12:15,4316,-,All Island
