,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 November 2020 00:00,3613,-,All Island
1,1 November 2020 00:15,3562,-,All Island
2,1 November 2020 00:30,3501,-,All Island
3,1 November 2020 00:45,3413,-,All Island
4,1 November 2020 01:00,3356,-,All Island
5,1 November 2020 01:15,3319,-,All Island
6,1 November 2020 01:30,3260,-,All Island
7,1 November 2020 01:45,3214,-,All Island
8,1 November 2020 02:00,3168,-,All Island
9,1 November 2020 02:15,3145,-,All Island
10,1 November 2020 02:30,3112,-,All Island
11,1 November 2020 02:45,3077,-,All Island
12,1 November 2020 03:00,3052,-,All Island
13,1 November 2020 03:15,3027,-,All Island
14,1 November 2020 03:30,3004,-,All Island
15,1 November 2020 03:45,2998,-,All Island
16,1 November 2020 04:00,2997,-,All Island
17,1 November 2020 04:15,2990,-,All Island
18,1 November 2020 04:30,2946,-,All Island
19,1 November 2020 04:45,2960,-,All Island
20,1 November 2020 05:00,2958,-,All Island
21,1 November 2020 05:15,2970,-,All Island
22,1 November 2020 05:30,2976,-,All Island
23,1 November 2020 05:45,3004,-,All Island
24,1 November 2020 06:00,3041,-,All Island
25,1 November 2020 06:15,3095,-,All Island
26,1 November 2020 06:30,3123,-,All Island
27,1 November 2020 06:45,3137,-,All Island
28,1 November 2020 07:00,3198,-,All Island
29,1 November 2020 07:15,3223,-,All Island
30,1 November 2020 07:30,3238,-,All Island
31,1 November 2020 07:45,3282,-,All Island
32,1 November 2020 08:00,3331,-,All Island
33,1 November 2020 08:15,3377,-,All Island
34,1 November 2020 08:30,3458,-,All Island
35,1 November 2020 08:45,3554,-,All Island
36,1 November 2020 09:00,3669,-,All Island
37,1 November 2020 09:15,3772,-,All Island
38,1 November 2020 09:30,3848,-,All Island
39,1 November 2020 09:45,3897,-,All Island
40,1 November 2020 10:00,3994,-,All Island
41,1 November 2020 10:15,4080,-,All Island
42,1 November 2020 10:30,4169,-,All Island
43,1 November 2020 10:45,4231,-,All Island
44,1 November 2020 11:00,4274,-,All Island
45,1 November 2020 11:15,4323,-,All Island
46,1 November 2020 11:30,4391,-,All Island
47,1 November 2020 11:45,4492,-,All Island
48,1 November 2020 12:00,4568,-,All Island
49,1 November 2020 12:15,4655,-,All Island
50,1 November 2020 12:30,4729,-,All Island
51,1 November 2020 12:45,4790,-,All Island
52,1 November 2020 13:00,4818,-,All Island
53,1 November 2020 13:15,4809,-,All Island
54,1 November 2020 13:30,4784,-,All Island
55,1 November 2020 13:45,4750,-,All Island
56,1 November 2020 14:00,4721,-,All Island
57,1 November 2020 14:15,4740,-,All Island
58,1 November 2020 14:30,4712,-,All Island
59,1 November 2020 14:45,4711,-,All Island
60,1 November 2020 15:00,4739,-,All Island
61,1 November 2020 15:15,4790,-,All Island
62,1 November 2020 15:30,4832,-,All Island
63,1 November 2020 15:45,4839,-,All Island
64,1 November 2020 16:00,4882,-,All Island
65,1 November 2020 16:15,4984,-,All Island
66,1 November 2020 16:30,5058,-,All Island
67,1 November 2020 16:45,5185,-,All Island
68,1 November 2020 17:00,5337,-,All Island
69,1 November 2020 17:15,5442,-,All Island
70,1 November 2020 17:30,5540,-,All Island
71,1 November 2020 17:45,5569,-,All Island
72,1 November 2020 18:00,5557,-,All Island
73,1 November 2020 18:15,5468,-,All Island
74,1 November 2020 18:30,5417,-,All Island
75,1 November 2020 18:45,5294,-,All Island
76,1 November 2020 19:00,5197,-,All Island
77,1 November 2020 19:15,5071,-,All Island
78,1 November 2020 19:30,4937,-,All Island
79,1 November 2020 19:45,4867,-,All Island
80,1 November 2020 20:00,4769,-,All Island
81,1 November 2020 20:15,4729,-,All Island
82,1 November 2020 20:30,4618,-,All Island
83,1 November 2020 20:45,4525,-,All Island
84,1 November 2020 21:00,4447,-,All Island
85,1 November 2020 21:15,4320,-,All Island
86,1 November 2020 21:30,4228,-,All Island
87,1 November 2020 21:45,4134,-,All Island
88,1 November 2020 22:00,4058,-,All Island
89,1 November 2020 22:15,3981,-,All Island
90,1 November 2020 22:30,3880,-,All Island
91,1 November 2020 22:45,3786,-,All Island
92,1 November 2020 23:00,3740,-,All Island
93,1 November 2020 23:15,3691,-,All Island
94,1 November 2020 23:30,3617,-,All Island
95,1 November 2020 23:45,3533,-,All Island
96,2 November 2020 00:00,3442,-,All Island
97,2 November 2020 00:15,3388,-,All Island
98,2 November 2020 00:30,3304,-,All Island
99,2 November 2020 00:45,3250,-,All Island
100,2 November 2020 01:00,3178,-,All Island
101,2 November 2020 01:15,3174,-,All Island
102,2 November 2020 01:30,3139,-,All Island
103,2 November 2020 01:45,3120,-,All Island
104,2 November 2020 02:00,3068,-,All Island
105,2 November 2020 02:15,3056,-,All Island
106,2 November 2020 02:30,3024,-,All Island
107,2 November 2020 02:45,2990,-,All Island
108,2 November 2020 03:00,2971,-,All Island
109,2 November 2020 03:15,2941,-,All Island
110,2 November 2020 03:30,2948,-,All Island
111,2 November 2020 03:45,2976,-,All Island
112,2 November 2020 04:00,3018,-,All Island
113,2 November 2020 04:15,3029,-,All Island
114,2 November 2020 04:30,3032,-,All Island
115,2 November 2020 04:45,3048,-,All Island
116,2 November 2020 05:00,3085,-,All Island
117,2 November 2020 05:15,3149,-,All Island
118,2 November 2020 05:30,3174,-,All Island
119,2 November 2020 05:45,3227,-,All Island
120,2 November 2020 06:00,3343,-,All Island
121,2 November 2020 06:15,3548,-,All Island
122,2 November 2020 06:30,3637,-,All Island
123,2 November 2020 06:45,3829,-,All Island
124,2 November 2020 07:00,4062,-,All Island
125,2 November 2020 07:15,4307,-,All Island
126,2 November 2020 07:30,4444,-,All Island
127,2 November 2020 07:45,4599,-,All Island
128,2 November 2020 08:00,4688,-,All Island
129,2 November 2020 08:15,4771,-,All Island
130,2 November 2020 08:30,4805,-,All Island
131,2 November 2020 08:45,4864,-,All Island
132,2 November 2020 09:00,4918,-,All Island
133,2 November 2020 09:15,4986,-,All Island
134,2 November 2020 09:30,5029,-,All Island
135,2 November 2020 09:45,5038,-,All Island
136,2 November 2020 10:00,5050,-,All Island
137,2 November 2020 10:15,5069,-,All Island
138,2 November 2020 10:30,5095,-,All Island
139,2 November 2020 10:45,5109,-,All Island
140,2 November 2020 11:00,5139,-,All Island
141,2 November 2020 11:15,5148,-,All Island
142,2 November 2020 11:30,5159,-,All Island
143,2 November 2020 11:45,5176,-,All Island
144,2 November 2020 12:00,5192,-,All Island
145,2 November 2020 12:15,5236,-,All Island
146,2 November 2020 12:30,5267,-,All Island
147,2 November 2020 12:45,5283,-,All Island
148,2 November 2020 13:00,5284,-,All Island
149,2 November 2020 13:15,5227,-,All Island
150,2 November 2020 13:30,5160,-,All Island
151,2 November 2020 13:45,5134,-,All Island
152,2 November 2020 14:00,5113,-,All Island
153,2 November 2020 14:15,5130,-,All Island
154,2 November 2020 14:30,5108,-,All Island
155,2 November 2020 14:45,5100,-,All Island
156,2 November 2020 15:00,5117,-,All Island
157,2 November 2020 15:15,5185,-,All Island
158,2 November 2020 15:30,5224,-,All Island
159,2 November 2020 15:45,5251,-,All Island
160,2 November 2020 16:00,5327,-,All Island
161,2 November 2020 16:15,5429,-,All Island
162,2 November 2020 16:30,5524,-,All Island
163,2 November 2020 16:45,5647,-,All Island
164,2 November 2020 17:00,5836,-,All Island
165,2 November 2020 17:15,6017,-,All Island
166,2 November 2020 17:30,6142,-,All Island
167,2 November 2020 17:45,6149,-,All Island
168,2 November 2020 18:00,6053,-,All Island
169,2 November 2020 18:15,5914,-,All Island
170,2 November 2020 18:30,5817,-,All Island
171,2 November 2020 18:45,5718,-,All Island
172,2 November 2020 19:00,5599,-,All Island
173,2 November 2020 19:15,5507,-,All Island
174,2 November 2020 19:30,5399,-,All Island
175,2 November 2020 19:45,5288,-,All Island
176,2 November 2020 20:00,5221,-,All Island
177,2 November 2020 20:15,5107,-,All Island
178,2 November 2020 20:30,5053,-,All Island
179,2 November 2020 20:45,4951,-,All Island
180,2 November 2020 21:00,4864,-,All Island
181,2 November 2020 21:15,4728,-,All Island
182,2 November 2020 21:30,4608,-,All Island
183,2 November 2020 21:45,4518,-,All Island
184,2 November 2020 22:00,4405,-,All Island
185,2 November 2020 22:15,4281,-,All Island
186,2 November 2020 22:30,4190,-,All Island
187,2 November 2020 22:45,4079,-,All Island
188,2 November 2020 23:00,3976,-,All Island
189,2 November 2020 23:15,3964,-,All Island
190,2 November 2020 23:30,3899,-,All Island
191,2 November 2020 23:45,3797,-,All Island
192,3 November 2020 00:00,3723,-,All Island
193,3 November 2020 00:15,3657,-,All Island
194,3 November 2020 00:30,3580,-,All Island
195,3 November 2020 00:45,3527,-,All Island
196,3 November 2020 01:00,3477,-,All Island
197,3 November 2020 01:15,3457,-,All Island
198,3 November 2020 01:30,3423,-,All Island
199,3 November 2020 01:45,3409,-,All Island
200,3 November 2020 02:00,3384,-,All Island
201,3 November 2020 02:15,3356,-,All Island
202,3 November 2020 02:30,3344,-,All Island
203,3 November 2020 02:45,3313,-,All Island
204,3 November 2020 03:00,3302,-,All Island
205,3 November 2020 03:15,3285,-,All Island
206,3 November 2020 03:30,3302,-,All Island
207,3 November 2020 03:45,3271,-,All Island
208,3 November 2020 04:00,3281,-,All Island
209,3 November 2020 04:15,3301,-,All Island
210,3 November 2020 04:30,3302,-,All Island
211,3 November 2020 04:45,3333,-,All Island
212,3 November 2020 05:00,3351,-,All Island
213,3 November 2020 05:15,3408,-,All Island
214,3 November 2020 05:30,3453,-,All Island
215,3 November 2020 05:45,3498,-,All Island
216,3 November 2020 06:00,3592,-,All Island
217,3 November 2020 06:15,3768,-,All Island
218,3 November 2020 06:30,3872,-,All Island
219,3 November 2020 06:45,4024,-,All Island
220,3 November 2020 07:00,4248,-,All Island
221,3 November 2020 07:15,4534,-,All Island
222,3 November 2020 07:30,4648,-,All Island
223,3 November 2020 07:45,4814,-,All Island
224,3 November 2020 08:00,4885,-,All Island
225,3 November 2020 08:15,4974,-,All Island
226,3 November 2020 08:30,4993,-,All Island
227,3 November 2020 08:45,5007,-,All Island
228,3 November 2020 09:00,5059,-,All Island
229,3 November 2020 09:15,5096,-,All Island
230,3 November 2020 09:30,5071,-,All Island
231,3 November 2020 09:45,5081,-,All Island
232,3 November 2020 10:00,5071,-,All Island
233,3 November 2020 10:15,5061,-,All Island
234,3 November 2020 10:30,5078,-,All Island
235,3 November 2020 10:45,5071,-,All Island
236,3 November 2020 11:00,5065,-,All Island
237,3 November 2020 11:15,5032,-,All Island
238,3 November 2020 11:30,5014,-,All Island
239,3 November 2020 11:45,5045,-,All Island
240,3 November 2020 12:00,5057,-,All Island
241,3 November 2020 12:15,5089,-,All Island
242,3 November 2020 12:30,5134,-,All Island
243,3 November 2020 12:45,5126,-,All Island
244,3 November 2020 13:00,5143,-,All Island
245,3 November 2020 13:15,5112,-,All Island
246,3 November 2020 13:30,5083,-,All Island
247,3 November 2020 13:45,5012,-,All Island
248,3 November 2020 14:00,5014,-,All Island
249,3 November 2020 14:15,5001,-,All Island
250,3 November 2020 14:30,5004,-,All Island
251,3 November 2020 14:45,5070,-,All Island
252,3 November 2020 15:00,5091,-,All Island
253,3 November 2020 15:15,5131,-,All Island
254,3 November 2020 15:30,5191,-,All Island
