,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 August 2017 00:00,3632,All Island
1,1 August 2017 00:15,3669,All Island
2,1 August 2017 00:30,3677,All Island
3,1 August 2017 00:45,3694,All Island
4,1 August 2017 01:00,3627,All Island
5,1 August 2017 01:15,3578,All Island
6,1 August 2017 01:30,3533,All Island
7,1 August 2017 01:45,3496,All Island
8,1 August 2017 02:00,3475,All Island
9,1 August 2017 02:15,3475,All Island
10,1 August 2017 02:30,3416,All Island
11,1 August 2017 02:45,3383,All Island
12,1 August 2017 03:00,3320,All Island
13,1 August 2017 03:15,3297,All Island
14,1 August 2017 03:30,3235,All Island
15,1 August 2017 03:45,3231,All Island
16,1 August 2017 04:00,3182,All Island
17,1 August 2017 04:15,3268,All Island
18,1 August 2017 04:30,3245,All Island
19,1 August 2017 04:45,3242,All Island
20,1 August 2017 05:00,3271,All Island
21,1 August 2017 05:15,3311,All Island
22,1 August 2017 05:30,3277,All Island
23,1 August 2017 05:45,3268,All Island
24,1 August 2017 06:00,3306,All Island
25,1 August 2017 06:15,3434,All Island
26,1 August 2017 06:30,3493,All Island
27,1 August 2017 06:45,3558,All Island
28,1 August 2017 07:00,3564,All Island
29,1 August 2017 07:15,3612,All Island
30,1 August 2017 07:30,3584,All Island
31,1 August 2017 07:45,3657,All Island
32,1 August 2017 08:00,3722,All Island
33,1 August 2017 08:15,3889,All Island
34,1 August 2017 08:30,3802,All Island
35,1 August 2017 08:45,3742,All Island
36,1 August 2017 09:00,3679,All Island
37,1 August 2017 09:15,3604,All Island
38,1 August 2017 09:30,3576,All Island
39,1 August 2017 09:45,3577,All Island
40,1 August 2017 10:00,3622,All Island
41,1 August 2017 10:15,3629,All Island
42,1 August 2017 10:30,3629,All Island
43,1 August 2017 10:45,3623,All Island
44,1 August 2017 11:00,3608,All Island
45,1 August 2017 11:15,3611,All Island
46,1 August 2017 11:30,3621,All Island
47,1 August 2017 11:45,3645,All Island
48,1 August 2017 12:00,3640,All Island
49,1 August 2017 12:15,3661,All Island
50,1 August 2017 12:30,3670,All Island
51,1 August 2017 12:45,3670,All Island
52,1 August 2017 13:00,3659,All Island
53,1 August 2017 13:15,3606,All Island
54,1 August 2017 13:30,3562,All Island
55,1 August 2017 13:45,3556,All Island
56,1 August 2017 14:00,3534,All Island
57,1 August 2017 14:15,3540,All Island
58,1 August 2017 14:30,3542,All Island
59,1 August 2017 14:45,3532,All Island
60,1 August 2017 15:00,3535,All Island
61,1 August 2017 15:15,3546,All Island
62,1 August 2017 15:30,3556,All Island
63,1 August 2017 15:45,3516,All Island
64,1 August 2017 16:00,3552,All Island
65,1 August 2017 16:15,3602,All Island
66,1 August 2017 16:30,3665,All Island
67,1 August 2017 16:45,3681,All Island
68,1 August 2017 17:00,3730,All Island
69,1 August 2017 17:15,3781,All Island
70,1 August 2017 17:30,3833,All Island
71,1 August 2017 17:45,3836,All Island
72,1 August 2017 18:00,3814,All Island
73,1 August 2017 18:15,3740,All Island
74,1 August 2017 18:30,3698,All Island
75,1 August 2017 18:45,3652,All Island
76,1 August 2017 19:00,3595,All Island
77,1 August 2017 19:15,3565,All Island
78,1 August 2017 19:30,3511,All Island
79,1 August 2017 19:45,3508,All Island
80,1 August 2017 20:00,3470,All Island
81,1 August 2017 20:15,3444,All Island
82,1 August 2017 20:30,3419,All Island
83,1 August 2017 20:45,3399,All Island
84,1 August 2017 21:00,3362,All Island
85,1 August 2017 21:15,3343,All Island
86,1 August 2017 21:30,3379,All Island
87,1 August 2017 21:45,3464,All Island
88,1 August 2017 22:00,3519,All Island
89,1 August 2017 22:15,3549,All Island
90,1 August 2017 22:30,3572,All Island
91,1 August 2017 22:45,3608,All Island
92,1 August 2017 23:00,3628,All Island
93,1 August 2017 23:15,3524,All Island
94,1 August 2017 23:30,3423,All Island
95,1 August 2017 23:45,3504,All Island
96,2 August 2017 00:00,3443,All Island
97,2 August 2017 00:15,3355,All Island
98,2 August 2017 00:30,3208,All Island
99,2 August 2017 00:45,3110,All Island
100,2 August 2017 01:00,2983,All Island
101,2 August 2017 01:15,2904,All Island
102,2 August 2017 01:30,2918,All Island
103,2 August 2017 01:45,2876,All Island
104,2 August 2017 02:00,2853,All Island
105,2 August 2017 02:15,2953,All Island
106,2 August 2017 02:30,2942,All Island
107,2 August 2017 02:45,3018,All Island
108,2 August 2017 03:00,3031,All Island
109,2 August 2017 03:15,3100,All Island
110,2 August 2017 03:30,3089,All Island
111,2 August 2017 03:45,3165,All Island
112,2 August 2017 04:00,3248,All Island
113,2 August 2017 04:15,3242,All Island
114,2 August 2017 04:30,3292,All Island
