,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 February 2017 00:00,3919,All Island
1,1 February 2017 00:15,3982,All Island
2,1 February 2017 00:30,3946,All Island
3,1 February 2017 00:45,3984,All Island
4,1 February 2017 01:00,4019,All Island
5,1 February 2017 01:15,4160,All Island
6,1 February 2017 01:30,4201,All Island
7,1 February 2017 01:45,4247,All Island
8,1 February 2017 02:00,4203,All Island
9,1 February 2017 02:15,4107,All Island
10,1 February 2017 02:30,4068,All Island
11,1 February 2017 02:45,4071,All Island
12,1 February 2017 03:00,4071,All Island
13,1 February 2017 03:15,4065,All Island
14,1 February 2017 03:30,4049,All Island
15,1 February 2017 03:45,4038,All Island
16,1 February 2017 04:00,3956,All Island
17,1 February 2017 04:15,3936,All Island
18,1 February 2017 04:30,3933,All Island
19,1 February 2017 04:45,3951,All Island
20,1 February 2017 05:00,3970,All Island
21,1 February 2017 05:15,4055,All Island
22,1 February 2017 05:30,4079,All Island
23,1 February 2017 05:45,4154,All Island
24,1 February 2017 06:00,4246,All Island
25,1 February 2017 06:15,4420,All Island
26,1 February 2017 06:30,4560,All Island
27,1 February 2017 06:45,4760,All Island
28,1 February 2017 07:00,4967,All Island
29,1 February 2017 07:15,5239,All Island
30,1 February 2017 07:30,5349,All Island
31,1 February 2017 07:45,5356,All Island
32,1 February 2017 08:00,5212,All Island
33,1 February 2017 08:15,5075,All Island
34,1 February 2017 08:30,5023,All Island
35,1 February 2017 08:45,5079,All Island
36,1 February 2017 09:00,5123,All Island
37,1 February 2017 09:15,5276,All Island
38,1 February 2017 09:30,5333,All Island
39,1 February 2017 09:45,5239,All Island
40,1 February 2017 10:00,5286,All Island
41,1 February 2017 10:15,5230,All Island
42,1 February 2017 10:30,5240,All Island
43,1 February 2017 10:45,5288,All Island
44,1 February 2017 11:00,5278,All Island
45,1 February 2017 11:15,5337,All Island
46,1 February 2017 11:30,5371,All Island
47,1 February 2017 11:45,5332,All Island
48,1 February 2017 12:00,5269,All Island
49,1 February 2017 12:15,5315,All Island
50,1 February 2017 12:30,5320,All Island
51,1 February 2017 12:45,5312,All Island
52,1 February 2017 13:00,5261,All Island
53,1 February 2017 13:15,5293,All Island
54,1 February 2017 13:30,5330,All Island
55,1 February 2017 13:45,5405,All Island
56,1 February 2017 14:00,5299,All Island
57,1 February 2017 14:15,5237,All Island
58,1 February 2017 14:30,5171,All Island
59,1 February 2017 14:45,5102,All Island
60,1 February 2017 15:00,5060,All Island
61,1 February 2017 15:15,5102,All Island
62,1 February 2017 15:30,5016,All Island
63,1 February 2017 15:45,5003,All Island
64,1 February 2017 16:00,5017,All Island
65,1 February 2017 16:15,5161,All Island
66,1 February 2017 16:30,5229,All Island
67,1 February 2017 16:45,5216,All Island
68,1 February 2017 17:00,5137,All Island
69,1 February 2017 17:15,5185,All Island
70,1 February 2017 17:30,5209,All Island
71,1 February 2017 17:45,5238,All Island
72,1 February 2017 18:00,5188,All Island
73,1 February 2017 18:15,5060,All Island
74,1 February 2017 18:30,4965,All Island
75,1 February 2017 18:45,4865,All Island
76,1 February 2017 19:00,4785,All Island
77,1 February 2017 19:15,4714,All Island
78,1 February 2017 19:30,4712,All Island
79,1 February 2017 19:45,4654,All Island
80,1 February 2017 20:00,4604,All Island
81,1 February 2017 20:15,4633,All Island
82,1 February 2017 20:30,4609,All Island
83,1 February 2017 20:45,4610,All Island
84,1 February 2017 21:00,4579,All Island
85,1 February 2017 21:15,4601,All Island
86,1 February 2017 21:30,4643,All Island
87,1 February 2017 21:45,4662,All Island
88,1 February 2017 22:00,4734,All Island
89,1 February 2017 22:15,4728,All Island
90,1 February 2017 22:30,4589,All Island
91,1 February 2017 22:45,4468,All Island
92,1 February 2017 23:00,4384,All Island
93,1 February 2017 23:15,4433,All Island
94,1 February 2017 23:30,4350,All Island
95,1 February 2017 23:45,4335,All Island
96,2 February 2017 00:00,4273,All Island
97,2 February 2017 00:15,4265,All Island
98,2 February 2017 00:30,4337,All Island
99,2 February 2017 00:45,4303,All Island
100,2 February 2017 01:00,4318,All Island
101,2 February 2017 01:15,4285,All Island
102,2 February 2017 01:30,4286,All Island
103,2 February 2017 01:45,4293,All Island
104,2 February 2017 02:00,4274,All Island
105,2 February 2017 02:15,4204,All Island
106,2 February 2017 02:30,4171,All Island
107,2 February 2017 02:45,4139,All Island
108,2 February 2017 03:00,4122,All Island
109,2 February 2017 03:15,4102,All Island
110,2 February 2017 03:30,4080,All Island
111,2 February 2017 03:45,4058,All Island
112,2 February 2017 04:00,4044,All Island
113,2 February 2017 04:15,4058,All Island
114,2 February 2017 04:30,4055,All Island
115,2 February 2017 04:45,4054,All Island
116,2 February 2017 05:00,4062,All Island
117,2 February 2017 05:15,4090,All Island
118,2 February 2017 05:30,4114,All Island
119,2 February 2017 05:45,4169,All Island
120,2 February 2017 06:00,4217,All Island
121,2 February 2017 06:15,4407,All Island
122,2 February 2017 06:30,4393,All Island
123,2 February 2017 06:45,4544,All Island
124,2 February 2017 07:00,4740,All Island
125,2 February 2017 07:15,5026,All Island
126,2 February 2017 07:30,5154,All Island
127,2 February 2017 07:45,5366,All Island
128,2 February 2017 08:00,5291,All Island
129,2 February 2017 08:15,5233,All Island
130,2 February 2017 08:30,5170,All Island
131,2 February 2017 08:45,5168,All Island
132,2 February 2017 09:00,5240,All Island
133,2 February 2017 09:15,5312,All Island
134,2 February 2017 09:30,5267,All Island
135,2 February 2017 09:45,5206,All Island
136,2 February 2017 10:00,5221,All Island
137,2 February 2017 10:15,5190,All Island
138,2 February 2017 10:30,5232,All Island
139,2 February 2017 10:45,5284,All Island
140,2 February 2017 11:00,5298,All Island
141,2 February 2017 11:15,5264,All Island
142,2 February 2017 11:30,5268,All Island
143,2 February 2017 11:45,5358,All Island
144,2 February 2017 12:00,5357,All Island
145,2 February 2017 12:15,5411,All Island
146,2 February 2017 12:30,5386,All Island
147,2 February 2017 12:45,5361,All Island
148,2 February 2017 13:00,5326,All Island
149,2 February 2017 13:15,5274,All Island
150,2 February 2017 13:30,5121,All Island
151,2 February 2017 13:45,5177,All Island
152,2 February 2017 14:00,5173,All Island
153,2 February 2017 14:15,5195,All Island
154,2 February 2017 14:30,5225,All Island
155,2 February 2017 14:45,5221,All Island
156,2 February 2017 15:00,5184,All Island
157,2 February 2017 15:15,5239,All Island
158,2 February 2017 15:30,5271,All Island
159,2 February 2017 15:45,5283,All Island
160,2 February 2017 16:00,5323,All Island
161,2 February 2017 16:15,5382,All Island
162,2 February 2017 16:30,5381,All Island
163,2 February 2017 16:45,5350,All Island
164,2 February 2017 17:00,5330,All Island
165,2 February 2017 17:15,5312,All Island
166,2 February 2017 17:30,5351,All Island
167,2 February 2017 17:45,5312,All Island
168,2 February 2017 18:00,5235,All Island
169,2 February 2017 18:15,5260,All Island
170,2 February 2017 18:30,5198,All Island
