,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 March 2017 00:00,4355.0,All Island
1,1 March 2017 00:15,4290.0,All Island
2,1 March 2017 00:30,4264.0,All Island
3,1 March 2017 00:45,4228.0,All Island
4,1 March 2017 01:00,4174.0,All Island
5,1 March 2017 01:15,4155.0,All Island
6,1 March 2017 01:30,4177.0,All Island
7,1 March 2017 01:45,4211.0,All Island
8,1 March 2017 02:00,4186.0,All Island
9,1 March 2017 02:15,4206.0,All Island
10,1 March 2017 02:30,4235.0,All Island
11,1 March 2017 02:45,4182.0,All Island
12,1 March 2017 03:00,4140.0,All Island
13,1 March 2017 03:15,4141.0,All Island
14,1 March 2017 03:30,4132.0,All Island
15,1 March 2017 03:45,4108.0,All Island
16,1 March 2017 04:00,4099.0,All Island
17,1 March 2017 04:15,4131.0,All Island
18,1 March 2017 04:30,4153.0,All Island
19,1 March 2017 04:45,4136.0,All Island
20,1 March 2017 05:00,4162.0,All Island
21,1 March 2017 05:15,4290.0,All Island
22,1 March 2017 05:30,4292.0,All Island
23,1 March 2017 05:45,4268.0,All Island
24,1 March 2017 06:00,4310.0,All Island
25,1 March 2017 06:15,4409.0,All Island
26,1 March 2017 06:30,4432.0,All Island
27,1 March 2017 06:45,4442.0,All Island
28,1 March 2017 07:00,4414.0,All Island
29,1 March 2017 07:15,4430.0,All Island
30,1 March 2017 07:30,4352.0,All Island
31,1 March 2017 07:45,4375.0,All Island
32,1 March 2017 08:00,4380.0,All Island
33,1 March 2017 08:15,4438.0,All Island
34,1 March 2017 08:30,4445.0,All Island
35,1 March 2017 08:45,4414.0,All Island
36,1 March 2017 09:00,4385.0,All Island
37,1 March 2017 09:15,4465.0,All Island
38,1 March 2017 09:30,4433.0,All Island
39,1 March 2017 09:45,4422.0,All Island
40,1 March 2017 10:00,4403.0,All Island
41,1 March 2017 10:15,4382.0,All Island
42,1 March 2017 10:30,4373.0,All Island
43,1 March 2017 10:45,4379.0,All Island
44,1 March 2017 11:00,4378.0,All Island
45,1 March 2017 11:15,4387.0,All Island
46,1 March 2017 11:30,4367.0,All Island
47,1 March 2017 11:45,4369.0,All Island
48,1 March 2017 12:00,4363.0,All Island
49,1 March 2017 12:15,4384.0,All Island
50,1 March 2017 12:30,4381.0,All Island
51,1 March 2017 12:45,4410.0,All Island
52,1 March 2017 13:00,4462.0,All Island
53,1 March 2017 13:15,4434.0,All Island
54,1 March 2017 13:30,4479.0,All Island
55,1 March 2017 13:45,4453.0,All Island
56,1 March 2017 14:00,4496.0,All Island
57,1 March 2017 14:15,4539.0,All Island
58,1 March 2017 14:30,4556.0,All Island
59,1 March 2017 14:45,4583.0,All Island
60,1 March 2017 15:00,4704.0,All Island
61,1 March 2017 15:15,4768.0,All Island
62,1 March 2017 15:30,4826.0,All Island
63,1 March 2017 15:45,4882.0,All Island
64,1 March 2017 16:00,4906.0,All Island
65,1 March 2017 16:15,5073.0,All Island
66,1 March 2017 16:30,5171.0,All Island
67,1 March 2017 16:45,5302.0,All Island
68,1 March 2017 17:00,5381.0,All Island
69,1 March 2017 17:15,5566.0,All Island
70,1 March 2017 17:30,5640.0,All Island
71,1 March 2017 17:45,5789.0,All Island
72,1 March 2017 18:00,5866.0,All Island
73,1 March 2017 18:15,6008.0,All Island
74,1 March 2017 18:30,6020.0,All Island
75,1 March 2017 18:45,5930.0,All Island
76,1 March 2017 19:00,5781.0,All Island
77,1 March 2017 19:15,5685.0,All Island
78,1 March 2017 19:30,5536.0,All Island
79,1 March 2017 19:45,5401.0,All Island
80,1 March 2017 20:00,5238.0,All Island
81,1 March 2017 20:15,5208.0,All Island
82,1 March 2017 20:30,5091.0,All Island
83,1 March 2017 20:45,5052.0,All Island
