,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 April 2018 00:00,3827,All Island
1,1 April 2018 00:15,3909,All Island
2,1 April 2018 00:30,3894,All Island
3,1 April 2018 00:45,3904,All Island
4,1 April 2018 01:00,3935,All Island
5,1 April 2018 01:15,3897,All Island
6,1 April 2018 01:30,3839,All Island
7,1 April 2018 01:45,3863,All Island
8,1 April 2018 02:00,3897,All Island
9,1 April 2018 02:15,3984,All Island
10,1 April 2018 02:30,3936,All Island
11,1 April 2018 02:45,3901,All Island
12,1 April 2018 03:00,3859,All Island
13,1 April 2018 03:15,3831,All Island
14,1 April 2018 03:30,3792,All Island
15,1 April 2018 03:45,3772,All Island
16,1 April 2018 04:00,3757,All Island
17,1 April 2018 04:15,3734,All Island
18,1 April 2018 04:30,3746,All Island
19,1 April 2018 04:45,3729,All Island
20,1 April 2018 05:00,3724,All Island
21,1 April 2018 05:15,3735,All Island
22,1 April 2018 05:30,3733,All Island
23,1 April 2018 05:45,3740,All Island
24,1 April 2018 06:00,3764,All Island
25,1 April 2018 06:15,3729,All Island
26,1 April 2018 06:30,3705,All Island
27,1 April 2018 06:45,3719,All Island
28,1 April 2018 07:00,3704,All Island
29,1 April 2018 07:15,3774,All Island
30,1 April 2018 07:30,3822,All Island
31,1 April 2018 07:45,3826,All Island
32,1 April 2018 08:00,3839,All Island
33,1 April 2018 08:15,3962,All Island
34,1 April 2018 08:30,4029,All Island
35,1 April 2018 08:45,4047,All Island
36,1 April 2018 09:00,4035,All Island
37,1 April 2018 09:15,4084,All Island
38,1 April 2018 09:30,4133,All Island
39,1 April 2018 09:45,4132,All Island
40,1 April 2018 10:00,4149,All Island
41,1 April 2018 10:15,4196,All Island
42,1 April 2018 10:30,4205,All Island
43,1 April 2018 10:45,4184,All Island
44,1 April 2018 11:00,4230,All Island
45,1 April 2018 11:15,4260,All Island
46,1 April 2018 11:30,4266,All Island
47,1 April 2018 11:45,4249,All Island
48,1 April 2018 12:00,4268,All Island
49,1 April 2018 12:15,4394,All Island
50,1 April 2018 12:30,4529,All Island
51,1 April 2018 12:45,4519,All Island
52,1 April 2018 13:00,4469,All Island
53,1 April 2018 13:15,4366,All Island
54,1 April 2018 13:30,4267,All Island
55,1 April 2018 13:45,4287,All Island
56,1 April 2018 14:00,4209,All Island
57,1 April 2018 14:15,4235,All Island
58,1 April 2018 14:30,4171,All Island
59,1 April 2018 14:45,4223,All Island
60,1 April 2018 15:00,4185,All Island
61,1 April 2018 15:15,4229,All Island
62,1 April 2018 15:30,4347,All Island
63,1 April 2018 15:45,4400,All Island
64,1 April 2018 16:00,4395,All Island
65,1 April 2018 16:15,4404,All Island
66,1 April 2018 16:30,4414,All Island
67,1 April 2018 16:45,4414,All Island
68,1 April 2018 17:00,4437,All Island
69,1 April 2018 17:15,4457,All Island
70,1 April 2018 17:30,4463,All Island
71,1 April 2018 17:45,4498,All Island
72,1 April 2018 18:00,4490,All Island
73,1 April 2018 18:15,4475,All Island
74,1 April 2018 18:30,4468,All Island
75,1 April 2018 18:45,4469,All Island
76,1 April 2018 19:00,4469,All Island
77,1 April 2018 19:15,4471,All Island
78,1 April 2018 19:30,4495,All Island
79,1 April 2018 19:45,4498,All Island
80,1 April 2018 20:00,4585,All Island
81,1 April 2018 20:15,4674,All Island
82,1 April 2018 20:30,4733,All Island
83,1 April 2018 20:45,4713,All Island
84,1 April 2018 21:00,4698,All Island
85,1 April 2018 21:15,4648,All Island
86,1 April 2018 21:30,4592,All Island
87,1 April 2018 21:45,4532,All Island
88,1 April 2018 22:00,4465,All Island
89,1 April 2018 22:15,4377,All Island
90,1 April 2018 22:30,4292,All Island
91,1 April 2018 22:45,4230,All Island
92,1 April 2018 23:00,4128,All Island
93,1 April 2018 23:15,4062,All Island
94,1 April 2018 23:30,3974,All Island
95,1 April 2018 23:45,3994,All Island
96,2 April 2018 00:00,4051,All Island
97,2 April 2018 00:15,4091,All Island
98,2 April 2018 00:30,4032,All Island
99,2 April 2018 00:45,3981,All Island
100,2 April 2018 01:00,3932,All Island
101,2 April 2018 01:15,3889,All Island
102,2 April 2018 01:30,3923,All Island
103,2 April 2018 01:45,3884,All Island
104,2 April 2018 02:00,3841,All Island
105,2 April 2018 02:15,3919,All Island
106,2 April 2018 02:30,3895,All Island
107,2 April 2018 02:45,3844,All Island
108,2 April 2018 03:00,3815,All Island
109,2 April 2018 03:15,3812,All Island
110,2 April 2018 03:30,3762,All Island
111,2 April 2018 03:45,3743,All Island
112,2 April 2018 04:00,3719,All Island
113,2 April 2018 04:15,3709,All Island
114,2 April 2018 04:30,3704,All Island
115,2 April 2018 04:45,3686,All Island
116,2 April 2018 05:00,3716,All Island
117,2 April 2018 05:15,3725,All Island
118,2 April 2018 05:30,3708,All Island
119,2 April 2018 05:45,3664,All Island
120,2 April 2018 06:00,3697,All Island
121,2 April 2018 06:15,3667,All Island
122,2 April 2018 06:30,3704,All Island
123,2 April 2018 06:45,3742,All Island
124,2 April 2018 07:00,3709,All Island
125,2 April 2018 07:15,3677,All Island
126,2 April 2018 07:30,3709,All Island
127,2 April 2018 07:45,3775,All Island
128,2 April 2018 08:00,3860,All Island
129,2 April 2018 08:15,3956,All Island
130,2 April 2018 08:30,4026,All Island
131,2 April 2018 08:45,4109,All Island
132,2 April 2018 09:00,4163,All Island
133,2 April 2018 09:15,4262,All Island
