,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 September 2018 00:00,3682,All Island
1,1 September 2018 00:15,3774,All Island
2,1 September 2018 00:30,3864,All Island
3,1 September 2018 00:45,3851,All Island
4,1 September 2018 01:00,3867,All Island
5,1 September 2018 01:15,3778,All Island
6,1 September 2018 01:30,3732,All Island
7,1 September 2018 01:45,3708,All Island
8,1 September 2018 02:00,3676,All Island
9,1 September 2018 02:15,3650,All Island
10,1 September 2018 02:30,3621,All Island
11,1 September 2018 02:45,3653,All Island
12,1 September 2018 03:00,3577,All Island
13,1 September 2018 03:15,3555,All Island
14,1 September 2018 03:30,3548,All Island
15,1 September 2018 03:45,3625,All Island
16,1 September 2018 04:00,3530,All Island
17,1 September 2018 04:15,3527,All Island
18,1 September 2018 04:30,3451,All Island
19,1 September 2018 04:45,3424,All Island
20,1 September 2018 05:00,3439,All Island
21,1 September 2018 05:15,3639,All Island
22,1 September 2018 05:30,3714,All Island
23,1 September 2018 05:45,3670,All Island
24,1 September 2018 06:00,3646,All Island
25,1 September 2018 06:15,3807,All Island
26,1 September 2018 06:30,3796,All Island
27,1 September 2018 06:45,3833,All Island
28,1 September 2018 07:00,3737,All Island
29,1 September 2018 07:15,3766,All Island
30,1 September 2018 07:30,3780,All Island
31,1 September 2018 07:45,3853,All Island
32,1 September 2018 08:00,3852,All Island
33,1 September 2018 08:15,3877,All Island
34,1 September 2018 08:30,3836,All Island
35,1 September 2018 08:45,3838,All Island
36,1 September 2018 09:00,3787,All Island
37,1 September 2018 09:15,3789,All Island
38,1 September 2018 09:30,3840,All Island
39,1 September 2018 09:45,3831,All Island
40,1 September 2018 10:00,3775,All Island
41,1 September 2018 10:15,3683,All Island
42,1 September 2018 10:30,3646,All Island
43,1 September 2018 10:45,3647,All Island
44,1 September 2018 11:00,3647,All Island
45,1 September 2018 11:15,3602,All Island
46,1 September 2018 11:30,3602,All Island
47,1 September 2018 11:45,3602,All Island
48,1 September 2018 12:00,3579,All Island
49,1 September 2018 12:15,3583,All Island
50,1 September 2018 12:30,3605,All Island
51,1 September 2018 12:45,3567,All Island
52,1 September 2018 13:00,3539,All Island
53,1 September 2018 13:15,3494,All Island
54,1 September 2018 13:30,3489,All Island
55,1 September 2018 13:45,3472,All Island
56,1 September 2018 14:00,3508,All Island
57,1 September 2018 14:15,3469,All Island
58,1 September 2018 14:30,3463,All Island
59,1 September 2018 14:45,3421,All Island
60,1 September 2018 15:00,3456,All Island
61,1 September 2018 15:15,3463,All Island
62,1 September 2018 15:30,3482,All Island
63,1 September 2018 15:45,3539,All Island
64,1 September 2018 16:00,3567,All Island
65,1 September 2018 16:15,3657,All Island
66,1 September 2018 16:30,3647,All Island
67,1 September 2018 16:45,3658,All Island
68,1 September 2018 17:00,3638,All Island
69,1 September 2018 17:15,3691,All Island
70,1 September 2018 17:30,3693,All Island
71,1 September 2018 17:45,3687,All Island
72,1 September 2018 18:00,3707,All Island
73,1 September 2018 18:15,3761,All Island
74,1 September 2018 18:30,3820,All Island
75,1 September 2018 18:45,3870,All Island
76,1 September 2018 19:00,3892,All Island
77,1 September 2018 19:15,3773,All Island
78,1 September 2018 19:30,3698,All Island
79,1 September 2018 19:45,3734,All Island
80,1 September 2018 20:00,3784,All Island
81,1 September 2018 20:15,3908,All Island
82,1 September 2018 20:30,4005,All Island
83,1 September 2018 20:45,4008,All Island
84,1 September 2018 21:00,3820,All Island
85,1 September 2018 21:15,3692,All Island
86,1 September 2018 21:30,3637,All Island
87,1 September 2018 21:45,3616,All Island
88,1 September 2018 22:00,3591,All Island
89,1 September 2018 22:15,3647,All Island
90,1 September 2018 22:30,3632,All Island
91,1 September 2018 22:45,3613,All Island
92,1 September 2018 23:00,3582,All Island
93,1 September 2018 23:15,3617,All Island
94,1 September 2018 23:30,3607,All Island
95,1 September 2018 23:45,3609,All Island
96,2 September 2018 00:00,3527,All Island
97,2 September 2018 00:15,3412,All Island
98,2 September 2018 00:30,3334,All Island
99,2 September 2018 00:45,3351,All Island
100,2 September 2018 01:00,3347,All Island
101,2 September 2018 01:15,3398,All Island
102,2 September 2018 01:30,3287,All Island
103,2 September 2018 01:45,3281,All Island
104,2 September 2018 02:00,3178,All Island
105,2 September 2018 02:15,3225,All Island
106,2 September 2018 02:30,3187,All Island
107,2 September 2018 02:45,3167,All Island
108,2 September 2018 03:00,3146,All Island
109,2 September 2018 03:15,3203,All Island
110,2 September 2018 03:30,3236,All Island
111,2 September 2018 03:45,3305,All Island
112,2 September 2018 04:00,3191,All Island
113,2 September 2018 04:15,3170,All Island
114,2 September 2018 04:30,3189,All Island
115,2 September 2018 04:45,3261,All Island
116,2 September 2018 05:00,3291,All Island
117,2 September 2018 05:15,3307,All Island
118,2 September 2018 05:30,3298,All Island
119,2 September 2018 05:45,3338,All Island
120,2 September 2018 06:00,3333,All Island
121,2 September 2018 06:15,3438,All Island
122,2 September 2018 06:30,3438,All Island
123,2 September 2018 06:45,3474,All Island
124,2 September 2018 07:00,3341,All Island
125,2 September 2018 07:15,3271,All Island
126,2 September 2018 07:30,3093,All Island
127,2 September 2018 07:45,3199,All Island
128,2 September 2018 08:00,3281,All Island
129,2 September 2018 08:15,3466,All Island
130,2 September 2018 08:30,3591,All Island
131,2 September 2018 08:45,3774,All Island
132,2 September 2018 09:00,3872,All Island
133,2 September 2018 09:15,4062,All Island
134,2 September 2018 09:30,4022,All Island
135,2 September 2018 09:45,4106,All Island
136,2 September 2018 10:00,4098,All Island
137,2 September 2018 10:15,4178,All Island
138,2 September 2018 10:30,4123,All Island
139,2 September 2018 10:45,4159,All Island
140,2 September 2018 11:00,4146,All Island
141,2 September 2018 11:15,4210,All Island
142,2 September 2018 11:30,4140,All Island
143,2 September 2018 11:45,4121,All Island
144,2 September 2018 12:00,4040,All Island
145,2 September 2018 12:15,4139,All Island
146,2 September 2018 12:30,4179,All Island
147,2 September 2018 12:45,4132,All Island
148,2 September 2018 13:00,4007,All Island
149,2 September 2018 13:15,4036,All Island
150,2 September 2018 13:30,3983,All Island
151,2 September 2018 13:45,3873,All Island
152,2 September 2018 14:00,3849,All Island
