,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 December 2019 00:00,3858,All Island
1,1 December 2019 00:15,3872,All Island
2,1 December 2019 00:30,3876,All Island
3,1 December 2019 00:45,3885,All Island
4,1 December 2019 01:00,3824,All Island
5,1 December 2019 01:15,3788,All Island
6,1 December 2019 01:30,3781,All Island
7,1 December 2019 01:45,3671,All Island
8,1 December 2019 02:00,3543,All Island
9,1 December 2019 02:15,3423,All Island
10,1 December 2019 02:30,3415,All Island
11,1 December 2019 02:45,3416,All Island
12,1 December 2019 03:00,3305,All Island
13,1 December 2019 03:15,3215,All Island
14,1 December 2019 03:30,3195,All Island
15,1 December 2019 03:45,3228,All Island
16,1 December 2019 04:00,3212,All Island
17,1 December 2019 04:15,3181,All Island
18,1 December 2019 04:30,3175,All Island
19,1 December 2019 04:45,3171,All Island
20,1 December 2019 05:00,3132,All Island
21,1 December 2019 05:15,3109,All Island
22,1 December 2019 05:30,3063,All Island
23,1 December 2019 05:45,3064,All Island
24,1 December 2019 06:00,3168,All Island
25,1 December 2019 06:15,3290,All Island
26,1 December 2019 06:30,3287,All Island
27,1 December 2019 06:45,3366,All Island
28,1 December 2019 07:00,3281,All Island
29,1 December 2019 07:15,3274,All Island
30,1 December 2019 07:30,3187,All Island
31,1 December 2019 07:45,3224,All Island
32,1 December 2019 08:00,3324,All Island
33,1 December 2019 08:15,3398,All Island
34,1 December 2019 08:30,3440,All Island
35,1 December 2019 08:45,3562,All Island
36,1 December 2019 09:00,3647,All Island
37,1 December 2019 09:15,3749,All Island
38,1 December 2019 09:30,3868,All Island
39,1 December 2019 09:45,3959,All Island
40,1 December 2019 10:00,4019,All Island
41,1 December 2019 10:15,4013,All Island
42,1 December 2019 10:30,4012,All Island
43,1 December 2019 10:45,4056,All Island
44,1 December 2019 11:00,4034,All Island
45,1 December 2019 11:15,4074,All Island
46,1 December 2019 11:30,4182,All Island
47,1 December 2019 11:45,4199,All Island
48,1 December 2019 12:00,4164,All Island
49,1 December 2019 12:15,4151,All Island
50,1 December 2019 12:30,4160,All Island
51,1 December 2019 12:45,4144,All Island
52,1 December 2019 13:00,4184,All Island
53,1 December 2019 13:15,4200,All Island
54,1 December 2019 13:30,4149,All Island
55,1 December 2019 13:45,4101,All Island
56,1 December 2019 14:00,4066,All Island
57,1 December 2019 14:15,4047,All Island
58,1 December 2019 14:30,4018,All Island
59,1 December 2019 14:45,4007,All Island
60,1 December 2019 15:00,3965,All Island
61,1 December 2019 15:15,3915,All Island
62,1 December 2019 15:30,3966,All Island
63,1 December 2019 15:45,4069,All Island
64,1 December 2019 16:00,4034,All Island
65,1 December 2019 16:15,4074,All Island
66,1 December 2019 16:30,4241,All Island
67,1 December 2019 16:45,4534,All Island
68,1 December 2019 17:00,4516,All Island
69,1 December 2019 17:15,4551,All Island
70,1 December 2019 17:30,4620,All Island
71,1 December 2019 17:45,4627,All Island
72,1 December 2019 18:00,4609,All Island
73,1 December 2019 18:15,4570,All Island
74,1 December 2019 18:30,4530,All Island
75,1 December 2019 18:45,4478,All Island
76,1 December 2019 19:00,4432,All Island
77,1 December 2019 19:15,4399,All Island
78,1 December 2019 19:30,4339,All Island
79,1 December 2019 19:45,4280,All Island
80,1 December 2019 20:00,4230,All Island
81,1 December 2019 20:15,4213,All Island
82,1 December 2019 20:30,4163,All Island
83,1 December 2019 20:45,4125,All Island
84,1 December 2019 21:00,4033,All Island
85,1 December 2019 21:15,3923,All Island
86,1 December 2019 21:30,3959,All Island
87,1 December 2019 21:45,3852,All Island
88,1 December 2019 22:00,3752,All Island
89,1 December 2019 22:15,3649,All Island
90,1 December 2019 22:30,3537,All Island
91,1 December 2019 22:45,3425,All Island
92,1 December 2019 23:00,3370,All Island
93,1 December 2019 23:15,3333,All Island
94,1 December 2019 23:30,3249,All Island
95,1 December 2019 23:45,3173,All Island
96,2 December 2019 00:00,3085,All Island
97,2 December 2019 00:15,3021,All Island
98,2 December 2019 00:30,3021,All Island
