,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 January 2019 00:00,3064,All Island
1,1 January 2019 00:15,3114,All Island
2,1 January 2019 00:30,3123,All Island
3,1 January 2019 00:45,2984,All Island
4,1 January 2019 01:00,2916,All Island
5,1 January 2019 01:15,2892,All Island
6,1 January 2019 01:30,2843,All Island
7,1 January 2019 01:45,2688,All Island
8,1 January 2019 02:00,2537,All Island
9,1 January 2019 02:15,2414,All Island
10,1 January 2019 02:30,2310,All Island
11,1 January 2019 02:45,2255,All Island
12,1 January 2019 03:00,2221,All Island
13,1 January 2019 03:15,2194,All Island
14,1 January 2019 03:30,2157,All Island
15,1 January 2019 03:45,2133,All Island
16,1 January 2019 04:00,2118,All Island
17,1 January 2019 04:15,2158,All Island
18,1 January 2019 04:30,2133,All Island
19,1 January 2019 04:45,2120,All Island
20,1 January 2019 05:00,2112,All Island
21,1 January 2019 05:15,2128,All Island
22,1 January 2019 05:30,2123,All Island
23,1 January 2019 05:45,2128,All Island
24,1 January 2019 06:00,2153,All Island
25,1 January 2019 06:15,2201,All Island
26,1 January 2019 06:30,2214,All Island
27,1 January 2019 06:45,2240,All Island
28,1 January 2019 07:00,2266,All Island
29,1 January 2019 07:15,2235,All Island
30,1 January 2019 07:30,2244,All Island
31,1 January 2019 07:45,2292,All Island
32,1 January 2019 08:00,2315,All Island
33,1 January 2019 08:15,2325,All Island
34,1 January 2019 08:30,2368,All Island
35,1 January 2019 08:45,2335,All Island
36,1 January 2019 09:00,2387,All Island
37,1 January 2019 09:15,2498,All Island
38,1 January 2019 09:30,2531,All Island
39,1 January 2019 09:45,2601,All Island
40,1 January 2019 10:00,2749,All Island
41,1 January 2019 10:15,2906,All Island
42,1 January 2019 10:30,2999,All Island
43,1 January 2019 10:45,3022,All Island
44,1 January 2019 11:00,3031,All Island
45,1 January 2019 11:15,3032,All Island
46,1 January 2019 11:30,3042,All Island
47,1 January 2019 11:45,3106,All Island
48,1 January 2019 12:00,3186,All Island
49,1 January 2019 12:15,3271,All Island
50,1 January 2019 12:30,3320,All Island
51,1 January 2019 12:45,3360,All Island
52,1 January 2019 13:00,3401,All Island
