,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 May 2019 00:00,3039,All Island
1,1 May 2019 00:15,3068,All Island
2,1 May 2019 00:30,3048,All Island
3,1 May 2019 00:45,3054,All Island
4,1 May 2019 01:00,3084,All Island
5,1 May 2019 01:15,3117,All Island
6,1 May 2019 01:30,3139,All Island
7,1 May 2019 01:45,3031,All Island
8,1 May 2019 02:00,3068,All Island
9,1 May 2019 02:15,3111,All Island
10,1 May 2019 02:30,3059,All Island
11,1 May 2019 02:45,3022,All Island
12,1 May 2019 03:00,2981,All Island
13,1 May 2019 03:15,2957,All Island
14,1 May 2019 03:30,2954,All Island
15,1 May 2019 03:45,2948,All Island
16,1 May 2019 04:00,2941,All Island
17,1 May 2019 04:15,2943,All Island
18,1 May 2019 04:30,2950,All Island
19,1 May 2019 04:45,2959,All Island
20,1 May 2019 05:00,3047,All Island
21,1 May 2019 05:15,3172,All Island
22,1 May 2019 05:30,3195,All Island
23,1 May 2019 05:45,3276,All Island
24,1 May 2019 06:00,3413,All Island
25,1 May 2019 06:15,3647,All Island
26,1 May 2019 06:30,3810,All Island
27,1 May 2019 06:45,3885,All Island
28,1 May 2019 07:00,3822,All Island
29,1 May 2019 07:15,3894,All Island
30,1 May 2019 07:30,4003,All Island
31,1 May 2019 07:45,4119,All Island
32,1 May 2019 08:00,4101,All Island
33,1 May 2019 08:15,4046,All Island
34,1 May 2019 08:30,3966,All Island
35,1 May 2019 08:45,4001,All Island
36,1 May 2019 09:00,4044,All Island
37,1 May 2019 09:15,4096,All Island
38,1 May 2019 09:30,4112,All Island
39,1 May 2019 09:45,4094,All Island
40,1 May 2019 10:00,4006,All Island
41,1 May 2019 10:15,3931,All Island
42,1 May 2019 10:30,3879,All Island
43,1 May 2019 10:45,3886,All Island
44,1 May 2019 11:00,3944,All Island
45,1 May 2019 11:15,4048,All Island
46,1 May 2019 11:30,4108,All Island
47,1 May 2019 11:45,4008,All Island
48,1 May 2019 12:00,3990,All Island
49,1 May 2019 12:15,4056,All Island
50,1 May 2019 12:30,4046,All Island
51,1 May 2019 12:45,4031,All Island
52,1 May 2019 13:00,4052,All Island
53,1 May 2019 13:15,4057,All Island
54,1 May 2019 13:30,4004,All Island
55,1 May 2019 13:45,4035,All Island
56,1 May 2019 14:00,4030,All Island
57,1 May 2019 14:15,4070,All Island
58,1 May 2019 14:30,4058,All Island
59,1 May 2019 14:45,4046,All Island
60,1 May 2019 15:00,4110,All Island
61,1 May 2019 15:15,4190,All Island
62,1 May 2019 15:30,4300,All Island
63,1 May 2019 15:45,4274,All Island
64,1 May 2019 16:00,4400,All Island
65,1 May 2019 16:15,4455,All Island
66,1 May 2019 16:30,4597,All Island
67,1 May 2019 16:45,4601,All Island
68,1 May 2019 17:00,4553,All Island
69,1 May 2019 17:15,4536,All Island
70,1 May 2019 17:30,4570,All Island
71,1 May 2019 17:45,4590,All Island
72,1 May 2019 18:00,4597,All Island
73,1 May 2019 18:15,4591,All Island
74,1 May 2019 18:30,4557,All Island
75,1 May 2019 18:45,4549,All Island
76,1 May 2019 19:00,4584,All Island
77,1 May 2019 19:15,4622,All Island
78,1 May 2019 19:30,4659,All Island
79,1 May 2019 19:45,4576,All Island
80,1 May 2019 20:00,4516,All Island
81,1 May 2019 20:15,4483,All Island
82,1 May 2019 20:30,4393,All Island
83,1 May 2019 20:45,4345,All Island
84,1 May 2019 21:00,4456,All Island
85,1 May 2019 21:15,4404,All Island
86,1 May 2019 21:30,4217,All Island
87,1 May 2019 21:45,4111,All Island
88,1 May 2019 22:00,4027,All Island
89,1 May 2019 22:15,3978,All Island
90,1 May 2019 22:30,3904,All Island
91,1 May 2019 22:45,3809,All Island
92,1 May 2019 23:00,3724,All Island
93,1 May 2019 23:15,3684,All Island
94,1 May 2019 23:30,3624,All Island
95,1 May 2019 23:45,3801,All Island
96,2 May 2019 00:00,3706,All Island
97,2 May 2019 00:15,3581,All Island
98,2 May 2019 00:30,3481,All Island
99,2 May 2019 00:45,3469,All Island
100,2 May 2019 01:00,3475,All Island
101,2 May 2019 01:15,3473,All Island
102,2 May 2019 01:30,3441,All Island
103,2 May 2019 01:45,3437,All Island
104,2 May 2019 02:00,3368,All Island
105,2 May 2019 02:15,3352,All Island
106,2 May 2019 02:30,3338,All Island
107,2 May 2019 02:45,3311,All Island
108,2 May 2019 03:00,3331,All Island
109,2 May 2019 03:15,3376,All Island
110,2 May 2019 03:30,3361,All Island
111,2 May 2019 03:45,3424,All Island
112,2 May 2019 04:00,3423,All Island
113,2 May 2019 04:15,3413,All Island
114,2 May 2019 04:30,3406,All Island
115,2 May 2019 04:45,3368,All Island
116,2 May 2019 05:00,3391,All Island
117,2 May 2019 05:15,3523,All Island
118,2 May 2019 05:30,3490,All Island
119,2 May 2019 05:45,3475,All Island
120,2 May 2019 06:00,3644,All Island
121,2 May 2019 06:15,3966,All Island
122,2 May 2019 06:30,4151,All Island
123,2 May 2019 06:45,4204,All Island
124,2 May 2019 07:00,4243,All Island
125,2 May 2019 07:15,4398,All Island
126,2 May 2019 07:30,4396,All Island
127,2 May 2019 07:45,4602,All Island
128,2 May 2019 08:00,4653,All Island
129,2 May 2019 08:15,4601,All Island
130,2 May 2019 08:30,4444,All Island
131,2 May 2019 08:45,4367,All Island
132,2 May 2019 09:00,4399,All Island
133,2 May 2019 09:15,4501,All Island
134,2 May 2019 09:30,4519,All Island
135,2 May 2019 09:45,4443,All Island
136,2 May 2019 10:00,4346,All Island
137,2 May 2019 10:15,4222,All Island
138,2 May 2019 10:30,4108,All Island
139,2 May 2019 10:45,4154,All Island
140,2 May 2019 11:00,4130,All Island
141,2 May 2019 11:15,4078,All Island
142,2 May 2019 11:30,4069,All Island
143,2 May 2019 11:45,4050,All Island
144,2 May 2019 12:00,3978,All Island
145,2 May 2019 12:15,3928,All Island
146,2 May 2019 12:30,3944,All Island
147,2 May 2019 12:45,3947,All Island
148,2 May 2019 13:00,3912,All Island
149,2 May 2019 13:15,3829,All Island
150,2 May 2019 13:30,3834,All Island
151,2 May 2019 13:45,3859,All Island
152,2 May 2019 14:00,3861,All Island
153,2 May 2019 14:15,3900,All Island
154,2 May 2019 14:30,3886,All Island
155,2 May 2019 14:45,3903,All Island
156,2 May 2019 15:00,3845,All Island
157,2 May 2019 15:15,3792,All Island
158,2 May 2019 15:30,3814,All Island
159,2 May 2019 15:45,3824,All Island
160,2 May 2019 16:00,3887,All Island
161,2 May 2019 16:15,3976,All Island
162,2 May 2019 16:30,4033,All Island
163,2 May 2019 16:45,4091,All Island
164,2 May 2019 17:00,4108,All Island
165,2 May 2019 17:15,4173,All Island
166,2 May 2019 17:30,4121,All Island
167,2 May 2019 17:45,4132,All Island
168,2 May 2019 18:00,4177,All Island
169,2 May 2019 18:15,4209,All Island
170,2 May 2019 18:30,4205,All Island
