,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 November 2019 00:00,4018,All Island
1,1 November 2019 00:15,3919,All Island
2,1 November 2019 00:30,3939,All Island
3,1 November 2019 00:45,3905,All Island
4,1 November 2019 01:00,3872,All Island
5,1 November 2019 01:15,3847,All Island
6,1 November 2019 01:30,3840,All Island
7,1 November 2019 01:45,3844,All Island
8,1 November 2019 02:00,3793,All Island
9,1 November 2019 02:15,3773,All Island
10,1 November 2019 02:30,3774,All Island
11,1 November 2019 02:45,3779,All Island
12,1 November 2019 03:00,3725,All Island
13,1 November 2019 03:15,3665,All Island
14,1 November 2019 03:30,3657,All Island
15,1 November 2019 03:45,3652,All Island
16,1 November 2019 04:00,3656,All Island
17,1 November 2019 04:15,3646,All Island
18,1 November 2019 04:30,3625,All Island
19,1 November 2019 04:45,3593,All Island
20,1 November 2019 05:00,3705,All Island
21,1 November 2019 05:15,3747,All Island
22,1 November 2019 05:30,3744,All Island
23,1 November 2019 05:45,3797,All Island
24,1 November 2019 06:00,3804,All Island
25,1 November 2019 06:15,3900,All Island
26,1 November 2019 06:30,3978,All Island
27,1 November 2019 06:45,3943,All Island
28,1 November 2019 07:00,3932,All Island
29,1 November 2019 07:15,3965,All Island
30,1 November 2019 07:30,3985,All Island
31,1 November 2019 07:45,4089,All Island
32,1 November 2019 08:00,4128,All Island
33,1 November 2019 08:15,4195,All Island
34,1 November 2019 08:30,4293,All Island
35,1 November 2019 08:45,4391,All Island
36,1 November 2019 09:00,4486,All Island
37,1 November 2019 09:15,4559,All Island
38,1 November 2019 09:30,4582,All Island
39,1 November 2019 09:45,4631,All Island
40,1 November 2019 10:00,4661,All Island
41,1 November 2019 10:15,4653,All Island
42,1 November 2019 10:30,4655,All Island
43,1 November 2019 10:45,4644,All Island
44,1 November 2019 11:00,4679,All Island
45,1 November 2019 11:15,4607,All Island
46,1 November 2019 11:30,4560,All Island
47,1 November 2019 11:45,4618,All Island
48,1 November 2019 12:00,4679,All Island
49,1 November 2019 12:15,4700,All Island
50,1 November 2019 12:30,4725,All Island
51,1 November 2019 12:45,4726,All Island
52,1 November 2019 13:00,4722,All Island
53,1 November 2019 13:15,4715,All Island
54,1 November 2019 13:30,4676,All Island
55,1 November 2019 13:45,4677,All Island
56,1 November 2019 14:00,4664,All Island
57,1 November 2019 14:15,4643,All Island
58,1 November 2019 14:30,4656,All Island
59,1 November 2019 14:45,4711,All Island
60,1 November 2019 15:00,4684,All Island
61,1 November 2019 15:15,4661,All Island
62,1 November 2019 15:30,4672,All Island
63,1 November 2019 15:45,4711,All Island
64,1 November 2019 16:00,4763,All Island
65,1 November 2019 16:15,4869,All Island
66,1 November 2019 16:30,5040,All Island
67,1 November 2019 16:45,5241,All Island
68,1 November 2019 17:00,5396,All Island
69,1 November 2019 17:15,5605,All Island
70,1 November 2019 17:30,5703,All Island
71,1 November 2019 17:45,5715,All Island
72,1 November 2019 18:00,5698,All Island
73,1 November 2019 18:15,5603,All Island
74,1 November 2019 18:30,5568,All Island
75,1 November 2019 18:45,5463,All Island
76,1 November 2019 19:00,5379,All Island
77,1 November 2019 19:15,5456,All Island
78,1 November 2019 19:30,5574,All Island
79,1 November 2019 19:45,5471,All Island
80,1 November 2019 20:00,5431,All Island
81,1 November 2019 20:15,5406,All Island
82,1 November 2019 20:30,5264,All Island
83,1 November 2019 20:45,5128,All Island
84,1 November 2019 21:00,5001,All Island
85,1 November 2019 21:15,4883,All Island
86,1 November 2019 21:30,4794,All Island
87,1 November 2019 21:45,4692,All Island
88,1 November 2019 22:00,4576,All Island
89,1 November 2019 22:15,4516,All Island
90,1 November 2019 22:30,4320,All Island
91,1 November 2019 22:45,4167,All Island
92,1 November 2019 23:00,4121,All Island
93,1 November 2019 23:15,4205,All Island
94,1 November 2019 23:30,4114,All Island
95,1 November 2019 23:45,3944,All Island
96,2 November 2019 00:00,3771,All Island
97,2 November 2019 00:15,3722,All Island
98,2 November 2019 00:30,3762,All Island
99,2 November 2019 00:45,3659,All Island
100,2 November 2019 01:00,3465,All Island
101,2 November 2019 01:15,3343,All Island
102,2 November 2019 01:30,3190,All Island
103,2 November 2019 01:45,3142,All Island
104,2 November 2019 02:00,3177,All Island
105,2 November 2019 02:15,3122,All Island
106,2 November 2019 02:30,3088,All Island
107,2 November 2019 02:45,2933,All Island
108,2 November 2019 03:00,2876,All Island
109,2 November 2019 03:15,2821,All Island
110,2 November 2019 03:30,2761,All Island
111,2 November 2019 03:45,2699,All Island
112,2 November 2019 04:00,2700,All Island
113,2 November 2019 04:15,2700,All Island
114,2 November 2019 04:30,2762,All Island
115,2 November 2019 04:45,2849,All Island
116,2 November 2019 05:00,3023,All Island
117,2 November 2019 05:15,3205,All Island
118,2 November 2019 05:30,3305,All Island
119,2 November 2019 05:45,3433,All Island
120,2 November 2019 06:00,3644,All Island
121,2 November 2019 06:15,3917,All Island
122,2 November 2019 06:30,4075,All Island
123,2 November 2019 06:45,4047,All Island
124,2 November 2019 07:00,4053,All Island
125,2 November 2019 07:15,3919,All Island
126,2 November 2019 07:30,4070,All Island
127,2 November 2019 07:45,4239,All Island
128,2 November 2019 08:00,4249,All Island
129,2 November 2019 08:15,4226,All Island
130,2 November 2019 08:30,4455,All Island
131,2 November 2019 08:45,4652,All Island
132,2 November 2019 09:00,4656,All Island
133,2 November 2019 09:15,4585,All Island
134,2 November 2019 09:30,4538,All Island
135,2 November 2019 09:45,4500,All Island
136,2 November 2019 10:00,4697,All Island
137,2 November 2019 10:15,4752,All Island
138,2 November 2019 10:30,4692,All Island
139,2 November 2019 10:45,4631,All Island
140,2 November 2019 11:00,4828,All Island
141,2 November 2019 11:15,4990,All Island
142,2 November 2019 11:30,4995,All Island
143,2 November 2019 11:45,4961,All Island
144,2 November 2019 12:00,5028,All Island
145,2 November 2019 12:15,5071,All Island
146,2 November 2019 12:30,5073,All Island
147,2 November 2019 12:45,5116,All Island
148,2 November 2019 13:00,5181,All Island
149,2 November 2019 13:15,5232,All Island
150,2 November 2019 13:30,5234,All Island
151,2 November 2019 13:45,5114,All Island
152,2 November 2019 14:00,5045,All Island
153,2 November 2019 14:15,5018,All Island
154,2 November 2019 14:30,4932,All Island
155,2 November 2019 14:45,4862,All Island
156,2 November 2019 15:00,4799,All Island
157,2 November 2019 15:15,4709,All Island
158,2 November 2019 15:30,4659,All Island
159,2 November 2019 15:45,4720,All Island
160,2 November 2019 16:00,4781,All Island
161,2 November 2019 16:15,4918,All Island
162,2 November 2019 16:30,5067,All Island
163,2 November 2019 16:45,5277,All Island
164,2 November 2019 17:00,5381,All Island
165,2 November 2019 17:15,5462,All Island
166,2 November 2019 17:30,5443,All Island
167,2 November 2019 17:45,5456,All Island
168,2 November 2019 18:00,5361,All Island
169,2 November 2019 18:15,5126,All Island
170,2 November 2019 18:30,4942,All Island
171,2 November 2019 18:45,4837,All Island
172,2 November 2019 19:00,4896,All Island
173,2 November 2019 19:15,4928,All Island
174,2 November 2019 19:30,4867,All Island
175,2 November 2019 19:45,4767,All Island
176,2 November 2019 20:00,4758,All Island
177,2 November 2019 20:15,4889,All Island
178,2 November 2019 20:30,4775,All Island
179,2 November 2019 20:45,4657,All Island
180,2 November 2019 21:00,4664,All Island
181,2 November 2019 21:15,4683,All Island
182,2 November 2019 21:30,4590,All Island
183,2 November 2019 21:45,4500,All Island
184,2 November 2019 22:00,4522,All Island
185,2 November 2019 22:15,4548,All Island
186,2 November 2019 22:30,4443,All Island
187,2 November 2019 22:45,4365,All Island
188,2 November 2019 23:00,4411,All Island
189,2 November 2019 23:15,4475,All Island
190,2 November 2019 23:30,4497,All Island
191,2 November 2019 23:45,4466,All Island
192,3 November 2019 00:00,4316,All Island
193,3 November 2019 00:15,4218,All Island
194,3 November 2019 00:30,4126,All Island
195,3 November 2019 00:45,4135,All Island
196,3 November 2019 01:00,4152,All Island
197,3 November 2019 01:15,4187,All Island
198,3 November 2019 01:30,4083,All Island
199,3 November 2019 01:45,3960,All Island
200,3 November 2019 02:00,3835,All Island
201,3 November 2019 02:15,3734,All Island
202,3 November 2019 02:30,3662,All Island
203,3 November 2019 02:45,3680,All Island
204,3 November 2019 03:00,3563,All Island
205,3 November 2019 03:15,3504,All Island
206,3 November 2019 03:30,3467,All Island
207,3 November 2019 03:45,3435,All Island
208,3 November 2019 04:00,3447,All Island
209,3 November 2019 04:15,3471,All Island
210,3 November 2019 04:30,3449,All Island
211,3 November 2019 04:45,3428,All Island
212,3 November 2019 05:00,3476,All Island
213,3 November 2019 05:15,3543,All Island
214,3 November 2019 05:30,3513,All Island
215,3 November 2019 05:45,3532,All Island
216,3 November 2019 06:00,3539,All Island
217,3 November 2019 06:15,3590,All Island
218,3 November 2019 06:30,3478,All Island
219,3 November 2019 06:45,3369,All Island
220,3 November 2019 07:00,3336,All Island
221,3 November 2019 07:15,3274,All Island
222,3 November 2019 07:30,3146,All Island
223,3 November 2019 07:45,3203,All Island
224,3 November 2019 08:00,3240,All Island
225,3 November 2019 08:15,3267,All Island
226,3 November 2019 08:30,3375,All Island
227,3 November 2019 08:45,3610,All Island
228,3 November 2019 09:00,3749,All Island
229,3 November 2019 09:15,3854,All Island
230,3 November 2019 09:30,4009,All Island
231,3 November 2019 09:45,4130,All Island
232,3 November 2019 10:00,4151,All Island
233,3 November 2019 10:15,4165,All Island
234,3 November 2019 10:30,4182,All Island
235,3 November 2019 10:45,4228,All Island
236,3 November 2019 11:00,4229,All Island
237,3 November 2019 11:15,4116,All Island
238,3 November 2019 11:30,4135,All Island
239,3 November 2019 11:45,4204,All Island
240,3 November 2019 12:00,4234,All Island
241,3 November 2019 12:15,4337,All Island
242,3 November 2019 12:30,4439,All Island
243,3 November 2019 12:45,4397,All Island
244,3 November 2019 13:00,4358,All Island
245,3 November 2019 13:15,4338,All Island
246,3 November 2019 13:30,4231,All Island
247,3 November 2019 13:45,4276,All Island
248,3 November 2019 14:00,4304,All Island
249,3 November 2019 14:15,4358,All Island
250,3 November 2019 14:30,4305,All Island
251,3 November 2019 14:45,4216,All Island
252,3 November 2019 15:00,4156,All Island
253,3 November 2019 15:15,4070,All Island
254,3 November 2019 15:30,4053,All Island
255,3 November 2019 15:45,3988,All Island
256,3 November 2019 16:00,4037,All Island
257,3 November 2019 16:15,4098,All Island
258,3 November 2019 16:30,4218,All Island
259,3 November 2019 16:45,4372,All Island
260,3 November 2019 17:00,4507,All Island
261,3 November 2019 17:15,4593,All Island
262,3 November 2019 17:30,4605,All Island
263,3 November 2019 17:45,4637,All Island
264,3 November 2019 18:00,4577,All Island
265,3 November 2019 18:15,4484,All Island
