,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 July 2020 00:00,3849,All Island
1,1 July 2020 00:15,3867,All Island
2,1 July 2020 00:30,3730,All Island
3,1 July 2020 00:45,3573,All Island
4,1 July 2020 01:00,3542,All Island
5,1 July 2020 01:15,3484,All Island
6,1 July 2020 01:30,3484,All Island
7,1 July 2020 01:45,3514,All Island
8,1 July 2020 02:00,3487,All Island
9,1 July 2020 02:15,3496,All Island
10,1 July 2020 02:30,3473,All Island
11,1 July 2020 02:45,3448,All Island
12,1 July 2020 03:00,3463,All Island
13,1 July 2020 03:15,3539,All Island
14,1 July 2020 03:30,3513,All Island
15,1 July 2020 03:45,3477,All Island
16,1 July 2020 04:00,3508,All Island
17,1 July 2020 04:15,3507,All Island
18,1 July 2020 04:30,3422,All Island
19,1 July 2020 04:45,3510,All Island
20,1 July 2020 05:00,3653,All Island
21,1 July 2020 05:15,3829,All Island
22,1 July 2020 05:30,3882,All Island
23,1 July 2020 05:45,3850,All Island
24,1 July 2020 06:00,3938,All Island
25,1 July 2020 06:15,4010,All Island
26,1 July 2020 06:30,3953,All Island
27,1 July 2020 06:45,3892,All Island
28,1 July 2020 07:00,3883,All Island
29,1 July 2020 07:15,3886,All Island
30,1 July 2020 07:30,3954,All Island
31,1 July 2020 07:45,4015,All Island
32,1 July 2020 08:00,4004,All Island
33,1 July 2020 08:15,4017,All Island
34,1 July 2020 08:30,4078,All Island
35,1 July 2020 08:45,4183,All Island
36,1 July 2020 09:00,4194,All Island
37,1 July 2020 09:15,4166,All Island
38,1 July 2020 09:30,4128,All Island
39,1 July 2020 09:45,4224,All Island
40,1 July 2020 10:00,4289,All Island
41,1 July 2020 10:15,4238,All Island
42,1 July 2020 10:30,4265,All Island
43,1 July 2020 10:45,4299,All Island
44,1 July 2020 11:00,4250,All Island
45,1 July 2020 11:15,4319,All Island
46,1 July 2020 11:30,4269,All Island
47,1 July 2020 11:45,4229,All Island
48,1 July 2020 12:00,4239,All Island
