,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 June 2020 00:00,3383,All Island
1,1 June 2020 00:15,3158,All Island
2,1 June 2020 00:30,2995,All Island
3,1 June 2020 00:45,2897,All Island
4,1 June 2020 01:00,2991,All Island
5,1 June 2020 01:15,3083,All Island
6,1 June 2020 01:30,3034,All Island
7,1 June 2020 01:45,3036,All Island
8,1 June 2020 02:00,3088,All Island
9,1 June 2020 02:15,3167,All Island
10,1 June 2020 02:30,3144,All Island
11,1 June 2020 02:45,3054,All Island
12,1 June 2020 03:00,2963,All Island
13,1 June 2020 03:15,2947,All Island
14,1 June 2020 03:30,2930,All Island
15,1 June 2020 03:45,2905,All Island
16,1 June 2020 04:00,2913,All Island
17,1 June 2020 04:15,2945,All Island
18,1 June 2020 04:30,2910,All Island
19,1 June 2020 04:45,2860,All Island
20,1 June 2020 05:00,2828,All Island
21,1 June 2020 05:15,2886,All Island
22,1 June 2020 05:30,2980,All Island
23,1 June 2020 05:45,3155,All Island
24,1 June 2020 06:00,3365,All Island
25,1 June 2020 06:15,3527,All Island
26,1 June 2020 06:30,3647,All Island
27,1 June 2020 06:45,3683,All Island
28,1 June 2020 07:00,3668,All Island
29,1 June 2020 07:15,3602,All Island
30,1 June 2020 07:30,3777,All Island
31,1 June 2020 07:45,3960,All Island
32,1 June 2020 08:00,3974,All Island
33,1 June 2020 08:15,3933,All Island
34,1 June 2020 08:30,3981,All Island
35,1 June 2020 08:45,4045,All Island
36,1 June 2020 09:00,3969,All Island
37,1 June 2020 09:15,3945,All Island
38,1 June 2020 09:30,3924,All Island
39,1 June 2020 09:45,3911,All Island
40,1 June 2020 10:00,3869,All Island
41,1 June 2020 10:15,3805,All Island
42,1 June 2020 10:30,3791,All Island
43,1 June 2020 10:45,3812,All Island
44,1 June 2020 11:00,3858,All Island
45,1 June 2020 11:15,3899,All Island
46,1 June 2020 11:30,3883,All Island
47,1 June 2020 11:45,3891,All Island
48,1 June 2020 12:00,3912,All Island
49,1 June 2020 12:15,3930,All Island
50,1 June 2020 12:30,3943,All Island
51,1 June 2020 12:45,3961,All Island
52,1 June 2020 13:00,3965,All Island
53,1 June 2020 13:15,3788,All Island
54,1 June 2020 13:30,3578,All Island
55,1 June 2020 13:45,3442,All Island
56,1 June 2020 14:00,3532,All Island
57,1 June 2020 14:15,3609,All Island
58,1 June 2020 14:30,3537,All Island
59,1 June 2020 14:45,3445,All Island
60,1 June 2020 15:00,3360,All Island
61,1 June 2020 15:15,3386,All Island
62,1 June 2020 15:30,3447,All Island
63,1 June 2020 15:45,3527,All Island
64,1 June 2020 16:00,3650,All Island
65,1 June 2020 16:15,3720,All Island
66,1 June 2020 16:30,3779,All Island
67,1 June 2020 16:45,3825,All Island
68,1 June 2020 17:00,3850,All Island
