,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 October 2020 00:00,2716,All Island
1,1 October 2020 00:15,2756,All Island
2,1 October 2020 00:30,2541,All Island
3,1 October 2020 00:45,2502,All Island
4,1 October 2020 01:00,2454,All Island
5,1 October 2020 01:15,2424,All Island
6,1 October 2020 01:30,2385,All Island
7,1 October 2020 01:45,2355,All Island
8,1 October 2020 02:00,2399,All Island
9,1 October 2020 02:15,2454,All Island
10,1 October 2020 02:30,2480,All Island
11,1 October 2020 02:45,2397,All Island
12,1 October 2020 03:00,2347,All Island
13,1 October 2020 03:15,2295,All Island
14,1 October 2020 03:30,2291,All Island
15,1 October 2020 03:45,2353,All Island
16,1 October 2020 04:00,2423,All Island
17,1 October 2020 04:15,2506,All Island
18,1 October 2020 04:30,2588,All Island
19,1 October 2020 04:45,2616,All Island
20,1 October 2020 05:00,2729,All Island
21,1 October 2020 05:15,2843,All Island
22,1 October 2020 05:30,2800,All Island
23,1 October 2020 05:45,2822,All Island
24,1 October 2020 06:00,2858,All Island
25,1 October 2020 06:15,2924,All Island
26,1 October 2020 06:30,2976,All Island
27,1 October 2020 06:45,3090,All Island
28,1 October 2020 07:00,3232,All Island
29,1 October 2020 07:15,3462,All Island
30,1 October 2020 07:30,3518,All Island
31,1 October 2020 07:45,3681,All Island
32,1 October 2020 08:00,3803,All Island
33,1 October 2020 08:15,3929,All Island
34,1 October 2020 08:30,3953,All Island
35,1 October 2020 08:45,3991,All Island
36,1 October 2020 09:00,4014,All Island
37,1 October 2020 09:15,4056,All Island
38,1 October 2020 09:30,4061,All Island
39,1 October 2020 09:45,4060,All Island
40,1 October 2020 10:00,4031,All Island
41,1 October 2020 10:15,4008,All Island
42,1 October 2020 10:30,4005,All Island
43,1 October 2020 10:45,4003,All Island
44,1 October 2020 11:00,3997,All Island
45,1 October 2020 11:15,3992,All Island
46,1 October 2020 11:30,3965,All Island
47,1 October 2020 11:45,3960,All Island
48,1 October 2020 12:00,3968,All Island
49,1 October 2020 12:15,4022,All Island
50,1 October 2020 12:30,4002,All Island
51,1 October 2020 12:45,4023,All Island
52,1 October 2020 13:00,4009,All Island
53,1 October 2020 13:15,3974,All Island
54,1 October 2020 13:30,3896,All Island
55,1 October 2020 13:45,3869,All Island
56,1 October 2020 14:00,3855,All Island
57,1 October 2020 14:15,3895,All Island
58,1 October 2020 14:30,3873,All Island
59,1 October 2020 14:45,3856,All Island
60,1 October 2020 15:00,3860,All Island
61,1 October 2020 15:15,3900,All Island
62,1 October 2020 15:30,3923,All Island
63,1 October 2020 15:45,3925,All Island
64,1 October 2020 16:00,3976,All Island
65,1 October 2020 16:15,4041,All Island
66,1 October 2020 16:30,4123,All Island
67,1 October 2020 16:45,4191,All Island
68,1 October 2020 17:00,4248,All Island
69,1 October 2020 17:15,4323,All Island
70,1 October 2020 17:30,4347,All Island
71,1 October 2020 17:45,4360,All Island
72,1 October 2020 18:00,4344,All Island
73,1 October 2020 18:15,4333,All Island
74,1 October 2020 18:30,4334,All Island
75,1 October 2020 18:45,4326,All Island
76,1 October 2020 19:00,4345,All Island
77,1 October 2020 19:15,4401,All Island
78,1 October 2020 19:30,4434,All Island
79,1 October 2020 19:45,4429,All Island
80,1 October 2020 20:00,4368,All Island
81,1 October 2020 20:15,4285,All Island
82,1 October 2020 20:30,4202,All Island
83,1 October 2020 20:45,4101,All Island
84,1 October 2020 21:00,3986,All Island
85,1 October 2020 21:15,3861,All Island
86,1 October 2020 21:30,3805,All Island
87,1 October 2020 21:45,3771,All Island
88,1 October 2020 22:00,3733,All Island
89,1 October 2020 22:15,3652,All Island
90,1 October 2020 22:30,3537,All Island
91,1 October 2020 22:45,3404,All Island
92,1 October 2020 23:00,3260,All Island
93,1 October 2020 23:15,3279,All Island
94,1 October 2020 23:30,3399,All Island
95,1 October 2020 23:45,3456,All Island
96,2 October 2020 00:00,3568,All Island
97,2 October 2020 00:15,3687,All Island
98,2 October 2020 00:30,3799,All Island
99,2 October 2020 00:45,3872,All Island
100,2 October 2020 01:00,3917,All Island
101,2 October 2020 01:15,3973,All Island
102,2 October 2020 01:30,4029,All Island
103,2 October 2020 01:45,4039,All Island
104,2 October 2020 02:00,3930,All Island
105,2 October 2020 02:15,3863,All Island
106,2 October 2020 02:30,3915,All Island
107,2 October 2020 02:45,3949,All Island
108,2 October 2020 03:00,3757,All Island
109,2 October 2020 03:15,3592,All Island
110,2 October 2020 03:30,3560,All Island
111,2 October 2020 03:45,3586,All Island
112,2 October 2020 04:00,3583,All Island
113,2 October 2020 04:15,3468,All Island
114,2 October 2020 04:30,3330,All Island
115,2 October 2020 04:45,3483,All Island
116,2 October 2020 05:00,3699,All Island
117,2 October 2020 05:15,3858,All Island
118,2 October 2020 05:30,3805,All Island
119,2 October 2020 05:45,3807,All Island
120,2 October 2020 06:00,3982,All Island
121,2 October 2020 06:15,4294,All Island
122,2 October 2020 06:30,4505,All Island
123,2 October 2020 06:45,4552,All Island
124,2 October 2020 07:00,4614,All Island
125,2 October 2020 07:15,4709,All Island
126,2 October 2020 07:30,4708,All Island
127,2 October 2020 07:45,4786,All Island
128,2 October 2020 08:00,4816,All Island
129,2 October 2020 08:15,4744,All Island
130,2 October 2020 08:30,4594,All Island
131,2 October 2020 08:45,4475,All Island
132,2 October 2020 09:00,4452,All Island
133,2 October 2020 09:15,4438,All Island
134,2 October 2020 09:30,4399,All Island
135,2 October 2020 09:45,4466,All Island
136,2 October 2020 10:00,4431,All Island
137,2 October 2020 10:15,4453,All Island
138,2 October 2020 10:30,4431,All Island
139,2 October 2020 10:45,4464,All Island
140,2 October 2020 11:00,4558,All Island
141,2 October 2020 11:15,4639,All Island
142,2 October 2020 11:30,4634,All Island
143,2 October 2020 11:45,4666,All Island
144,2 October 2020 12:00,4737,All Island
145,2 October 2020 12:15,4829,All Island
146,2 October 2020 12:30,4785,All Island
147,2 October 2020 12:45,4724,All Island
148,2 October 2020 13:00,4788,All Island
149,2 October 2020 13:15,4805,All Island
150,2 October 2020 13:30,4719,All Island
151,2 October 2020 13:45,4595,All Island
152,2 October 2020 14:00,4498,All Island
153,2 October 2020 14:15,4413,All Island
154,2 October 2020 14:30,4299,All Island
155,2 October 2020 14:45,4375,All Island
156,2 October 2020 15:00,4459,All Island
157,2 October 2020 15:15,4523,All Island
158,2 October 2020 15:30,4560,All Island
159,2 October 2020 15:45,4641,All Island
160,2 October 2020 16:00,4678,All Island
161,2 October 2020 16:15,4739,All Island
162,2 October 2020 16:30,4785,All Island
163,2 October 2020 16:45,4841,All Island
164,2 October 2020 17:00,4754,All Island
165,2 October 2020 17:15,4687,All Island
166,2 October 2020 17:30,4686,All Island
167,2 October 2020 17:45,4692,All Island
168,2 October 2020 18:00,4627,All Island
169,2 October 2020 18:15,4541,All Island
170,2 October 2020 18:30,4509,All Island
171,2 October 2020 18:45,4447,All Island
