,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 December 2017 00:00,941,1045,All Island
1,1 December 2017 00:15,908,1011,All Island
2,1 December 2017 00:30,875,931,All Island
3,1 December 2017 00:45,842,877,All Island
4,1 December 2017 01:00,840,940,All Island
5,1 December 2017 01:15,868,884,All Island
6,1 December 2017 01:30,896,890,All Island
7,1 December 2017 01:45,924,862,All Island
8,1 December 2017 02:00,931,839,All Island
9,1 December 2017 02:15,918,757,All Island
10,1 December 2017 02:30,905,746,All Island
11,1 December 2017 02:45,892,756,All Island
12,1 December 2017 03:00,879,715,All Island
13,1 December 2017 03:15,865,688,All Island
14,1 December 2017 03:30,852,710,All Island
15,1 December 2017 03:45,839,688,All Island
16,1 December 2017 04:00,822,678,All Island
17,1 December 2017 04:15,802,716,All Island
18,1 December 2017 04:30,783,748,All Island
19,1 December 2017 04:45,763,751,All Island
20,1 December 2017 05:00,742,706,All Island
21,1 December 2017 05:15,719,751,All Island
22,1 December 2017 05:30,696,702,All Island
23,1 December 2017 05:45,673,701,All Island
24,1 December 2017 06:00,497,719,All Island
25,1 December 2017 06:15,478,722,All Island
26,1 December 2017 06:30,459,730,All Island
27,1 December 2017 06:45,439,770,All Island
28,1 December 2017 07:00,435,739,All Island
29,1 December 2017 07:15,447,717,All Island
30,1 December 2017 07:30,458,703,All Island
31,1 December 2017 07:45,470,649,All Island
32,1 December 2017 08:00,462,669,All Island
33,1 December 2017 08:15,434,705,All Island
34,1 December 2017 08:30,405,671,All Island
35,1 December 2017 08:45,377,674,All Island
36,1 December 2017 09:00,365,637,All Island
37,1 December 2017 09:15,367,586,All Island
38,1 December 2017 09:30,370,573,All Island
39,1 December 2017 09:45,372,516,All Island
40,1 December 2017 10:00,374,450,All Island
41,1 December 2017 10:15,376,403,All Island
42,1 December 2017 10:30,378,345,All Island
43,1 December 2017 10:45,379,310,All Island
44,1 December 2017 11:00,377,315,All Island
45,1 December 2017 11:15,370,285,All Island
46,1 December 2017 11:30,364,251,All Island
47,1 December 2017 11:45,357,231,All Island
48,1 December 2017 12:00,353,229,All Island
49,1 December 2017 12:15,339,242,All Island
50,1 December 2017 12:30,326,234,All Island
51,1 December 2017 12:45,312,246,All Island
52,1 December 2017 13:00,306,247,All Island
53,1 December 2017 13:15,306,244,All Island
54,1 December 2017 13:30,307,262,All Island
55,1 December 2017 13:45,307,274,All Island
56,1 December 2017 14:00,299,280,All Island
57,1 December 2017 14:15,282,282,All Island
58,1 December 2017 14:30,265,292,All Island
59,1 December 2017 14:45,248,311,All Island
60,1 December 2017 15:00,248,303,All Island
61,1 December 2017 15:15,266,290,All Island
62,1 December 2017 15:30,283,322,All Island
63,1 December 2017 15:45,301,345,All Island
64,1 December 2017 16:00,320,370,All Island
65,1 December 2017 16:15,340,397,All Island
66,1 December 2017 16:30,360,424,All Island
67,1 December 2017 16:45,381,446,All Island
68,1 December 2017 17:00,401,459,All Island
69,1 December 2017 17:15,422,460,All Island
70,1 December 2017 17:30,442,466,All Island
71,1 December 2017 17:45,463,469,All Island
72,1 December 2017 18:00,469,471,All Island
73,1 December 2017 18:15,475,475,All Island
74,1 December 2017 18:30,481,491,All Island
