,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 February 2017 00:00,366,492,All Island
1,1 February 2017 00:15,394,493,All Island
2,1 February 2017 00:30,422,531,All Island
3,1 February 2017 00:45,450,519,All Island
4,1 February 2017 01:00,476,555,All Island
5,1 February 2017 01:15,501,615,All Island
6,1 February 2017 01:30,526,671,All Island
7,1 February 2017 01:45,552,662,All Island
8,1 February 2017 02:00,587,639,All Island
9,1 February 2017 02:15,633,651,All Island
10,1 February 2017 02:30,679,654,All Island
11,1 February 2017 02:45,725,739,All Island
12,1 February 2017 03:00,770,788,All Island
13,1 February 2017 03:15,814,850,All Island
14,1 February 2017 03:30,859,947,All Island
15,1 February 2017 03:45,903,1032,All Island
16,1 February 2017 04:00,953,1123,All Island
17,1 February 2017 04:15,1008,1124,All Island
18,1 February 2017 04:30,1063,1167,All Island
19,1 February 2017 04:45,1118,1254,All Island
20,1 February 2017 05:00,1177,1304,All Island
21,1 February 2017 05:15,1241,1363,All Island
22,1 February 2017 05:30,1306,1477,All Island
23,1 February 2017 05:45,1370,1538,All Island
24,1 February 2017 06:00,1372,1593,All Island
25,1 February 2017 06:15,1425,1607,All Island
26,1 February 2017 06:30,1478,1659,All Island
27,1 February 2017 06:45,1532,1785,All Island
28,1 February 2017 07:00,1584,1843,All Island
29,1 February 2017 07:15,1636,1894,All Island
30,1 February 2017 07:30,1688,2013,All Island
31,1 February 2017 07:45,1740,1990,All Island
32,1 February 2017 08:00,1793,2045,All Island
33,1 February 2017 08:15,1845,2144,All Island
34,1 February 2017 08:30,1898,2195,All Island
35,1 February 2017 08:45,1951,2221,All Island
36,1 February 2017 09:00,1995,2334,All Island
37,1 February 2017 09:15,2030,2382,All Island
38,1 February 2017 09:30,2064,2443,All Island
39,1 February 2017 09:45,2099,2421,All Island
40,1 February 2017 10:00,2131,2441,All Island
41,1 February 2017 10:15,2158,2531,All Island
42,1 February 2017 10:30,2185,2571,All Island
43,1 February 2017 10:45,2212,2653,All Island
44,1 February 2017 11:00,2234,2665,All Island
45,1 February 2017 11:15,2250,2744,All Island
46,1 February 2017 11:30,2267,2806,All Island
47,1 February 2017 11:45,2283,2806,All Island
48,1 February 2017 12:00,2351,2829,All Island
49,1 February 2017 12:15,2348,2843,All Island
50,1 February 2017 12:30,2344,2843,All Island
51,1 February 2017 12:45,2341,2857,All Island
52,1 February 2017 13:00,2329,2854,All Island
53,1 February 2017 13:15,2309,2904,All Island
54,1 February 2017 13:30,2289,2901,All Island
55,1 February 2017 13:45,2269,2898,All Island
56,1 February 2017 14:00,2238,2894,All Island
57,1 February 2017 14:15,2195,2912,All Island
58,1 February 2017 14:30,2153,2863,All Island
59,1 February 2017 14:45,2110,2767,All Island
60,1 February 2017 15:00,2062,2760,All Island
61,1 February 2017 15:15,2007,2755,All Island
62,1 February 2017 15:30,1952,2662,All Island
63,1 February 2017 15:45,1897,2621,All Island
64,1 February 2017 16:00,1849,2574,All Island
65,1 February 2017 16:15,1807,2497,All Island
66,1 February 2017 16:30,1765,2439,All Island
67,1 February 2017 16:45,1723,2368,All Island
68,1 February 2017 17:00,1692,2289,All Island
69,1 February 2017 17:15,1672,2363,All Island
70,1 February 2017 17:30,1651,2373,All Island
71,1 February 2017 17:45,1631,2324,All Island
72,1 February 2017 18:00,1701,2317,All Island
73,1 February 2017 18:15,1686,2287,All Island
74,1 February 2017 18:30,1671,2309,All Island
75,1 February 2017 18:45,1656,2303,All Island
76,1 February 2017 19:00,1656,2324,All Island
77,1 February 2017 19:15,1671,2434,All Island
78,1 February 2017 19:30,1686,2378,All Island
79,1 February 2017 19:45,1701,2317,All Island
80,1 February 2017 20:00,1729,2291,All Island
81,1 February 2017 20:15,1770,2395,All Island
82,1 February 2017 20:30,1811,2342,All Island
83,1 February 2017 20:45,1852,2406,All Island
84,1 February 2017 21:00,1890,2419,All Island
85,1 February 2017 21:15,1924,2268,All Island
86,1 February 2017 21:30,1959,2197,All Island
87,1 February 2017 21:45,1993,2184,All Island
88,1 February 2017 22:00,2026,2367,All Island
89,1 February 2017 22:15,2056,2514,All Island
90,1 February 2017 22:30,2087,2518,All Island
91,1 February 2017 22:45,2118,2464,All Island
92,1 February 2017 23:00,2147,2440,All Island
93,1 February 2017 23:15,2177,2487,All Island
94,1 February 2017 23:30,2206,2533,All Island
95,1 February 2017 23:45,2235,2611,All Island
96,2 February 2017 00:00,2228,2632,All Island
97,2 February 2017 00:15,2257,2610,All Island
98,2 February 2017 00:30,2286,2673,All Island
99,2 February 2017 00:45,2315,2688,All Island
100,2 February 2017 01:00,2339,2673,All Island
101,2 February 2017 01:15,2359,2675,All Island
102,2 February 2017 01:30,2378,2649,All Island
103,2 February 2017 01:45,2398,2652,All Island
104,2 February 2017 02:00,2411,2648,All Island
105,2 February 2017 02:15,2419,2555,All Island
106,2 February 2017 02:30,2426,2548,All Island
107,2 February 2017 02:45,2434,2520,All Island
108,2 February 2017 03:00,2437,2525,All Island
109,2 February 2017 03:15,2436,2473,All Island
110,2 February 2017 03:30,2434,2453,All Island
111,2 February 2017 03:45,2433,2373,All Island
112,2 February 2017 04:00,2431,2363,All Island
113,2 February 2017 04:15,2429,2377,All Island
114,2 February 2017 04:30,2427,2375,All Island
115,2 February 2017 04:45,2425,2356,All Island
116,2 February 2017 05:00,2425,2350,All Island
117,2 February 2017 05:15,2427,2334,All Island
118,2 February 2017 05:30,2429,2343,All Island
119,2 February 2017 05:45,2431,2380,All Island
120,2 February 2017 06:00,2424,2429,All Island
121,2 February 2017 06:15,2413,2627,All Island
122,2 February 2017 06:30,2402,2643,All Island
123,2 February 2017 06:45,2392,2762,All Island
124,2 February 2017 07:00,2389,2787,All Island
125,2 February 2017 07:15,2394,2771,All Island
126,2 February 2017 07:30,2399,2793,All Island
127,2 February 2017 07:45,2405,2845,All Island
128,2 February 2017 08:00,2416,2831,All Island
129,2 February 2017 08:15,2433,2864,All Island
130,2 February 2017 08:30,2450,2871,All Island
131,2 February 2017 08:45,2468,2874,All Island
132,2 February 2017 09:00,2482,2817,All Island
133,2 February 2017 09:15,2493,2789,All Island
134,2 February 2017 09:30,2504,2837,All Island
135,2 February 2017 09:45,2515,2829,All Island
136,2 February 2017 10:00,2526,2860,All Island
137,2 February 2017 10:15,2536,2888,All Island
138,2 February 2017 10:30,2546,2879,All Island
139,2 February 2017 10:45,2556,2868,All Island
140,2 February 2017 11:00,2566,2856,All Island
141,2 February 2017 11:15,2577,2852,All Island
142,2 February 2017 11:30,2587,2832,All Island
143,2 February 2017 11:45,2598,2877,All Island
144,2 February 2017 12:00,2529,2820,All Island
145,2 February 2017 12:15,2533,2851,All Island
146,2 February 2017 12:30,2537,2845,All Island
147,2 February 2017 12:45,2542,2854,All Island
148,2 February 2017 13:00,2547,2868,All Island
149,2 February 2017 13:15,2553,2823,All Island
150,2 February 2017 13:30,2560,2781,All Island
151,2 February 2017 13:45,2567,2779,All Island
152,2 February 2017 14:00,2569,2748,All Island
153,2 February 2017 14:15,2567,2681,All Island
154,2 February 2017 14:30,2564,2599,All Island
155,2 February 2017 14:45,2562,2551,All Island
156,2 February 2017 15:00,2556,2551,All Island
157,2 February 2017 15:15,2547,2487,All Island
158,2 February 2017 15:30,2538,2385,All Island
159,2 February 2017 15:45,2529,2384,All Island
160,2 February 2017 16:00,2520,2403,All Island
161,2 February 2017 16:15,2512,2426,All Island
162,2 February 2017 16:30,2504,2436,All Island
163,2 February 2017 16:45,2496,2442,All Island
164,2 February 2017 17:00,2490,2408,All Island
165,2 February 2017 17:15,2487,2445,All Island
166,2 February 2017 17:30,2484,2373,All Island
167,2 February 2017 17:45,2480,2465,All Island
168,2 February 2017 18:00,2406,2513,All Island
169,2 February 2017 18:15,2398,2529,All Island
170,2 February 2017 18:30,2390,2572,All Island
171,2 February 2017 18:45,2382,2503,All Island
172,2 February 2017 19:00,2379,2454,All Island
173,2 February 2017 19:15,2381,2541,All Island
174,2 February 2017 19:30,2383,2641,All Island
175,2 February 2017 19:45,2384,2584,All Island
176,2 February 2017 20:00,2395,2665,All Island
177,2 February 2017 20:15,2414,2652,All Island
178,2 February 2017 20:30,2433,2698,All Island
179,2 February 2017 20:45,2452,2757,All Island
180,2 February 2017 21:00,2470,2741,All Island
181,2 February 2017 21:15,2485,2812,All Island
182,2 February 2017 21:30,2500,2812,All Island
183,2 February 2017 21:45,2515,2815,All Island
184,2 February 2017 22:00,2523,2810,All Island
185,2 February 2017 22:15,2525,2780,All Island
186,2 February 2017 22:30,2526,2734,All Island
187,2 February 2017 22:45,2528,2758,All Island
188,2 February 2017 23:00,2527,2759,All Island
189,2 February 2017 23:15,2523,2712,All Island
190,2 February 2017 23:30,2520,2678,All Island
191,2 February 2017 23:45,2517,2681,All Island
192,3 February 2017 00:00,2459,2654,All Island
193,3 February 2017 00:15,2446,2625,All Island
194,3 February 2017 00:30,2433,2659,All Island
195,3 February 2017 00:45,2420,2665,All Island
196,3 February 2017 01:00,2401,2674,All Island
197,3 February 2017 01:15,2375,2727,All Island
198,3 February 2017 01:30,2350,2636,All Island
199,3 February 2017 01:45,2325,2531,All Island
200,3 February 2017 02:00,2291,2463,All Island
201,3 February 2017 02:15,2249,2378,All Island
202,3 February 2017 02:30,2206,2390,All Island
203,3 February 2017 02:45,2163,2404,All Island
204,3 February 2017 03:00,2113,2354,All Island
205,3 February 2017 03:15,2056,2274,All Island
206,3 February 2017 03:30,1999,2267,All Island
207,3 February 2017 03:45,1942,2126,All Island
208,3 February 2017 04:00,1883,2145,All Island
209,3 February 2017 04:15,1821,2119,All Island
210,3 February 2017 04:30,1759,2061,All Island
211,3 February 2017 04:45,1698,1965,All Island
212,3 February 2017 05:00,1639,1878,All Island
213,3 February 2017 05:15,1583,1798,All Island
214,3 February 2017 05:30,1528,1698,All Island
215,3 February 2017 05:45,1472,1667,All Island
216,3 February 2017 06:00,1477,1584,All Island
217,3 February 2017 06:15,1434,1576,All Island
218,3 February 2017 06:30,1392,1549,All Island
219,3 February 2017 06:45,1350,1517,All Island
220,3 February 2017 07:00,1314,1397,All Island
221,3 February 2017 07:15,1284,1321,All Island
222,3 February 2017 07:30,1253,1272,All Island
223,3 February 2017 07:45,1223,1198,All Island
224,3 February 2017 08:00,1193,1168,All Island
