,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 July 2017 00:00,402,330,All Island
1,1 July 2017 00:15,392,346,All Island
2,1 July 2017 00:30,383,370,All Island
3,1 July 2017 00:45,373,405,All Island
4,1 July 2017 01:00,327,406,All Island
5,1 July 2017 01:15,322,413,All Island
6,1 July 2017 01:30,317,427,All Island
7,1 July 2017 01:45,312,447,All Island
8,1 July 2017 02:00,312,462,All Island
9,1 July 2017 02:15,317,449,All Island
10,1 July 2017 02:30,323,454,All Island
11,1 July 2017 02:45,328,440,All Island
12,1 July 2017 03:00,335,473,All Island
13,1 July 2017 03:15,343,495,All Island
14,1 July 2017 03:30,352,521,All Island
15,1 July 2017 03:45,360,562,All Island
16,1 July 2017 04:00,376,580,All Island
17,1 July 2017 04:15,399,574,All Island
18,1 July 2017 04:30,422,573,All Island
19,1 July 2017 04:45,445,580,All Island
20,1 July 2017 05:00,468,598,All Island
21,1 July 2017 05:15,489,615,All Island
22,1 July 2017 05:30,511,630,All Island
23,1 July 2017 05:45,533,661,All Island
24,1 July 2017 06:00,555,666,All Island
25,1 July 2017 06:15,579,687,All Island
26,1 July 2017 06:30,602,711,All Island
27,1 July 2017 06:45,626,737,All Island
28,1 July 2017 07:00,567,718,All Island
29,1 July 2017 07:15,579,754,All Island
30,1 July 2017 07:30,592,753,All Island
31,1 July 2017 07:45,604,749,All Island
32,1 July 2017 08:00,619,720,All Island
33,1 July 2017 08:15,637,738,All Island
34,1 July 2017 08:30,655,852,All Island
35,1 July 2017 08:45,673,911,All Island
36,1 July 2017 09:00,692,996,All Island
37,1 July 2017 09:15,713,991,All Island
38,1 July 2017 09:30,733,1061,All Island
39,1 July 2017 09:45,754,1128,All Island
40,1 July 2017 10:00,793,1169,All Island
41,1 July 2017 10:15,851,1201,All Island
42,1 July 2017 10:30,909,1209,All Island
43,1 July 2017 10:45,967,1203,All Island
44,1 July 2017 11:00,1008,1223,All Island
45,1 July 2017 11:15,1032,1157,All Island
46,1 July 2017 11:30,1057,1237,All Island
47,1 July 2017 11:45,1082,1257,All Island
48,1 July 2017 12:00,1094,1299,All Island
49,1 July 2017 12:15,1093,1331,All Island
50,1 July 2017 12:30,1093,1357,All Island
51,1 July 2017 12:45,1092,1417,All Island
52,1 July 2017 13:00,1056,1482,All Island
53,1 July 2017 13:15,1072,1528,All Island
54,1 July 2017 13:30,1088,1577,All Island
55,1 July 2017 13:45,1104,1608,All Island
56,1 July 2017 14:00,1128,1665,All Island
57,1 July 2017 14:15,1160,1716,All Island
58,1 July 2017 14:30,1193,1778,All Island
59,1 July 2017 14:45,1225,1822,All Island
60,1 July 2017 15:00,1236,1619,All Island
61,1 July 2017 15:15,1225,1567,All Island
62,1 July 2017 15:30,1214,1660,All Island
63,1 July 2017 15:45,1203,1666,All Island
64,1 July 2017 16:00,1198,1645,All Island
65,1 July 2017 16:15,1199,1783,All Island
66,1 July 2017 16:30,1199,1705,All Island
67,1 July 2017 16:45,1200,1657,All Island
68,1 July 2017 17:00,1193,1632,All Island
69,1 July 2017 17:15,1179,1583,All Island
70,1 July 2017 17:30,1164,1564,All Island
71,1 July 2017 17:45,1149,1524,All Island
72,1 July 2017 18:00,1135,1537,All Island
73,1 July 2017 18:15,1120,1543,All Island
74,1 July 2017 18:30,1105,1526,All Island
75,1 July 2017 18:45,1090,1497,All Island
76,1 July 2017 19:00,1050,1474,All Island
77,1 July 2017 19:15,1025,1421,All Island
78,1 July 2017 19:30,1001,1278,All Island
79,1 July 2017 19:45,976,1209,All Island
80,1 July 2017 20:00,950,1166,All Island
81,1 July 2017 20:15,922,1163,All Island
82,1 July 2017 20:30,895,1175,All Island
83,1 July 2017 20:45,867,1150,All Island
84,1 July 2017 21:00,828,1010,All Island
85,1 July 2017 21:15,778,980,All Island
86,1 July 2017 21:30,728,928,All Island
87,1 July 2017 21:45,677,873,All Island
88,1 July 2017 22:00,643,760,All Island
89,1 July 2017 22:15,624,775,All Island
90,1 July 2017 22:30,606,788,All Island
91,1 July 2017 22:45,587,792,All Island
92,1 July 2017 23:00,570,773,All Island
93,1 July 2017 23:15,554,795,All Island
94,1 July 2017 23:30,538,781,All Island
95,1 July 2017 23:45,522,799,All Island
96,2 July 2017 00:00,511,746,All Island
97,2 July 2017 00:15,505,726,All Island
98,2 July 2017 00:30,500,724,All Island
99,2 July 2017 00:45,494,711,All Island
100,2 July 2017 01:00,478,694,All Island
101,2 July 2017 01:15,470,663,All Island
102,2 July 2017 01:30,462,601,All Island
103,2 July 2017 01:45,454,599,All Island
104,2 July 2017 02:00,448,620,All Island
105,2 July 2017 02:15,443,640,All Island
106,2 July 2017 02:30,439,651,All Island
107,2 July 2017 02:45,434,656,All Island
108,2 July 2017 03:00,429,682,All Island
109,2 July 2017 03:15,422,619,All Island
110,2 July 2017 03:30,416,648,All Island
111,2 July 2017 03:45,410,641,All Island
112,2 July 2017 04:00,406,613,All Island
113,2 July 2017 04:15,406,594,All Island
114,2 July 2017 04:30,406,534,All Island
115,2 July 2017 04:45,405,526,All Island
116,2 July 2017 05:00,405,534,All Island
117,2 July 2017 05:15,404,542,All Island
118,2 July 2017 05:30,403,553,All Island
119,2 July 2017 05:45,402,507,All Island
120,2 July 2017 06:00,401,480,All Island
121,2 July 2017 06:15,400,461,All Island
122,2 July 2017 06:30,400,434,All Island
123,2 July 2017 06:45,399,450,All Island
124,2 July 2017 07:00,431,425,All Island
125,2 July 2017 07:15,434,419,All Island
126,2 July 2017 07:30,437,419,All Island
127,2 July 2017 07:45,440,432,All Island
128,2 July 2017 08:00,449,432,All Island
129,2 July 2017 08:15,462,418,All Island
130,2 July 2017 08:30,475,431,All Island
131,2 July 2017 08:45,489,459,All Island
132,2 July 2017 09:00,501,507,All Island
133,2 July 2017 09:15,511,532,All Island
134,2 July 2017 09:30,522,542,All Island
135,2 July 2017 09:45,532,569,All Island
136,2 July 2017 10:00,548,572,All Island
137,2 July 2017 10:15,570,582,All Island
138,2 July 2017 10:30,593,648,All Island
139,2 July 2017 10:45,615,659,All Island
140,2 July 2017 11:00,636,638,All Island
141,2 July 2017 11:15,658,693,All Island
142,2 July 2017 11:30,680,726,All Island
143,2 July 2017 11:45,702,764,All Island
144,2 July 2017 12:00,722,763,All Island
145,2 July 2017 12:15,740,773,All Island
146,2 July 2017 12:30,758,783,All Island
147,2 July 2017 12:45,776,780,All Island
148,2 July 2017 13:00,685,800,All Island
149,2 July 2017 13:15,711,851,All Island
150,2 July 2017 13:30,737,891,All Island
151,2 July 2017 13:45,762,922,All Island
152,2 July 2017 14:00,786,876,All Island
153,2 July 2017 14:15,808,931,All Island
154,2 July 2017 14:30,829,971,All Island
155,2 July 2017 14:45,851,967,All Island
156,2 July 2017 15:00,863,972,All Island
157,2 July 2017 15:15,867,1013,All Island
158,2 July 2017 15:30,870,1031,All Island
159,2 July 2017 15:45,873,981,All Island
160,2 July 2017 16:00,884,1013,All Island
161,2 July 2017 16:15,903,1004,All Island
162,2 July 2017 16:30,921,1062,All Island
163,2 July 2017 16:45,939,1071,All Island
164,2 July 2017 17:00,947,1064,All Island
165,2 July 2017 17:15,944,1012,All Island
166,2 July 2017 17:30,940,987,All Island
167,2 July 2017 17:45,937,956,All Island
168,2 July 2017 18:00,930,938,All Island
169,2 July 2017 18:15,918,891,All Island
170,2 July 2017 18:30,907,909,All Island
171,2 July 2017 18:45,896,846,All Island
172,2 July 2017 19:00,820,793,All Island
173,2 July 2017 19:15,805,818,All Island
174,2 July 2017 19:30,790,773,All Island
175,2 July 2017 19:45,775,763,All Island
176,2 July 2017 20:00,759,720,All Island
177,2 July 2017 20:15,741,758,All Island
178,2 July 2017 20:30,723,751,All Island
179,2 July 2017 20:45,705,709,All Island
180,2 July 2017 21:00,684,697,All Island
181,2 July 2017 21:15,660,659,All Island
182,2 July 2017 21:30,635,663,All Island
183,2 July 2017 21:45,611,608,All Island
184,2 July 2017 22:00,599,597,All Island
185,2 July 2017 22:15,600,577,All Island
186,2 July 2017 22:30,601,551,All Island
187,2 July 2017 22:45,602,518,All Island
188,2 July 2017 23:00,598,496,All Island
189,2 July 2017 23:15,590,529,All Island
190,2 July 2017 23:30,582,565,All Island
191,2 July 2017 23:45,574,589,All Island
192,3 July 2017 00:00,564,614,All Island
193,3 July 2017 00:15,553,647,All Island
194,3 July 2017 00:30,543,627,All Island
195,3 July 2017 00:45,532,708,All Island
196,3 July 2017 01:00,501,695,All Island
197,3 July 2017 01:15,496,717,All Island
198,3 July 2017 01:30,491,720,All Island
199,3 July 2017 01:45,485,758,All Island
200,3 July 2017 02:00,480,749,All Island
201,3 July 2017 02:15,473,752,All Island
202,3 July 2017 02:30,467,718,All Island
203,3 July 2017 02:45,460,775,All Island
204,3 July 2017 03:00,447,677,All Island
205,3 July 2017 03:15,428,639,All Island
206,3 July 2017 03:30,408,620,All Island
207,3 July 2017 03:45,389,569,All Island
208,3 July 2017 04:00,373,574,All Island
209,3 July 2017 04:15,360,568,All Island
210,3 July 2017 04:30,348,541,All Island
211,3 July 2017 04:45,335,520,All Island
212,3 July 2017 05:00,321,497,All Island
213,3 July 2017 05:15,307,473,All Island
214,3 July 2017 05:30,292,440,All Island
215,3 July 2017 05:45,277,403,All Island
216,3 July 2017 06:00,266,398,All Island
217,3 July 2017 06:15,258,397,All Island
218,3 July 2017 06:30,250,361,All Island
219,3 July 2017 06:45,242,337,All Island
220,3 July 2017 07:00,234,317,All Island
221,3 July 2017 07:15,230,298,All Island
222,3 July 2017 07:30,225,312,All Island
223,3 July 2017 07:45,221,278,All Island
224,3 July 2017 08:00,217,267,All Island
225,3 July 2017 08:15,214,259,All Island
226,3 July 2017 08:30,210,247,All Island
