,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 June 2017 00:00,1614,1943,All Island
1,1 June 2017 00:15,1632,1859,All Island
2,1 June 2017 00:30,1650,1843,All Island
3,1 June 2017 00:45,1668,1856,All Island
4,1 June 2017 01:00,1724,1833,All Island
5,1 June 2017 01:15,1745,1827,All Island
6,1 June 2017 01:30,1766,1919,All Island
7,1 June 2017 01:45,1787,1911,All Island
8,1 June 2017 02:00,1800,1965,All Island
9,1 June 2017 02:15,1804,1957,All Island
10,1 June 2017 02:30,1808,1933,All Island
11,1 June 2017 02:45,1812,1861,All Island
12,1 June 2017 03:00,1809,1841,All Island
13,1 June 2017 03:15,1799,1828,All Island
14,1 June 2017 03:30,1788,1810,All Island
15,1 June 2017 03:45,1778,1814,All Island
16,1 June 2017 04:00,1769,1827,All Island
17,1 June 2017 04:15,1760,1822,All Island
18,1 June 2017 04:30,1751,1801,All Island
19,1 June 2017 04:45,1743,1806,All Island
20,1 June 2017 05:00,1728,1771,All Island
21,1 June 2017 05:15,1706,1733,All Island
22,1 June 2017 05:30,1684,1711,All Island
23,1 June 2017 05:45,1663,1678,All Island
24,1 June 2017 06:00,1645,1638,All Island
25,1 June 2017 06:15,1631,1672,All Island
26,1 June 2017 06:30,1617,1608,All Island
27,1 June 2017 06:45,1603,1591,All Island
28,1 June 2017 07:00,1494,1567,All Island
29,1 June 2017 07:15,1480,1572,All Island
30,1 June 2017 07:30,1466,1525,All Island
31,1 June 2017 07:45,1453,1492,All Island
32,1 June 2017 08:00,1436,1448,All Island
33,1 June 2017 08:15,1416,1456,All Island
34,1 June 2017 08:30,1397,1505,All Island
35,1 June 2017 08:45,1377,1497,All Island
36,1 June 2017 09:00,1353,1506,All Island
37,1 June 2017 09:15,1325,1539,All Island
38,1 June 2017 09:30,1298,1479,All Island
39,1 June 2017 09:45,1270,1398,All Island
40,1 June 2017 10:00,1250,1345,All Island
41,1 June 2017 10:15,1239,1329,All Island
42,1 June 2017 10:30,1228,1261,All Island
43,1 June 2017 10:45,1217,1227,All Island
44,1 June 2017 11:00,1209,1173,All Island
45,1 June 2017 11:15,1205,1208,All Island
46,1 June 2017 11:30,1200,1220,All Island
47,1 June 2017 11:45,1196,1180,All Island
48,1 June 2017 12:00,1197,1211,All Island
49,1 June 2017 12:15,1205,1183,All Island
50,1 June 2017 12:30,1213,1181,All Island
51,1 June 2017 12:45,1221,1160,All Island
