,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 March 2017 00:00,719,776,All Island
1,1 March 2017 00:15,690,659,All Island
2,1 March 2017 00:30,662,631,All Island
3,1 March 2017 00:45,633,555,All Island
4,1 March 2017 01:00,609,478,All Island
5,1 March 2017 01:15,588,488,All Island
6,1 March 2017 01:30,568,444,All Island
7,1 March 2017 01:45,547,464,All Island
8,1 March 2017 02:00,523,475,All Island
9,1 March 2017 02:15,494,460,All Island
10,1 March 2017 02:30,466,409,All Island
11,1 March 2017 02:45,438,366,All Island
12,1 March 2017 03:00,417,349,All Island
13,1 March 2017 03:15,404,370,All Island
14,1 March 2017 03:30,391,340,All Island
15,1 March 2017 03:45,377,331,All Island
16,1 March 2017 04:00,363,329,All Island
17,1 March 2017 04:15,349,294,All Island
18,1 March 2017 04:30,335,285,All Island
19,1 March 2017 04:45,320,241,All Island
20,1 March 2017 05:00,309,238,All Island
21,1 March 2017 05:15,300,223,All Island
22,1 March 2017 05:30,291,212,All Island
23,1 March 2017 05:45,282,201,All Island
24,1 March 2017 06:00,355,195,All Island
25,1 March 2017 06:15,342,199,All Island
26,1 March 2017 06:30,330,202,All Island
27,1 March 2017 06:45,319,214,All Island
28,1 March 2017 07:00,309,207,All Island
29,1 March 2017 07:15,299,194,All Island
30,1 March 2017 07:30,290,189,All Island
31,1 March 2017 07:45,282,185,All Island
32,1 March 2017 08:00,274,186,All Island
33,1 March 2017 08:15,267,186,All Island
34,1 March 2017 08:30,261,177,All Island
35,1 March 2017 08:45,257,169,All Island
36,1 March 2017 09:00,253,169,All Island
37,1 March 2017 09:15,256,165,All Island
38,1 March 2017 09:30,261,146,All Island
39,1 March 2017 09:45,267,116,All Island
40,1 March 2017 10:00,273,99,All Island
41,1 March 2017 10:15,279,100,All Island
42,1 March 2017 10:30,284,103,All Island
43,1 March 2017 10:45,290,111,All Island
44,1 March 2017 11:00,294,120,All Island
45,1 March 2017 11:15,298,120,All Island
46,1 March 2017 11:30,304,144,All Island
47,1 March 2017 11:45,311,179,All Island
48,1 March 2017 12:00,393,189,All Island
49,1 March 2017 12:15,451,197,All Island
50,1 March 2017 12:30,509,227,All Island
51,1 March 2017 12:45,567,254,All Island
52,1 March 2017 13:00,625,268,All Island
53,1 March 2017 13:15,683,328,All Island
54,1 March 2017 13:30,742,551,All Island
55,1 March 2017 13:45,800,566,All Island
56,1 March 2017 14:00,857,740,All Island
57,1 March 2017 14:15,913,827,All Island
58,1 March 2017 14:30,968,866,All Island
59,1 March 2017 14:45,1024,981,All Island
60,1 March 2017 15:00,1084,1088,All Island
61,1 March 2017 15:15,1150,1232,All Island
62,1 March 2017 15:30,1215,1288,All Island
63,1 March 2017 15:45,1280,1316,All Island
64,1 March 2017 16:00,1337,1283,All Island
65,1 March 2017 16:15,1383,1345,All Island
66,1 March 2017 16:30,1430,1473,All Island
67,1 March 2017 16:45,1477,1483,All Island
68,1 March 2017 17:00,1516,1605,All Island
69,1 March 2017 17:15,1546,1639,All Island
70,1 March 2017 17:30,1577,1683,All Island
71,1 March 2017 17:45,1608,1671,All Island
72,1 March 2017 18:00,1694,1659,All Island
73,1 March 2017 18:15,1724,1717,All Island
74,1 March 2017 18:30,1755,1718,All Island
75,1 March 2017 18:45,1785,1789,All Island
76,1 March 2017 19:00,1811,1770,All Island
77,1 March 2017 19:15,1833,1798,All Island
78,1 March 2017 19:30,1855,1842,All Island
79,1 March 2017 19:45,1876,1856,All Island
80,1 March 2017 20:00,1891,1904,All Island
81,1 March 2017 20:15,1898,1929,All Island
82,1 March 2017 20:30,1905,1939,All Island
83,1 March 2017 20:45,1912,1988,All Island
84,1 March 2017 21:00,1918,1962,All Island
85,1 March 2017 21:15,1921,2011,All Island
86,1 March 2017 21:30,1925,1993,All Island
87,1 March 2017 21:45,1929,1982,All Island
88,1 March 2017 22:00,1929,1990,All Island
89,1 March 2017 22:15,1925,1980,All Island
90,1 March 2017 22:30,1922,1932,All Island
91,1 March 2017 22:45,1919,1946,All Island
92,1 March 2017 23:00,1914,1919,All Island
93,1 March 2017 23:15,1907,1936,All Island
94,1 March 2017 23:30,1901,1956,All Island
95,1 March 2017 23:45,1895,1932,All Island
96,2 March 2017 00:00,1943,1981,All Island
97,2 March 2017 00:15,1930,1978,All Island
98,2 March 2017 00:30,1916,1924,All Island
99,2 March 2017 00:45,1902,1940,All Island
100,2 March 2017 01:00,1893,1966,All Island
101,2 March 2017 01:15,1888,1959,All Island
102,2 March 2017 01:30,1883,1937,All Island
103,2 March 2017 01:45,1878,1929,All Island
104,2 March 2017 02:00,1872,1906,All Island
105,2 March 2017 02:15,1867,1866,All Island
106,2 March 2017 02:30,1861,1870,All Island
107,2 March 2017 02:45,1855,1845,All Island
108,2 March 2017 03:00,1843,1799,All Island
109,2 March 2017 03:15,1824,1838,All Island
110,2 March 2017 03:30,1805,1825,All Island
111,2 March 2017 03:45,1786,1779,All Island
112,2 March 2017 04:00,1760,1699,All Island
113,2 March 2017 04:15,1725,1682,All Island
114,2 March 2017 04:30,1691,1627,All Island
115,2 March 2017 04:45,1656,1574,All Island
116,2 March 2017 05:00,1624,1575,All Island
117,2 March 2017 05:15,1593,1577,All Island
118,2 March 2017 05:30,1563,1502,All Island
119,2 March 2017 05:45,1532,1472,All Island
120,2 March 2017 06:00,1337,1418,All Island
121,2 March 2017 06:15,1301,1446,All Island
122,2 March 2017 06:30,1265,1333,All Island
123,2 March 2017 06:45,1229,1222,All Island
124,2 March 2017 07:00,1199,1173,All Island
125,2 March 2017 07:15,1176,1084,All Island
126,2 March 2017 07:30,1153,1092,All Island
127,2 March 2017 07:45,1129,1065,All Island
128,2 March 2017 08:00,1108,988,All Island
129,2 March 2017 08:15,1090,842,All Island
130,2 March 2017 08:30,1072,789,All Island
131,2 March 2017 08:45,1053,773,All Island
132,2 March 2017 09:00,1041,761,All Island
133,2 March 2017 09:15,1034,771,All Island
134,2 March 2017 09:30,1028,807,All Island
135,2 March 2017 09:45,1022,780,All Island
136,2 March 2017 10:00,1032,817,All Island
137,2 March 2017 10:15,1058,834,All Island
138,2 March 2017 10:30,1084,911,All Island
