,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 May 2017 00:00,379,389,All Island
1,1 May 2017 00:15,380,380,All Island
2,1 May 2017 00:30,382,353,All Island
3,1 May 2017 00:45,384,330,All Island
4,1 May 2017 01:00,400,315,All Island
5,1 May 2017 01:15,410,322,All Island
6,1 May 2017 01:30,421,313,All Island
7,1 May 2017 01:45,431,357,All Island
8,1 May 2017 02:00,439,346,All Island
9,1 May 2017 02:15,446,372,All Island
10,1 May 2017 02:30,452,395,All Island
11,1 May 2017 02:45,458,396,All Island
12,1 May 2017 03:00,462,399,All Island
13,1 May 2017 03:15,463,411,All Island
14,1 May 2017 03:30,463,419,All Island
15,1 May 2017 03:45,464,393,All Island
16,1 May 2017 04:00,466,390,All Island
17,1 May 2017 04:15,467,366,All Island
18,1 May 2017 04:30,469,384,All Island
19,1 May 2017 04:45,471,406,All Island
20,1 May 2017 05:00,473,415,All Island
21,1 May 2017 05:15,473,418,All Island
22,1 May 2017 05:30,473,433,All Island
23,1 May 2017 05:45,474,431,All Island
24,1 May 2017 06:00,475,393,All Island
25,1 May 2017 06:15,477,382,All Island
26,1 May 2017 06:30,479,385,All Island
27,1 May 2017 06:45,482,395,All Island
28,1 May 2017 07:00,442,378,All Island
29,1 May 2017 07:15,443,385,All Island
30,1 May 2017 07:30,443,393,All Island
31,1 May 2017 07:45,444,390,All Island
32,1 May 2017 08:00,441,359,All Island
33,1 May 2017 08:15,436,323,All Island
34,1 May 2017 08:30,431,293,All Island
35,1 May 2017 08:45,426,270,All Island
36,1 May 2017 09:00,421,246,All Island
37,1 May 2017 09:15,415,212,All Island
38,1 May 2017 09:30,409,207,All Island
39,1 May 2017 09:45,403,197,All Island
40,1 May 2017 10:00,397,194,All Island
41,1 May 2017 10:15,393,202,All Island
42,1 May 2017 10:30,388,210,All Island
43,1 May 2017 10:45,383,221,All Island
44,1 May 2017 11:00,377,207,All Island
45,1 May 2017 11:15,370,218,All Island
46,1 May 2017 11:30,362,214,All Island
47,1 May 2017 11:45,355,208,All Island
48,1 May 2017 12:00,348,180,All Island
49,1 May 2017 12:15,341,169,All Island
50,1 May 2017 12:30,334,156,All Island
51,1 May 2017 12:45,327,141,All Island
52,1 May 2017 13:00,221,152,All Island
53,1 May 2017 13:15,209,130,All Island
54,1 May 2017 13:30,198,125,All Island
55,1 May 2017 13:45,186,124,All Island
56,1 May 2017 14:00,180,119,All Island
57,1 May 2017 14:15,180,131,All Island
58,1 May 2017 14:30,180,143,All Island
59,1 May 2017 14:45,181,136,All Island
60,1 May 2017 15:00,180,144,All Island
61,1 May 2017 15:15,179,143,All Island
62,1 May 2017 15:30,178,144,All Island
