,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 April 2019 00:00,273,555,All Island
1,1 April 2019 00:15,268,533,All Island
2,1 April 2019 00:30,263,497,All Island
3,1 April 2019 00:45,258,487,All Island
4,1 April 2019 01:00,241,470,All Island
5,1 April 2019 01:15,235,447,All Island
6,1 April 2019 01:30,230,424,All Island
7,1 April 2019 01:45,225,388,All Island
8,1 April 2019 02:00,222,372,All Island
9,1 April 2019 02:15,222,370,All Island
10,1 April 2019 02:30,222,347,All Island
11,1 April 2019 02:45,222,344,All Island
12,1 April 2019 03:00,225,342,All Island
13,1 April 2019 03:15,232,338,All Island
14,1 April 2019 03:30,239,346,All Island
15,1 April 2019 03:45,246,345,All Island
16,1 April 2019 04:00,253,342,All Island
17,1 April 2019 04:15,260,350,All Island
18,1 April 2019 04:30,267,353,All Island
19,1 April 2019 04:45,274,362,All Island
20,1 April 2019 05:00,279,353,All Island
21,1 April 2019 05:15,282,345,All Island
22,1 April 2019 05:30,285,354,All Island
23,1 April 2019 05:45,288,370,All Island
24,1 April 2019 06:00,292,388,All Island
25,1 April 2019 06:15,296,383,All Island
26,1 April 2019 06:30,300,420,All Island
27,1 April 2019 06:45,304,429,All Island
28,1 April 2019 07:00,371,417,All Island
29,1 April 2019 07:15,377,424,All Island
30,1 April 2019 07:30,384,419,All Island
31,1 April 2019 07:45,391,425,All Island
32,1 April 2019 08:00,394,409,All Island
33,1 April 2019 08:15,395,419,All Island
34,1 April 2019 08:30,395,389,All Island
35,1 April 2019 08:45,395,377,All Island
36,1 April 2019 09:00,380,374,All Island
37,1 April 2019 09:15,374,360,All Island
38,1 April 2019 09:30,367,334,All Island
39,1 April 2019 09:45,361,344,All Island
40,1 April 2019 10:00,368,350,All Island
41,1 April 2019 10:15,389,368,All Island
42,1 April 2019 10:30,409,374,All Island
43,1 April 2019 10:45,430,416,All Island
44,1 April 2019 11:00,455,459,All Island
45,1 April 2019 11:15,485,527,All Island
46,1 April 2019 11:30,514,534,All Island
47,1 April 2019 11:45,543,534,All Island
48,1 April 2019 12:00,580,570,All Island
49,1 April 2019 12:15,623,585,All Island
50,1 April 2019 12:30,666,595,All Island
51,1 April 2019 12:45,709,658,All Island
52,1 April 2019 13:00,872,664,All Island
53,1 April 2019 13:15,905,697,All Island
54,1 April 2019 13:30,939,717,All Island
55,1 April 2019 13:45,973,707,All Island
56,1 April 2019 14:00,1004,756,All Island
57,1 April 2019 14:15,1031,738,All Island
58,1 April 2019 14:30,1058,778,All Island
59,1 April 2019 14:45,1085,815,All Island
60,1 April 2019 15:00,1109,868,All Island
61,1 April 2019 15:15,1131,928,All Island
62,1 April 2019 15:30,1152,964,All Island
63,1 April 2019 15:45,1174,1069,All Island
64,1 April 2019 16:00,1219,1105,All Island
65,1 April 2019 16:15,1286,1121,All Island
66,1 April 2019 16:30,1354,1084,All Island
67,1 April 2019 16:45,1422,1069,All Island
68,1 April 2019 17:00,1474,1093,All Island
69,1 April 2019 17:15,1510,1092,All Island
70,1 April 2019 17:30,1547,1066,All Island
71,1 April 2019 17:45,1583,1159,All Island
72,1 April 2019 18:00,1604,1152,All Island
73,1 April 2019 18:15,1608,1219,All Island
74,1 April 2019 18:30,1613,1233,All Island
75,1 April 2019 18:45,1618,1330,All Island
76,1 April 2019 19:00,1711,1278,All Island
77,1 April 2019 19:15,1655,1260,All Island
78,1 April 2019 19:30,1599,1242,All Island
79,1 April 2019 19:45,1543,1266,All Island
80,1 April 2019 20:00,1498,1280,All Island
81,1 April 2019 20:15,1464,1297,All Island
82,1 April 2019 20:30,1430,1283,All Island
83,1 April 2019 20:45,1395,1225,All Island
84,1 April 2019 21:00,1361,1244,All Island
85,1 April 2019 21:15,1327,1248,All Island
86,1 April 2019 21:30,1293,1184,All Island
87,1 April 2019 21:45,1259,1172,All Island
88,1 April 2019 22:00,1244,1056,All Island
89,1 April 2019 22:15,1248,983,All Island
90,1 April 2019 22:30,1252,1071,All Island
91,1 April 2019 22:45,1256,1075,All Island
92,1 April 2019 23:00,1267,1039,All Island
93,1 April 2019 23:15,1285,1051,All Island
94,1 April 2019 23:30,1303,1026,All Island
95,1 April 2019 23:45,1321,1025,All Island
96,2 April 2019 00:00,1338,1031,All Island
97,2 April 2019 00:15,1356,1025,All Island
98,2 April 2019 00:30,1373,1005,All Island
99,2 April 2019 00:45,1391,1060,All Island
100,2 April 2019 01:00,1356,1064,All Island
101,2 April 2019 01:15,1341,1057,All Island
102,2 April 2019 01:30,1326,1095,All Island
103,2 April 2019 01:45,1312,1137,All Island
104,2 April 2019 02:00,1310,1116,All Island
105,2 April 2019 02:15,1322,1084,All Island
106,2 April 2019 02:30,1333,1071,All Island
107,2 April 2019 02:45,1345,1091,All Island
108,2 April 2019 03:00,1345,1118,All Island
109,2 April 2019 03:15,1334,1105,All Island
110,2 April 2019 03:30,1322,1050,All Island
111,2 April 2019 03:45,1310,1147,All Island
112,2 April 2019 04:00,1306,1134,All Island
113,2 April 2019 04:15,1309,1268,All Island
114,2 April 2019 04:30,1313,1277,All Island
115,2 April 2019 04:45,1316,1361,All Island
116,2 April 2019 05:00,1330,1413,All Island
117,2 April 2019 05:15,1355,1299,All Island
118,2 April 2019 05:30,1380,1226,All Island
119,2 April 2019 05:45,1404,1270,All Island
120,2 April 2019 06:00,1430,1307,All Island
121,2 April 2019 06:15,1458,1258,All Island
122,2 April 2019 06:30,1486,1176,All Island
123,2 April 2019 06:45,1514,1086,All Island
124,2 April 2019 07:00,1566,1217,All Island
125,2 April 2019 07:15,1588,1234,All Island
126,2 April 2019 07:30,1610,1322,All Island
127,2 April 2019 07:45,1632,1328,All Island
128,2 April 2019 08:00,1669,1375,All Island
129,2 April 2019 08:15,1721,1450,All Island
130,2 April 2019 08:30,1773,1388,All Island
131,2 April 2019 08:45,1825,1431,All Island
132,2 April 2019 09:00,1868,1338,All Island
133,2 April 2019 09:15,1902,1205,All Island
134,2 April 2019 09:30,1935,1135,All Island
135,2 April 2019 09:45,1969,1401,All Island
136,2 April 2019 10:00,2002,1324,All Island
137,2 April 2019 10:15,2036,1435,All Island
138,2 April 2019 10:30,2069,1631,All Island
139,2 April 2019 10:45,2102,1515,All Island
140,2 April 2019 11:00,2137,1552,All Island
141,2 April 2019 11:15,2174,1631,All Island
142,2 April 2019 11:30,2211,1912,All Island
143,2 April 2019 11:45,2248,1846,All Island
144,2 April 2019 12:00,2291,1966,All Island
145,2 April 2019 12:15,2342,1924,All Island
146,2 April 2019 12:30,2392,2044,All Island
147,2 April 2019 12:45,2442,2065,All Island
148,2 April 2019 13:00,2527,2156,All Island
149,2 April 2019 13:15,2536,2033,All Island
150,2 April 2019 13:30,2545,2069,All Island
151,2 April 2019 13:45,2554,2094,All Island
152,2 April 2019 14:00,2580,2064,All Island
153,2 April 2019 14:15,2624,2059,All Island
154,2 April 2019 14:30,2667,2140,All Island
155,2 April 2019 14:45,2711,1854,All Island
156,2 April 2019 15:00,2749,2081,All Island
157,2 April 2019 15:15,2781,2008,All Island
158,2 April 2019 15:30,2813,2128,All Island
159,2 April 2019 15:45,2845,2152,All Island
160,2 April 2019 16:00,2872,2099,All Island
161,2 April 2019 16:15,2895,2203,All Island
162,2 April 2019 16:30,2918,2064,All Island
163,2 April 2019 16:45,2940,2037,All Island
164,2 April 2019 17:00,2952,2062,All Island
165,2 April 2019 17:15,2952,2076,All Island
166,2 April 2019 17:30,2952,2092,All Island
167,2 April 2019 17:45,2952,2258,All Island
168,2 April 2019 18:00,2947,2248,All Island
169,2 April 2019 18:15,2937,2298,All Island
170,2 April 2019 18:30,2927,2290,All Island
171,2 April 2019 18:45,2916,2281,All Island
172,2 April 2019 19:00,2922,2323,All Island
173,2 April 2019 19:15,2880,2398,All Island
174,2 April 2019 19:30,2838,2501,All Island
175,2 April 2019 19:45,2796,2506,All Island
176,2 April 2019 20:00,2773,2426,All Island
177,2 April 2019 20:15,2770,2421,All Island
178,2 April 2019 20:30,2766,2361,All Island
179,2 April 2019 20:45,2763,2429,All Island
180,2 April 2019 21:00,2761,2375,All Island
181,2 April 2019 21:15,2761,2515,All Island
182,2 April 2019 21:30,2762,2466,All Island
183,2 April 2019 21:45,2762,2577,All Island
184,2 April 2019 22:00,2764,2459,All Island
