,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 August 2019 00:00,383,445,All Island
1,1 August 2019 00:15,380,426,All Island
2,1 August 2019 00:30,378,402,All Island
3,1 August 2019 00:45,375,390,All Island
4,1 August 2019 01:00,325,368,All Island
5,1 August 2019 01:15,318,346,All Island
6,1 August 2019 01:30,311,323,All Island
7,1 August 2019 01:45,304,298,All Island
8,1 August 2019 02:00,298,289,All Island
9,1 August 2019 02:15,293,281,All Island
10,1 August 2019 02:30,288,246,All Island
11,1 August 2019 02:45,283,226,All Island
12,1 August 2019 03:00,275,215,All Island
13,1 August 2019 03:15,265,223,All Island
14,1 August 2019 03:30,255,212,All Island
15,1 August 2019 03:45,245,202,All Island
16,1 August 2019 04:00,235,179,All Island
17,1 August 2019 04:15,225,176,All Island
18,1 August 2019 04:30,214,173,All Island
19,1 August 2019 04:45,204,165,All Island
20,1 August 2019 05:00,196,163,All Island
21,1 August 2019 05:15,192,158,All Island
22,1 August 2019 05:30,187,150,All Island
23,1 August 2019 05:45,182,142,All Island
24,1 August 2019 06:00,180,136,All Island
25,1 August 2019 06:15,179,118,All Island
26,1 August 2019 06:30,178,106,All Island
27,1 August 2019 06:45,177,90,All Island
28,1 August 2019 07:00,129,80,All Island
29,1 August 2019 07:15,121,67,All Island
30,1 August 2019 07:30,113,61,All Island
31,1 August 2019 07:45,105,52,All Island
32,1 August 2019 08:00,98,40,All Island
33,1 August 2019 08:15,92,40,All Island
34,1 August 2019 08:30,87,34,All Island
35,1 August 2019 08:45,81,31,All Island
36,1 August 2019 09:00,76,19,All Island
37,1 August 2019 09:15,72,10,All Island
38,1 August 2019 09:30,68,5,All Island
39,1 August 2019 09:45,64,5,All Island
40,1 August 2019 10:00,61,3,All Island
41,1 August 2019 10:15,58,4,All Island
42,1 August 2019 10:30,56,2,All Island
43,1 August 2019 10:45,53,2,All Island
44,1 August 2019 11:00,51,2,All Island
45,1 August 2019 11:15,48,5,All Island
46,1 August 2019 11:30,46,3,All Island
47,1 August 2019 11:45,44,3,All Island
48,1 August 2019 12:00,43,4,All Island
49,1 August 2019 12:15,42,4,All Island
50,1 August 2019 12:30,41,7,All Island
51,1 August 2019 12:45,41,5,All Island
52,1 August 2019 13:00,42,11,All Island
53,1 August 2019 13:15,41,13,All Island
54,1 August 2019 13:30,41,20,All Island
55,1 August 2019 13:45,40,23,All Island
56,1 August 2019 14:00,41,24,All Island
57,1 August 2019 14:15,42,26,All Island
