,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 September 2019 00:00,1686,1432,All Island
1,1 September 2019 00:15,1686,1418,All Island
2,1 September 2019 00:30,1685,1374,All Island
3,1 September 2019 00:45,1685,1359,All Island
4,1 September 2019 01:00,1571,1365,All Island
5,1 September 2019 01:15,1551,1451,All Island
6,1 September 2019 01:30,1532,1341,All Island
7,1 September 2019 01:45,1513,1319,All Island
8,1 September 2019 02:00,1513,1347,All Island
9,1 September 2019 02:15,1531,1261,All Island
10,1 September 2019 02:30,1549,1314,All Island
11,1 September 2019 02:45,1568,1317,All Island
12,1 September 2019 03:00,1574,1296,All Island
13,1 September 2019 03:15,1568,1327,All Island
14,1 September 2019 03:30,1561,1358,All Island
15,1 September 2019 03:45,1555,1307,All Island
16,1 September 2019 04:00,1543,1326,All Island
17,1 September 2019 04:15,1525,1317,All Island
18,1 September 2019 04:30,1506,1304,All Island
19,1 September 2019 04:45,1487,1313,All Island
20,1 September 2019 05:00,1462,1317,All Island
21,1 September 2019 05:15,1430,1315,All Island
22,1 September 2019 05:30,1397,1328,All Island
23,1 September 2019 05:45,1365,1240,All Island
24,1 September 2019 06:00,1333,1387,All Island
25,1 September 2019 06:15,1301,1374,All Island
26,1 September 2019 06:30,1269,1385,All Island
27,1 September 2019 06:45,1237,1354,All Island
28,1 September 2019 07:00,1128,1360,All Island
29,1 September 2019 07:15,1107,1341,All Island
30,1 September 2019 07:30,1085,1306,All Island
31,1 September 2019 07:45,1064,1181,All Island
32,1 September 2019 08:00,1054,1161,All Island
33,1 September 2019 08:15,1056,1042,All Island
34,1 September 2019 08:30,1059,1034,All Island
35,1 September 2019 08:45,1061,968,All Island
36,1 September 2019 09:00,1075,886,All Island
37,1 September 2019 09:15,1101,859,All Island
38,1 September 2019 09:30,1127,889,All Island
39,1 September 2019 09:45,1154,933,All Island
40,1 September 2019 10:00,1175,1021,All Island
41,1 September 2019 10:15,1192,1105,All Island
42,1 September 2019 10:30,1209,1201,All Island
43,1 September 2019 10:45,1227,1222,All Island
44,1 September 2019 11:00,1228,1280,All Island
45,1 September 2019 11:15,1212,1316,All Island
46,1 September 2019 11:30,1196,1391,All Island
47,1 September 2019 11:45,1181,1418,All Island
48,1 September 2019 12:00,1170,1294,All Island
49,1 September 2019 12:15,1165,1369,All Island
50,1 September 2019 12:30,1161,1346,All Island
51,1 September 2019 12:45,1156,1246,All Island
52,1 September 2019 13:00,1161,1124,All Island
53,1 September 2019 13:15,1190,1049,All Island
54,1 September 2019 13:30,1218,1036,All Island
55,1 September 2019 13:45,1246,1095,All Island
56,1 September 2019 14:00,1269,1137,All Island
57,1 September 2019 14:15,1286,1177,All Island
58,1 September 2019 14:30,1304,1200,All Island
59,1 September 2019 14:45,1321,1219,All Island
60,1 September 2019 15:00,1328,1261,All Island
61,1 September 2019 15:15,1326,1253,All Island
62,1 September 2019 15:30,1324,1278,All Island
63,1 September 2019 15:45,1322,1356,All Island
64,1 September 2019 16:00,1320,1285,All Island
65,1 September 2019 16:15,1317,1253,All Island
66,1 September 2019 16:30,1315,1204,All Island
67,1 September 2019 16:45,1313,1147,All Island
68,1 September 2019 17:00,1303,1105,All Island
69,1 September 2019 17:15,1285,998,All Island
70,1 September 2019 17:30,1267,938,All Island
71,1 September 2019 17:45,1249,973,All Island
72,1 September 2019 18:00,1228,945,All Island
73,1 September 2019 18:15,1206,945,All Island
74,1 September 2019 18:30,1184,1021,All Island
75,1 September 2019 18:45,1161,1021,All Island
76,1 September 2019 19:00,1054,1004,All Island
77,1 September 2019 19:15,1018,977,All Island
78,1 September 2019 19:30,982,966,All Island
79,1 September 2019 19:45,946,943,All Island
80,1 September 2019 20:00,914,897,All Island
81,1 September 2019 20:15,884,857,All Island
82,1 September 2019 20:30,855,826,All Island
83,1 September 2019 20:45,825,798,All Island
84,1 September 2019 21:00,800,820,All Island
85,1 September 2019 21:15,780,837,All Island
86,1 September 2019 21:30,759,834,All Island
87,1 September 2019 21:45,738,822,All Island
88,1 September 2019 22:00,730,841,All Island
89,1 September 2019 22:15,735,811,All Island
90,1 September 2019 22:30,739,816,All Island
91,1 September 2019 22:45,743,835,All Island
92,1 September 2019 23:00,743,892,All Island
93,1 September 2019 23:15,738,867,All Island
94,1 September 2019 23:30,733,851,All Island
95,1 September 2019 23:45,729,813,All Island
96,2 September 2019 00:00,730,824,All Island
97,2 September 2019 00:15,736,817,All Island
98,2 September 2019 00:30,743,726,All Island
99,2 September 2019 00:45,749,724,All Island
100,2 September 2019 01:00,741,754,All Island
101,2 September 2019 01:15,760,778,All Island
102,2 September 2019 01:30,779,830,All Island
103,2 September 2019 01:45,799,849,All Island
104,2 September 2019 02:00,816,904,All Island
105,2 September 2019 02:15,833,891,All Island
106,2 September 2019 02:30,849,919,All Island
107,2 September 2019 02:45,865,925,All Island
108,2 September 2019 03:00,885,946,All Island
109,2 September 2019 03:15,907,977,All Island
110,2 September 2019 03:30,928,1012,All Island
111,2 September 2019 03:45,950,1021,All Island
112,2 September 2019 04:00,974,1170,All Island
113,2 September 2019 04:15,1000,1204,All Island
114,2 September 2019 04:30,1026,1213,All Island
115,2 September 2019 04:45,1052,1236,All Island
116,2 September 2019 05:00,1076,1297,All Island
117,2 September 2019 05:15,1098,1344,All Island
118,2 September 2019 05:30,1120,1413,All Island
119,2 September 2019 05:45,1142,1411,All Island
120,2 September 2019 06:00,1169,1483,All Island
121,2 September 2019 06:15,1200,1584,All Island
122,2 September 2019 06:30,1231,1628,All Island
123,2 September 2019 06:45,1262,1623,All Island
124,2 September 2019 07:00,1457,1684,All Island
125,2 September 2019 07:15,1504,1706,All Island
126,2 September 2019 07:30,1552,1742,All Island
127,2 September 2019 07:45,1601,1635,All Island
128,2 September 2019 08:00,1653,1685,All Island
129,2 September 2019 08:15,1711,1768,All Island
130,2 September 2019 08:30,1769,1821,All Island
131,2 September 2019 08:45,1826,1813,All Island
132,2 September 2019 09:00,1870,1848,All Island
133,2 September 2019 09:15,1899,1815,All Island
134,2 September 2019 09:30,1929,1882,All Island
135,2 September 2019 09:45,1959,2047,All Island
136,2 September 2019 10:00,2001,2168,All Island
137,2 September 2019 10:15,2057,2265,All Island
138,2 September 2019 10:30,2113,2343,All Island
139,2 September 2019 10:45,2168,2371,All Island
140,2 September 2019 11:00,2209,2397,All Island
141,2 September 2019 11:15,2236,2393,All Island
142,2 September 2019 11:30,2263,2444,All Island
143,2 September 2019 11:45,2289,2420,All Island
144,2 September 2019 12:00,2308,2493,All Island
145,2 September 2019 12:15,2320,2589,All Island
146,2 September 2019 12:30,2332,2583,All Island
147,2 September 2019 12:45,2344,2533,All Island
148,2 September 2019 13:00,2373,2591,All Island
149,2 September 2019 13:15,2412,2558,All Island
150,2 September 2019 13:30,2450,2661,All Island
151,2 September 2019 13:45,2488,2653,All Island
152,2 September 2019 14:00,2521,2672,All Island
153,2 September 2019 14:15,2549,2756,All Island
154,2 September 2019 14:30,2577,2808,All Island
155,2 September 2019 14:45,2605,2767,All Island
156,2 September 2019 15:00,2616,2833,All Island
157,2 September 2019 15:15,2610,2790,All Island
158,2 September 2019 15:30,2604,2770,All Island
159,2 September 2019 15:45,2599,2773,All Island
160,2 September 2019 16:00,2594,2781,All Island
161,2 September 2019 16:15,2590,2743,All Island
162,2 September 2019 16:30,2587,2698,All Island
163,2 September 2019 16:45,2583,2628,All Island
164,2 September 2019 17:00,2560,2639,All Island
165,2 September 2019 17:15,2516,2619,All Island
166,2 September 2019 17:30,2473,2601,All Island
