,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 January 2020 00:00,553,591,All Island
1,1 January 2020 00:15,564,599,All Island
2,1 January 2020 00:30,576,585,All Island
3,1 January 2020 00:45,588,573,All Island
4,1 January 2020 01:00,598,575,All Island
5,1 January 2020 01:15,608,585,All Island
6,1 January 2020 01:30,618,598,All Island
7,1 January 2020 01:45,628,614,All Island
8,1 January 2020 02:00,639,656,All Island
9,1 January 2020 02:15,654,695,All Island
10,1 January 2020 02:30,669,725,All Island
11,1 January 2020 02:45,685,767,All Island
12,1 January 2020 03:00,700,809,All Island
13,1 January 2020 03:15,698,844,All Island
14,1 January 2020 03:30,695,816,All Island
15,1 January 2020 03:45,693,846,All Island
16,1 January 2020 04:00,690,858,All Island
17,1 January 2020 04:15,682,877,All Island
18,1 January 2020 04:30,673,881,All Island
19,1 January 2020 04:45,664,844,All Island
20,1 January 2020 05:00,656,844,All Island
21,1 January 2020 05:15,653,809,All Island
22,1 January 2020 05:30,650,812,All Island
23,1 January 2020 05:45,648,787,All Island
24,1 January 2020 06:00,709,830,All Island
25,1 January 2020 06:15,736,796,All Island
26,1 January 2020 06:30,763,766,All Island
27,1 January 2020 06:45,790,801,All Island
28,1 January 2020 07:00,817,801,All Island
29,1 January 2020 07:15,819,768,All Island
30,1 January 2020 07:30,822,810,All Island
31,1 January 2020 07:45,825,871,All Island
32,1 January 2020 08:00,828,932,All Island
33,1 January 2020 08:15,833,920,All Island
34,1 January 2020 08:30,839,948,All Island
35,1 January 2020 08:45,844,1033,All Island
36,1 January 2020 09:00,850,1076,All Island
37,1 January 2020 09:15,880,1090,All Island
38,1 January 2020 09:30,910,1126,All Island
39,1 January 2020 09:45,940,1166,All Island
40,1 January 2020 10:00,970,1199,All Island
41,1 January 2020 10:15,1008,1234,All Island
42,1 January 2020 10:30,1047,1289,All Island
43,1 January 2020 10:45,1085,1367,All Island
44,1 January 2020 11:00,1123,1392,All Island
45,1 January 2020 11:15,1152,1397,All Island
46,1 January 2020 11:30,1180,1360,All Island
47,1 January 2020 11:45,1209,1521,All Island
48,1 January 2020 12:00,1303,1511,All Island
49,1 January 2020 12:15,1352,1458,All Island
50,1 January 2020 12:30,1401,1497,All Island
51,1 January 2020 12:45,1450,1514,All Island
52,1 January 2020 13:00,1499,1489,All Island
53,1 January 2020 13:15,1530,1524,All Island
54,1 January 2020 13:30,1561,1610,All Island
55,1 January 2020 13:45,1593,1620,All Island
56,1 January 2020 14:00,1624,1606,All Island
57,1 January 2020 14:15,1676,1635,All Island
58,1 January 2020 14:30,1728,1663,All Island
59,1 January 2020 14:45,1780,1753,All Island
60,1 January 2020 15:00,1832,1898,All Island
61,1 January 2020 15:15,1885,1945,All Island
62,1 January 2020 15:30,1937,2004,All Island
63,1 January 2020 15:45,1990,2127,All Island
64,1 January 2020 16:00,2043,2204,All Island
65,1 January 2020 16:15,2103,2341,All Island
66,1 January 2020 16:30,2164,2411,All Island
67,1 January 2020 16:45,2224,2507,All Island
68,1 January 2020 17:00,2284,2589,All Island
69,1 January 2020 17:15,2343,2610,All Island
70,1 January 2020 17:30,2402,2670,All Island
71,1 January 2020 17:45,2462,2693,All Island
72,1 January 2020 18:00,2571,2872,All Island
73,1 January 2020 18:15,2630,2999,All Island
74,1 January 2020 18:30,2688,3026,All Island
75,1 January 2020 18:45,2746,2959,All Island
76,1 January 2020 19:00,2804,2953,All Island
77,1 January 2020 19:15,2857,3056,All Island
78,1 January 2020 19:30,2909,3117,All Island
79,1 January 2020 19:45,2962,3108,All Island
80,1 January 2020 20:00,3015,3114,All Island
81,1 January 2020 20:15,3067,3179,All Island
82,1 January 2020 20:30,3119,3166,All Island
83,1 January 2020 20:45,3171,3133,All Island
84,1 January 2020 21:00,3200,3195,All Island
85,1 January 2020 21:15,3235,3181,All Island
86,1 January 2020 21:30,3271,3045,All Island
87,1 January 2020 21:45,3330,2994,All Island
88,1 January 2020 22:00,3366,2989,All Island
