,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 August 2017 00:00,700,-,Northern Ireland
1,1 August 2017 00:15,677,-,Northern Ireland
2,1 August 2017 00:30,661,-,Northern Ireland
3,1 August 2017 00:45,644,-,Northern Ireland
4,1 August 2017 01:00,630,-,Northern Ireland
5,1 August 2017 01:15,616,-,Northern Ireland
6,1 August 2017 01:30,608,-,Northern Ireland
7,1 August 2017 01:45,598,-,Northern Ireland
8,1 August 2017 02:00,594,-,Northern Ireland
9,1 August 2017 02:15,595,-,Northern Ireland
10,1 August 2017 02:30,589,-,Northern Ireland
11,1 August 2017 02:45,591,-,Northern Ireland
12,1 August 2017 03:00,588,-,Northern Ireland
13,1 August 2017 03:15,580,-,Northern Ireland
14,1 August 2017 03:30,582,-,Northern Ireland
15,1 August 2017 03:45,574,-,Northern Ireland
16,1 August 2017 04:00,575,-,Northern Ireland
17,1 August 2017 04:15,579,-,Northern Ireland
18,1 August 2017 04:30,578,-,Northern Ireland
19,1 August 2017 04:45,582,-,Northern Ireland
20,1 August 2017 05:00,591,-,Northern Ireland
21,1 August 2017 05:15,580,-,Northern Ireland
22,1 August 2017 05:30,574,-,Northern Ireland
23,1 August 2017 05:45,585,-,Northern Ireland
24,1 August 2017 06:00,604,-,Northern Ireland
25,1 August 2017 06:15,643,-,Northern Ireland
26,1 August 2017 06:30,658,-,Northern Ireland
27,1 August 2017 06:45,691,-,Northern Ireland
28,1 August 2017 07:00,734,-,Northern Ireland
29,1 August 2017 07:15,784,-,Northern Ireland
30,1 August 2017 07:30,818,-,Northern Ireland
31,1 August 2017 07:45,852,-,Northern Ireland
32,1 August 2017 08:00,883,-,Northern Ireland
33,1 August 2017 08:15,925,-,Northern Ireland
34,1 August 2017 08:30,946,-,Northern Ireland
35,1 August 2017 08:45,965,-,Northern Ireland
36,1 August 2017 09:00,984,-,Northern Ireland
37,1 August 2017 09:15,995,-,Northern Ireland
38,1 August 2017 09:30,1007,-,Northern Ireland
39,1 August 2017 09:45,1012,-,Northern Ireland
40,1 August 2017 10:00,1008,-,Northern Ireland
41,1 August 2017 10:15,1008,-,Northern Ireland
42,1 August 2017 10:30,1013,-,Northern Ireland
43,1 August 2017 10:45,1012,-,Northern Ireland
44,1 August 2017 11:00,1024,-,Northern Ireland
45,1 August 2017 11:15,1018,-,Northern Ireland
46,1 August 2017 11:30,1019,-,Northern Ireland
47,1 August 2017 11:45,1021,-,Northern Ireland
48,1 August 2017 12:00,1027,-,Northern Ireland
49,1 August 2017 12:15,1034,-,Northern Ireland
50,1 August 2017 12:30,1032,-,Northern Ireland
51,1 August 2017 12:45,1031,-,Northern Ireland
52,1 August 2017 13:00,1026,-,Northern Ireland
53,1 August 2017 13:15,1010,-,Northern Ireland
54,1 August 2017 13:30,995,-,Northern Ireland
55,1 August 2017 13:45,987,-,Northern Ireland
56,1 August 2017 14:00,992,-,Northern Ireland
57,1 August 2017 14:15,991,-,Northern Ireland
58,1 August 2017 14:30,993,-,Northern Ireland
59,1 August 2017 14:45,998,-,Northern Ireland
60,1 August 2017 15:00,1000,-,Northern Ireland
61,1 August 2017 15:15,1001,-,Northern Ireland
62,1 August 2017 15:30,1005,-,Northern Ireland
63,1 August 2017 15:45,1013,-,Northern Ireland
64,1 August 2017 16:00,1022,-,Northern Ireland
65,1 August 2017 16:15,1028,-,Northern Ireland
66,1 August 2017 16:30,1054,-,Northern Ireland
67,1 August 2017 16:45,1077,-,Northern Ireland
68,1 August 2017 17:00,1100,-,Northern Ireland
69,1 August 2017 17:15,1115,-,Northern Ireland
70,1 August 2017 17:30,1120,-,Northern Ireland
71,1 August 2017 17:45,1107,-,Northern Ireland
72,1 August 2017 18:00,1095,-,Northern Ireland
73,1 August 2017 18:15,1077,-,Northern Ireland
74,1 August 2017 18:30,1060,-,Northern Ireland
75,1 August 2017 18:45,1042,-,Northern Ireland
76,1 August 2017 19:00,1020,-,Northern Ireland
77,1 August 2017 19:15,1008,-,Northern Ireland
78,1 August 2017 19:30,993,-,Northern Ireland
79,1 August 2017 19:45,980,-,Northern Ireland
80,1 August 2017 20:00,964,-,Northern Ireland
81,1 August 2017 20:15,962,-,Northern Ireland
82,1 August 2017 20:30,956,-,Northern Ireland
83,1 August 2017 20:45,949,-,Northern Ireland
84,1 August 2017 21:00,942,-,Northern Ireland
85,1 August 2017 21:15,940,-,Northern Ireland
86,1 August 2017 21:30,944,-,Northern Ireland
87,1 August 2017 21:45,961,-,Northern Ireland
88,1 August 2017 22:00,971,-,Northern Ireland
89,1 August 2017 22:15,950,-,Northern Ireland
90,1 August 2017 22:30,919,-,Northern Ireland
91,1 August 2017 22:45,894,-,Northern Ireland
92,1 August 2017 23:00,852,-,Northern Ireland
93,1 August 2017 23:15,818,-,Northern Ireland
94,1 August 2017 23:30,785,-,Northern Ireland
95,1 August 2017 23:45,751,-,Northern Ireland
96,2 August 2017 00:00,726,-,Northern Ireland
97,2 August 2017 00:15,698,-,Northern Ireland
98,2 August 2017 00:30,676,-,Northern Ireland
99,2 August 2017 00:45,663,-,Northern Ireland
100,2 August 2017 01:00,648,-,Northern Ireland
101,2 August 2017 01:15,635,-,Northern Ireland
102,2 August 2017 01:30,626,-,Northern Ireland
103,2 August 2017 01:45,620,-,Northern Ireland
104,2 August 2017 02:00,618,-,Northern Ireland
105,2 August 2017 02:15,611,-,Northern Ireland
106,2 August 2017 02:30,609,-,Northern Ireland
107,2 August 2017 02:45,604,-,Northern Ireland
108,2 August 2017 03:00,597,-,Northern Ireland
109,2 August 2017 03:15,592,-,Northern Ireland
110,2 August 2017 03:30,592,-,Northern Ireland
111,2 August 2017 03:45,590,-,Northern Ireland
112,2 August 2017 04:00,594,-,Northern Ireland
113,2 August 2017 04:15,589,-,Northern Ireland
114,2 August 2017 04:30,594,-,Northern Ireland
115,2 August 2017 04:45,588,-,Northern Ireland
116,2 August 2017 05:00,600,-,Northern Ireland
117,2 August 2017 05:15,601,-,Northern Ireland
118,2 August 2017 05:30,593,-,Northern Ireland
119,2 August 2017 05:45,599,-,Northern Ireland
120,2 August 2017 06:00,616,-,Northern Ireland
121,2 August 2017 06:15,658,-,Northern Ireland
122,2 August 2017 06:30,679,-,Northern Ireland
123,2 August 2017 06:45,712,-,Northern Ireland
124,2 August 2017 07:00,745,-,Northern Ireland
125,2 August 2017 07:15,809,-,Northern Ireland
126,2 August 2017 07:30,838,-,Northern Ireland
127,2 August 2017 07:45,873,-,Northern Ireland
128,2 August 2017 08:00,917,-,Northern Ireland
129,2 August 2017 08:15,954,-,Northern Ireland
130,2 August 2017 08:30,969,-,Northern Ireland
131,2 August 2017 08:45,992,-,Northern Ireland
132,2 August 2017 09:00,1010,-,Northern Ireland
133,2 August 2017 09:15,1029,-,Northern Ireland
134,2 August 2017 09:30,1033,-,Northern Ireland
135,2 August 2017 09:45,1039,-,Northern Ireland
136,2 August 2017 10:00,1026,-,Northern Ireland
137,2 August 2017 10:15,1029,-,Northern Ireland
138,2 August 2017 10:30,1025,-,Northern Ireland
139,2 August 2017 10:45,1033,-,Northern Ireland
140,2 August 2017 11:00,1033,-,Northern Ireland
141,2 August 2017 11:15,1034,-,Northern Ireland
142,2 August 2017 11:30,1036,-,Northern Ireland
143,2 August 2017 11:45,1039,-,Northern Ireland
144,2 August 2017 12:00,1041,-,Northern Ireland
145,2 August 2017 12:15,1054,-,Northern Ireland
146,2 August 2017 12:30,1059,-,Northern Ireland
147,2 August 2017 12:45,1066,-,Northern Ireland
148,2 August 2017 13:00,1061,-,Northern Ireland
149,2 August 2017 13:15,1045,-,Northern Ireland
150,2 August 2017 13:30,1041,-,Northern Ireland
151,2 August 2017 13:45,1041,-,Northern Ireland
152,2 August 2017 14:00,1035,-,Northern Ireland
153,2 August 2017 14:15,1032,-,Northern Ireland
154,2 August 2017 14:30,1029,-,Northern Ireland
155,2 August 2017 14:45,1026,-,Northern Ireland
156,2 August 2017 15:00,1027,-,Northern Ireland
157,2 August 2017 15:15,1020,-,Northern Ireland
158,2 August 2017 15:30,1029,-,Northern Ireland
159,2 August 2017 15:45,1032,-,Northern Ireland
160,2 August 2017 16:00,1034,-,Northern Ireland
161,2 August 2017 16:15,1049,-,Northern Ireland
162,2 August 2017 16:30,1068,-,Northern Ireland
163,2 August 2017 16:45,1094,-,Northern Ireland
164,2 August 2017 17:00,1107,-,Northern Ireland
165,2 August 2017 17:15,1115,-,Northern Ireland
166,2 August 2017 17:30,1117,-,Northern Ireland
167,2 August 2017 17:45,1115,-,Northern Ireland
168,2 August 2017 18:00,1104,-,Northern Ireland
169,2 August 2017 18:15,1079,-,Northern Ireland
170,2 August 2017 18:30,1059,-,Northern Ireland
171,2 August 2017 18:45,1043,-,Northern Ireland
172,2 August 2017 19:00,1027,-,Northern Ireland
173,2 August 2017 19:15,1009,-,Northern Ireland
174,2 August 2017 19:30,997,-,Northern Ireland
175,2 August 2017 19:45,981,-,Northern Ireland
176,2 August 2017 20:00,969,-,Northern Ireland
177,2 August 2017 20:15,962,-,Northern Ireland
178,2 August 2017 20:30,960,-,Northern Ireland
179,2 August 2017 20:45,951,-,Northern Ireland
180,2 August 2017 21:00,947,-,Northern Ireland
181,2 August 2017 21:15,940,-,Northern Ireland
182,2 August 2017 21:30,945,-,Northern Ireland
183,2 August 2017 21:45,962,-,Northern Ireland
184,2 August 2017 22:00,965,-,Northern Ireland
185,2 August 2017 22:15,951,-,Northern Ireland
186,2 August 2017 22:30,929,-,Northern Ireland
187,2 August 2017 22:45,890,-,Northern Ireland
188,2 August 2017 23:00,852,-,Northern Ireland
189,2 August 2017 23:15,814,-,Northern Ireland
190,2 August 2017 23:30,782,-,Northern Ireland
191,2 August 2017 23:45,752,-,Northern Ireland
192,3 August 2017 00:00,725,-,Northern Ireland
193,3 August 2017 00:15,698,-,Northern Ireland
194,3 August 2017 00:30,680,-,Northern Ireland
195,3 August 2017 00:45,661,-,Northern Ireland
196,3 August 2017 01:00,643,-,Northern Ireland
197,3 August 2017 01:15,633,-,Northern Ireland
198,3 August 2017 01:30,625,-,Northern Ireland
