,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 June 2017 00:00,707,-,Northern Ireland
1,1 June 2017 00:15,683,-,Northern Ireland
2,1 June 2017 00:30,658,-,Northern Ireland
3,1 June 2017 00:45,635,-,Northern Ireland
4,1 June 2017 01:00,631,-,Northern Ireland
5,1 June 2017 01:15,620,-,Northern Ireland
6,1 June 2017 01:30,621,-,Northern Ireland
7,1 June 2017 01:45,606,-,Northern Ireland
8,1 June 2017 02:00,606,-,Northern Ireland
9,1 June 2017 02:15,612,-,Northern Ireland
10,1 June 2017 02:30,599,-,Northern Ireland
11,1 June 2017 02:45,595,-,Northern Ireland
12,1 June 2017 03:00,587,-,Northern Ireland
13,1 June 2017 03:15,579,-,Northern Ireland
14,1 June 2017 03:30,568,-,Northern Ireland
15,1 June 2017 03:45,565,-,Northern Ireland
16,1 June 2017 04:00,564,-,Northern Ireland
17,1 June 2017 04:15,563,-,Northern Ireland
18,1 June 2017 04:30,559,-,Northern Ireland
19,1 June 2017 04:45,544,-,Northern Ireland
20,1 June 2017 05:00,554,-,Northern Ireland
21,1 June 2017 05:15,561,-,Northern Ireland
22,1 June 2017 05:30,562,-,Northern Ireland
23,1 June 2017 05:45,577,-,Northern Ireland
24,1 June 2017 06:00,609,-,Northern Ireland
25,1 June 2017 06:15,655,-,Northern Ireland
26,1 June 2017 06:30,681,-,Northern Ireland
27,1 June 2017 06:45,730,-,Northern Ireland
28,1 June 2017 07:00,775,-,Northern Ireland
29,1 June 2017 07:15,850,-,Northern Ireland
30,1 June 2017 07:30,897,-,Northern Ireland
31,1 June 2017 07:45,947,-,Northern Ireland
32,1 June 2017 08:00,974,-,Northern Ireland
33,1 June 2017 08:15,1016,-,Northern Ireland
34,1 June 2017 08:30,1021,-,Northern Ireland
35,1 June 2017 08:45,1048,-,Northern Ireland
36,1 June 2017 09:00,1067,-,Northern Ireland
37,1 June 2017 09:15,1087,-,Northern Ireland
38,1 June 2017 09:30,1088,-,Northern Ireland
39,1 June 2017 09:45,1095,-,Northern Ireland
40,1 June 2017 10:00,1098,-,Northern Ireland
41,1 June 2017 10:15,1086,-,Northern Ireland
42,1 June 2017 10:30,1088,-,Northern Ireland
43,1 June 2017 10:45,1104,-,Northern Ireland
44,1 June 2017 11:00,1108,-,Northern Ireland
45,1 June 2017 11:15,1115,-,Northern Ireland
46,1 June 2017 11:30,1115,-,Northern Ireland
47,1 June 2017 11:45,1118,-,Northern Ireland
48,1 June 2017 12:00,1116,-,Northern Ireland
49,1 June 2017 12:15,1125,-,Northern Ireland
50,1 June 2017 12:30,1124,-,Northern Ireland
51,1 June 2017 12:45,1119,-,Northern Ireland
52,1 June 2017 13:00,1113,-,Northern Ireland
53,1 June 2017 13:15,1094,-,Northern Ireland
54,1 June 2017 13:30,1079,-,Northern Ireland
55,1 June 2017 13:45,1075,-,Northern Ireland
56,1 June 2017 14:00,1070,-,Northern Ireland
57,1 June 2017 14:15,1073,-,Northern Ireland
58,1 June 2017 14:30,1076,-,Northern Ireland
59,1 June 2017 14:45,1075,-,Northern Ireland
60,1 June 2017 15:00,1074,-,Northern Ireland
