,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 May 2017 00:00,665,-,Northern Ireland
1,1 May 2017 00:15,653,-,Northern Ireland
2,1 May 2017 00:30,632,-,Northern Ireland
3,1 May 2017 00:45,613,-,Northern Ireland
4,1 May 2017 01:00,598,-,Northern Ireland
5,1 May 2017 01:15,594,-,Northern Ireland
6,1 May 2017 01:30,581,-,Northern Ireland
7,1 May 2017 01:45,568,-,Northern Ireland
8,1 May 2017 02:00,575,-,Northern Ireland
9,1 May 2017 02:15,586,-,Northern Ireland
10,1 May 2017 02:30,582,-,Northern Ireland
11,1 May 2017 02:45,580,-,Northern Ireland
12,1 May 2017 03:00,579,-,Northern Ireland
13,1 May 2017 03:15,576,-,Northern Ireland
14,1 May 2017 03:30,575,-,Northern Ireland
15,1 May 2017 03:45,572,-,Northern Ireland
16,1 May 2017 04:00,570,-,Northern Ireland
17,1 May 2017 04:15,569,-,Northern Ireland
18,1 May 2017 04:30,576,-,Northern Ireland
19,1 May 2017 04:45,577,-,Northern Ireland
20,1 May 2017 05:00,583,-,Northern Ireland
21,1 May 2017 05:15,591,-,Northern Ireland
22,1 May 2017 05:30,581,-,Northern Ireland
23,1 May 2017 05:45,578,-,Northern Ireland
24,1 May 2017 06:00,594,-,Northern Ireland
25,1 May 2017 06:15,611,-,Northern Ireland
26,1 May 2017 06:30,623,-,Northern Ireland
27,1 May 2017 06:45,641,-,Northern Ireland
28,1 May 2017 07:00,662,-,Northern Ireland
29,1 May 2017 07:15,686,-,Northern Ireland
30,1 May 2017 07:30,704,-,Northern Ireland
31,1 May 2017 07:45,723,-,Northern Ireland
32,1 May 2017 08:00,744,-,Northern Ireland
33,1 May 2017 08:15,776,-,Northern Ireland
34,1 May 2017 08:30,795,-,Northern Ireland
35,1 May 2017 08:45,814,-,Northern Ireland
36,1 May 2017 09:00,840,-,Northern Ireland
37,1 May 2017 09:15,859,-,Northern Ireland
38,1 May 2017 09:30,867,-,Northern Ireland
39,1 May 2017 09:45,880,-,Northern Ireland
40,1 May 2017 10:00,894,-,Northern Ireland
41,1 May 2017 10:15,899,-,Northern Ireland
42,1 May 2017 10:30,900,-,Northern Ireland
43,1 May 2017 10:45,904,-,Northern Ireland
44,1 May 2017 11:00,907,-,Northern Ireland
45,1 May 2017 11:15,908,-,Northern Ireland
46,1 May 2017 11:30,910,-,Northern Ireland
47,1 May 2017 11:45,906,-,Northern Ireland
48,1 May 2017 12:00,902,-,Northern Ireland
49,1 May 2017 12:15,895,-,Northern Ireland
50,1 May 2017 12:30,889,-,Northern Ireland
51,1 May 2017 12:45,877,-,Northern Ireland
52,1 May 2017 13:00,869,-,Northern Ireland
53,1 May 2017 13:15,851,-,Northern Ireland
54,1 May 2017 13:30,840,-,Northern Ireland
55,1 May 2017 13:45,826,-,Northern Ireland
56,1 May 2017 14:00,813,-,Northern Ireland
57,1 May 2017 14:15,808,-,Northern Ireland
58,1 May 2017 14:30,799,-,Northern Ireland
59,1 May 2017 14:45,792,-,Northern Ireland
60,1 May 2017 15:00,788,-,Northern Ireland
61,1 May 2017 15:15,788,-,Northern Ireland
62,1 May 2017 15:30,791,-,Northern Ireland
63,1 May 2017 15:45,789,-,Northern Ireland
64,1 May 2017 16:00,797,-,Northern Ireland
65,1 May 2017 16:15,809,-,Northern Ireland
66,1 May 2017 16:30,832,-,Northern Ireland
67,1 May 2017 16:45,855,-,Northern Ireland
68,1 May 2017 17:00,879,-,Northern Ireland
69,1 May 2017 17:15,900,-,Northern Ireland
70,1 May 2017 17:30,917,-,Northern Ireland
71,1 May 2017 17:45,912,-,Northern Ireland
72,1 May 2017 18:00,912,-,Northern Ireland
73,1 May 2017 18:15,905,-,Northern Ireland
74,1 May 2017 18:30,901,-,Northern Ireland
75,1 May 2017 18:45,904,-,Northern Ireland
76,1 May 2017 19:00,902,-,Northern Ireland
77,1 May 2017 19:15,899,-,Northern Ireland
78,1 May 2017 19:30,899,-,Northern Ireland
79,1 May 2017 19:45,898,-,Northern Ireland
80,1 May 2017 20:00,895,-,Northern Ireland
81,1 May 2017 20:15,895,-,Northern Ireland
82,1 May 2017 20:30,895,-,Northern Ireland
83,1 May 2017 20:45,901,-,Northern Ireland
84,1 May 2017 21:00,923,-,Northern Ireland
85,1 May 2017 21:15,939,-,Northern Ireland
86,1 May 2017 21:30,961,-,Northern Ireland
87,1 May 2017 21:45,951,-,Northern Ireland
88,1 May 2017 22:00,940,-,Northern Ireland
89,1 May 2017 22:15,914,-,Northern Ireland
90,1 May 2017 22:30,875,-,Northern Ireland
91,1 May 2017 22:45,828,-,Northern Ireland
92,1 May 2017 23:00,789,-,Northern Ireland
93,1 May 2017 23:15,753,-,Northern Ireland
94,1 May 2017 23:30,718,-,Northern Ireland
95,1 May 2017 23:45,685,-,Northern Ireland
96,2 May 2017 00:00,650,-,Northern Ireland
97,2 May 2017 00:15,629,-,Northern Ireland
98,2 May 2017 00:30,608,-,Northern Ireland
99,2 May 2017 00:45,595,-,Northern Ireland
100,2 May 2017 01:00,587,-,Northern Ireland
101,2 May 2017 01:15,590,-,Northern Ireland
102,2 May 2017 01:30,585,-,Northern Ireland
103,2 May 2017 01:45,578,-,Northern Ireland
104,2 May 2017 02:00,580,-,Northern Ireland
105,2 May 2017 02:15,592,-,Northern Ireland
106,2 May 2017 02:30,589,-,Northern Ireland
107,2 May 2017 02:45,585,-,Northern Ireland
108,2 May 2017 03:00,583,-,Northern Ireland
109,2 May 2017 03:15,578,-,Northern Ireland
110,2 May 2017 03:30,573,-,Northern Ireland
111,2 May 2017 03:45,572,-,Northern Ireland
112,2 May 2017 04:00,573,-,Northern Ireland
113,2 May 2017 04:15,568,-,Northern Ireland
114,2 May 2017 04:30,576,-,Northern Ireland
115,2 May 2017 04:45,578,-,Northern Ireland
116,2 May 2017 05:00,590,-,Northern Ireland
117,2 May 2017 05:15,603,-,Northern Ireland
118,2 May 2017 05:30,584,-,Northern Ireland
119,2 May 2017 05:45,597,-,Northern Ireland
120,2 May 2017 06:00,619,-,Northern Ireland
121,2 May 2017 06:15,660,-,Northern Ireland
122,2 May 2017 06:30,690,-,Northern Ireland
123,2 May 2017 06:45,748,-,Northern Ireland
124,2 May 2017 07:00,803,-,Northern Ireland
125,2 May 2017 07:15,880,-,Northern Ireland
126,2 May 2017 07:30,920,-,Northern Ireland
