,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 April 2018 00:00,779,-,Northern Ireland
1,1 April 2018 00:15,750,-,Northern Ireland
2,1 April 2018 00:30,728,-,Northern Ireland
3,1 April 2018 00:45,706,-,Northern Ireland
4,1 April 2018 01:00,693,-,Northern Ireland
5,1 April 2018 01:15,682,-,Northern Ireland
6,1 April 2018 01:30,675,-,Northern Ireland
7,1 April 2018 01:45,664,-,Northern Ireland
8,1 April 2018 02:00,666,-,Northern Ireland
9,1 April 2018 02:15,680,-,Northern Ireland
10,1 April 2018 02:30,669,-,Northern Ireland
11,1 April 2018 02:45,665,-,Northern Ireland
12,1 April 2018 03:00,651,-,Northern Ireland
13,1 April 2018 03:15,646,-,Northern Ireland
14,1 April 2018 03:30,637,-,Northern Ireland
15,1 April 2018 03:45,631,-,Northern Ireland
16,1 April 2018 04:00,632,-,Northern Ireland
17,1 April 2018 04:15,626,-,Northern Ireland
18,1 April 2018 04:30,628,-,Northern Ireland
19,1 April 2018 04:45,624,-,Northern Ireland
20,1 April 2018 05:00,626,-,Northern Ireland
21,1 April 2018 05:15,628,-,Northern Ireland
22,1 April 2018 05:30,627,-,Northern Ireland
23,1 April 2018 05:45,632,-,Northern Ireland
24,1 April 2018 06:00,645,-,Northern Ireland
25,1 April 2018 06:15,660,-,Northern Ireland
26,1 April 2018 06:30,667,-,Northern Ireland
27,1 April 2018 06:45,659,-,Northern Ireland
28,1 April 2018 07:00,666,-,Northern Ireland
29,1 April 2018 07:15,682,-,Northern Ireland
30,1 April 2018 07:30,697,-,Northern Ireland
31,1 April 2018 07:45,712,-,Northern Ireland
32,1 April 2018 08:00,736,-,Northern Ireland
33,1 April 2018 08:15,764,-,Northern Ireland
34,1 April 2018 08:30,788,-,Northern Ireland
35,1 April 2018 08:45,812,-,Northern Ireland
36,1 April 2018 09:00,839,-,Northern Ireland
37,1 April 2018 09:15,866,-,Northern Ireland
38,1 April 2018 09:30,881,-,Northern Ireland
39,1 April 2018 09:45,898,-,Northern Ireland
40,1 April 2018 10:00,916,-,Northern Ireland
41,1 April 2018 10:15,932,-,Northern Ireland
42,1 April 2018 10:30,932,-,Northern Ireland
43,1 April 2018 10:45,938,-,Northern Ireland
44,1 April 2018 11:00,943,-,Northern Ireland
45,1 April 2018 11:15,956,-,Northern Ireland
46,1 April 2018 11:30,954,-,Northern Ireland
47,1 April 2018 11:45,954,-,Northern Ireland
48,1 April 2018 12:00,966,-,Northern Ireland
49,1 April 2018 12:15,987,-,Northern Ireland
50,1 April 2018 12:30,1005,-,Northern Ireland
51,1 April 2018 12:45,1004,-,Northern Ireland
52,1 April 2018 13:00,1011,-,Northern Ireland
53,1 April 2018 13:15,1002,-,Northern Ireland
54,1 April 2018 13:30,990,-,Northern Ireland
55,1 April 2018 13:45,965,-,Northern Ireland
56,1 April 2018 14:00,942,-,Northern Ireland
57,1 April 2018 14:15,923,-,Northern Ireland
58,1 April 2018 14:30,901,-,Northern Ireland
59,1 April 2018 14:45,889,-,Northern Ireland
60,1 April 2018 15:00,867,-,Northern Ireland
61,1 April 2018 15:15,860,-,Northern Ireland
62,1 April 2018 15:30,851,-,Northern Ireland
63,1 April 2018 15:45,848,-,Northern Ireland
64,1 April 2018 16:00,847,-,Northern Ireland
65,1 April 2018 16:15,855,-,Northern Ireland
66,1 April 2018 16:30,856,-,Northern Ireland
67,1 April 2018 16:45,860,-,Northern Ireland
68,1 April 2018 17:00,867,-,Northern Ireland
69,1 April 2018 17:15,862,-,Northern Ireland
70,1 April 2018 17:30,856,-,Northern Ireland
71,1 April 2018 17:45,854,-,Northern Ireland
72,1 April 2018 18:00,844,-,Northern Ireland
73,1 April 2018 18:15,842,-,Northern Ireland
74,1 April 2018 18:30,835,-,Northern Ireland
75,1 April 2018 18:45,833,-,Northern Ireland
76,1 April 2018 19:00,841,-,Northern Ireland
77,1 April 2018 19:15,849,-,Northern Ireland
78,1 April 2018 19:30,862,-,Northern Ireland
79,1 April 2018 19:45,861,-,Northern Ireland
80,1 April 2018 20:00,885,-,Northern Ireland
81,1 April 2018 20:15,918,-,Northern Ireland
82,1 April 2018 20:30,947,-,Northern Ireland
83,1 April 2018 20:45,938,-,Northern Ireland
84,1 April 2018 21:00,933,-,Northern Ireland
85,1 April 2018 21:15,921,-,Northern Ireland
86,1 April 2018 21:30,898,-,Northern Ireland
87,1 April 2018 21:45,876,-,Northern Ireland
88,1 April 2018 22:00,857,-,Northern Ireland
89,1 April 2018 22:15,835,-,Northern Ireland
90,1 April 2018 22:30,811,-,Northern Ireland
91,1 April 2018 22:45,783,-,Northern Ireland
92,1 April 2018 23:00,749,-,Northern Ireland
93,1 April 2018 23:15,723,-,Northern Ireland
94,1 April 2018 23:30,701,-,Northern Ireland
95,1 April 2018 23:45,667,-,Northern Ireland
96,2 April 2018 00:00,642,-,Northern Ireland
97,2 April 2018 00:15,620,-,Northern Ireland
98,2 April 2018 00:30,594,-,Northern Ireland
99,2 April 2018 00:45,574,-,Northern Ireland
100,2 April 2018 01:00,557,-,Northern Ireland
101,2 April 2018 01:15,555,-,Northern Ireland
102,2 April 2018 01:30,547,-,Northern Ireland
103,2 April 2018 01:45,533,-,Northern Ireland
104,2 April 2018 02:00,527,-,Northern Ireland
105,2 April 2018 02:15,546,-,Northern Ireland
106,2 April 2018 02:30,541,-,Northern Ireland
107,2 April 2018 02:45,527,-,Northern Ireland
108,2 April 2018 03:00,520,-,Northern Ireland
109,2 April 2018 03:15,519,-,Northern Ireland
110,2 April 2018 03:30,507,-,Northern Ireland
111,2 April 2018 03:45,500,-,Northern Ireland
112,2 April 2018 04:00,495,-,Northern Ireland
113,2 April 2018 04:15,487,-,Northern Ireland
114,2 April 2018 04:30,492,-,Northern Ireland
115,2 April 2018 04:45,487,-,Northern Ireland
116,2 April 2018 05:00,492,-,Northern Ireland
117,2 April 2018 05:15,500,-,Northern Ireland
118,2 April 2018 05:30,489,-,Northern Ireland
119,2 April 2018 05:45,490,-,Northern Ireland
120,2 April 2018 06:00,505,-,Northern Ireland
121,2 April 2018 06:15,522,-,Northern Ireland
122,2 April 2018 06:30,535,-,Northern Ireland
123,2 April 2018 06:45,541,-,Northern Ireland
124,2 April 2018 07:00,550,-,Northern Ireland
125,2 April 2018 07:15,567,-,Northern Ireland
126,2 April 2018 07:30,581,-,Northern Ireland
127,2 April 2018 07:45,595,-,Northern Ireland
128,2 April 2018 08:00,622,-,Northern Ireland
129,2 April 2018 08:15,651,-,Northern Ireland
130,2 April 2018 08:30,674,-,Northern Ireland
131,2 April 2018 08:45,704,-,Northern Ireland
132,2 April 2018 09:00,729,-,Northern Ireland
133,2 April 2018 09:15,760,-,Northern Ireland
134,2 April 2018 09:30,865,-,Northern Ireland
135,2 April 2018 09:45,837,-,Northern Ireland
136,2 April 2018 10:00,846,-,Northern Ireland
137,2 April 2018 10:15,857,-,Northern Ireland
138,2 April 2018 10:30,863,-,Northern Ireland
139,2 April 2018 10:45,882,-,Northern Ireland
140,2 April 2018 11:00,891,-,Northern Ireland
141,2 April 2018 11:15,901,-,Northern Ireland
142,2 April 2018 11:30,902,-,Northern Ireland
143,2 April 2018 11:45,915,-,Northern Ireland
144,2 April 2018 12:00,924,-,Northern Ireland
145,2 April 2018 12:15,920,-,Northern Ireland
146,2 April 2018 12:30,925,-,Northern Ireland
147,2 April 2018 12:45,919,-,Northern Ireland
148,2 April 2018 13:00,925,-,Northern Ireland
149,2 April 2018 13:15,913,-,Northern Ireland
150,2 April 2018 13:30,902,-,Northern Ireland
151,2 April 2018 13:45,890,-,Northern Ireland
152,2 April 2018 14:00,886,-,Northern Ireland
