,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 February 2018 00:00,762,-,Northern Ireland
1,1 February 2018 00:15,739,-,Northern Ireland
2,1 February 2018 00:30,725,-,Northern Ireland
3,1 February 2018 00:45,707,-,Northern Ireland
4,1 February 2018 01:00,694,-,Northern Ireland
5,1 February 2018 01:15,716,-,Northern Ireland
6,1 February 2018 01:30,701,-,Northern Ireland
7,1 February 2018 01:45,690,-,Northern Ireland
8,1 February 2018 02:00,677,-,Northern Ireland
9,1 February 2018 02:15,673,-,Northern Ireland
10,1 February 2018 02:30,665,-,Northern Ireland
11,1 February 2018 02:45,666,-,Northern Ireland
12,1 February 2018 03:00,662,-,Northern Ireland
13,1 February 2018 03:15,675,-,Northern Ireland
14,1 February 2018 03:30,672,-,Northern Ireland
15,1 February 2018 03:45,670,-,Northern Ireland
16,1 February 2018 04:00,668,-,Northern Ireland
17,1 February 2018 04:15,670,-,Northern Ireland
18,1 February 2018 04:30,674,-,Northern Ireland
19,1 February 2018 04:45,679,-,Northern Ireland
20,1 February 2018 05:00,691,-,Northern Ireland
21,1 February 2018 05:15,692,-,Northern Ireland
22,1 February 2018 05:30,709,-,Northern Ireland
23,1 February 2018 05:45,714,-,Northern Ireland
24,1 February 2018 06:00,757,-,Northern Ireland
25,1 February 2018 06:15,806,-,Northern Ireland
26,1 February 2018 06:30,854,-,Northern Ireland
27,1 February 2018 06:45,910,-,Northern Ireland
28,1 February 2018 07:00,977,-,Northern Ireland
29,1 February 2018 07:15,1062,-,Northern Ireland
30,1 February 2018 07:30,1128,-,Northern Ireland
31,1 February 2018 07:45,1184,-,Northern Ireland
32,1 February 2018 08:00,1208,-,Northern Ireland
33,1 February 2018 08:15,1226,-,Northern Ireland
34,1 February 2018 08:30,1215,-,Northern Ireland
35,1 February 2018 08:45,1211,-,Northern Ireland
36,1 February 2018 09:00,1248,-,Northern Ireland
37,1 February 2018 09:15,1264,-,Northern Ireland
38,1 February 2018 09:30,1292,-,Northern Ireland
39,1 February 2018 09:45,1289,-,Northern Ireland
40,1 February 2018 10:00,1267,-,Northern Ireland
41,1 February 2018 10:15,1243,-,Northern Ireland
42,1 February 2018 10:30,1241,-,Northern Ireland
43,1 February 2018 10:45,1252,-,Northern Ireland
44,1 February 2018 11:00,1243,-,Northern Ireland
45,1 February 2018 11:15,1227,-,Northern Ireland
46,1 February 2018 11:30,1230,-,Northern Ireland
47,1 February 2018 11:45,1227,-,Northern Ireland
48,1 February 2018 12:00,1219,-,Northern Ireland
49,1 February 2018 12:15,1223,-,Northern Ireland
50,1 February 2018 12:30,1220,-,Northern Ireland
51,1 February 2018 12:45,1215,-,Northern Ireland
52,1 February 2018 13:00,1208,-,Northern Ireland
53,1 February 2018 13:15,1193,-,Northern Ireland
54,1 February 2018 13:30,1176,-,Northern Ireland
55,1 February 2018 13:45,1176,-,Northern Ireland
56,1 February 2018 14:00,1168,-,Northern Ireland
57,1 February 2018 14:15,1174,-,Northern Ireland
58,1 February 2018 14:30,1170,-,Northern Ireland
59,1 February 2018 14:45,1187,-,Northern Ireland
60,1 February 2018 15:00,1189,-,Northern Ireland
61,1 February 2018 15:15,1202,-,Northern Ireland
62,1 February 2018 15:30,1222,-,Northern Ireland
63,1 February 2018 15:45,1235,-,Northern Ireland
64,1 February 2018 16:00,1238,-,Northern Ireland
65,1 February 2018 16:15,1261,-,Northern Ireland
66,1 February 2018 16:30,1291,-,Northern Ireland
67,1 February 2018 16:45,1332,-,Northern Ireland
68,1 February 2018 17:00,1369,-,Northern Ireland
69,1 February 2018 17:15,1415,-,Northern Ireland
70,1 February 2018 17:30,1476,-,Northern Ireland
71,1 February 2018 17:45,1478,-,Northern Ireland
72,1 February 2018 18:00,1472,-,Northern Ireland
73,1 February 2018 18:15,1453,-,Northern Ireland
74,1 February 2018 18:30,1438,-,Northern Ireland
75,1 February 2018 18:45,1405,-,Northern Ireland
76,1 February 2018 19:00,1372,-,Northern Ireland
77,1 February 2018 19:15,1363,-,Northern Ireland
78,1 February 2018 19:30,1340,-,Northern Ireland
79,1 February 2018 19:45,1321,-,Northern Ireland
80,1 February 2018 20:00,1308,-,Northern Ireland
81,1 February 2018 20:15,1275,-,Northern Ireland
82,1 February 2018 20:30,1260,-,Northern Ireland
83,1 February 2018 20:45,1240,-,Northern Ireland
84,1 February 2018 21:00,1213,-,Northern Ireland
85,1 February 2018 21:15,1169,-,Northern Ireland
86,1 February 2018 21:30,1142,-,Northern Ireland
87,1 February 2018 21:45,1104,-,Northern Ireland
88,1 February 2018 22:00,1070,-,Northern Ireland
89,1 February 2018 22:15,1016,-,Northern Ireland
90,1 February 2018 22:30,983,-,Northern Ireland
91,1 February 2018 22:45,936,-,Northern Ireland
92,1 February 2018 23:00,891,-,Northern Ireland
93,1 February 2018 23:15,853,-,Northern Ireland
94,1 February 2018 23:30,822,-,Northern Ireland
95,1 February 2018 23:45,796,-,Northern Ireland
96,2 February 2018 00:00,776,-,Northern Ireland
97,2 February 2018 00:15,749,-,Northern Ireland
98,2 February 2018 00:30,727,-,Northern Ireland
99,2 February 2018 00:45,713,-,Northern Ireland
100,2 February 2018 01:00,699,-,Northern Ireland
101,2 February 2018 01:15,708,-,Northern Ireland
102,2 February 2018 01:30,706,-,Northern Ireland
103,2 February 2018 01:45,700,-,Northern Ireland
104,2 February 2018 02:00,699,-,Northern Ireland
105,2 February 2018 02:15,694,-,Northern Ireland
106,2 February 2018 02:30,691,-,Northern Ireland
107,2 February 2018 02:45,689,-,Northern Ireland
108,2 February 2018 03:00,673,-,Northern Ireland
109,2 February 2018 03:15,679,-,Northern Ireland
110,2 February 2018 03:30,683,-,Northern Ireland
111,2 February 2018 03:45,678,-,Northern Ireland
112,2 February 2018 04:00,662,-,Northern Ireland
113,2 February 2018 04:15,669,-,Northern Ireland
114,2 February 2018 04:30,675,-,Northern Ireland
115,2 February 2018 04:45,697,-,Northern Ireland
116,2 February 2018 05:00,701,-,Northern Ireland
117,2 February 2018 05:15,714,-,Northern Ireland
118,2 February 2018 05:30,719,-,Northern Ireland
119,2 February 2018 05:45,745,-,Northern Ireland
120,2 February 2018 06:00,790,-,Northern Ireland
121,2 February 2018 06:15,840,-,Northern Ireland
122,2 February 2018 06:30,872,-,Northern Ireland
123,2 February 2018 06:45,934,-,Northern Ireland
124,2 February 2018 07:00,990,-,Northern Ireland
125,2 February 2018 07:15,1088,-,Northern Ireland
126,2 February 2018 07:30,1151,-,Northern Ireland
127,2 February 2018 07:45,1212,-,Northern Ireland
128,2 February 2018 08:00,1235,-,Northern Ireland
129,2 February 2018 08:15,1251,-,Northern Ireland
130,2 February 2018 08:30,1254,-,Northern Ireland
131,2 February 2018 08:45,1252,-,Northern Ireland
132,2 February 2018 09:00,1267,-,Northern Ireland
133,2 February 2018 09:15,1299,-,Northern Ireland
134,2 February 2018 09:30,1295,-,Northern Ireland
135,2 February 2018 09:45,1299,-,Northern Ireland
136,2 February 2018 10:00,1291,-,Northern Ireland
137,2 February 2018 10:15,1280,-,Northern Ireland
138,2 February 2018 10:30,1281,-,Northern Ireland
139,2 February 2018 10:45,1270,-,Northern Ireland
140,2 February 2018 11:00,1267,-,Northern Ireland
141,2 February 2018 11:15,1266,-,Northern Ireland
142,2 February 2018 11:30,1257,-,Northern Ireland
143,2 February 2018 11:45,1250,-,Northern Ireland
144,2 February 2018 12:00,1245,-,Northern Ireland
145,2 February 2018 12:15,1245,-,Northern Ireland
146,2 February 2018 12:30,1250,-,Northern Ireland
147,2 February 2018 12:45,1248,-,Northern Ireland
148,2 February 2018 13:00,1235,-,Northern Ireland
149,2 February 2018 13:15,1210,-,Northern Ireland
150,2 February 2018 13:30,1195,-,Northern Ireland
151,2 February 2018 13:45,1193,-,Northern Ireland
152,2 February 2018 14:00,1192,-,Northern Ireland
153,2 February 2018 14:15,1195,-,Northern Ireland
154,2 February 2018 14:30,1197,-,Northern Ireland
155,2 February 2018 14:45,1204,-,Northern Ireland
156,2 February 2018 15:00,1205,-,Northern Ireland
157,2 February 2018 15:15,1206,-,Northern Ireland
158,2 February 2018 15:30,1209,-,Northern Ireland
159,2 February 2018 15:45,1222,-,Northern Ireland
160,2 February 2018 16:00,1229,-,Northern Ireland
161,2 February 2018 16:15,1255,-,Northern Ireland
162,2 February 2018 16:30,1285,-,Northern Ireland
163,2 February 2018 16:45,1325,-,Northern Ireland
164,2 February 2018 17:00,1366,-,Northern Ireland
165,2 February 2018 17:15,1413,-,Northern Ireland
166,2 February 2018 17:30,1457,-,Northern Ireland
167,2 February 2018 17:45,1463,-,Northern Ireland
168,2 February 2018 18:00,1463,-,Northern Ireland
169,2 February 2018 18:15,1439,-,Northern Ireland
170,2 February 2018 18:30,1413,-,Northern Ireland
171,2 February 2018 18:45,1393,-,Northern Ireland
172,2 February 2018 19:00,1369,-,Northern Ireland
173,2 February 2018 19:15,1347,-,Northern Ireland
174,2 February 2018 19:30,1328,-,Northern Ireland
175,2 February 2018 19:45,1305,-,Northern Ireland
176,2 February 2018 20:00,1274,-,Northern Ireland
177,2 February 2018 20:15,1248,-,Northern Ireland
178,2 February 2018 20:30,1237,-,Northern Ireland
179,2 February 2018 20:45,1218,-,Northern Ireland
180,2 February 2018 21:00,1187,-,Northern Ireland
181,2 February 2018 21:15,1154,-,Northern Ireland
182,2 February 2018 21:30,1122,-,Northern Ireland
183,2 February 2018 21:45,1094,-,Northern Ireland
184,2 February 2018 22:00,1068,-,Northern Ireland
185,2 February 2018 22:15,1030,-,Northern Ireland
186,2 February 2018 22:30,1007,-,Northern Ireland
187,2 February 2018 22:45,969,-,Northern Ireland
188,2 February 2018 23:00,928,-,Northern Ireland
189,2 February 2018 23:15,894,-,Northern Ireland
190,2 February 2018 23:30,859,-,Northern Ireland
191,2 February 2018 23:45,830,-,Northern Ireland
192,3 February 2018 00:00,810,-,Northern Ireland
193,3 February 2018 00:15,782,-,Northern Ireland
194,3 February 2018 00:30,763,-,Northern Ireland
