,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 July 2019 00:00,595,-,Northern Ireland
1,1 July 2019 00:15,573,-,Northern Ireland
2,1 July 2019 00:30,559,-,Northern Ireland
3,1 July 2019 00:45,533,-,Northern Ireland
4,1 July 2019 01:00,518,-,Northern Ireland
5,1 July 2019 01:15,513,-,Northern Ireland
6,1 July 2019 01:30,499,-,Northern Ireland
7,1 July 2019 01:45,498,-,Northern Ireland
8,1 July 2019 02:00,487,-,Northern Ireland
9,1 July 2019 02:15,498,-,Northern Ireland
10,1 July 2019 02:30,494,-,Northern Ireland
11,1 July 2019 02:45,488,-,Northern Ireland
12,1 July 2019 03:00,489,-,Northern Ireland
13,1 July 2019 03:15,484,-,Northern Ireland
14,1 July 2019 03:30,485,-,Northern Ireland
15,1 July 2019 03:45,484,-,Northern Ireland
16,1 July 2019 04:00,482,-,Northern Ireland
17,1 July 2019 04:15,489,-,Northern Ireland
18,1 July 2019 04:30,482,-,Northern Ireland
19,1 July 2019 04:45,476,-,Northern Ireland
20,1 July 2019 05:00,480,-,Northern Ireland
21,1 July 2019 05:15,497,-,Northern Ireland
22,1 July 2019 05:30,498,-,Northern Ireland
23,1 July 2019 05:45,505,-,Northern Ireland
24,1 July 2019 06:00,534,-,Northern Ireland
25,1 July 2019 06:15,580,-,Northern Ireland
26,1 July 2019 06:30,606,-,Northern Ireland
27,1 July 2019 06:45,640,-,Northern Ireland
28,1 July 2019 07:00,684,-,Northern Ireland
29,1 July 2019 07:15,736,-,Northern Ireland
30,1 July 2019 07:30,771,-,Northern Ireland
31,1 July 2019 07:45,808,-,Northern Ireland
32,1 July 2019 08:00,842,-,Northern Ireland
33,1 July 2019 08:15,885,-,Northern Ireland
34,1 July 2019 08:30,899,-,Northern Ireland
35,1 July 2019 08:45,918,-,Northern Ireland
36,1 July 2019 09:00,925,-,Northern Ireland
37,1 July 2019 09:15,946,-,Northern Ireland
38,1 July 2019 09:30,950,-,Northern Ireland
39,1 July 2019 09:45,957,-,Northern Ireland
40,1 July 2019 10:00,940,-,Northern Ireland
41,1 July 2019 10:15,955,-,Northern Ireland
42,1 July 2019 10:30,948,-,Northern Ireland
43,1 July 2019 10:45,937,-,Northern Ireland
44,1 July 2019 11:00,945,-,Northern Ireland
45,1 July 2019 11:15,951,-,Northern Ireland
46,1 July 2019 11:30,969,-,Northern Ireland
47,1 July 2019 11:45,964,-,Northern Ireland
48,1 July 2019 12:00,966,-,Northern Ireland
49,1 July 2019 12:15,980,-,Northern Ireland
50,1 July 2019 12:30,963,-,Northern Ireland
51,1 July 2019 12:45,956,-,Northern Ireland
52,1 July 2019 13:00,971,-,Northern Ireland
53,1 July 2019 13:15,932,-,Northern Ireland
54,1 July 2019 13:30,926,-,Northern Ireland
55,1 July 2019 13:45,928,-,Northern Ireland
56,1 July 2019 14:00,915,-,Northern Ireland
57,1 July 2019 14:15,1006,-,Northern Ireland
58,1 July 2019 14:30,911,-,Northern Ireland
59,1 July 2019 14:45,900,-,Northern Ireland
60,1 July 2019 15:00,994,-,Northern Ireland
61,1 July 2019 15:15,908,-,Northern Ireland
62,1 July 2019 15:30,913,-,Northern Ireland
63,1 July 2019 15:45,918,-,Northern Ireland
64,1 July 2019 16:00,927,-,Northern Ireland
65,1 July 2019 16:15,942,-,Northern Ireland
66,1 July 2019 16:30,951,-,Northern Ireland
67,1 July 2019 16:45,975,-,Northern Ireland
68,1 July 2019 17:00,995,-,Northern Ireland
69,1 July 2019 17:15,1005,-,Northern Ireland
70,1 July 2019 17:30,1018,-,Northern Ireland
71,1 July 2019 17:45,1009,-,Northern Ireland
72,1 July 2019 18:00,996,-,Northern Ireland
73,1 July 2019 18:15,981,-,Northern Ireland
74,1 July 2019 18:30,966,-,Northern Ireland
75,1 July 2019 18:45,960,-,Northern Ireland
76,1 July 2019 19:00,930,-,Northern Ireland
77,1 July 2019 19:15,918,-,Northern Ireland
78,1 July 2019 19:30,904,-,Northern Ireland
79,1 July 2019 19:45,889,-,Northern Ireland
80,1 July 2019 20:00,886,-,Northern Ireland
81,1 July 2019 20:15,878,-,Northern Ireland
82,1 July 2019 20:30,877,-,Northern Ireland
83,1 July 2019 20:45,881,-,Northern Ireland
84,1 July 2019 21:00,876,-,Northern Ireland
85,1 July 2019 21:15,858,-,Northern Ireland
86,1 July 2019 21:30,845,-,Northern Ireland
