,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 October 2019 00:00,658,-,Northern Ireland
1,1 October 2019 00:15,645,-,Northern Ireland
2,1 October 2019 00:30,622,-,Northern Ireland
3,1 October 2019 00:45,606,-,Northern Ireland
4,1 October 2019 01:00,603,-,Northern Ireland
5,1 October 2019 01:15,597,-,Northern Ireland
6,1 October 2019 01:30,593,-,Northern Ireland
7,1 October 2019 01:45,586,-,Northern Ireland
8,1 October 2019 02:00,577,-,Northern Ireland
9,1 October 2019 02:15,577,-,Northern Ireland
10,1 October 2019 02:30,574,-,Northern Ireland
11,1 October 2019 02:45,564,-,Northern Ireland
12,1 October 2019 03:00,556,-,Northern Ireland
13,1 October 2019 03:15,554,-,Northern Ireland
14,1 October 2019 03:30,544,-,Northern Ireland
15,1 October 2019 03:45,543,-,Northern Ireland
16,1 October 2019 04:00,538,-,Northern Ireland
17,1 October 2019 04:15,532,-,Northern Ireland
18,1 October 2019 04:30,539,-,Northern Ireland
19,1 October 2019 04:45,532,-,Northern Ireland
20,1 October 2019 05:00,541,-,Northern Ireland
21,1 October 2019 05:15,545,-,Northern Ireland
22,1 October 2019 05:30,555,-,Northern Ireland
23,1 October 2019 05:45,573,-,Northern Ireland
24,1 October 2019 06:00,612,-,Northern Ireland
25,1 October 2019 06:15,679,-,Northern Ireland
26,1 October 2019 06:30,713,-,Northern Ireland
27,1 October 2019 06:45,782,-,Northern Ireland
28,1 October 2019 07:00,839,-,Northern Ireland
29,1 October 2019 07:15,918,-,Northern Ireland
30,1 October 2019 07:30,946,-,Northern Ireland
31,1 October 2019 07:45,983,-,Northern Ireland
32,1 October 2019 08:00,1008,-,Northern Ireland
33,1 October 2019 08:15,1030,-,Northern Ireland
34,1 October 2019 08:30,1030,-,Northern Ireland
35,1 October 2019 08:45,1031,-,Northern Ireland
36,1 October 2019 09:00,1039,-,Northern Ireland
37,1 October 2019 09:15,1064,-,Northern Ireland
38,1 October 2019 09:30,1056,-,Northern Ireland
39,1 October 2019 09:45,1066,-,Northern Ireland
40,1 October 2019 10:00,1064,-,Northern Ireland
41,1 October 2019 10:15,1052,-,Northern Ireland
42,1 October 2019 10:30,1060,-,Northern Ireland
43,1 October 2019 10:45,1057,-,Northern Ireland
44,1 October 2019 11:00,1059,-,Northern Ireland
45,1 October 2019 11:15,1059,-,Northern Ireland
46,1 October 2019 11:30,1060,-,Northern Ireland
47,1 October 2019 11:45,1056,-,Northern Ireland
48,1 October 2019 12:00,1050,-,Northern Ireland
49,1 October 2019 12:15,1055,-,Northern Ireland
50,1 October 2019 12:30,1053,-,Northern Ireland
51,1 October 2019 12:45,1050,-,Northern Ireland
52,1 October 2019 13:00,1050,-,Northern Ireland
53,1 October 2019 13:15,1033,-,Northern Ireland
54,1 October 2019 13:30,1010,-,Northern Ireland
55,1 October 2019 13:45,1004,-,Northern Ireland
56,1 October 2019 14:00,1008,-,Northern Ireland
57,1 October 2019 14:15,1009,-,Northern Ireland
58,1 October 2019 14:30,999,-,Northern Ireland
59,1 October 2019 14:45,995,-,Northern Ireland
60,1 October 2019 15:00,1001,-,Northern Ireland
61,1 October 2019 15:15,994,-,Northern Ireland
62,1 October 2019 15:30,1006,-,Northern Ireland
63,1 October 2019 15:45,1010,-,Northern Ireland
64,1 October 2019 16:00,1022,-,Northern Ireland
65,1 October 2019 16:15,1042,-,Northern Ireland
66,1 October 2019 16:30,1065,-,Northern Ireland
67,1 October 2019 16:45,1098,-,Northern Ireland
68,1 October 2019 17:00,1129,-,Northern Ireland
69,1 October 2019 17:15,1136,-,Northern Ireland
70,1 October 2019 17:30,1146,-,Northern Ireland
71,1 October 2019 17:45,1134,-,Northern Ireland
72,1 October 2019 18:00,1132,-,Northern Ireland
73,1 October 2019 18:15,1118,-,Northern Ireland
74,1 October 2019 18:30,1109,-,Northern Ireland
75,1 October 2019 18:45,1104,-,Northern Ireland
76,1 October 2019 19:00,1110,-,Northern Ireland
77,1 October 2019 19:15,1140,-,Northern Ireland
78,1 October 2019 19:30,1178,-,Northern Ireland
79,1 October 2019 19:45,1177,-,Northern Ireland
80,1 October 2019 20:00,1166,-,Northern Ireland
81,1 October 2019 20:15,1150,-,Northern Ireland
82,1 October 2019 20:30,1129,-,Northern Ireland
83,1 October 2019 20:45,1107,-,Northern Ireland
84,1 October 2019 21:00,1093,-,Northern Ireland
85,1 October 2019 21:15,1056,-,Northern Ireland
86,1 October 2019 21:30,1020,-,Northern Ireland
87,1 October 2019 21:45,996,-,Northern Ireland
88,1 October 2019 22:00,960,-,Northern Ireland
89,1 October 2019 22:15,925,-,Northern Ireland
90,1 October 2019 22:30,886,-,Northern Ireland
91,1 October 2019 22:45,843,-,Northern Ireland
92,1 October 2019 23:00,806,-,Northern Ireland
93,1 October 2019 23:15,764,-,Northern Ireland
94,1 October 2019 23:30,746,-,Northern Ireland
95,1 October 2019 23:45,717,-,Northern Ireland
96,2 October 2019 00:00,689,-,Northern Ireland
97,2 October 2019 00:15,681,-,Northern Ireland
98,2 October 2019 00:30,655,-,Northern Ireland
99,2 October 2019 00:45,644,-,Northern Ireland
100,2 October 2019 01:00,637,-,Northern Ireland
101,2 October 2019 01:15,629,-,Northern Ireland
102,2 October 2019 01:30,623,-,Northern Ireland
103,2 October 2019 01:45,621,-,Northern Ireland
104,2 October 2019 02:00,619,-,Northern Ireland
105,2 October 2019 02:15,621,-,Northern Ireland
106,2 October 2019 02:30,616,-,Northern Ireland
107,2 October 2019 02:45,611,-,Northern Ireland
108,2 October 2019 03:00,608,-,Northern Ireland
109,2 October 2019 03:15,606,-,Northern Ireland
110,2 October 2019 03:30,603,-,Northern Ireland
111,2 October 2019 03:45,604,-,Northern Ireland
112,2 October 2019 04:00,604,-,Northern Ireland
113,2 October 2019 04:15,608,-,Northern Ireland
114,2 October 2019 04:30,608,-,Northern Ireland
115,2 October 2019 04:45,609,-,Northern Ireland
116,2 October 2019 05:00,614,-,Northern Ireland
117,2 October 2019 05:15,636,-,Northern Ireland
118,2 October 2019 05:30,642,-,Northern Ireland
119,2 October 2019 05:45,663,-,Northern Ireland
120,2 October 2019 06:00,700,-,Northern Ireland
121,2 October 2019 06:15,756,-,Northern Ireland
122,2 October 2019 06:30,792,-,Northern Ireland
123,2 October 2019 06:45,838,-,Northern Ireland
124,2 October 2019 07:00,904,-,Northern Ireland
125,2 October 2019 07:15,983,-,Northern Ireland
126,2 October 2019 07:30,1018,-,Northern Ireland
127,2 October 2019 07:45,1054,-,Northern Ireland
128,2 October 2019 08:00,1077,-,Northern Ireland
129,2 October 2019 08:15,1098,-,Northern Ireland
130,2 October 2019 08:30,1097,-,Northern Ireland
131,2 October 2019 08:45,1104,-,Northern Ireland
132,2 October 2019 09:00,1115,-,Northern Ireland
133,2 October 2019 09:15,1126,-,Northern Ireland
134,2 October 2019 09:30,1123,-,Northern Ireland
135,2 October 2019 09:45,1120,-,Northern Ireland
136,2 October 2019 10:00,1119,-,Northern Ireland
137,2 October 2019 10:15,1107,-,Northern Ireland
138,2 October 2019 10:30,1110,-,Northern Ireland
139,2 October 2019 10:45,1101,-,Northern Ireland
140,2 October 2019 11:00,1095,-,Northern Ireland
141,2 October 2019 11:15,1084,-,Northern Ireland
142,2 October 2019 11:30,1070,-,Northern Ireland
143,2 October 2019 11:45,1071,-,Northern Ireland
144,2 October 2019 12:00,1070,-,Northern Ireland
145,2 October 2019 12:15,1075,-,Northern Ireland
146,2 October 2019 12:30,1078,-,Northern Ireland
147,2 October 2019 12:45,1076,-,Northern Ireland
148,2 October 2019 13:00,1065,-,Northern Ireland
149,2 October 2019 13:15,1048,-,Northern Ireland
150,2 October 2019 13:30,1038,-,Northern Ireland
151,2 October 2019 13:45,1037,-,Northern Ireland
152,2 October 2019 14:00,1031,-,Northern Ireland
153,2 October 2019 14:15,1040,-,Northern Ireland
154,2 October 2019 14:30,1032,-,Northern Ireland
155,2 October 2019 14:45,1031,-,Northern Ireland
156,2 October 2019 15:00,1027,-,Northern Ireland
157,2 October 2019 15:15,1039,-,Northern Ireland
158,2 October 2019 15:30,1049,-,Northern Ireland
159,2 October 2019 15:45,1063,-,Northern Ireland
160,2 October 2019 16:00,1083,-,Northern Ireland
161,2 October 2019 16:15,1112,-,Northern Ireland
162,2 October 2019 16:30,1141,-,Northern Ireland
163,2 October 2019 16:45,1168,-,Northern Ireland
164,2 October 2019 17:00,1186,-,Northern Ireland
165,2 October 2019 17:15,1196,-,Northern Ireland
166,2 October 2019 17:30,1210,-,Northern Ireland
167,2 October 2019 17:45,1207,-,Northern Ireland
168,2 October 2019 18:00,1195,-,Northern Ireland
169,2 October 2019 18:15,1181,-,Northern Ireland
170,2 October 2019 18:30,1175,-,Northern Ireland
171,2 October 2019 18:45,1174,-,Northern Ireland
172,2 October 2019 19:00,1177,-,Northern Ireland
173,2 October 2019 19:15,1222,-,Northern Ireland
174,2 October 2019 19:30,1229,-,Northern Ireland
175,2 October 2019 19:45,1219,-,Northern Ireland
176,2 October 2019 20:00,1201,-,Northern Ireland
177,2 October 2019 20:15,1187,-,Northern Ireland
178,2 October 2019 20:30,1161,-,Northern Ireland
179,2 October 2019 20:45,1140,-,Northern Ireland
180,2 October 2019 21:00,1126,-,Northern Ireland
181,2 October 2019 21:15,1090,-,Northern Ireland
182,2 October 2019 21:30,1049,-,Northern Ireland
183,2 October 2019 21:45,1018,-,Northern Ireland
184,2 October 2019 22:00,990,-,Northern Ireland
185,2 October 2019 22:15,947,-,Northern Ireland
186,2 October 2019 22:30,909,-,Northern Ireland
187,2 October 2019 22:45,873,-,Northern Ireland
188,2 October 2019 23:00,834,-,Northern Ireland
189,2 October 2019 23:15,799,-,Northern Ireland
190,2 October 2019 23:30,770,-,Northern Ireland
191,2 October 2019 23:45,748,-,Northern Ireland
192,3 October 2019 00:00,720,-,Northern Ireland
193,3 October 2019 00:15,701,-,Northern Ireland
194,3 October 2019 00:30,685,-,Northern Ireland
195,3 October 2019 00:45,665,-,Northern Ireland
196,3 October 2019 01:00,659,-,Northern Ireland
197,3 October 2019 01:15,648,-,Northern Ireland
198,3 October 2019 01:30,643,-,Northern Ireland
199,3 October 2019 01:45,637,-,Northern Ireland
200,3 October 2019 02:00,634,-,Northern Ireland
201,3 October 2019 02:15,639,-,Northern Ireland
202,3 October 2019 02:30,635,-,Northern Ireland
203,3 October 2019 02:45,630,-,Northern Ireland
204,3 October 2019 03:00,626,-,Northern Ireland
205,3 October 2019 03:15,620,-,Northern Ireland
206,3 October 2019 03:30,619,-,Northern Ireland
207,3 October 2019 03:45,616,-,Northern Ireland
208,3 October 2019 04:00,613,-,Northern Ireland
209,3 October 2019 04:15,614,-,Northern Ireland
210,3 October 2019 04:30,619,-,Northern Ireland
211,3 October 2019 04:45,619,-,Northern Ireland
212,3 October 2019 05:00,633,-,Northern Ireland
213,3 October 2019 05:15,646,-,Northern Ireland
214,3 October 2019 05:30,657,-,Northern Ireland
215,3 October 2019 05:45,666,-,Northern Ireland
216,3 October 2019 06:00,701,-,Northern Ireland
217,3 October 2019 06:15,755,-,Northern Ireland
218,3 October 2019 06:30,788,-,Northern Ireland
219,3 October 2019 06:45,843,-,Northern Ireland
220,3 October 2019 07:00,898,-,Northern Ireland
221,3 October 2019 07:15,984,-,Northern Ireland
222,3 October 2019 07:30,1015,-,Northern Ireland
223,3 October 2019 07:45,1057,-,Northern Ireland
224,3 October 2019 08:00,1089,-,Northern Ireland
225,3 October 2019 08:15,1106,-,Northern Ireland
226,3 October 2019 08:30,1102,-,Northern Ireland
