,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 December 2020 00:00,744,-,Northern Ireland
1,1 December 2020 00:15,730,-,Northern Ireland
2,1 December 2020 00:30,716,-,Northern Ireland
3,1 December 2020 00:45,700,-,Northern Ireland
4,1 December 2020 01:00,699,-,Northern Ireland
5,1 December 2020 01:15,713,-,Northern Ireland
6,1 December 2020 01:30,708,-,Northern Ireland
7,1 December 2020 01:45,700,-,Northern Ireland
8,1 December 2020 02:00,694,-,Northern Ireland
9,1 December 2020 02:15,690,-,Northern Ireland
10,1 December 2020 02:30,680,-,Northern Ireland
11,1 December 2020 02:45,670,-,Northern Ireland
12,1 December 2020 03:00,666,-,Northern Ireland
13,1 December 2020 03:15,666,-,Northern Ireland
14,1 December 2020 03:30,667,-,Northern Ireland
15,1 December 2020 03:45,662,-,Northern Ireland
16,1 December 2020 04:00,662,-,Northern Ireland
17,1 December 2020 04:15,668,-,Northern Ireland
18,1 December 2020 04:30,669,-,Northern Ireland
19,1 December 2020 04:45,677,-,Northern Ireland
20,1 December 2020 05:00,682,-,Northern Ireland
21,1 December 2020 05:15,686,-,Northern Ireland
22,1 December 2020 05:30,695,-,Northern Ireland
23,1 December 2020 05:45,714,-,Northern Ireland
24,1 December 2020 06:00,743,-,Northern Ireland
25,1 December 2020 06:15,791,-,Northern Ireland
26,1 December 2020 06:30,828,-,Northern Ireland
27,1 December 2020 06:45,874,-,Northern Ireland
28,1 December 2020 07:00,926,-,Northern Ireland
29,1 December 2020 07:15,1018,-,Northern Ireland
30,1 December 2020 07:30,1067,-,Northern Ireland
31,1 December 2020 07:45,1110,-,Northern Ireland
32,1 December 2020 08:00,1149,-,Northern Ireland
33,1 December 2020 08:15,1163,-,Northern Ireland
34,1 December 2020 08:30,1161,-,Northern Ireland
35,1 December 2020 08:45,1179,-,Northern Ireland
36,1 December 2020 09:00,1184,-,Northern Ireland
37,1 December 2020 09:15,1197,-,Northern Ireland
38,1 December 2020 09:30,1203,-,Northern Ireland
39,1 December 2020 09:45,1212,-,Northern Ireland
40,1 December 2020 10:00,1210,-,Northern Ireland
41,1 December 2020 10:15,1197,-,Northern Ireland
42,1 December 2020 10:30,1205,-,Northern Ireland
43,1 December 2020 10:45,1205,-,Northern Ireland
44,1 December 2020 11:00,1208,-,Northern Ireland
45,1 December 2020 11:15,1209,-,Northern Ireland
46,1 December 2020 11:30,1210,-,Northern Ireland
47,1 December 2020 11:45,1209,-,Northern Ireland
48,1 December 2020 12:00,1217,-,Northern Ireland
49,1 December 2020 12:15,1220,-,Northern Ireland
50,1 December 2020 12:30,1226,-,Northern Ireland
51,1 December 2020 12:45,1228,-,Northern Ireland
52,1 December 2020 13:00,1219,-,Northern Ireland
53,1 December 2020 13:15,1209,-,Northern Ireland
54,1 December 2020 13:30,1184,-,Northern Ireland
55,1 December 2020 13:45,1186,-,Northern Ireland
56,1 December 2020 14:00,1177,-,Northern Ireland
57,1 December 2020 14:15,1186,-,Northern Ireland
58,1 December 2020 14:30,1182,-,Northern Ireland
59,1 December 2020 14:45,1179,-,Northern Ireland
60,1 December 2020 15:00,1180,-,Northern Ireland
61,1 December 2020 15:15,1199,-,Northern Ireland
62,1 December 2020 15:30,1216,-,Northern Ireland
63,1 December 2020 15:45,1233,-,Northern Ireland
64,1 December 2020 16:00,1255,-,Northern Ireland
65,1 December 2020 16:15,1306,-,Northern Ireland
66,1 December 2020 16:30,1388,-,Northern Ireland
67,1 December 2020 16:45,1440,-,Northern Ireland
68,1 December 2020 17:00,1467,-,Northern Ireland
69,1 December 2020 17:15,1484,-,Northern Ireland
70,1 December 2020 17:30,1491,-,Northern Ireland
71,1 December 2020 17:45,1462,-,Northern Ireland
72,1 December 2020 18:00,1424,-,Northern Ireland
73,1 December 2020 18:15,1371,-,Northern Ireland
74,1 December 2020 18:30,1345,-,Northern Ireland
75,1 December 2020 18:45,1323,-,Northern Ireland
76,1 December 2020 19:00,1282,-,Northern Ireland
77,1 December 2020 19:15,1267,-,Northern Ireland
78,1 December 2020 19:30,1246,-,Northern Ireland
79,1 December 2020 19:45,1239,-,Northern Ireland
80,1 December 2020 20:00,1204,-,Northern Ireland
81,1 December 2020 20:15,1177,-,Northern Ireland
82,1 December 2020 20:30,1153,-,Northern Ireland
83,1 December 2020 20:45,1134,-,Northern Ireland
84,1 December 2020 21:00,1121,-,Northern Ireland
85,1 December 2020 21:15,1075,-,Northern Ireland
86,1 December 2020 21:30,1041,-,Northern Ireland
87,1 December 2020 21:45,1017,-,Northern Ireland
88,1 December 2020 22:00,991,-,Northern Ireland
89,1 December 2020 22:15,948,-,Northern Ireland
90,1 December 2020 22:30,919,-,Northern Ireland
91,1 December 2020 22:45,888,-,Northern Ireland
92,1 December 2020 23:00,848,-,Northern Ireland
93,1 December 2020 23:15,819,-,Northern Ireland
94,1 December 2020 23:30,784,-,Northern Ireland
95,1 December 2020 23:45,763,-,Northern Ireland
96,2 December 2020 00:00,733,-,Northern Ireland
97,2 December 2020 00:15,714,-,Northern Ireland
98,2 December 2020 00:30,694,-,Northern Ireland
99,2 December 2020 00:45,685,-,Northern Ireland
100,2 December 2020 01:00,680,-,Northern Ireland
101,2 December 2020 01:15,696,-,Northern Ireland
102,2 December 2020 01:30,680,-,Northern Ireland
103,2 December 2020 01:45,675,-,Northern Ireland
104,2 December 2020 02:00,667,-,Northern Ireland
105,2 December 2020 02:15,659,-,Northern Ireland
106,2 December 2020 02:30,652,-,Northern Ireland
107,2 December 2020 02:45,643,-,Northern Ireland
