,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 March 2020 00:00,654,-,Northern Ireland
1,1 March 2020 00:15,637,-,Northern Ireland
2,1 March 2020 00:30,622,-,Northern Ireland
3,1 March 2020 00:45,606,-,Northern Ireland
4,1 March 2020 01:00,601,-,Northern Ireland
5,1 March 2020 01:15,614,-,Northern Ireland
6,1 March 2020 01:30,608,-,Northern Ireland
7,1 March 2020 01:45,585,-,Northern Ireland
8,1 March 2020 02:00,580,-,Northern Ireland
9,1 March 2020 02:15,575,-,Northern Ireland
10,1 March 2020 02:30,568,-,Northern Ireland
11,1 March 2020 02:45,558,-,Northern Ireland
12,1 March 2020 03:00,554,-,Northern Ireland
13,1 March 2020 03:15,550,-,Northern Ireland
14,1 March 2020 03:30,544,-,Northern Ireland
15,1 March 2020 03:45,538,-,Northern Ireland
16,1 March 2020 04:00,544,-,Northern Ireland
17,1 March 2020 04:15,544,-,Northern Ireland
18,1 March 2020 04:30,536,-,Northern Ireland
19,1 March 2020 04:45,532,-,Northern Ireland
20,1 March 2020 05:00,537,-,Northern Ireland
21,1 March 2020 05:15,537,-,Northern Ireland
22,1 March 2020 05:30,531,-,Northern Ireland
23,1 March 2020 05:45,540,-,Northern Ireland
24,1 March 2020 06:00,555,-,Northern Ireland
25,1 March 2020 06:15,578,-,Northern Ireland
26,1 March 2020 06:30,584,-,Northern Ireland
27,1 March 2020 06:45,595,-,Northern Ireland
28,1 March 2020 07:00,597,-,Northern Ireland
29,1 March 2020 07:15,615,-,Northern Ireland
30,1 March 2020 07:30,628,-,Northern Ireland
31,1 March 2020 07:45,653,-,Northern Ireland
32,1 March 2020 08:00,676,-,Northern Ireland
33,1 March 2020 08:15,705,-,Northern Ireland
34,1 March 2020 08:30,723,-,Northern Ireland
35,1 March 2020 08:45,759,-,Northern Ireland
36,1 March 2020 09:00,789,-,Northern Ireland
37,1 March 2020 09:15,816,-,Northern Ireland
38,1 March 2020 09:30,839,-,Northern Ireland
39,1 March 2020 09:45,862,-,Northern Ireland
40,1 March 2020 10:00,891,-,Northern Ireland
41,1 March 2020 10:15,906,-,Northern Ireland
42,1 March 2020 10:30,901,-,Northern Ireland
43,1 March 2020 10:45,907,-,Northern Ireland
44,1 March 2020 11:00,922,-,Northern Ireland
45,1 March 2020 11:15,927,-,Northern Ireland
46,1 March 2020 11:30,938,-,Northern Ireland
47,1 March 2020 11:45,950,-,Northern Ireland
48,1 March 2020 12:00,957,-,Northern Ireland
49,1 March 2020 12:15,979,-,Northern Ireland
50,1 March 2020 12:30,993,-,Northern Ireland
51,1 March 2020 12:45,995,-,Northern Ireland
52,1 March 2020 13:00,998,-,Northern Ireland
53,1 March 2020 13:15,988,-,Northern Ireland
54,1 March 2020 13:30,976,-,Northern Ireland
55,1 March 2020 13:45,960,-,Northern Ireland
56,1 March 2020 14:00,934,-,Northern Ireland
57,1 March 2020 14:15,939,-,Northern Ireland
58,1 March 2020 14:30,931,-,Northern Ireland
59,1 March 2020 14:45,940,-,Northern Ireland
60,1 March 2020 15:00,949,-,Northern Ireland
61,1 March 2020 15:15,940,-,Northern Ireland
62,1 March 2020 15:30,949,-,Northern Ireland
63,1 March 2020 15:45,960,-,Northern Ireland
64,1 March 2020 16:00,977,-,Northern Ireland
65,1 March 2020 16:15,999,-,Northern Ireland
66,1 March 2020 16:30,1030,-,Northern Ireland
