,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 October 2017 00:00,658.0,Northern Ireland
1,1 October 2017 00:15,639.0,Northern Ireland
2,1 October 2017 00:30,624.0,Northern Ireland
3,1 October 2017 00:45,581.0,Northern Ireland
4,1 October 2017 01:00,572.0,Northern Ireland
5,1 October 2017 01:15,552.0,Northern Ireland
6,1 October 2017 01:30,531.0,Northern Ireland
7,1 October 2017 01:45,542.0,Northern Ireland
8,1 October 2017 02:00,539.0,Northern Ireland
9,1 October 2017 02:15,537.0,Northern Ireland
10,1 October 2017 02:30,537.0,Northern Ireland
11,1 October 2017 02:45,523.0,Northern Ireland
12,1 October 2017 03:00,520.0,Northern Ireland
13,1 October 2017 03:15,513.0,Northern Ireland
14,1 October 2017 03:30,453.0,Northern Ireland
15,1 October 2017 03:45,443.0,Northern Ireland
16,1 October 2017 04:00,451.0,Northern Ireland
17,1 October 2017 04:15,464.0,Northern Ireland
18,1 October 2017 04:30,473.0,Northern Ireland
19,1 October 2017 04:45,474.0,Northern Ireland
20,1 October 2017 05:00,482.0,Northern Ireland
21,1 October 2017 05:15,491.0,Northern Ireland
22,1 October 2017 05:30,493.0,Northern Ireland
23,1 October 2017 05:45,484.0,Northern Ireland
24,1 October 2017 06:00,493.0,Northern Ireland
25,1 October 2017 06:15,496.0,Northern Ireland
26,1 October 2017 06:30,505.0,Northern Ireland
27,1 October 2017 06:45,516.0,Northern Ireland
28,1 October 2017 07:00,531.0,Northern Ireland
29,1 October 2017 07:15,545.0,Northern Ireland
30,1 October 2017 07:30,538.0,Northern Ireland
31,1 October 2017 07:45,558.0,Northern Ireland
32,1 October 2017 08:00,566.0,Northern Ireland
33,1 October 2017 08:15,595.0,Northern Ireland
34,1 October 2017 08:30,636.0,Northern Ireland
35,1 October 2017 08:45,655.0,Northern Ireland
36,1 October 2017 09:00,688.0,Northern Ireland
37,1 October 2017 09:15,713.0,Northern Ireland
38,1 October 2017 09:30,744.0,Northern Ireland
39,1 October 2017 09:45,776.0,Northern Ireland
40,1 October 2017 10:00,795.0,Northern Ireland
41,1 October 2017 10:15,808.0,Northern Ireland
42,1 October 2017 10:30,826.0,Northern Ireland
43,1 October 2017 10:45,824.0,Northern Ireland
44,1 October 2017 11:00,838.0,Northern Ireland
45,1 October 2017 11:15,873.0,Northern Ireland
46,1 October 2017 11:30,865.0,Northern Ireland
47,1 October 2017 11:45,857.0,Northern Ireland
48,1 October 2017 12:00,865.0,Northern Ireland
49,1 October 2017 12:15,872.0,Northern Ireland
50,1 October 2017 12:30,882.0,Northern Ireland
51,1 October 2017 12:45,882.0,Northern Ireland
52,1 October 2017 13:00,885.0,Northern Ireland
53,1 October 2017 13:15,883.0,Northern Ireland
54,1 October 2017 13:30,858.0,Northern Ireland
55,1 October 2017 13:45,834.0,Northern Ireland
56,1 October 2017 14:00,818.0,Northern Ireland
57,1 October 2017 14:15,810.0,Northern Ireland
58,1 October 2017 14:30,792.0,Northern Ireland
59,1 October 2017 14:45,796.0,Northern Ireland
60,1 October 2017 15:00,790.0,Northern Ireland
61,1 October 2017 15:15,808.0,Northern Ireland
62,1 October 2017 15:30,811.0,Northern Ireland
63,1 October 2017 15:45,807.0,Northern Ireland
64,1 October 2017 16:00,821.0,Northern Ireland
65,1 October 2017 16:15,835.0,Northern Ireland
66,1 October 2017 16:30,845.0,Northern Ireland
67,1 October 2017 16:45,846.0,Northern Ireland
68,1 October 2017 17:00,861.0,Northern Ireland
69,1 October 2017 17:15,872.0,Northern Ireland
70,1 October 2017 17:30,900.0,Northern Ireland
71,1 October 2017 17:45,903.0,Northern Ireland
72,1 October 2017 18:00,906.0,Northern Ireland
73,1 October 2017 18:15,902.0,Northern Ireland
74,1 October 2017 18:30,912.0,Northern Ireland
75,1 October 2017 18:45,918.0,Northern Ireland
76,1 October 2017 19:00,929.0,Northern Ireland
77,1 October 2017 19:15,959.0,Northern Ireland
78,1 October 2017 19:30,971.0,Northern Ireland
79,1 October 2017 19:45,969.0,Northern Ireland
80,1 October 2017 20:00,960.0,Northern Ireland
81,1 October 2017 20:15,950.0,Northern Ireland
