,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 January 2018 00:00,600,Northern Ireland
1,1 January 2018 00:15,586,Northern Ireland
2,1 January 2018 00:30,581,Northern Ireland
3,1 January 2018 00:45,569,Northern Ireland
4,1 January 2018 01:00,581,Northern Ireland
5,1 January 2018 01:15,590,Northern Ireland
6,1 January 2018 01:30,568,Northern Ireland
7,1 January 2018 01:45,560,Northern Ireland
8,1 January 2018 02:00,536,Northern Ireland
9,1 January 2018 02:15,530,Northern Ireland
10,1 January 2018 02:30,513,Northern Ireland
11,1 January 2018 02:45,458,Northern Ireland
12,1 January 2018 03:00,448,Northern Ireland
13,1 January 2018 03:15,443,Northern Ireland
14,1 January 2018 03:30,443,Northern Ireland
15,1 January 2018 03:45,438,Northern Ireland
16,1 January 2018 04:00,425,Northern Ireland
17,1 January 2018 04:15,427,Northern Ireland
18,1 January 2018 04:30,418,Northern Ireland
19,1 January 2018 04:45,427,Northern Ireland
20,1 January 2018 05:00,445,Northern Ireland
21,1 January 2018 05:15,436,Northern Ireland
22,1 January 2018 05:30,448,Northern Ireland
23,1 January 2018 05:45,446,Northern Ireland
24,1 January 2018 06:00,451,Northern Ireland
25,1 January 2018 06:15,463,Northern Ireland
26,1 January 2018 06:30,463,Northern Ireland
27,1 January 2018 06:45,478,Northern Ireland
28,1 January 2018 07:00,471,Northern Ireland
29,1 January 2018 07:15,485,Northern Ireland
30,1 January 2018 07:30,494,Northern Ireland
31,1 January 2018 07:45,508,Northern Ireland
32,1 January 2018 08:00,513,Northern Ireland
33,1 January 2018 08:15,533,Northern Ireland
34,1 January 2018 08:30,554,Northern Ireland
35,1 January 2018 08:45,541,Northern Ireland
36,1 January 2018 09:00,550,Northern Ireland
37,1 January 2018 09:15,570,Northern Ireland
38,1 January 2018 09:30,586,Northern Ireland
39,1 January 2018 09:45,577,Northern Ireland
40,1 January 2018 10:00,596,Northern Ireland
41,1 January 2018 10:15,627,Northern Ireland
42,1 January 2018 10:30,646,Northern Ireland
43,1 January 2018 10:45,669,Northern Ireland
44,1 January 2018 11:00,675,Northern Ireland
45,1 January 2018 11:15,693,Northern Ireland
46,1 January 2018 11:30,720,Northern Ireland
47,1 January 2018 11:45,746,Northern Ireland
48,1 January 2018 12:00,766,Northern Ireland
49,1 January 2018 12:15,799,Northern Ireland
50,1 January 2018 12:30,819,Northern Ireland
51,1 January 2018 12:45,829,Northern Ireland
52,1 January 2018 13:00,827,Northern Ireland
53,1 January 2018 13:15,843,Northern Ireland
54,1 January 2018 13:30,834,Northern Ireland
55,1 January 2018 13:45,820,Northern Ireland
56,1 January 2018 14:00,820,Northern Ireland
57,1 January 2018 14:15,795,Northern Ireland
58,1 January 2018 14:30,790,Northern Ireland
59,1 January 2018 14:45,796,Northern Ireland
60,1 January 2018 15:00,784,Northern Ireland
61,1 January 2018 15:15,793,Northern Ireland
62,1 January 2018 15:30,809,Northern Ireland
63,1 January 2018 15:45,803,Northern Ireland
64,1 January 2018 16:00,829,Northern Ireland
65,1 January 2018 16:15,820,Northern Ireland
66,1 January 2018 16:30,883,Northern Ireland
67,1 January 2018 16:45,915,Northern Ireland
68,1 January 2018 17:00,942,Northern Ireland
69,1 January 2018 17:15,958,Northern Ireland
70,1 January 2018 17:30,970,Northern Ireland
71,1 January 2018 17:45,948,Northern Ireland
72,1 January 2018 18:00,1034,Northern Ireland
73,1 January 2018 18:15,1006,Northern Ireland
74,1 January 2018 18:30,996,Northern Ireland
75,1 January 2018 18:45,988,Northern Ireland
76,1 January 2018 19:00,978,Northern Ireland
77,1 January 2018 19:15,970,Northern Ireland
78,1 January 2018 19:30,952,Northern Ireland
79,1 January 2018 19:45,936,Northern Ireland
80,1 January 2018 20:00,932,Northern Ireland
81,1 January 2018 20:15,920,Northern Ireland
82,1 January 2018 20:30,881,Northern Ireland
83,1 January 2018 20:45,875,Northern Ireland
84,1 January 2018 21:00,856,Northern Ireland
85,1 January 2018 21:15,857,Northern Ireland
