,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 July 2018 00:00,737,Northern Ireland
1,1 July 2018 00:15,718,Northern Ireland
2,1 July 2018 00:30,702,Northern Ireland
3,1 July 2018 00:45,688,Northern Ireland
4,1 July 2018 01:00,678,Northern Ireland
5,1 July 2018 01:15,665,Northern Ireland
6,1 July 2018 01:30,655,Northern Ireland
7,1 July 2018 01:45,643,Northern Ireland
8,1 July 2018 02:00,634,Northern Ireland
9,1 July 2018 02:15,637,Northern Ireland
10,1 July 2018 02:30,627,Northern Ireland
11,1 July 2018 02:45,626,Northern Ireland
12,1 July 2018 03:00,618,Northern Ireland
13,1 July 2018 03:15,610,Northern Ireland
14,1 July 2018 03:30,607,Northern Ireland
15,1 July 2018 03:45,599,Northern Ireland
16,1 July 2018 04:00,595,Northern Ireland
17,1 July 2018 04:15,595,Northern Ireland
18,1 July 2018 04:30,578,Northern Ireland
19,1 July 2018 04:45,568,Northern Ireland
20,1 July 2018 05:00,564,Northern Ireland
21,1 July 2018 05:15,561,Northern Ireland
22,1 July 2018 05:30,558,Northern Ireland
23,1 July 2018 05:45,558,Northern Ireland
24,1 July 2018 06:00,568,Northern Ireland
25,1 July 2018 06:15,575,Northern Ireland
26,1 July 2018 06:30,582,Northern Ireland
27,1 July 2018 06:45,585,Northern Ireland
28,1 July 2018 07:00,595,Northern Ireland
29,1 July 2018 07:15,612,Northern Ireland
30,1 July 2018 07:30,610,Northern Ireland
31,1 July 2018 07:45,621,Northern Ireland
32,1 July 2018 08:00,630,Northern Ireland
33,1 July 2018 08:15,646,Northern Ireland
34,1 July 2018 08:30,660,Northern Ireland
35,1 July 2018 08:45,672,Northern Ireland
36,1 July 2018 09:00,691,Northern Ireland
37,1 July 2018 09:15,708,Northern Ireland
38,1 July 2018 09:30,709,Northern Ireland
39,1 July 2018 09:45,723,Northern Ireland
40,1 July 2018 10:00,718,Northern Ireland
41,1 July 2018 10:15,732,Northern Ireland
42,1 July 2018 10:30,736,Northern Ireland
43,1 July 2018 10:45,729,Northern Ireland
44,1 July 2018 11:00,724,Northern Ireland
45,1 July 2018 11:15,740,Northern Ireland
46,1 July 2018 11:30,732,Northern Ireland
47,1 July 2018 11:45,742,Northern Ireland
48,1 July 2018 12:00,750,Northern Ireland
49,1 July 2018 12:15,756,Northern Ireland
50,1 July 2018 12:30,749,Northern Ireland
51,1 July 2018 12:45,750,Northern Ireland
52,1 July 2018 13:00,759,Northern Ireland
53,1 July 2018 13:15,753,Northern Ireland
54,1 July 2018 13:30,734,Northern Ireland
55,1 July 2018 13:45,725,Northern Ireland
56,1 July 2018 14:00,725,Northern Ireland
57,1 July 2018 14:15,705,Northern Ireland
58,1 July 2018 14:30,690,Northern Ireland
59,1 July 2018 14:45,688,Northern Ireland
60,1 July 2018 15:00,689,Northern Ireland
61,1 July 2018 15:15,679,Northern Ireland
62,1 July 2018 15:30,672,Northern Ireland
63,1 July 2018 15:45,683,Northern Ireland
64,1 July 2018 16:00,699,Northern Ireland
65,1 July 2018 16:15,682,Northern Ireland
66,1 July 2018 16:30,680,Northern Ireland
67,1 July 2018 16:45,707,Northern Ireland
68,1 July 2018 17:00,723,Northern Ireland
69,1 July 2018 17:15,726,Northern Ireland
70,1 July 2018 17:30,719,Northern Ireland
71,1 July 2018 17:45,733,Northern Ireland
72,1 July 2018 18:00,752,Northern Ireland
73,1 July 2018 18:15,750,Northern Ireland
74,1 July 2018 18:30,748,Northern Ireland
75,1 July 2018 18:45,743,Northern Ireland
76,1 July 2018 19:00,749,Northern Ireland
77,1 July 2018 19:15,750,Northern Ireland
78,1 July 2018 19:30,744,Northern Ireland
79,1 July 2018 19:45,752,Northern Ireland
80,1 July 2018 20:00,764,Northern Ireland
81,1 July 2018 20:15,757,Northern Ireland
82,1 July 2018 20:30,749,Northern Ireland
83,1 July 2018 20:45,747,Northern Ireland
84,1 July 2018 21:00,746,Northern Ireland
85,1 July 2018 21:15,735,Northern Ireland
86,1 July 2018 21:30,723,Northern Ireland
87,1 July 2018 21:45,717,Northern Ireland
88,1 July 2018 22:00,731,Northern Ireland
89,1 July 2018 22:15,752,Northern Ireland
90,1 July 2018 22:30,755,Northern Ireland
91,1 July 2018 22:45,752,Northern Ireland
92,1 July 2018 23:00,737,Northern Ireland
93,1 July 2018 23:15,703,Northern Ireland
94,1 July 2018 23:30,674,Northern Ireland
95,1 July 2018 23:45,645,Northern Ireland
96,2 July 2018 00:00,634,Northern Ireland
97,2 July 2018 00:15,616,Northern Ireland
98,2 July 2018 00:30,601,Northern Ireland
99,2 July 2018 00:45,593,Northern Ireland
100,2 July 2018 01:00,577,Northern Ireland
101,2 July 2018 01:15,570,Northern Ireland
102,2 July 2018 01:30,554,Northern Ireland
103,2 July 2018 01:45,543,Northern Ireland
104,2 July 2018 02:00,536,Northern Ireland
105,2 July 2018 02:15,536,Northern Ireland
106,2 July 2018 02:30,534,Northern Ireland
107,2 July 2018 02:45,521,Northern Ireland
108,2 July 2018 03:00,502,Northern Ireland
109,2 July 2018 03:15,499,Northern Ireland
110,2 July 2018 03:30,491,Northern Ireland
111,2 July 2018 03:45,478,Northern Ireland
112,2 July 2018 04:00,479,Northern Ireland
113,2 July 2018 04:15,471,Northern Ireland
114,2 July 2018 04:30,460,Northern Ireland
115,2 July 2018 04:45,454,Northern Ireland
116,2 July 2018 05:00,456,Northern Ireland
117,2 July 2018 05:15,466,Northern Ireland
118,2 July 2018 05:30,476,Northern Ireland
119,2 July 2018 05:45,494,Northern Ireland
120,2 July 2018 06:00,544,Northern Ireland
121,2 July 2018 06:15,593,Northern Ireland
122,2 July 2018 06:30,620,Northern Ireland
123,2 July 2018 06:45,645,Northern Ireland
124,2 July 2018 07:00,677,Northern Ireland
125,2 July 2018 07:15,734,Northern Ireland
126,2 July 2018 07:30,750,Northern Ireland
127,2 July 2018 07:45,770,Northern Ireland
