,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 June 2018 00:00,652,Northern Ireland
1,1 June 2018 00:15,614,Northern Ireland
2,1 June 2018 00:30,591,Northern Ireland
3,1 June 2018 00:45,577,Northern Ireland
4,1 June 2018 01:00,559,Northern Ireland
5,1 June 2018 01:15,553,Northern Ireland
6,1 June 2018 01:30,548,Northern Ireland
7,1 June 2018 01:45,542,Northern Ireland
8,1 June 2018 02:00,537,Northern Ireland
9,1 June 2018 02:15,537,Northern Ireland
10,1 June 2018 02:30,534,Northern Ireland
11,1 June 2018 02:45,527,Northern Ireland
12,1 June 2018 03:00,515,Northern Ireland
13,1 June 2018 03:15,516,Northern Ireland
14,1 June 2018 03:30,514,Northern Ireland
15,1 June 2018 03:45,513,Northern Ireland
16,1 June 2018 04:00,511,Northern Ireland
17,1 June 2018 04:15,503,Northern Ireland
18,1 June 2018 04:30,492,Northern Ireland
19,1 June 2018 04:45,484,Northern Ireland
20,1 June 2018 05:00,487,Northern Ireland
21,1 June 2018 05:15,494,Northern Ireland
22,1 June 2018 05:30,496,Northern Ireland
23,1 June 2018 05:45,517,Northern Ireland
24,1 June 2018 06:00,535,Northern Ireland
25,1 June 2018 06:15,475,Northern Ireland
26,1 June 2018 06:30,501,Northern Ireland
27,1 June 2018 06:45,529,Northern Ireland
28,1 June 2018 07:00,580,Northern Ireland
29,1 June 2018 07:15,653,Northern Ireland
30,1 June 2018 07:30,692,Northern Ireland
31,1 June 2018 07:45,724,Northern Ireland
32,1 June 2018 08:00,766,Northern Ireland
33,1 June 2018 08:15,786,Northern Ireland
34,1 June 2018 08:30,785,Northern Ireland
35,1 June 2018 08:45,787,Northern Ireland
36,1 June 2018 09:00,794,Northern Ireland
37,1 June 2018 09:15,809,Northern Ireland
38,1 June 2018 09:30,807,Northern Ireland
39,1 June 2018 09:45,808,Northern Ireland
40,1 June 2018 10:00,803,Northern Ireland
41,1 June 2018 10:15,788,Northern Ireland
42,1 June 2018 10:30,818,Northern Ireland
43,1 June 2018 10:45,813,Northern Ireland
44,1 June 2018 11:00,827,Northern Ireland
45,1 June 2018 11:15,817,Northern Ireland
46,1 June 2018 11:30,826,Northern Ireland
47,1 June 2018 11:45,798,Northern Ireland
48,1 June 2018 12:00,802,Northern Ireland
49,1 June 2018 12:15,803,Northern Ireland
50,1 June 2018 12:30,809,Northern Ireland
51,1 June 2018 12:45,804,Northern Ireland
52,1 June 2018 13:00,848,Northern Ireland
53,1 June 2018 13:15,877,Northern Ireland
54,1 June 2018 13:30,857,Northern Ireland
55,1 June 2018 13:45,838,Northern Ireland
56,1 June 2018 14:00,829,Northern Ireland
57,1 June 2018 14:15,827,Northern Ireland
58,1 June 2018 14:30,825,Northern Ireland
59,1 June 2018 14:45,823,Northern Ireland
60,1 June 2018 15:00,807,Northern Ireland
61,1 June 2018 15:15,815,Northern Ireland
62,1 June 2018 15:30,800,Northern Ireland
63,1 June 2018 15:45,807,Northern Ireland
64,1 June 2018 16:00,828,Northern Ireland
65,1 June 2018 16:15,826,Northern Ireland
66,1 June 2018 16:30,789,Northern Ireland
67,1 June 2018 16:45,767,Northern Ireland
68,1 June 2018 17:00,785,Northern Ireland
69,1 June 2018 17:15,796,Northern Ireland
70,1 June 2018 17:30,812,Northern Ireland
71,1 June 2018 17:45,815,Northern Ireland
72,1 June 2018 18:00,832,Northern Ireland
73,1 June 2018 18:15,940,Northern Ireland
74,1 June 2018 18:30,925,Northern Ireland
75,1 June 2018 18:45,917,Northern Ireland
76,1 June 2018 19:00,906,Northern Ireland
77,1 June 2018 19:15,893,Northern Ireland
78,1 June 2018 19:30,883,Northern Ireland
79,1 June 2018 19:45,874,Northern Ireland
80,1 June 2018 20:00,858,Northern Ireland
81,1 June 2018 20:15,847,Northern Ireland
82,1 June 2018 20:30,829,Northern Ireland
83,1 June 2018 20:45,820,Northern Ireland
84,1 June 2018 21:00,809,Northern Ireland
85,1 June 2018 21:15,791,Northern Ireland
86,1 June 2018 21:30,769,Northern Ireland
87,1 June 2018 21:45,777,Northern Ireland
88,1 June 2018 22:00,771,Northern Ireland
89,1 June 2018 22:15,794,Northern Ireland
90,1 June 2018 22:30,786,Northern Ireland
91,1 June 2018 22:45,772,Northern Ireland
92,1 June 2018 23:00,749,Northern Ireland
93,1 June 2018 23:15,722,Northern Ireland
94,1 June 2018 23:30,695,Northern Ireland
95,1 June 2018 23:45,670,Northern Ireland
96,2 June 2018 00:00,637,Northern Ireland
97,2 June 2018 00:15,610,Northern Ireland
98,2 June 2018 00:30,588,Northern Ireland
99,2 June 2018 00:45,569,Northern Ireland
100,2 June 2018 01:00,561,Northern Ireland
101,2 June 2018 01:15,537,Northern Ireland
102,2 June 2018 01:30,528,Northern Ireland
103,2 June 2018 01:45,517,Northern Ireland
104,2 June 2018 02:00,505,Northern Ireland
105,2 June 2018 02:15,510,Northern Ireland
106,2 June 2018 02:30,506,Northern Ireland
107,2 June 2018 02:45,501,Northern Ireland
108,2 June 2018 03:00,491,Northern Ireland
109,2 June 2018 03:15,487,Northern Ireland
110,2 June 2018 03:30,477,Northern Ireland
111,2 June 2018 03:45,480,Northern Ireland
112,2 June 2018 04:00,479,Northern Ireland
113,2 June 2018 04:15,477,Northern Ireland
114,2 June 2018 04:30,468,Northern Ireland
115,2 June 2018 04:45,457,Northern Ireland
116,2 June 2018 05:00,455,Northern Ireland
117,2 June 2018 05:15,458,Northern Ireland
118,2 June 2018 05:30,457,Northern Ireland
119,2 June 2018 05:45,457,Northern Ireland
120,2 June 2018 06:00,458,Northern Ireland
121,2 June 2018 06:15,485,Northern Ireland
122,2 June 2018 06:30,490,Northern Ireland
123,2 June 2018 06:45,513,Northern Ireland
124,2 June 2018 07:00,535,Northern Ireland
125,2 June 2018 07:15,562,Northern Ireland
126,2 June 2018 07:30,596,Northern Ireland
127,2 June 2018 07:45,628,Northern Ireland
128,2 June 2018 08:00,660,Northern Ireland
129,2 June 2018 08:15,700,Northern Ireland
130,2 June 2018 08:30,733,Northern Ireland
131,2 June 2018 08:45,754,Northern Ireland
132,2 June 2018 09:00,777,Northern Ireland
133,2 June 2018 09:15,793,Northern Ireland
134,2 June 2018 09:30,810,Northern Ireland
135,2 June 2018 09:45,807,Northern Ireland
136,2 June 2018 10:00,807,Northern Ireland
137,2 June 2018 10:15,805,Northern Ireland
138,2 June 2018 10:30,810,Northern Ireland
139,2 June 2018 10:45,801,Northern Ireland
140,2 June 2018 11:00,782,Northern Ireland
141,2 June 2018 11:15,833,Northern Ireland
142,2 June 2018 11:30,830,Northern Ireland
143,2 June 2018 11:45,818,Northern Ireland
144,2 June 2018 12:00,812,Northern Ireland
145,2 June 2018 12:15,802,Northern Ireland
146,2 June 2018 12:30,815,Northern Ireland
147,2 June 2018 12:45,807,Northern Ireland
148,2 June 2018 13:00,799,Northern Ireland
149,2 June 2018 13:15,798,Northern Ireland
150,2 June 2018 13:30,776,Northern Ireland
151,2 June 2018 13:45,767,Northern Ireland
152,2 June 2018 14:00,758,Northern Ireland
153,2 June 2018 14:15,747,Northern Ireland
154,2 June 2018 14:30,760,Northern Ireland
155,2 June 2018 14:45,725,Northern Ireland
156,2 June 2018 15:00,721,Northern Ireland
157,2 June 2018 15:15,722,Northern Ireland
158,2 June 2018 15:30,722,Northern Ireland
159,2 June 2018 15:45,732,Northern Ireland
160,2 June 2018 16:00,727,Northern Ireland
161,2 June 2018 16:15,740,Northern Ireland
162,2 June 2018 16:30,754,Northern Ireland
163,2 June 2018 16:45,770,Northern Ireland
164,2 June 2018 17:00,790,Northern Ireland
165,2 June 2018 17:15,815,Northern Ireland
166,2 June 2018 17:30,818,Northern Ireland
167,2 June 2018 17:45,829,Northern Ireland
168,2 June 2018 18:00,808,Northern Ireland
169,2 June 2018 18:15,799,Northern Ireland
170,2 June 2018 18:30,770,Northern Ireland
171,2 June 2018 18:45,769,Northern Ireland
172,2 June 2018 19:00,770,Northern Ireland
173,2 June 2018 19:15,775,Northern Ireland
174,2 June 2018 19:30,758,Northern Ireland
175,2 June 2018 19:45,755,Northern Ireland
176,2 June 2018 20:00,749,Northern Ireland
177,2 June 2018 20:15,744,Northern Ireland
178,2 June 2018 20:30,733,Northern Ireland
179,2 June 2018 20:45,731,Northern Ireland
180,2 June 2018 21:00,719,Northern Ireland
