,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 November 2018 00:00,761,Northern Ireland
1,1 November 2018 00:15,737,Northern Ireland
2,1 November 2018 00:30,717,Northern Ireland
3,1 November 2018 00:45,700,Northern Ireland
4,1 November 2018 01:00,699,Northern Ireland
5,1 November 2018 01:15,703,Northern Ireland
6,1 November 2018 01:30,702,Northern Ireland
7,1 November 2018 01:45,697,Northern Ireland
8,1 November 2018 02:00,688,Northern Ireland
9,1 November 2018 02:15,686,Northern Ireland
10,1 November 2018 02:30,676,Northern Ireland
11,1 November 2018 02:45,672,Northern Ireland
12,1 November 2018 03:00,659,Northern Ireland
13,1 November 2018 03:15,657,Northern Ireland
14,1 November 2018 03:30,653,Northern Ireland
15,1 November 2018 03:45,649,Northern Ireland
16,1 November 2018 04:00,649,Northern Ireland
17,1 November 2018 04:15,653,Northern Ireland
18,1 November 2018 04:30,655,Northern Ireland
19,1 November 2018 04:45,654,Northern Ireland
20,1 November 2018 05:00,661,Northern Ireland
21,1 November 2018 05:15,677,Northern Ireland
22,1 November 2018 05:30,682,Northern Ireland
23,1 November 2018 05:45,703,Northern Ireland
24,1 November 2018 06:00,730,Northern Ireland
25,1 November 2018 06:15,788,Northern Ireland
26,1 November 2018 06:30,819,Northern Ireland
27,1 November 2018 06:45,860,Northern Ireland
28,1 November 2018 07:00,899,Northern Ireland
29,1 November 2018 07:15,942,Northern Ireland
30,1 November 2018 07:30,967,Northern Ireland
31,1 November 2018 07:45,1003,Northern Ireland
32,1 November 2018 08:00,1026,Northern Ireland
33,1 November 2018 08:15,1061,Northern Ireland
34,1 November 2018 08:30,1087,Northern Ireland
35,1 November 2018 08:45,1108,Northern Ireland
36,1 November 2018 09:00,1099,Northern Ireland
37,1 November 2018 09:15,1078,Northern Ireland
38,1 November 2018 09:30,1082,Northern Ireland
39,1 November 2018 09:45,1079,Northern Ireland
40,1 November 2018 10:00,1076,Northern Ireland
41,1 November 2018 10:15,1071,Northern Ireland
42,1 November 2018 10:30,1060,Northern Ireland
43,1 November 2018 10:45,1043,Northern Ireland
44,1 November 2018 11:00,1056,Northern Ireland
45,1 November 2018 11:15,1047,Northern Ireland
46,1 November 2018 11:30,1039,Northern Ireland
47,1 November 2018 11:45,1048,Northern Ireland
48,1 November 2018 12:00,1037,Northern Ireland
49,1 November 2018 12:15,1044,Northern Ireland
50,1 November 2018 12:30,1072,Northern Ireland
51,1 November 2018 12:45,1059,Northern Ireland
52,1 November 2018 13:00,1061,Northern Ireland
53,1 November 2018 13:15,1041,Northern Ireland
54,1 November 2018 13:30,1040,Northern Ireland
55,1 November 2018 13:45,1037,Northern Ireland
56,1 November 2018 14:00,1050,Northern Ireland
57,1 November 2018 14:15,1069,Northern Ireland
58,1 November 2018 14:30,1070,Northern Ireland
59,1 November 2018 14:45,1080,Northern Ireland
60,1 November 2018 15:00,1090,Northern Ireland
61,1 November 2018 15:15,1099,Northern Ireland
62,1 November 2018 15:30,1101,Northern Ireland
63,1 November 2018 15:45,1111,Northern Ireland
64,1 November 2018 16:00,1144,Northern Ireland
65,1 November 2018 16:15,1178,Northern Ireland
66,1 November 2018 16:30,1208,Northern Ireland
67,1 November 2018 16:45,1214,Northern Ireland
68,1 November 2018 17:00,1272,Northern Ireland
69,1 November 2018 17:15,1329,Northern Ireland
70,1 November 2018 17:30,1365,Northern Ireland
71,1 November 2018 17:45,1370,Northern Ireland
72,1 November 2018 18:00,1365,Northern Ireland
73,1 November 2018 18:15,1349,Northern Ireland
74,1 November 2018 18:30,1323,Northern Ireland
75,1 November 2018 18:45,1301,Northern Ireland
76,1 November 2018 19:00,1276,Northern Ireland
77,1 November 2018 19:15,1254,Northern Ireland
78,1 November 2018 19:30,1235,Northern Ireland
79,1 November 2018 19:45,1219,Northern Ireland
80,1 November 2018 20:00,1193,Northern Ireland
81,1 November 2018 20:15,1163,Northern Ireland
82,1 November 2018 20:30,1139,Northern Ireland
83,1 November 2018 20:45,1117,Northern Ireland
84,1 November 2018 21:00,1110,Northern Ireland
85,1 November 2018 21:15,1078,Northern Ireland
86,1 November 2018 21:30,1052,Northern Ireland
87,1 November 2018 21:45,1043,Northern Ireland
88,1 November 2018 22:00,1018,Northern Ireland
89,1 November 2018 22:15,984,Northern Ireland
90,1 November 2018 22:30,945,Northern Ireland
91,1 November 2018 22:45,899,Northern Ireland
92,1 November 2018 23:00,862,Northern Ireland
93,1 November 2018 23:15,826,Northern Ireland
94,1 November 2018 23:30,796,Northern Ireland
95,1 November 2018 23:45,760,Northern Ireland
96,2 November 2018 00:00,734,Northern Ireland
97,2 November 2018 00:15,718,Northern Ireland
98,2 November 2018 00:30,690,Northern Ireland
99,2 November 2018 00:45,678,Northern Ireland
100,2 November 2018 01:00,673,Northern Ireland
101,2 November 2018 01:15,689,Northern Ireland
102,2 November 2018 01:30,677,Northern Ireland
103,2 November 2018 01:45,671,Northern Ireland
104,2 November 2018 02:00,669,Northern Ireland
105,2 November 2018 02:15,658,Northern Ireland
106,2 November 2018 02:30,653,Northern Ireland
107,2 November 2018 02:45,645,Northern Ireland
108,2 November 2018 03:00,643,Northern Ireland
109,2 November 2018 03:15,646,Northern Ireland
110,2 November 2018 03:30,645,Northern Ireland
111,2 November 2018 03:45,637,Northern Ireland
112,2 November 2018 04:00,634,Northern Ireland
113,2 November 2018 04:15,637,Northern Ireland
114,2 November 2018 04:30,644,Northern Ireland
115,2 November 2018 04:45,646,Northern Ireland
116,2 November 2018 05:00,650,Northern Ireland
117,2 November 2018 05:15,662,Northern Ireland
118,2 November 2018 05:30,673,Northern Ireland
119,2 November 2018 05:45,698,Northern Ireland
120,2 November 2018 06:00,723,Northern Ireland
121,2 November 2018 06:15,764,Northern Ireland
122,2 November 2018 06:30,799,Northern Ireland
123,2 November 2018 06:45,850,Northern Ireland
124,2 November 2018 07:00,892,Northern Ireland
125,2 November 2018 07:15,942,Northern Ireland
126,2 November 2018 07:30,977,Northern Ireland
127,2 November 2018 07:45,1013,Northern Ireland
128,2 November 2018 08:00,1032,Northern Ireland
129,2 November 2018 08:15,1070,Northern Ireland
130,2 November 2018 08:30,1096,Northern Ireland
131,2 November 2018 08:45,1124,Northern Ireland
132,2 November 2018 09:00,1144,Northern Ireland
133,2 November 2018 09:15,1160,Northern Ireland
134,2 November 2018 09:30,1152,Northern Ireland
135,2 November 2018 09:45,1140,Northern Ireland
136,2 November 2018 10:00,1125,Northern Ireland
137,2 November 2018 10:15,1113,Northern Ireland
138,2 November 2018 10:30,1102,Northern Ireland
139,2 November 2018 10:45,1109,Northern Ireland
140,2 November 2018 11:00,1114,Northern Ireland
141,2 November 2018 11:15,1099,Northern Ireland
142,2 November 2018 11:30,1108,Northern Ireland
143,2 November 2018 11:45,1124,Northern Ireland
144,2 November 2018 12:00,1153,Northern Ireland
145,2 November 2018 12:15,1172,Northern Ireland
146,2 November 2018 12:30,1171,Northern Ireland
147,2 November 2018 12:45,1187,Northern Ireland
148,2 November 2018 13:00,1181,Northern Ireland
149,2 November 2018 13:15,1164,Northern Ireland
150,2 November 2018 13:30,1158,Northern Ireland
151,2 November 2018 13:45,1158,Northern Ireland
152,2 November 2018 14:00,1149,Northern Ireland
153,2 November 2018 14:15,1156,Northern Ireland
154,2 November 2018 14:30,1137,Northern Ireland
155,2 November 2018 14:45,1143,Northern Ireland
156,2 November 2018 15:00,1146,Northern Ireland
157,2 November 2018 15:15,1155,Northern Ireland
158,2 November 2018 15:30,1152,Northern Ireland
159,2 November 2018 15:45,1145,Northern Ireland
160,2 November 2018 16:00,1163,Northern Ireland
161,2 November 2018 16:15,1180,Northern Ireland
162,2 November 2018 16:30,1201,Northern Ireland
163,2 November 2018 16:45,1244,Northern Ireland
164,2 November 2018 17:00,1297,Northern Ireland
165,2 November 2018 17:15,1341,Northern Ireland
166,2 November 2018 17:30,1348,Northern Ireland
167,2 November 2018 17:45,1335,Northern Ireland
168,2 November 2018 18:00,1315,Northern Ireland
169,2 November 2018 18:15,1284,Northern Ireland
170,2 November 2018 18:30,1266,Northern Ireland
171,2 November 2018 18:45,1229,Northern Ireland
172,2 November 2018 19:00,1191,Northern Ireland
173,2 November 2018 19:15,1156,Northern Ireland
174,2 November 2018 19:30,1131,Northern Ireland
175,2 November 2018 19:45,1124,Northern Ireland
176,2 November 2018 20:00,1101,Northern Ireland
177,2 November 2018 20:15,1063,Northern Ireland
178,2 November 2018 20:30,1042,Northern Ireland
179,2 November 2018 20:45,1024,Northern Ireland
180,2 November 2018 21:00,986,Northern Ireland
181,2 November 2018 21:15,992,Northern Ireland
182,2 November 2018 21:30,958,Northern Ireland
183,2 November 2018 21:45,928,Northern Ireland
184,2 November 2018 22:00,902,Northern Ireland
185,2 November 2018 22:15,871,Northern Ireland
186,2 November 2018 22:30,843,Northern Ireland
187,2 November 2018 22:45,817,Northern Ireland
188,2 November 2018 23:00,776,Northern Ireland
189,2 November 2018 23:15,742,Northern Ireland
190,2 November 2018 23:30,714,Northern Ireland
191,2 November 2018 23:45,693,Northern Ireland
192,3 November 2018 00:00,671,Northern Ireland
193,3 November 2018 00:15,634,Northern Ireland
194,3 November 2018 00:30,620,Northern Ireland
195,3 November 2018 00:45,598,Northern Ireland
196,3 November 2018 01:00,592,Northern Ireland
197,3 November 2018 01:15,595,Northern Ireland
198,3 November 2018 01:30,593,Northern Ireland
199,3 November 2018 01:45,578,Northern Ireland
200,3 November 2018 02:00,557,Northern Ireland
201,3 November 2018 02:15,549,Northern Ireland
202,3 November 2018 02:30,538,Northern Ireland
203,3 November 2018 02:45,526,Northern Ireland
204,3 November 2018 03:00,522,Northern Ireland
205,3 November 2018 03:15,522,Northern Ireland
206,3 November 2018 03:30,514,Northern Ireland
207,3 November 2018 03:45,509,Northern Ireland
208,3 November 2018 04:00,508,Northern Ireland
209,3 November 2018 04:15,509,Northern Ireland
210,3 November 2018 04:30,504,Northern Ireland
211,3 November 2018 04:45,504,Northern Ireland
212,3 November 2018 05:00,505,Northern Ireland
213,3 November 2018 05:15,511,Northern Ireland
214,3 November 2018 05:30,513,Northern Ireland
215,3 November 2018 05:45,515,Northern Ireland
216,3 November 2018 06:00,529,Northern Ireland
217,3 November 2018 06:15,561,Northern Ireland
218,3 November 2018 06:30,578,Northern Ireland
