,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 April 2019 00:00,544,Northern Ireland
1,1 April 2019 00:15,510,Northern Ireland
2,1 April 2019 00:30,501,Northern Ireland
3,1 April 2019 00:45,484,Northern Ireland
4,1 April 2019 01:00,466,Northern Ireland
5,1 April 2019 01:15,460,Northern Ireland
6,1 April 2019 01:30,452,Northern Ireland
7,1 April 2019 01:45,449,Northern Ireland
8,1 April 2019 02:00,450,Northern Ireland
9,1 April 2019 02:15,468,Northern Ireland
10,1 April 2019 02:30,465,Northern Ireland
11,1 April 2019 02:45,461,Northern Ireland
12,1 April 2019 03:00,463,Northern Ireland
13,1 April 2019 03:15,460,Northern Ireland
14,1 April 2019 03:30,457,Northern Ireland
15,1 April 2019 03:45,457,Northern Ireland
16,1 April 2019 04:00,452,Northern Ireland
17,1 April 2019 04:15,446,Northern Ireland
18,1 April 2019 04:30,446,Northern Ireland
19,1 April 2019 04:45,455,Northern Ireland
20,1 April 2019 05:00,457,Northern Ireland
21,1 April 2019 05:15,468,Northern Ireland
22,1 April 2019 05:30,482,Northern Ireland
23,1 April 2019 05:45,505,Northern Ireland
24,1 April 2019 06:00,535,Northern Ireland
25,1 April 2019 06:15,583,Northern Ireland
26,1 April 2019 06:30,591,Northern Ireland
27,1 April 2019 06:45,612,Northern Ireland
28,1 April 2019 07:00,627,Northern Ireland
29,1 April 2019 07:15,683,Northern Ireland
30,1 April 2019 07:30,722,Northern Ireland
31,1 April 2019 07:45,779,Northern Ireland
32,1 April 2019 08:00,816,Northern Ireland
33,1 April 2019 08:15,860,Northern Ireland
34,1 April 2019 08:30,881,Northern Ireland
35,1 April 2019 08:45,884,Northern Ireland
36,1 April 2019 09:00,959,Northern Ireland
37,1 April 2019 09:15,976,Northern Ireland
38,1 April 2019 09:30,984,Northern Ireland
39,1 April 2019 09:45,991,Northern Ireland
40,1 April 2019 10:00,985,Northern Ireland
41,1 April 2019 10:15,984,Northern Ireland
42,1 April 2019 10:30,995,Northern Ireland
43,1 April 2019 10:45,1000,Northern Ireland
44,1 April 2019 11:00,1005,Northern Ireland
45,1 April 2019 11:15,1003,Northern Ireland
46,1 April 2019 11:30,1005,Northern Ireland
47,1 April 2019 11:45,1002,Northern Ireland
48,1 April 2019 12:00,1004,Northern Ireland
49,1 April 2019 12:15,991,Northern Ireland
50,1 April 2019 12:30,983,Northern Ireland
51,1 April 2019 12:45,985,Northern Ireland
52,1 April 2019 13:00,951,Northern Ireland
53,1 April 2019 13:15,926,Northern Ireland
54,1 April 2019 13:30,890,Northern Ireland
55,1 April 2019 13:45,902,Northern Ireland
