,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 August 2019 00:00,645,Northern Ireland
1,1 August 2019 00:15,626,Northern Ireland
2,1 August 2019 00:30,613,Northern Ireland
3,1 August 2019 00:45,594,Northern Ireland
4,1 August 2019 01:00,577,Northern Ireland
5,1 August 2019 01:15,572,Northern Ireland
6,1 August 2019 01:30,558,Northern Ireland
7,1 August 2019 01:45,549,Northern Ireland
8,1 August 2019 02:00,547,Northern Ireland
9,1 August 2019 02:15,546,Northern Ireland
10,1 August 2019 02:30,545,Northern Ireland
11,1 August 2019 02:45,541,Northern Ireland
12,1 August 2019 03:00,535,Northern Ireland
13,1 August 2019 03:15,532,Northern Ireland
14,1 August 2019 03:30,528,Northern Ireland
15,1 August 2019 03:45,530,Northern Ireland
16,1 August 2019 04:00,522,Northern Ireland
17,1 August 2019 04:15,523,Northern Ireland
18,1 August 2019 04:30,535,Northern Ireland
19,1 August 2019 04:45,532,Northern Ireland
20,1 August 2019 05:00,543,Northern Ireland
21,1 August 2019 05:15,547,Northern Ireland
22,1 August 2019 05:30,544,Northern Ireland
23,1 August 2019 05:45,543,Northern Ireland
24,1 August 2019 06:00,565,Northern Ireland
25,1 August 2019 06:15,604,Northern Ireland
26,1 August 2019 06:30,621,Northern Ireland
27,1 August 2019 06:45,661,Northern Ireland
28,1 August 2019 07:00,698,Northern Ireland
29,1 August 2019 07:15,745,Northern Ireland
30,1 August 2019 07:30,772,Northern Ireland
31,1 August 2019 07:45,739,Northern Ireland
32,1 August 2019 08:00,763,Northern Ireland
33,1 August 2019 08:15,797,Northern Ireland
34,1 August 2019 08:30,809,Northern Ireland
35,1 August 2019 08:45,815,Northern Ireland
36,1 August 2019 09:00,826,Northern Ireland
37,1 August 2019 09:15,760,Northern Ireland
38,1 August 2019 09:30,761,Northern Ireland
39,1 August 2019 09:45,769,Northern Ireland
40,1 August 2019 10:00,755,Northern Ireland
41,1 August 2019 10:15,795,Northern Ireland
42,1 August 2019 10:30,764,Northern Ireland
43,1 August 2019 10:45,743,Northern Ireland
44,1 August 2019 11:00,744,Northern Ireland
45,1 August 2019 11:15,737,Northern Ireland
46,1 August 2019 11:30,735,Northern Ireland
47,1 August 2019 11:45,734,Northern Ireland
48,1 August 2019 12:00,732,Northern Ireland
49,1 August 2019 12:15,736,Northern Ireland
50,1 August 2019 12:30,738,Northern Ireland
51,1 August 2019 12:45,731,Northern Ireland
52,1 August 2019 13:00,723,Northern Ireland
53,1 August 2019 13:15,738,Northern Ireland
54,1 August 2019 13:30,725,Northern Ireland
55,1 August 2019 13:45,737,Northern Ireland
56,1 August 2019 14:00,734,Northern Ireland
57,1 August 2019 14:15,735,Northern Ireland
58,1 August 2019 14:30,737,Northern Ireland
59,1 August 2019 14:45,753,Northern Ireland
60,1 August 2019 15:00,735,Northern Ireland
61,1 August 2019 15:15,744,Northern Ireland
62,1 August 2019 15:30,750,Northern Ireland
63,1 August 2019 15:45,741,Northern Ireland
64,1 August 2019 16:00,749,Northern Ireland
65,1 August 2019 16:15,761,Northern Ireland
66,1 August 2019 16:30,740,Northern Ireland
67,1 August 2019 16:45,742,Northern Ireland
68,1 August 2019 17:00,750,Northern Ireland
69,1 August 2019 17:15,766,Northern Ireland
70,1 August 2019 17:30,781,Northern Ireland
71,1 August 2019 17:45,787,Northern Ireland
72,1 August 2019 18:00,786,Northern Ireland
73,1 August 2019 18:15,783,Northern Ireland
74,1 August 2019 18:30,819,Northern Ireland
75,1 August 2019 18:45,809,Northern Ireland
76,1 August 2019 19:00,846,Northern Ireland
77,1 August 2019 19:15,838,Northern Ireland
78,1 August 2019 19:30,832,Northern Ireland
79,1 August 2019 19:45,798,Northern Ireland
80,1 August 2019 20:00,823,Northern Ireland
81,1 August 2019 20:15,821,Northern Ireland
82,1 August 2019 20:30,819,Northern Ireland
83,1 August 2019 20:45,885,Northern Ireland
84,1 August 2019 21:00,878,Northern Ireland
85,1 August 2019 21:15,838,Northern Ireland
86,1 August 2019 21:30,845,Northern Ireland
87,1 August 2019 21:45,869,Northern Ireland
88,1 August 2019 22:00,875,Northern Ireland
89,1 August 2019 22:15,854,Northern Ireland
90,1 August 2019 22:30,841,Northern Ireland
91,1 August 2019 22:45,826,Northern Ireland
92,1 August 2019 23:00,754,Northern Ireland
93,1 August 2019 23:15,724,Northern Ireland
94,1 August 2019 23:30,717,Northern Ireland
95,1 August 2019 23:45,691,Northern Ireland
96,2 August 2019 00:00,665,Northern Ireland
97,2 August 2019 00:15,642,Northern Ireland
98,2 August 2019 00:30,624,Northern Ireland
99,2 August 2019 00:45,611,Northern Ireland
100,2 August 2019 01:00,591,Northern Ireland
101,2 August 2019 01:15,586,Northern Ireland
102,2 August 2019 01:30,576,Northern Ireland
103,2 August 2019 01:45,567,Northern Ireland
104,2 August 2019 02:00,568,Northern Ireland
105,2 August 2019 02:15,566,Northern Ireland
106,2 August 2019 02:30,563,Northern Ireland
107,2 August 2019 02:45,559,Northern Ireland
108,2 August 2019 03:00,553,Northern Ireland
109,2 August 2019 03:15,547,Northern Ireland
110,2 August 2019 03:30,540,Northern Ireland
111,2 August 2019 03:45,537,Northern Ireland
112,2 August 2019 04:00,536,Northern Ireland
113,2 August 2019 04:15,542,Northern Ireland
114,2 August 2019 04:30,540,Northern Ireland
115,2 August 2019 04:45,544,Northern Ireland
116,2 August 2019 05:00,547,Northern Ireland
117,2 August 2019 05:15,553,Northern Ireland
118,2 August 2019 05:30,549,Northern Ireland
119,2 August 2019 05:45,554,Northern Ireland
120,2 August 2019 06:00,575,Northern Ireland
121,2 August 2019 06:15,608,Northern Ireland
122,2 August 2019 06:30,628,Northern Ireland
123,2 August 2019 06:45,607,Northern Ireland
124,2 August 2019 07:00,636,Northern Ireland
125,2 August 2019 07:15,685,Northern Ireland
126,2 August 2019 07:30,719,Northern Ireland
127,2 August 2019 07:45,746,Northern Ireland
128,2 August 2019 08:00,769,Northern Ireland
129,2 August 2019 08:15,791,Northern Ireland
130,2 August 2019 08:30,806,Northern Ireland
