,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 December 2019 00:00,717,Northern Ireland
1,1 December 2019 00:15,698,Northern Ireland
2,1 December 2019 00:30,671,Northern Ireland
3,1 December 2019 00:45,656,Northern Ireland
4,1 December 2019 01:00,656,Northern Ireland
5,1 December 2019 01:15,671,Northern Ireland
6,1 December 2019 01:30,665,Northern Ireland
7,1 December 2019 01:45,651,Northern Ireland
8,1 December 2019 02:00,637,Northern Ireland
9,1 December 2019 02:15,632,Northern Ireland
10,1 December 2019 02:30,620,Northern Ireland
11,1 December 2019 02:45,608,Northern Ireland
12,1 December 2019 03:00,608,Northern Ireland
13,1 December 2019 03:15,605,Northern Ireland
14,1 December 2019 03:30,604,Northern Ireland
15,1 December 2019 03:45,595,Northern Ireland
16,1 December 2019 04:00,593,Northern Ireland
17,1 December 2019 04:15,596,Northern Ireland
18,1 December 2019 04:30,588,Northern Ireland
19,1 December 2019 04:45,581,Northern Ireland
20,1 December 2019 05:00,583,Northern Ireland
21,1 December 2019 05:15,590,Northern Ireland
22,1 December 2019 05:30,595,Northern Ireland
23,1 December 2019 05:45,601,Northern Ireland
24,1 December 2019 06:00,611,Northern Ireland
25,1 December 2019 06:15,606,Northern Ireland
26,1 December 2019 06:30,593,Northern Ireland
27,1 December 2019 06:45,601,Northern Ireland
28,1 December 2019 07:00,625,Northern Ireland
29,1 December 2019 07:15,649,Northern Ireland
30,1 December 2019 07:30,635,Northern Ireland
31,1 December 2019 07:45,635,Northern Ireland
32,1 December 2019 08:00,642,Northern Ireland
33,1 December 2019 08:15,653,Northern Ireland
34,1 December 2019 08:30,682,Northern Ireland
35,1 December 2019 08:45,693,Northern Ireland
36,1 December 2019 09:00,726,Northern Ireland
37,1 December 2019 09:15,761,Northern Ireland
38,1 December 2019 09:30,781,Northern Ireland
39,1 December 2019 09:45,821,Northern Ireland
40,1 December 2019 10:00,793,Northern Ireland
41,1 December 2019 10:15,803,Northern Ireland
42,1 December 2019 10:30,796,Northern Ireland
43,1 December 2019 10:45,806,Northern Ireland
44,1 December 2019 11:00,828,Northern Ireland
45,1 December 2019 11:15,831,Northern Ireland
