,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 September 2019 00:00,544,Northern Ireland
1,1 September 2019 00:15,534,Northern Ireland
2,1 September 2019 00:30,512,Northern Ireland
3,1 September 2019 00:45,497,Northern Ireland
4,1 September 2019 01:00,479,Northern Ireland
5,1 September 2019 01:15,472,Northern Ireland
6,1 September 2019 01:30,466,Northern Ireland
7,1 September 2019 01:45,474,Northern Ireland
8,1 September 2019 02:00,473,Northern Ireland
9,1 September 2019 02:15,467,Northern Ireland
10,1 September 2019 02:30,466,Northern Ireland
11,1 September 2019 02:45,459,Northern Ireland
12,1 September 2019 03:00,454,Northern Ireland
13,1 September 2019 03:15,454,Northern Ireland
14,1 September 2019 03:30,451,Northern Ireland
15,1 September 2019 03:45,442,Northern Ireland
16,1 September 2019 04:00,443,Northern Ireland
17,1 September 2019 04:15,435,Northern Ireland
18,1 September 2019 04:30,436,Northern Ireland
19,1 September 2019 04:45,429,Northern Ireland
20,1 September 2019 05:00,435,Northern Ireland
21,1 September 2019 05:15,438,Northern Ireland
22,1 September 2019 05:30,438,Northern Ireland
23,1 September 2019 05:45,439,Northern Ireland
24,1 September 2019 06:00,454,Northern Ireland
25,1 September 2019 06:15,449,Northern Ireland
26,1 September 2019 06:30,454,Northern Ireland
27,1 September 2019 06:45,444,Northern Ireland
28,1 September 2019 07:00,461,Northern Ireland
29,1 September 2019 07:15,478,Northern Ireland
30,1 September 2019 07:30,488,Northern Ireland
31,1 September 2019 07:45,501,Northern Ireland
32,1 September 2019 08:00,516,Northern Ireland
33,1 September 2019 08:15,543,Northern Ireland
34,1 September 2019 08:30,562,Northern Ireland
35,1 September 2019 08:45,583,Northern Ireland
36,1 September 2019 09:00,601,Northern Ireland
37,1 September 2019 09:15,617,Northern Ireland
38,1 September 2019 09:30,614,Northern Ireland
39,1 September 2019 09:45,628,Northern Ireland
40,1 September 2019 10:00,638,Northern Ireland
41,1 September 2019 10:15,648,Northern Ireland
42,1 September 2019 10:30,669,Northern Ireland
43,1 September 2019 10:45,657,Northern Ireland
44,1 September 2019 11:00,672,Northern Ireland
45,1 September 2019 11:15,653,Northern Ireland
46,1 September 2019 11:30,682,Northern Ireland
47,1 September 2019 11:45,680,Northern Ireland
48,1 September 2019 12:00,717,Northern Ireland
49,1 September 2019 12:15,726,Northern Ireland
50,1 September 2019 12:30,729,Northern Ireland
51,1 September 2019 12:45,735,Northern Ireland
52,1 September 2019 13:00,737,Northern Ireland
53,1 September 2019 13:15,743,Northern Ireland
54,1 September 2019 13:30,727,Northern Ireland
55,1 September 2019 13:45,708,Northern Ireland
56,1 September 2019 14:00,689,Northern Ireland
57,1 September 2019 14:15,688,Northern Ireland
58,1 September 2019 14:30,689,Northern Ireland
59,1 September 2019 14:45,684,Northern Ireland
60,1 September 2019 15:00,691,Northern Ireland
61,1 September 2019 15:15,685,Northern Ireland
62,1 September 2019 15:30,704,Northern Ireland
63,1 September 2019 15:45,721,Northern Ireland
64,1 September 2019 16:00,733,Northern Ireland
65,1 September 2019 16:15,763,Northern Ireland
66,1 September 2019 16:30,783,Northern Ireland
67,1 September 2019 16:45,800,Northern Ireland
68,1 September 2019 17:00,812,Northern Ireland
69,1 September 2019 17:15,835,Northern Ireland
70,1 September 2019 17:30,857,Northern Ireland
71,1 September 2019 17:45,862,Northern Ireland
72,1 September 2019 18:00,863,Northern Ireland
73,1 September 2019 18:15,841,Northern Ireland
74,1 September 2019 18:30,847,Northern Ireland
75,1 September 2019 18:45,847,Northern Ireland
76,1 September 2019 19:00,833,Northern Ireland
77,1 September 2019 19:15,820,Northern Ireland
78,1 September 2019 19:30,797,Northern Ireland
79,1 September 2019 19:45,775,Northern Ireland
80,1 September 2019 20:00,779,Northern Ireland
81,1 September 2019 20:15,786,Northern Ireland
82,1 September 2019 20:30,792,Northern Ireland
83,1 September 2019 20:45,814,Northern Ireland
84,1 September 2019 21:00,808,Northern Ireland
85,1 September 2019 21:15,782,Northern Ireland
86,1 September 2019 21:30,798,Northern Ireland
87,1 September 2019 21:45,775,Northern Ireland
88,1 September 2019 22:00,747,Northern Ireland
89,1 September 2019 22:15,712,Northern Ireland
90,1 September 2019 22:30,691,Northern Ireland
91,1 September 2019 22:45,665,Northern Ireland
92,1 September 2019 23:00,634,Northern Ireland
93,1 September 2019 23:15,605,Northern Ireland
94,1 September 2019 23:30,577,Northern Ireland
95,1 September 2019 23:45,567,Northern Ireland
96,2 September 2019 00:00,578,Northern Ireland
97,2 September 2019 00:15,564,Northern Ireland
98,2 September 2019 00:30,577,Northern Ireland
99,2 September 2019 00:45,605,Northern Ireland
100,2 September 2019 01:00,599,Northern Ireland
101,2 September 2019 01:15,587,Northern Ireland
102,2 September 2019 01:30,580,Northern Ireland
103,2 September 2019 01:45,574,Northern Ireland
104,2 September 2019 02:00,575,Northern Ireland
105,2 September 2019 02:15,580,Northern Ireland
106,2 September 2019 02:30,575,Northern Ireland
107,2 September 2019 02:45,577,Northern Ireland
108,2 September 2019 03:00,578,Northern Ireland
109,2 September 2019 03:15,573,Northern Ireland
110,2 September 2019 03:30,570,Northern Ireland
111,2 September 2019 03:45,568,Northern Ireland
112,2 September 2019 04:00,569,Northern Ireland
113,2 September 2019 04:15,568,Northern Ireland
114,2 September 2019 04:30,561,Northern Ireland
115,2 September 2019 04:45,569,Northern Ireland
116,2 September 2019 05:00,576,Northern Ireland
