,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 February 2020 00:00,480,Northern Ireland
1,1 February 2020 00:15,460,Northern Ireland
2,1 February 2020 00:30,450,Northern Ireland
3,1 February 2020 00:45,438,Northern Ireland
4,1 February 2020 01:00,420,Northern Ireland
5,1 February 2020 01:15,441,Northern Ireland
6,1 February 2020 01:30,416,Northern Ireland
7,1 February 2020 01:45,415,Northern Ireland
8,1 February 2020 02:00,392,Northern Ireland
9,1 February 2020 02:15,391,Northern Ireland
10,1 February 2020 02:30,386,Northern Ireland
11,1 February 2020 02:45,386,Northern Ireland
12,1 February 2020 03:00,383,Northern Ireland
13,1 February 2020 03:15,386,Northern Ireland
14,1 February 2020 03:30,383,Northern Ireland
15,1 February 2020 03:45,363,Northern Ireland
16,1 February 2020 04:00,368,Northern Ireland
17,1 February 2020 04:15,363,Northern Ireland
18,1 February 2020 04:30,363,Northern Ireland
19,1 February 2020 04:45,365,Northern Ireland
20,1 February 2020 05:00,366,Northern Ireland
21,1 February 2020 05:15,372,Northern Ireland
22,1 February 2020 05:30,375,Northern Ireland
23,1 February 2020 05:45,377,Northern Ireland
24,1 February 2020 06:00,394,Northern Ireland
25,1 February 2020 06:15,421,Northern Ireland
26,1 February 2020 06:30,435,Northern Ireland
27,1 February 2020 06:45,454,Northern Ireland
28,1 February 2020 07:00,486,Northern Ireland
29,1 February 2020 07:15,537,Northern Ireland
30,1 February 2020 07:30,560,Northern Ireland
31,1 February 2020 07:45,601,Northern Ireland
32,1 February 2020 08:00,618,Northern Ireland
33,1 February 2020 08:15,631,Northern Ireland
34,1 February 2020 08:30,660,Northern Ireland
35,1 February 2020 08:45,697,Northern Ireland
36,1 February 2020 09:00,735,Northern Ireland
37,1 February 2020 09:15,766,Northern Ireland
38,1 February 2020 09:30,779,Northern Ireland
39,1 February 2020 09:45,799,Northern Ireland
40,1 February 2020 10:00,806,Northern Ireland
41,1 February 2020 10:15,824,Northern Ireland
42,1 February 2020 10:30,840,Northern Ireland
43,1 February 2020 10:45,845,Northern Ireland
44,1 February 2020 11:00,851,Northern Ireland
45,1 February 2020 11:15,866,Northern Ireland
46,1 February 2020 11:30,853,Northern Ireland
47,1 February 2020 11:45,852,Northern Ireland
48,1 February 2020 12:00,860,Northern Ireland
49,1 February 2020 12:15,858,Northern Ireland
50,1 February 2020 12:30,852,Northern Ireland
51,1 February 2020 12:45,853,Northern Ireland
52,1 February 2020 13:00,844,Northern Ireland
53,1 February 2020 13:15,828,Northern Ireland
54,1 February 2020 13:30,820,Northern Ireland
55,1 February 2020 13:45,815,Northern Ireland
56,1 February 2020 14:00,798,Northern Ireland
57,1 February 2020 14:15,794,Northern Ireland
58,1 February 2020 14:30,766,Northern Ireland
59,1 February 2020 14:45,759,Northern Ireland
60,1 February 2020 15:00,768,Northern Ireland
61,1 February 2020 15:15,776,Northern Ireland
62,1 February 2020 15:30,781,Northern Ireland
63,1 February 2020 15:45,748,Northern Ireland
64,1 February 2020 16:00,820,Northern Ireland
