,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 March 2020 00:00,507.0,Northern Ireland
1,1 March 2020 00:15,491.0,Northern Ireland
2,1 March 2020 00:30,483.0,Northern Ireland
3,1 March 2020 00:45,452.0,Northern Ireland
4,1 March 2020 01:00,449.0,Northern Ireland
5,1 March 2020 01:15,466.0,Northern Ireland
6,1 March 2020 01:30,461.0,Northern Ireland
7,1 March 2020 01:45,437.0,Northern Ireland
8,1 March 2020 02:00,432.0,Northern Ireland
9,1 March 2020 02:15,427.0,Northern Ireland
10,1 March 2020 02:30,421.0,Northern Ireland
11,1 March 2020 02:45,409.0,Northern Ireland
12,1 March 2020 03:00,407.0,Northern Ireland
13,1 March 2020 03:15,402.0,Northern Ireland
14,1 March 2020 03:30,397.0,Northern Ireland
15,1 March 2020 03:45,391.0,Northern Ireland
16,1 March 2020 04:00,401.0,Northern Ireland
17,1 March 2020 04:15,399.0,Northern Ireland
18,1 March 2020 04:30,393.0,Northern Ireland
19,1 March 2020 04:45,387.0,Northern Ireland
20,1 March 2020 05:00,394.0,Northern Ireland
21,1 March 2020 05:15,390.0,Northern Ireland
22,1 March 2020 05:30,385.0,Northern Ireland
23,1 March 2020 05:45,393.0,Northern Ireland
24,1 March 2020 06:00,403.0,Northern Ireland
25,1 March 2020 06:15,430.0,Northern Ireland
26,1 March 2020 06:30,436.0,Northern Ireland
27,1 March 2020 06:45,446.0,Northern Ireland
28,1 March 2020 07:00,449.0,Northern Ireland
29,1 March 2020 07:15,466.0,Northern Ireland
30,1 March 2020 07:30,479.0,Northern Ireland
31,1 March 2020 07:45,503.0,Northern Ireland
32,1 March 2020 08:00,525.0,Northern Ireland
33,1 March 2020 08:15,553.0,Northern Ireland
34,1 March 2020 08:30,561.0,Northern Ireland
35,1 March 2020 08:45,598.0,Northern Ireland
36,1 March 2020 09:00,625.0,Northern Ireland
37,1 March 2020 09:15,653.0,Northern Ireland
38,1 March 2020 09:30,670.0,Northern Ireland
39,1 March 2020 09:45,686.0,Northern Ireland
40,1 March 2020 10:00,720.0,Northern Ireland
41,1 March 2020 10:15,725.0,Northern Ireland
42,1 March 2020 10:30,719.0,Northern Ireland
43,1 March 2020 10:45,731.0,Northern Ireland
44,1 March 2020 11:00,748.0,Northern Ireland
45,1 March 2020 11:15,752.0,Northern Ireland
46,1 March 2020 11:30,760.0,Northern Ireland
47,1 March 2020 11:45,772.0,Northern Ireland
48,1 March 2020 12:00,780.0,Northern Ireland
49,1 March 2020 12:15,803.0,Northern Ireland
50,1 March 2020 12:30,810.0,Northern Ireland
51,1 March 2020 12:45,817.0,Northern Ireland
52,1 March 2020 13:00,821.0,Northern Ireland
53,1 March 2020 13:15,821.0,Northern Ireland
54,1 March 2020 13:30,801.0,Northern Ireland
55,1 March 2020 13:45,769.0,Northern Ireland
56,1 March 2020 14:00,764.0,Northern Ireland
57,1 March 2020 14:15,741.0,Northern Ireland
58,1 March 2020 14:30,744.0,Northern Ireland
59,1 March 2020 14:45,731.0,Northern Ireland
60,1 March 2020 15:00,768.0,Northern Ireland
61,1 March 2020 15:15,759.0,Northern Ireland
62,1 March 2020 15:30,735.0,Northern Ireland
63,1 March 2020 15:45,727.0,Northern Ireland
64,1 March 2020 16:00,743.0,Northern Ireland
65,1 March 2020 16:15,723.0,Northern Ireland
66,1 March 2020 16:30,760.0,Northern Ireland
67,1 March 2020 16:45,775.0,Northern Ireland
68,1 March 2020 17:00,820.0,Northern Ireland
69,1 March 2020 17:15,835.0,Northern Ireland
70,1 March 2020 17:30,847.0,Northern Ireland
71,1 March 2020 17:45,869.0,Northern Ireland
72,1 March 2020 18:00,878.0,Northern Ireland
73,1 March 2020 18:15,904.0,Northern Ireland
74,1 March 2020 18:30,935.0,Northern Ireland
75,1 March 2020 18:45,919.0,Northern Ireland
76,1 March 2020 19:00,905.0,Northern Ireland
77,1 March 2020 19:15,913.0,Northern Ireland
78,1 March 2020 19:30,934.0,Northern Ireland
79,1 March 2020 19:45,937.0,Northern Ireland
80,1 March 2020 20:00,921.0,Northern Ireland
81,1 March 2020 20:15,942.0,Northern Ireland
82,1 March 2020 20:30,934.0,Northern Ireland
83,1 March 2020 20:45,915.0,Northern Ireland
84,1 March 2020 21:00,831.0,Northern Ireland
85,1 March 2020 21:15,794.0,Northern Ireland
86,1 March 2020 21:30,809.0,Northern Ireland
87,1 March 2020 21:45,800.0,Northern Ireland
88,1 March 2020 22:00,774.0,Northern Ireland
89,1 March 2020 22:15,745.0,Northern Ireland
90,1 March 2020 22:30,724.0,Northern Ireland
91,1 March 2020 22:45,683.0,Northern Ireland
92,1 March 2020 23:00,644.0,Northern Ireland
93,1 March 2020 23:15,629.0,Northern Ireland
94,1 March 2020 23:30,595.0,Northern Ireland
95,1 March 2020 23:45,565.0,Northern Ireland
96,2 March 2020 00:00,549.0,Northern Ireland
97,2 March 2020 00:15,533.0,Northern Ireland
98,2 March 2020 00:30,524.0,Northern Ireland
99,2 March 2020 00:45,505.0,Northern Ireland
100,2 March 2020 01:00,514.0,Northern Ireland
101,2 March 2020 01:15,532.0,Northern Ireland
102,2 March 2020 01:30,534.0,Northern Ireland
103,2 March 2020 01:45,537.0,Northern Ireland
104,2 March 2020 02:00,526.0,Northern Ireland
105,2 March 2020 02:15,523.0,Northern Ireland
106,2 March 2020 02:30,515.0,Northern Ireland
