,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 January 2017 00:00,161,165,Northern Ireland
1,1 January 2017 00:15,169,208,Northern Ireland
2,1 January 2017 00:30,176,208,Northern Ireland
3,1 January 2017 00:45,184,172,Northern Ireland
4,1 January 2017 01:00,192,193,Northern Ireland
5,1 January 2017 01:15,199,180,Northern Ireland
6,1 January 2017 01:30,206,250,Northern Ireland
7,1 January 2017 01:45,214,248,Northern Ireland
8,1 January 2017 02:00,219,271,Northern Ireland
9,1 January 2017 02:15,223,273,Northern Ireland
10,1 January 2017 02:30,226,315,Northern Ireland
11,1 January 2017 02:45,229,281,Northern Ireland
12,1 January 2017 03:00,234,321,Northern Ireland
13,1 January 2017 03:15,241,296,Northern Ireland
14,1 January 2017 03:30,247,313,Northern Ireland
15,1 January 2017 03:45,254,283,Northern Ireland
16,1 January 2017 04:00,259,312,Northern Ireland
17,1 January 2017 04:15,264,318,Northern Ireland
18,1 January 2017 04:30,268,368,Northern Ireland
19,1 January 2017 04:45,272,354,Northern Ireland
20,1 January 2017 05:00,281,349,Northern Ireland
21,1 January 2017 05:15,294,315,Northern Ireland
22,1 January 2017 05:30,307,314,Northern Ireland
23,1 January 2017 05:45,320,332,Northern Ireland
24,1 January 2017 06:00,399,332,Northern Ireland
25,1 January 2017 06:15,408,320,Northern Ireland
26,1 January 2017 06:30,417,362,Northern Ireland
27,1 January 2017 06:45,426,376,Northern Ireland
28,1 January 2017 07:00,432,384,Northern Ireland
29,1 January 2017 07:15,436,411,Northern Ireland
30,1 January 2017 07:30,440,396,Northern Ireland
31,1 January 2017 07:45,443,418,Northern Ireland
32,1 January 2017 08:00,443,407,Northern Ireland
33,1 January 2017 08:15,438,374,Northern Ireland
34,1 January 2017 08:30,433,457,Northern Ireland
35,1 January 2017 08:45,428,428,Northern Ireland
36,1 January 2017 09:00,420,415,Northern Ireland
37,1 January 2017 09:15,408,421,Northern Ireland
38,1 January 2017 09:30,395,392,Northern Ireland
39,1 January 2017 09:45,383,379,Northern Ireland
40,1 January 2017 10:00,375,417,Northern Ireland
41,1 January 2017 10:15,370,412,Northern Ireland
42,1 January 2017 10:30,365,434,Northern Ireland
43,1 January 2017 10:45,360,425,Northern Ireland
44,1 January 2017 11:00,364,448,Northern Ireland
45,1 January 2017 11:15,377,400,Northern Ireland
46,1 January 2017 11:30,389,429,Northern Ireland
47,1 January 2017 11:45,402,483,Northern Ireland
48,1 January 2017 12:00,420,439,Northern Ireland
49,1 January 2017 12:15,432,445,Northern Ireland
50,1 January 2017 12:30,444,488,Northern Ireland
51,1 January 2017 12:45,455,527,Northern Ireland
52,1 January 2017 13:00,469,491,Northern Ireland
53,1 January 2017 13:15,484,446,Northern Ireland
54,1 January 2017 13:30,498,422,Northern Ireland
55,1 January 2017 13:45,513,420,Northern Ireland
56,1 January 2017 14:00,521,433,Northern Ireland
57,1 January 2017 14:15,522,359,Northern Ireland
58,1 January 2017 14:30,522,365,Northern Ireland
59,1 January 2017 14:45,523,361,Northern Ireland
60,1 January 2017 15:00,521,361,Northern Ireland
61,1 January 2017 15:15,516,357,Northern Ireland
62,1 January 2017 15:30,511,339,Northern Ireland
63,1 January 2017 15:45,507,303,Northern Ireland
64,1 January 2017 16:00,503,372,Northern Ireland
65,1 January 2017 16:15,500,380,Northern Ireland
66,1 January 2017 16:30,498,365,Northern Ireland
67,1 January 2017 16:45,495,325,Northern Ireland
68,1 January 2017 17:00,492,402,Northern Ireland
