,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 May 2017 00:00,132,187,Northern Ireland
1,1 May 2017 00:15,131,182,Northern Ireland
2,1 May 2017 00:30,130,182,Northern Ireland
3,1 May 2017 00:45,130,164,Northern Ireland
4,1 May 2017 01:00,89,159,Northern Ireland
5,1 May 2017 01:15,91,176,Northern Ireland
6,1 May 2017 01:30,94,176,Northern Ireland
7,1 May 2017 01:45,96,199,Northern Ireland
8,1 May 2017 02:00,98,176,Northern Ireland
9,1 May 2017 02:15,98,181,Northern Ireland
10,1 May 2017 02:30,98,176,Northern Ireland
11,1 May 2017 02:45,98,191,Northern Ireland
12,1 May 2017 03:00,96,167,Northern Ireland
13,1 May 2017 03:15,92,156,Northern Ireland
14,1 May 2017 03:30,88,140,Northern Ireland
15,1 May 2017 03:45,84,134,Northern Ireland
16,1 May 2017 04:00,78,129,Northern Ireland
17,1 May 2017 04:15,72,110,Northern Ireland
18,1 May 2017 04:30,66,115,Northern Ireland
19,1 May 2017 04:45,60,122,Northern Ireland
20,1 May 2017 05:00,55,105,Northern Ireland
21,1 May 2017 05:15,51,102,Northern Ireland
22,1 May 2017 05:30,48,93,Northern Ireland
23,1 May 2017 05:45,44,82,Northern Ireland
24,1 May 2017 06:00,42,71,Northern Ireland
25,1 May 2017 06:15,40,59,Northern Ireland
26,1 May 2017 06:30,39,57,Northern Ireland
27,1 May 2017 06:45,38,57,Northern Ireland
28,1 May 2017 07:00,24,51,Northern Ireland
29,1 May 2017 07:15,21,41,Northern Ireland
30,1 May 2017 07:30,19,42,Northern Ireland
31,1 May 2017 07:45,16,39,Northern Ireland
32,1 May 2017 08:00,14,38,Northern Ireland
33,1 May 2017 08:15,13,32,Northern Ireland
34,1 May 2017 08:30,11,28,Northern Ireland
35,1 May 2017 08:45,9,29,Northern Ireland
36,1 May 2017 09:00,9,32,Northern Ireland
37,1 May 2017 09:15,8,27,Northern Ireland
38,1 May 2017 09:30,8,26,Northern Ireland
39,1 May 2017 09:45,8,31,Northern Ireland
40,1 May 2017 10:00,8,30,Northern Ireland
41,1 May 2017 10:15,8,33,Northern Ireland
42,1 May 2017 10:30,9,34,Northern Ireland
43,1 May 2017 10:45,9,30,Northern Ireland
44,1 May 2017 11:00,9,25,Northern Ireland
45,1 May 2017 11:15,10,21,Northern Ireland
46,1 May 2017 11:30,10,18,Northern Ireland
47,1 May 2017 11:45,11,15,Northern Ireland
48,1 May 2017 12:00,11,12,Northern Ireland
49,1 May 2017 12:15,12,12,Northern Ireland
50,1 May 2017 12:30,13,11,Northern Ireland
51,1 May 2017 12:45,13,6,Northern Ireland
52,1 May 2017 13:00,10,8,Northern Ireland
53,1 May 2017 13:15,11,9,Northern Ireland
54,1 May 2017 13:30,11,11,Northern Ireland
55,1 May 2017 13:45,12,11,Northern Ireland
56,1 May 2017 14:00,12,10,Northern Ireland
57,1 May 2017 14:15,13,17,Northern Ireland
58,1 May 2017 14:30,14,23,Northern Ireland
59,1 May 2017 14:45,15,22,Northern Ireland
60,1 May 2017 15:00,16,26,Northern Ireland
61,1 May 2017 15:15,18,29,Northern Ireland
62,1 May 2017 15:30,20,34,Northern Ireland
63,1 May 2017 15:45,22,40,Northern Ireland
64,1 May 2017 16:00,24,48,Northern Ireland
65,1 May 2017 16:15,26,62,Northern Ireland
66,1 May 2017 16:30,28,75,Northern Ireland
67,1 May 2017 16:45,29,85,Northern Ireland
68,1 May 2017 17:00,31,89,Northern Ireland
69,1 May 2017 17:15,32,93,Northern Ireland
70,1 May 2017 17:30,33,95,Northern Ireland
71,1 May 2017 17:45,34,95,Northern Ireland
72,1 May 2017 18:00,34,96,Northern Ireland
73,1 May 2017 18:15,33,108,Northern Ireland
74,1 May 2017 18:30,33,107,Northern Ireland
75,1 May 2017 18:45,33,95,Northern Ireland
76,1 May 2017 19:00,35,97,Northern Ireland
77,1 May 2017 19:15,36,99,Northern Ireland
78,1 May 2017 19:30,37,96,Northern Ireland
79,1 May 2017 19:45,38,83,Northern Ireland
80,1 May 2017 20:00,38,82,Northern Ireland
81,1 May 2017 20:15,39,78,Northern Ireland
