,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 June 2018 00:00,70,80,Northern Ireland
1,1 June 2018 00:15,68,90,Northern Ireland
2,1 June 2018 00:30,66,91,Northern Ireland
3,1 June 2018 00:45,64,81,Northern Ireland
4,1 June 2018 01:00,62,74,Northern Ireland
5,1 June 2018 01:15,61,64,Northern Ireland
6,1 June 2018 01:30,60,63,Northern Ireland
7,1 June 2018 01:45,59,62,Northern Ireland
8,1 June 2018 02:00,57,67,Northern Ireland
9,1 June 2018 02:15,56,62,Northern Ireland
10,1 June 2018 02:30,54,65,Northern Ireland
11,1 June 2018 02:45,52,61,Northern Ireland
12,1 June 2018 03:00,50,58,Northern Ireland
13,1 June 2018 03:15,48,54,Northern Ireland
14,1 June 2018 03:30,45,45,Northern Ireland
15,1 June 2018 03:45,43,39,Northern Ireland
16,1 June 2018 04:00,42,32,Northern Ireland
17,1 June 2018 04:15,43,28,Northern Ireland
18,1 June 2018 04:30,43,20,Northern Ireland
19,1 June 2018 04:45,44,20,Northern Ireland
20,1 June 2018 05:00,45,28,Northern Ireland
21,1 June 2018 05:15,45,29,Northern Ireland
22,1 June 2018 05:30,45,25,Northern Ireland
23,1 June 2018 05:45,45,21,Northern Ireland
24,1 June 2018 06:00,45,19,Northern Ireland
25,1 June 2018 06:15,43,12,Northern Ireland
26,1 June 2018 06:30,42,14,Northern Ireland
27,1 June 2018 06:45,41,9,Northern Ireland
28,1 June 2018 07:00,38,9,Northern Ireland
29,1 June 2018 07:15,37,11,Northern Ireland
30,1 June 2018 07:30,35,10,Northern Ireland
31,1 June 2018 07:45,33,11,Northern Ireland
32,1 June 2018 08:00,31,9,Northern Ireland
33,1 June 2018 08:15,30,9,Northern Ireland
34,1 June 2018 08:30,28,8,Northern Ireland
35,1 June 2018 08:45,26,9,Northern Ireland
36,1 June 2018 09:00,25,8,Northern Ireland
37,1 June 2018 09:15,25,7,Northern Ireland
38,1 June 2018 09:30,25,5,Northern Ireland
39,1 June 2018 09:45,25,7,Northern Ireland
40,1 June 2018 10:00,25,11,Northern Ireland
41,1 June 2018 10:15,26,11,Northern Ireland
42,1 June 2018 10:30,27,15,Northern Ireland
43,1 June 2018 10:45,28,18,Northern Ireland
44,1 June 2018 11:00,29,20,Northern Ireland
45,1 June 2018 11:15,28,27,Northern Ireland
46,1 June 2018 11:30,28,30,Northern Ireland
47,1 June 2018 11:45,28,36,Northern Ireland
48,1 June 2018 12:00,28,43,Northern Ireland
49,1 June 2018 12:15,27,40,Northern Ireland
50,1 June 2018 12:30,26,42,Northern Ireland
51,1 June 2018 12:45,25,38,Northern Ireland
52,1 June 2018 13:00,13,37,Northern Ireland
53,1 June 2018 13:15,13,37,Northern Ireland
54,1 June 2018 13:30,12,32,Northern Ireland
55,1 June 2018 13:45,12,27,Northern Ireland
56,1 June 2018 14:00,12,29,Northern Ireland
57,1 June 2018 14:15,13,19,Northern Ireland
58,1 June 2018 14:30,13,24,Northern Ireland
59,1 June 2018 14:45,13,27,Northern Ireland
60,1 June 2018 15:00,13,36,Northern Ireland
61,1 June 2018 15:15,13,26,Northern Ireland
62,1 June 2018 15:30,13,43,Northern Ireland
63,1 June 2018 15:45,12,16,Northern Ireland
64,1 June 2018 16:00,12,31,Northern Ireland
65,1 June 2018 16:15,12,33,Northern Ireland
66,1 June 2018 16:30,12,21,Northern Ireland
67,1 June 2018 16:45,11,27,Northern Ireland
68,1 June 2018 17:00,11,26,Northern Ireland
69,1 June 2018 17:15,11,16,Northern Ireland
70,1 June 2018 17:30,10,10,Northern Ireland
71,1 June 2018 17:45,10,14,Northern Ireland
72,1 June 2018 18:00,9,9,Northern Ireland
73,1 June 2018 18:15,9,3,Northern Ireland
74,1 June 2018 18:30,8,1,Northern Ireland
75,1 June 2018 18:45,8,0,Northern Ireland
76,1 June 2018 19:00,6,-1,Northern Ireland
77,1 June 2018 19:15,6,0,Northern Ireland
78,1 June 2018 19:30,5,2,Northern Ireland
79,1 June 2018 19:45,5,2,Northern Ireland
80,1 June 2018 20:00,5,3,Northern Ireland
81,1 June 2018 20:15,5,3,Northern Ireland
82,1 June 2018 20:30,5,3,Northern Ireland
83,1 June 2018 20:45,5,1,Northern Ireland
84,1 June 2018 21:00,5,0,Northern Ireland
85,1 June 2018 21:15,5,-1,Northern Ireland
86,1 June 2018 21:30,5,-1,Northern Ireland
87,1 June 2018 21:45,4,-1,Northern Ireland
88,1 June 2018 22:00,4,-1,Northern Ireland
89,1 June 2018 22:15,4,-1,Northern Ireland
90,1 June 2018 22:30,4,-1,Northern Ireland
91,1 June 2018 22:45,4,-1,Northern Ireland
92,1 June 2018 23:00,4,-1,Northern Ireland
93,1 June 2018 23:15,4,-1,Northern Ireland
94,1 June 2018 23:30,4,0,Northern Ireland
95,1 June 2018 23:45,4,-1,Northern Ireland
96,2 June 2018 00:00,3,-1,Northern Ireland
97,2 June 2018 00:15,3,-1,Northern Ireland
98,2 June 2018 00:30,3,-2,Northern Ireland
99,2 June 2018 00:45,3,-2,Northern Ireland
100,2 June 2018 01:00,4,-2,Northern Ireland
101,2 June 2018 01:15,4,-2,Northern Ireland
102,2 June 2018 01:30,4,-1,Northern Ireland
103,2 June 2018 01:45,4,-1,Northern Ireland
104,2 June 2018 02:00,4,-1,Northern Ireland
105,2 June 2018 02:15,4,-1,Northern Ireland
106,2 June 2018 02:30,4,-1,Northern Ireland
107,2 June 2018 02:45,4,-1,Northern Ireland
108,2 June 2018 03:00,4,0,Northern Ireland
109,2 June 2018 03:15,4,0,Northern Ireland
110,2 June 2018 03:30,4,0,Northern Ireland
111,2 June 2018 03:45,4,-1,Northern Ireland
112,2 June 2018 04:00,5,-1,Northern Ireland
113,2 June 2018 04:15,5,0,Northern Ireland
114,2 June 2018 04:30,5,0,Northern Ireland
115,2 June 2018 04:45,5,0,Northern Ireland
116,2 June 2018 05:00,6,0,Northern Ireland
117,2 June 2018 05:15,6,0,Northern Ireland
118,2 June 2018 05:30,6,0,Northern Ireland
