,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 September 2018 00:00,213,259,Northern Ireland
1,1 September 2018 00:15,199,232,Northern Ireland
2,1 September 2018 00:30,186,218,Northern Ireland
3,1 September 2018 00:45,172,217,Northern Ireland
4,1 September 2018 01:00,150,214,Northern Ireland
5,1 September 2018 01:15,144,202,Northern Ireland
6,1 September 2018 01:30,137,174,Northern Ireland
7,1 September 2018 01:45,130,151,Northern Ireland
8,1 September 2018 02:00,124,117,Northern Ireland
9,1 September 2018 02:15,117,113,Northern Ireland
10,1 September 2018 02:30,111,105,Northern Ireland
11,1 September 2018 02:45,104,115,Northern Ireland
12,1 September 2018 03:00,98,98,Northern Ireland
13,1 September 2018 03:15,93,89,Northern Ireland
14,1 September 2018 03:30,87,75,Northern Ireland
15,1 September 2018 03:45,81,71,Northern Ireland
16,1 September 2018 04:00,77,71,Northern Ireland
17,1 September 2018 04:15,73,63,Northern Ireland
18,1 September 2018 04:30,70,59,Northern Ireland
19,1 September 2018 04:45,66,65,Northern Ireland
20,1 September 2018 05:00,62,72,Northern Ireland
21,1 September 2018 05:15,58,75,Northern Ireland
22,1 September 2018 05:30,54,83,Northern Ireland
23,1 September 2018 05:45,50,77,Northern Ireland
24,1 September 2018 06:00,47,75,Northern Ireland
25,1 September 2018 06:15,45,61,Northern Ireland
26,1 September 2018 06:30,43,59,Northern Ireland
27,1 September 2018 06:45,40,48,Northern Ireland
28,1 September 2018 07:00,35,44,Northern Ireland
29,1 September 2018 07:15,35,46,Northern Ireland
30,1 September 2018 07:30,35,42,Northern Ireland
31,1 September 2018 07:45,35,40,Northern Ireland
32,1 September 2018 08:00,35,27,Northern Ireland
33,1 September 2018 08:15,34,21,Northern Ireland
34,1 September 2018 08:30,34,22,Northern Ireland
35,1 September 2018 08:45,33,27,Northern Ireland
36,1 September 2018 09:00,32,24,Northern Ireland
37,1 September 2018 09:15,31,26,Northern Ireland
38,1 September 2018 09:30,29,29,Northern Ireland
39,1 September 2018 09:45,28,21,Northern Ireland
40,1 September 2018 10:00,27,14,Northern Ireland
41,1 September 2018 10:15,28,14,Northern Ireland
42,1 September 2018 10:30,28,15,Northern Ireland
43,1 September 2018 10:45,29,13,Northern Ireland
44,1 September 2018 11:00,29,19,Northern Ireland
45,1 September 2018 11:15,28,19,Northern Ireland
46,1 September 2018 11:30,27,23,Northern Ireland
47,1 September 2018 11:45,27,24,Northern Ireland
48,1 September 2018 12:00,27,26,Northern Ireland
49,1 September 2018 12:15,28,30,Northern Ireland
50,1 September 2018 12:30,28,31,Northern Ireland
51,1 September 2018 12:45,29,30,Northern Ireland
52,1 September 2018 13:00,27,29,Northern Ireland
53,1 September 2018 13:15,29,27,Northern Ireland
54,1 September 2018 13:30,30,26,Northern Ireland
55,1 September 2018 13:45,31,29,Northern Ireland
56,1 September 2018 14:00,31,27,Northern Ireland
57,1 September 2018 14:15,32,27,Northern Ireland
58,1 September 2018 14:30,32,27,Northern Ireland
59,1 September 2018 14:45,32,31,Northern Ireland
60,1 September 2018 15:00,32,31,Northern Ireland
61,1 September 2018 15:15,31,35,Northern Ireland
62,1 September 2018 15:30,31,36,Northern Ireland
63,1 September 2018 15:45,30,36,Northern Ireland
64,1 September 2018 16:00,29,38,Northern Ireland
65,1 September 2018 16:15,29,36,Northern Ireland
66,1 September 2018 16:30,28,35,Northern Ireland
67,1 September 2018 16:45,27,34,Northern Ireland
68,1 September 2018 17:00,27,34,Northern Ireland
69,1 September 2018 17:15,27,35,Northern Ireland
70,1 September 2018 17:30,26,36,Northern Ireland
71,1 September 2018 17:45,26,39,Northern Ireland
72,1 September 2018 18:00,25,40,Northern Ireland
73,1 September 2018 18:15,25,36,Northern Ireland
74,1 September 2018 18:30,24,35,Northern Ireland
75,1 September 2018 18:45,23,34,Northern Ireland
76,1 September 2018 19:00,20,37,Northern Ireland
77,1 September 2018 19:15,21,46,Northern Ireland
78,1 September 2018 19:30,23,50,Northern Ireland
79,1 September 2018 19:45,24,61,Northern Ireland
80,1 September 2018 20:00,26,85,Northern Ireland
81,1 September 2018 20:15,29,90,Northern Ireland
82,1 September 2018 20:30,31,85,Northern Ireland
83,1 September 2018 20:45,34,92,Northern Ireland
84,1 September 2018 21:00,39,99,Northern Ireland
85,1 September 2018 21:15,45,99,Northern Ireland
86,1 September 2018 21:30,52,109,Northern Ireland
87,1 September 2018 21:45,59,125,Northern Ireland
88,1 September 2018 22:00,65,124,Northern Ireland
89,1 September 2018 22:15,72,120,Northern Ireland
90,1 September 2018 22:30,79,138,Northern Ireland
91,1 September 2018 22:45,86,148,Northern Ireland
92,1 September 2018 23:00,92,164,Northern Ireland
93,1 September 2018 23:15,98,187,Northern Ireland
94,1 September 2018 23:30,104,189,Northern Ireland
95,1 September 2018 23:45,111,205,Northern Ireland
96,2 September 2018 00:00,119,213,Northern Ireland
97,2 September 2018 00:15,129,218,Northern Ireland
98,2 September 2018 00:30,140,226,Northern Ireland
99,2 September 2018 00:45,150,228,Northern Ireland
100,2 September 2018 01:00,165,227,Northern Ireland
101,2 September 2018 01:15,179,217,Northern Ireland
102,2 September 2018 01:30,194,243,Northern Ireland
103,2 September 2018 01:45,208,268,Northern Ireland
104,2 September 2018 02:00,220,304,Northern Ireland
105,2 September 2018 02:15,231,333,Northern Ireland
106,2 September 2018 02:30,241,341,Northern Ireland
107,2 September 2018 02:45,251,357,Northern Ireland
108,2 September 2018 03:00,260,322,Northern Ireland
109,2 September 2018 03:15,267,309,Northern Ireland
110,2 September 2018 03:30,274,304,Northern Ireland
111,2 September 2018 03:45,282,307,Northern Ireland
112,2 September 2018 04:00,289,313,Northern Ireland
113,2 September 2018 04:15,297,304,Northern Ireland
114,2 September 2018 04:30,304,331,Northern Ireland
115,2 September 2018 04:45,311,333,Northern Ireland
116,2 September 2018 05:00,318,342,Northern Ireland
117,2 September 2018 05:15,322,365,Northern Ireland
118,2 September 2018 05:30,327,398,Northern Ireland
119,2 September 2018 05:45,332,360,Northern Ireland
120,2 September 2018 06:00,337,371,Northern Ireland
121,2 September 2018 06:15,343,407,Northern Ireland
122,2 September 2018 06:30,349,425,Northern Ireland
123,2 September 2018 06:45,354,438,Northern Ireland
124,2 September 2018 07:00,410,443,Northern Ireland
125,2 September 2018 07:15,415,408,Northern Ireland
126,2 September 2018 07:30,421,409,Northern Ireland
127,2 September 2018 07:45,427,405,Northern Ireland
128,2 September 2018 08:00,430,396,Northern Ireland
129,2 September 2018 08:15,432,415,Northern Ireland
130,2 September 2018 08:30,434,446,Northern Ireland
131,2 September 2018 08:45,437,462,Northern Ireland
