,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 April 2019 00:00,103,191,Northern Ireland
1,1 April 2019 00:15,101,196,Northern Ireland
2,1 April 2019 00:30,99,195,Northern Ireland
3,1 April 2019 00:45,97,192,Northern Ireland
4,1 April 2019 01:00,86,189,Northern Ireland
5,1 April 2019 01:15,84,192,Northern Ireland
6,1 April 2019 01:30,81,194,Northern Ireland
7,1 April 2019 01:45,79,185,Northern Ireland
8,1 April 2019 02:00,79,187,Northern Ireland
9,1 April 2019 02:15,81,181,Northern Ireland
10,1 April 2019 02:30,83,177,Northern Ireland
11,1 April 2019 02:45,86,179,Northern Ireland
12,1 April 2019 03:00,89,170,Northern Ireland
13,1 April 2019 03:15,94,172,Northern Ireland
14,1 April 2019 03:30,98,177,Northern Ireland
15,1 April 2019 03:45,103,178,Northern Ireland
16,1 April 2019 04:00,106,168,Northern Ireland
17,1 April 2019 04:15,109,174,Northern Ireland
18,1 April 2019 04:30,112,175,Northern Ireland
19,1 April 2019 04:45,114,175,Northern Ireland
20,1 April 2019 05:00,116,165,Northern Ireland
21,1 April 2019 05:15,117,158,Northern Ireland
22,1 April 2019 05:30,119,163,Northern Ireland
23,1 April 2019 05:45,120,169,Northern Ireland
24,1 April 2019 06:00,121,176,Northern Ireland
25,1 April 2019 06:15,122,176,Northern Ireland
26,1 April 2019 06:30,123,185,Northern Ireland
27,1 April 2019 06:45,125,198,Northern Ireland
28,1 April 2019 07:00,145,188,Northern Ireland
29,1 April 2019 07:15,148,191,Northern Ireland
30,1 April 2019 07:30,151,188,Northern Ireland
31,1 April 2019 07:45,154,182,Northern Ireland
32,1 April 2019 08:00,156,165,Northern Ireland
33,1 April 2019 08:15,157,164,Northern Ireland
34,1 April 2019 08:30,158,151,Northern Ireland
35,1 April 2019 08:45,159,150,Northern Ireland
36,1 April 2019 09:00,145,147,Northern Ireland
37,1 April 2019 09:15,141,140,Northern Ireland
38,1 April 2019 09:30,137,137,Northern Ireland
39,1 April 2019 09:45,132,155,Northern Ireland
40,1 April 2019 10:00,131,166,Northern Ireland
41,1 April 2019 10:15,131,174,Northern Ireland
42,1 April 2019 10:30,131,166,Northern Ireland
