,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 February 2019 00:00,259,338,Northern Ireland
1,1 February 2019 00:15,249,342,Northern Ireland
2,1 February 2019 00:30,239,330,Northern Ireland
3,1 February 2019 00:45,229,296,Northern Ireland
4,1 February 2019 01:00,222,299,Northern Ireland
5,1 February 2019 01:15,216,287,Northern Ireland
6,1 February 2019 01:30,210,251,Northern Ireland
7,1 February 2019 01:45,204,236,Northern Ireland
8,1 February 2019 02:00,200,199,Northern Ireland
9,1 February 2019 02:15,197,179,Northern Ireland
10,1 February 2019 02:30,194,177,Northern Ireland
11,1 February 2019 02:45,191,159,Northern Ireland
12,1 February 2019 03:00,189,159,Northern Ireland
13,1 February 2019 03:15,186,154,Northern Ireland
14,1 February 2019 03:30,184,153,Northern Ireland
15,1 February 2019 03:45,181,150,Northern Ireland
16,1 February 2019 04:00,179,151,Northern Ireland
17,1 February 2019 04:15,176,172,Northern Ireland
18,1 February 2019 04:30,173,171,Northern Ireland
19,1 February 2019 04:45,171,160,Northern Ireland
20,1 February 2019 05:00,169,168,Northern Ireland
21,1 February 2019 05:15,167,208,Northern Ireland
22,1 February 2019 05:30,166,213,Northern Ireland
23,1 February 2019 05:45,165,216,Northern Ireland
24,1 February 2019 06:00,129,196,Northern Ireland
25,1 February 2019 06:15,126,187,Northern Ireland
26,1 February 2019 06:30,123,183,Northern Ireland
27,1 February 2019 06:45,120,177,Northern Ireland
28,1 February 2019 07:00,119,189,Northern Ireland
29,1 February 2019 07:15,119,180,Northern Ireland
30,1 February 2019 07:30,120,172,Northern Ireland
31,1 February 2019 07:45,120,170,Northern Ireland
32,1 February 2019 08:00,120,154,Northern Ireland
33,1 February 2019 08:15,120,147,Northern Ireland
34,1 February 2019 08:30,119,122,Northern Ireland
35,1 February 2019 08:45,118,118,Northern Ireland
36,1 February 2019 09:00,118,105,Northern Ireland
37,1 February 2019 09:15,118,104,Northern Ireland
38,1 February 2019 09:30,117,105,Northern Ireland
39,1 February 2019 09:45,117,107,Northern Ireland
40,1 February 2019 10:00,119,100,Northern Ireland
41,1 February 2019 10:15,123,103,Northern Ireland
42,1 February 2019 10:30,127,96,Northern Ireland
43,1 February 2019 10:45,131,92,Northern Ireland
44,1 February 2019 11:00,137,92,Northern Ireland
45,1 February 2019 11:15,146,88,Northern Ireland
46,1 February 2019 11:30,154,79,Northern Ireland
47,1 February 2019 11:45,162,81,Northern Ireland
48,1 February 2019 12:00,139,91,Northern Ireland
49,1 February 2019 12:15,143,93,Northern Ireland
50,1 February 2019 12:30,147,101,Northern Ireland
51,1 February 2019 12:45,151,107,Northern Ireland
52,1 February 2019 13:00,159,133,Northern Ireland
53,1 February 2019 13:15,169,133,Northern Ireland
54,1 February 2019 13:30,178,146,Northern Ireland
55,1 February 2019 13:45,188,154,Northern Ireland
56,1 February 2019 14:00,201,183,Northern Ireland
57,1 February 2019 14:15,217,173,Northern Ireland
58,1 February 2019 14:30,233,199,Northern Ireland
59,1 February 2019 14:45,249,214,Northern Ireland
60,1 February 2019 15:00,267,184,Northern Ireland
61,1 February 2019 15:15,287,201,Northern Ireland
62,1 February 2019 15:30,307,263,Northern Ireland
63,1 February 2019 15:45,328,238,Northern Ireland
64,1 February 2019 16:00,345,239,Northern Ireland
65,1 February 2019 16:15,358,254,Northern Ireland
66,1 February 2019 16:30,372,259,Northern Ireland
67,1 February 2019 16:45,385,267,Northern Ireland
68,1 February 2019 17:00,396,290,Northern Ireland
69,1 February 2019 17:15,403,360,Northern Ireland
70,1 February 2019 17:30,410,335,Northern Ireland
71,1 February 2019 17:45,417,358,Northern Ireland
72,1 February 2019 18:00,432,452,Northern Ireland
73,1 February 2019 18:15,437,478,Northern Ireland
74,1 February 2019 18:30,441,415,Northern Ireland
75,1 February 2019 18:45,446,393,Northern Ireland
76,1 February 2019 19:00,451,434,Northern Ireland
77,1 February 2019 19:15,458,464,Northern Ireland
78,1 February 2019 19:30,465,425,Northern Ireland
79,1 February 2019 19:45,472,409,Northern Ireland
80,1 February 2019 20:00,474,494,Northern Ireland
81,1 February 2019 20:15,471,506,Northern Ireland
82,1 February 2019 20:30,468,489,Northern Ireland
83,1 February 2019 20:45,465,460,Northern Ireland
84,1 February 2019 21:00,462,439,Northern Ireland
85,1 February 2019 21:15,457,401,Northern Ireland
86,1 February 2019 21:30,452,423,Northern Ireland
87,1 February 2019 21:45,447,438,Northern Ireland
88,1 February 2019 22:00,442,443,Northern Ireland
89,1 February 2019 22:15,436,418,Northern Ireland
90,1 February 2019 22:30,431,435,Northern Ireland
91,1 February 2019 22:45,425,432,Northern Ireland
92,1 February 2019 23:00,420,336,Northern Ireland
93,1 February 2019 23:15,416,326,Northern Ireland
94,1 February 2019 23:30,411,324,Northern Ireland
95,1 February 2019 23:45,407,338,Northern Ireland
96,2 February 2019 00:00,341,346,Northern Ireland
97,2 February 2019 00:15,329,418,Northern Ireland
98,2 February 2019 00:30,316,439,Northern Ireland
99,2 February 2019 00:45,303,412,Northern Ireland
100,2 February 2019 01:00,295,398,Northern Ireland
101,2 February 2019 01:15,289,395,Northern Ireland
102,2 February 2019 01:30,284,425,Northern Ireland
103,2 February 2019 01:45,279,431,Northern Ireland
104,2 February 2019 02:00,270,411,Northern Ireland
105,2 February 2019 02:15,258,379,Northern Ireland
106,2 February 2019 02:30,246,372,Northern Ireland
107,2 February 2019 02:45,233,374,Northern Ireland
108,2 February 2019 03:00,222,400,Northern Ireland
109,2 February 2019 03:15,213,388,Northern Ireland
110,2 February 2019 03:30,203,375,Northern Ireland
111,2 February 2019 03:45,193,408,Northern Ireland
112,2 February 2019 04:00,184,346,Northern Ireland
113,2 February 2019 04:15,175,323,Northern Ireland
114,2 February 2019 04:30,167,310,Northern Ireland
115,2 February 2019 04:45,158,326,Northern Ireland
116,2 February 2019 05:00,150,309,Northern Ireland
117,2 February 2019 05:15,143,288,Northern Ireland
118,2 February 2019 05:30,136,272,Northern Ireland
119,2 February 2019 05:45,129,238,Northern Ireland
120,2 February 2019 06:00,122,227,Northern Ireland
121,2 February 2019 06:15,116,228,Northern Ireland
122,2 February 2019 06:30,109,221,Northern Ireland
123,2 February 2019 06:45,102,224,Northern Ireland
124,2 February 2019 07:00,97,217,Northern Ireland
125,2 February 2019 07:15,94,193,Northern Ireland
126,2 February 2019 07:30,92,166,Northern Ireland
127,2 February 2019 07:45,89,153,Northern Ireland
128,2 February 2019 08:00,84,155,Northern Ireland
129,2 February 2019 08:15,77,147,Northern Ireland
130,2 February 2019 08:30,70,129,Northern Ireland
131,2 February 2019 08:45,63,121,Northern Ireland
132,2 February 2019 09:00,57,102,Northern Ireland
133,2 February 2019 09:15,52,94,Northern Ireland
134,2 February 2019 09:30,47,83,Northern Ireland
135,2 February 2019 09:45,42,71,Northern Ireland
136,2 February 2019 10:00,38,60,Northern Ireland
137,2 February 2019 10:15,34,61,Northern Ireland
138,2 February 2019 10:30,31,48,Northern Ireland
139,2 February 2019 10:45,27,44,Northern Ireland
140,2 February 2019 11:00,24,43,Northern Ireland
141,2 February 2019 11:15,22,39,Northern Ireland
142,2 February 2019 11:30,20,37,Northern Ireland
143,2 February 2019 11:45,17,25,Northern Ireland
144,2 February 2019 12:00,18,21,Northern Ireland
145,2 February 2019 12:15,17,18,Northern Ireland
146,2 February 2019 12:30,16,15,Northern Ireland
147,2 February 2019 12:45,15,17,Northern Ireland
148,2 February 2019 13:00,14,14,Northern Ireland
149,2 February 2019 13:15,15,14,Northern Ireland
150,2 February 2019 13:30,15,12,Northern Ireland
151,2 February 2019 13:45,15,11,Northern Ireland
152,2 February 2019 14:00,14,13,Northern Ireland
153,2 February 2019 14:15,14,11,Northern Ireland
154,2 February 2019 14:30,14,15,Northern Ireland
155,2 February 2019 14:45,13,15,Northern Ireland
156,2 February 2019 15:00,13,20,Northern Ireland
157,2 February 2019 15:15,14,23,Northern Ireland
158,2 February 2019 15:30,15,26,Northern Ireland
159,2 February 2019 15:45,15,24,Northern Ireland
160,2 February 2019 16:00,16,25,Northern Ireland
161,2 February 2019 16:15,17,28,Northern Ireland
162,2 February 2019 16:30,18,36,Northern Ireland
163,2 February 2019 16:45,19,36,Northern Ireland
164,2 February 2019 17:00,21,34,Northern Ireland
165,2 February 2019 17:15,23,46,Northern Ireland
166,2 February 2019 17:30,25,48,Northern Ireland
167,2 February 2019 17:45,27,50,Northern Ireland
168,2 February 2019 18:00,25,48,Northern Ireland
169,2 February 2019 18:15,29,57,Northern Ireland
170,2 February 2019 18:30,34,57,Northern Ireland
171,2 February 2019 18:45,38,67,Northern Ireland
172,2 February 2019 19:00,44,87,Northern Ireland
173,2 February 2019 19:15,52,99,Northern Ireland
174,2 February 2019 19:30,59,112,Northern Ireland
175,2 February 2019 19:45,67,115,Northern Ireland
176,2 February 2019 20:00,75,109,Northern Ireland
177,2 February 2019 20:15,82,113,Northern Ireland
178,2 February 2019 20:30,90,131,Northern Ireland
179,2 February 2019 20:45,97,149,Northern Ireland
180,2 February 2019 21:00,105,143,Northern Ireland
181,2 February 2019 21:15,112,148,Northern Ireland
182,2 February 2019 21:30,119,153,Northern Ireland
183,2 February 2019 21:45,126,160,Northern Ireland
184,2 February 2019 22:00,133,170,Northern Ireland
185,2 February 2019 22:15,138,164,Northern Ireland
186,2 February 2019 22:30,144,147,Northern Ireland
187,2 February 2019 22:45,150,149,Northern Ireland
188,2 February 2019 23:00,154,170,Northern Ireland
189,2 February 2019 23:15,157,168,Northern Ireland
190,2 February 2019 23:30,161,175,Northern Ireland
191,2 February 2019 23:45,164,187,Northern Ireland
192,3 February 2019 00:00,134,209,Northern Ireland
193,3 February 2019 00:15,141,133,Northern Ireland
194,3 February 2019 00:30,148,135,Northern Ireland
195,3 February 2019 00:45,155,209,Northern Ireland
196,3 February 2019 01:00,164,200,Northern Ireland
197,3 February 2019 01:15,175,221,Northern Ireland
198,3 February 2019 01:30,186,237,Northern Ireland
199,3 February 2019 01:45,197,269,Northern Ireland
200,3 February 2019 02:00,212,259,Northern Ireland
201,3 February 2019 02:15,232,259,Northern Ireland
202,3 February 2019 02:30,251,269,Northern Ireland
203,3 February 2019 02:45,270,320,Northern Ireland
204,3 February 2019 03:00,290,387,Northern Ireland
205,3 February 2019 03:15,311,396,Northern Ireland
206,3 February 2019 03:30,332,406,Northern Ireland
207,3 February 2019 03:45,353,426,Northern Ireland
208,3 February 2019 04:00,377,487,Northern Ireland
209,3 February 2019 04:15,404,551,Northern Ireland
210,3 February 2019 04:30,431,586,Northern Ireland
211,3 February 2019 04:45,459,562,Northern Ireland
212,3 February 2019 05:00,482,550,Northern Ireland
213,3 February 2019 05:15,502,555,Northern Ireland
214,3 February 2019 05:30,522,540,Northern Ireland
215,3 February 2019 05:45,542,534,Northern Ireland
216,3 February 2019 06:00,537,539,Northern Ireland
217,3 February 2019 06:15,553,568,Northern Ireland
218,3 February 2019 06:30,568,498,Northern Ireland
219,3 February 2019 06:45,583,459,Northern Ireland
220,3 February 2019 07:00,592,461,Northern Ireland
221,3 February 2019 07:15,592,465,Northern Ireland
222,3 February 2019 07:30,593,460,Northern Ireland
223,3 February 2019 07:45,594,457,Northern Ireland
224,3 February 2019 08:00,586,452,Northern Ireland
225,3 February 2019 08:15,567,476,Northern Ireland
226,3 February 2019 08:30,549,499,Northern Ireland
227,3 February 2019 08:45,531,547,Northern Ireland
228,3 February 2019 09:00,507,602,Northern Ireland
229,3 February 2019 09:15,476,546,Northern Ireland
230,3 February 2019 09:30,446,505,Northern Ireland
231,3 February 2019 09:45,415,451,Northern Ireland
232,3 February 2019 10:00,380,385,Northern Ireland
233,3 February 2019 10:15,341,323,Northern Ireland
234,3 February 2019 10:30,302,278,Northern Ireland
235,3 February 2019 10:45,262,246,Northern Ireland
236,3 February 2019 11:00,230,204,Northern Ireland
237,3 February 2019 11:15,204,174,Northern Ireland
238,3 February 2019 11:30,178,151,Northern Ireland
239,3 February 2019 11:45,151,150,Northern Ireland
240,3 February 2019 12:00,104,137,Northern Ireland
241,3 February 2019 12:15,90,119,Northern Ireland
242,3 February 2019 12:30,77,105,Northern Ireland
243,3 February 2019 12:45,63,94,Northern Ireland
244,3 February 2019 13:00,54,73,Northern Ireland
245,3 February 2019 13:15,49,57,Northern Ireland
246,3 February 2019 13:30,44,45,Northern Ireland
247,3 February 2019 13:45,39,40,Northern Ireland
248,3 February 2019 14:00,40,38,Northern Ireland
249,3 February 2019 14:15,47,33,Northern Ireland
250,3 February 2019 14:30,54,34,Northern Ireland
251,3 February 2019 14:45,61,41,Northern Ireland
252,3 February 2019 15:00,75,34,Northern Ireland
253,3 February 2019 15:15,95,37,Northern Ireland
254,3 February 2019 15:30,115,62,Northern Ireland
255,3 February 2019 15:45,136,100,Northern Ireland
