,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 August 2020 00:00,137,105,Northern Ireland
1,1 August 2020 00:15,140,95,Northern Ireland
2,1 August 2020 00:30,143,94,Northern Ireland
3,1 August 2020 00:45,145,98,Northern Ireland
4,1 August 2020 01:00,141,88,Northern Ireland
5,1 August 2020 01:15,144,87,Northern Ireland
6,1 August 2020 01:30,146,94,Northern Ireland
7,1 August 2020 01:45,148,100,Northern Ireland
8,1 August 2020 02:00,151,95,Northern Ireland
9,1 August 2020 02:15,150,107,Northern Ireland
10,1 August 2020 02:30,150,106,Northern Ireland
11,1 August 2020 02:45,150,105,Northern Ireland
12,1 August 2020 03:00,149,110,Northern Ireland
13,1 August 2020 03:15,147,107,Northern Ireland
14,1 August 2020 03:30,144,98,Northern Ireland
15,1 August 2020 03:45,142,94,Northern Ireland
16,1 August 2020 04:00,140,91,Northern Ireland
17,1 August 2020 04:15,136,86,Northern Ireland
18,1 August 2020 04:30,132,79,Northern Ireland
19,1 August 2020 04:45,129,81,Northern Ireland
20,1 August 2020 05:00,125,79,Northern Ireland
21,1 August 2020 05:15,122,71,Northern Ireland
22,1 August 2020 05:30,120,70,Northern Ireland
23,1 August 2020 05:45,118,70,Northern Ireland
24,1 August 2020 06:00,115,75,Northern Ireland
25,1 August 2020 06:15,114,62,Northern Ireland
26,1 August 2020 06:30,112,77,Northern Ireland
27,1 August 2020 06:45,111,71,Northern Ireland
28,1 August 2020 07:00,129,69,Northern Ireland
29,1 August 2020 07:15,130,69,Northern Ireland
30,1 August 2020 07:30,131,63,Northern Ireland
31,1 August 2020 07:45,131,75,Northern Ireland
32,1 August 2020 08:00,132,65,Northern Ireland
33,1 August 2020 08:15,132,56,Northern Ireland
34,1 August 2020 08:30,132,50,Northern Ireland
35,1 August 2020 08:45,132,58,Northern Ireland
36,1 August 2020 09:00,132,67,Northern Ireland
37,1 August 2020 09:15,132,64,Northern Ireland
38,1 August 2020 09:30,131,70,Northern Ireland
39,1 August 2020 09:45,131,70,Northern Ireland
40,1 August 2020 10:00,130,78,Northern Ireland
41,1 August 2020 10:15,134,115,Northern Ireland
42,1 August 2020 10:30,137,113,Northern Ireland
43,1 August 2020 10:45,140,110,Northern Ireland
44,1 August 2020 11:00,143,111,Northern Ireland
45,1 August 2020 11:15,147,108,Northern Ireland
46,1 August 2020 11:30,150,126,Northern Ireland
47,1 August 2020 11:45,154,104,Northern Ireland
48,1 August 2020 12:00,157,103,Northern Ireland
49,1 August 2020 12:15,154,131,Northern Ireland
50,1 August 2020 12:30,151,153,Northern Ireland
51,1 August 2020 12:45,148,162,Northern Ireland
52,1 August 2020 13:00,137,146,Northern Ireland
53,1 August 2020 13:15,133,120,Northern Ireland
54,1 August 2020 13:30,129,136,Northern Ireland
55,1 August 2020 13:45,126,113,Northern Ireland
56,1 August 2020 14:00,122,118,Northern Ireland
57,1 August 2020 14:15,120,116,Northern Ireland
58,1 August 2020 14:30,118,106,Northern Ireland
59,1 August 2020 14:45,115,104,Northern Ireland
