,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 December 2020 00:00,98,50,Northern Ireland
1,1 December 2020 00:15,93,37,Northern Ireland
2,1 December 2020 00:30,88,36,Northern Ireland
3,1 December 2020 00:45,84,27,Northern Ireland
4,1 December 2020 01:00,79,23,Northern Ireland
5,1 December 2020 01:15,79,22,Northern Ireland
6,1 December 2020 01:30,80,18,Northern Ireland
7,1 December 2020 01:45,80,16,Northern Ireland
8,1 December 2020 02:00,80,19,Northern Ireland
9,1 December 2020 02:15,76,15,Northern Ireland
10,1 December 2020 02:30,72,22,Northern Ireland
11,1 December 2020 02:45,68,20,Northern Ireland
12,1 December 2020 03:00,64,18,Northern Ireland
13,1 December 2020 03:15,62,22,Northern Ireland
14,1 December 2020 03:30,61,20,Northern Ireland
15,1 December 2020 03:45,59,16,Northern Ireland
16,1 December 2020 04:00,57,16,Northern Ireland
17,1 December 2020 04:15,57,20,Northern Ireland
18,1 December 2020 04:30,57,23,Northern Ireland
19,1 December 2020 04:45,56,28,Northern Ireland
20,1 December 2020 05:00,56,32,Northern Ireland
21,1 December 2020 05:15,57,38,Northern Ireland
22,1 December 2020 05:30,58,44,Northern Ireland
23,1 December 2020 05:45,59,44,Northern Ireland
24,1 December 2020 06:00,64,47,Northern Ireland
25,1 December 2020 06:15,68,48,Northern Ireland
26,1 December 2020 06:30,72,53,Northern Ireland
27,1 December 2020 06:45,76,57,Northern Ireland
28,1 December 2020 07:00,80,63,Northern Ireland
29,1 December 2020 07:15,87,71,Northern Ireland
30,1 December 2020 07:30,93,81,Northern Ireland
31,1 December 2020 07:45,100,77,Northern Ireland
32,1 December 2020 08:00,106,75,Northern Ireland
33,1 December 2020 08:15,110,87,Northern Ireland
34,1 December 2020 08:30,114,88,Northern Ireland
35,1 December 2020 08:45,118,98,Northern Ireland
36,1 December 2020 09:00,122,94,Northern Ireland
37,1 December 2020 09:15,124,92,Northern Ireland
38,1 December 2020 09:30,126,86,Northern Ireland
39,1 December 2020 09:45,128,102,Northern Ireland
40,1 December 2020 10:00,130,111,Northern Ireland
41,1 December 2020 10:15,133,117,Northern Ireland
42,1 December 2020 10:30,136,122,Northern Ireland
43,1 December 2020 10:45,139,140,Northern Ireland
44,1 December 2020 11:00,142,146,Northern Ireland
45,1 December 2020 11:15,139,156,Northern Ireland
46,1 December 2020 11:30,137,162,Northern Ireland
47,1 December 2020 11:45,134,170,Northern Ireland
48,1 December 2020 12:00,160,188,Northern Ireland
49,1 December 2020 12:15,163,181,Northern Ireland
50,1 December 2020 12:30,165,184,Northern Ireland
51,1 December 2020 12:45,168,212,Northern Ireland
52,1 December 2020 13:00,171,207,Northern Ireland
53,1 December 2020 13:15,169,204,Northern Ireland
54,1 December 2020 13:30,166,202,Northern Ireland
55,1 December 2020 13:45,164,217,Northern Ireland
56,1 December 2020 14:00,162,223,Northern Ireland
57,1 December 2020 14:15,164,205,Northern Ireland
58,1 December 2020 14:30,166,209,Northern Ireland
59,1 December 2020 14:45,167,218,Northern Ireland
60,1 December 2020 15:00,169,214,Northern Ireland
61,1 December 2020 15:15,169,220,Northern Ireland
62,1 December 2020 15:30,169,227,Northern Ireland
63,1 December 2020 15:45,169,274,Northern Ireland
64,1 December 2020 16:00,169,311,Northern Ireland
65,1 December 2020 16:15,175,348,Northern Ireland
66,1 December 2020 16:30,180,366,Northern Ireland
67,1 December 2020 16:45,186,370,Northern Ireland
68,1 December 2020 17:00,191,376,Northern Ireland
69,1 December 2020 17:15,200,376,Northern Ireland
70,1 December 2020 17:30,210,410,Northern Ireland
71,1 December 2020 17:45,219,435,Northern Ireland
72,1 December 2020 18:00,235,418,Northern Ireland
73,1 December 2020 18:15,244,402,Northern Ireland
74,1 December 2020 18:30,252,403,Northern Ireland
75,1 December 2020 18:45,261,352,Northern Ireland
76,1 December 2020 19:00,269,344,Northern Ireland
77,1 December 2020 19:15,267,357,Northern Ireland
78,1 December 2020 19:30,265,333,Northern Ireland
79,1 December 2020 19:45,262,347,Northern Ireland
80,1 December 2020 20:00,260,318,Northern Ireland
81,1 December 2020 20:15,252,314,Northern Ireland
82,1 December 2020 20:30,243,295,Northern Ireland
83,1 December 2020 20:45,234,325,Northern Ireland
84,1 December 2020 21:00,226,313,Northern Ireland
85,1 December 2020 21:15,225,271,Northern Ireland
86,1 December 2020 21:30,223,241,Northern Ireland
87,1 December 2020 21:45,222,281,Northern Ireland
88,1 December 2020 22:00,221,263,Northern Ireland
89,1 December 2020 22:15,239,272,Northern Ireland
90,1 December 2020 22:30,258,263,Northern Ireland
91,1 December 2020 22:45,276,252,Northern Ireland
92,1 December 2020 23:00,294,248,Northern Ireland
93,1 December 2020 23:15,301,245,Northern Ireland
94,1 December 2020 23:30,307,263,Northern Ireland
95,1 December 2020 23:45,314,276,Northern Ireland
96,2 December 2020 00:00,320,251,Northern Ireland
97,2 December 2020 00:15,329,265,Northern Ireland
98,2 December 2020 00:30,338,295,Northern Ireland
99,2 December 2020 00:45,346,268,Northern Ireland
100,2 December 2020 01:00,355,270,Northern Ireland
101,2 December 2020 01:15,369,297,Northern Ireland
102,2 December 2020 01:30,382,314,Northern Ireland
103,2 December 2020 01:45,396,326,Northern Ireland
104,2 December 2020 02:00,409,359,Northern Ireland
105,2 December 2020 02:15,420,410,Northern Ireland
106,2 December 2020 02:30,430,418,Northern Ireland
107,2 December 2020 02:45,441,462,Northern Ireland
108,2 December 2020 03:00,451,450,Northern Ireland
109,2 December 2020 03:15,453,464,Northern Ireland
110,2 December 2020 03:30,455,491,Northern Ireland
111,2 December 2020 03:45,457,462,Northern Ireland
112,2 December 2020 04:00,459,422,Northern Ireland
113,2 December 2020 04:15,456,404,Northern Ireland
114,2 December 2020 04:30,452,438,Northern Ireland
115,2 December 2020 04:45,449,433,Northern Ireland
116,2 December 2020 05:00,445,425,Northern Ireland
117,2 December 2020 05:15,449,451,Northern Ireland
118,2 December 2020 05:30,453,404,Northern Ireland
119,2 December 2020 05:45,458,401,Northern Ireland
120,2 December 2020 06:00,438,393,Northern Ireland
121,2 December 2020 06:15,444,342,Northern Ireland
122,2 December 2020 06:30,449,323,Northern Ireland
123,2 December 2020 06:45,455,308,Northern Ireland
124,2 December 2020 07:00,461,288,Northern Ireland
125,2 December 2020 07:15,463,301,Northern Ireland
126,2 December 2020 07:30,466,324,Northern Ireland
127,2 December 2020 07:45,469,308,Northern Ireland
128,2 December 2020 08:00,464,325,Northern Ireland
129,2 December 2020 08:15,469,334,Northern Ireland
