,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 November 2020 00:00,817,489,Northern Ireland
1,1 November 2020 00:15,832,494,Northern Ireland
2,1 November 2020 00:30,847,490,Northern Ireland
3,1 November 2020 00:45,862,487,Northern Ireland
4,1 November 2020 01:00,877,494,Northern Ireland
5,1 November 2020 01:15,896,500,Northern Ireland
6,1 November 2020 01:30,915,497,Northern Ireland
7,1 November 2020 01:45,934,500,Northern Ireland
8,1 November 2020 02:00,953,501,Northern Ireland
9,1 November 2020 02:15,951,497,Northern Ireland
10,1 November 2020 02:30,950,469,Northern Ireland
11,1 November 2020 02:45,948,469,Northern Ireland
12,1 November 2020 03:00,946,445,Northern Ireland
13,1 November 2020 03:15,925,437,Northern Ireland
14,1 November 2020 03:30,904,395,Northern Ireland
15,1 November 2020 03:45,883,390,Northern Ireland
16,1 November 2020 04:00,862,396,Northern Ireland
17,1 November 2020 04:15,846,392,Northern Ireland
18,1 November 2020 04:30,830,394,Northern Ireland
19,1 November 2020 04:45,814,393,Northern Ireland
20,1 November 2020 05:00,797,394,Northern Ireland
21,1 November 2020 05:15,788,391,Northern Ireland
22,1 November 2020 05:30,778,390,Northern Ireland
23,1 November 2020 05:45,769,393,Northern Ireland
24,1 November 2020 06:00,753,388,Northern Ireland
25,1 November 2020 06:15,754,388,Northern Ireland
26,1 November 2020 06:30,754,394,Northern Ireland
27,1 November 2020 06:45,754,392,Northern Ireland
28,1 November 2020 07:00,755,393,Northern Ireland
29,1 November 2020 07:15,758,387,Northern Ireland
30,1 November 2020 07:30,760,387,Northern Ireland
31,1 November 2020 07:45,763,393,Northern Ireland
32,1 November 2020 08:00,766,394,Northern Ireland
33,1 November 2020 08:15,769,393,Northern Ireland
34,1 November 2020 08:30,772,394,Northern Ireland
35,1 November 2020 08:45,775,396,Northern Ireland
36,1 November 2020 09:00,778,395,Northern Ireland
37,1 November 2020 09:15,786,499,Northern Ireland
38,1 November 2020 09:30,795,497,Northern Ireland
39,1 November 2020 09:45,803,499,Northern Ireland
40,1 November 2020 10:00,811,500,Northern Ireland
41,1 November 2020 10:15,817,499,Northern Ireland
42,1 November 2020 10:30,823,500,Northern Ireland
43,1 November 2020 10:45,829,494,Northern Ireland
44,1 November 2020 11:00,836,497,Northern Ireland
45,1 November 2020 11:15,842,499,Northern Ireland
46,1 November 2020 11:30,848,499,Northern Ireland
47,1 November 2020 11:45,854,651,Northern Ireland
48,1 November 2020 12:00,843,651,Northern Ireland
49,1 November 2020 12:15,844,704,Northern Ireland
50,1 November 2020 12:30,845,655,Northern Ireland
51,1 November 2020 12:45,846,709,Northern Ireland
52,1 November 2020 13:00,847,727,Northern Ireland
53,1 November 2020 13:15,843,737,Northern Ireland
54,1 November 2020 13:30,838,754,Northern Ireland
55,1 November 2020 13:45,834,738,Northern Ireland
56,1 November 2020 14:00,830,720,Northern Ireland
57,1 November 2020 14:15,818,717,Northern Ireland
58,1 November 2020 14:30,806,665,Northern Ireland
59,1 November 2020 14:45,794,658,Northern Ireland
60,1 November 2020 15:00,782,623,Northern Ireland
61,1 November 2020 15:15,761,607,Northern Ireland
62,1 November 2020 15:30,741,560,Northern Ireland
63,1 November 2020 15:45,721,520,Northern Ireland
64,1 November 2020 16:00,701,494,Northern Ireland
65,1 November 2020 16:15,676,487,Northern Ireland
66,1 November 2020 16:30,652,456,Northern Ireland
67,1 November 2020 16:45,628,424,Northern Ireland
68,1 November 2020 17:00,604,390,Northern Ireland
69,1 November 2020 17:15,576,340,Northern Ireland
70,1 November 2020 17:30,548,328,Northern Ireland
71,1 November 2020 17:45,520,341,Northern Ireland
72,1 November 2020 18:00,331,329,Northern Ireland
73,1 November 2020 18:15,319,314,Northern Ireland
74,1 November 2020 18:30,307,352,Northern Ireland
75,1 November 2020 18:45,295,439,Northern Ireland
76,1 November 2020 19:00,283,442,Northern Ireland
77,1 November 2020 19:15,275,441,Northern Ireland
78,1 November 2020 19:30,267,473,Northern Ireland
79,1 November 2020 19:45,259,429,Northern Ireland
80,1 November 2020 20:00,251,426,Northern Ireland
81,1 November 2020 20:15,250,424,Northern Ireland
82,1 November 2020 20:30,249,387,Northern Ireland
83,1 November 2020 20:45,249,377,Northern Ireland
84,1 November 2020 21:00,248,352,Northern Ireland
85,1 November 2020 21:15,237,344,Northern Ireland
86,1 November 2020 21:30,227,355,Northern Ireland
87,1 November 2020 21:45,217,359,Northern Ireland
88,1 November 2020 22:00,206,307,Northern Ireland
89,1 November 2020 22:15,201,286,Northern Ireland
90,1 November 2020 22:30,196,258,Northern Ireland
91,1 November 2020 22:45,192,244,Northern Ireland
92,1 November 2020 23:00,187,240,Northern Ireland
93,1 November 2020 23:15,184,244,Northern Ireland
94,1 November 2020 23:30,182,240,Northern Ireland
95,1 November 2020 23:45,179,192,Northern Ireland
96,2 November 2020 00:00,248,150,Northern Ireland
97,2 November 2020 00:15,252,160,Northern Ireland
98,2 November 2020 00:30,257,150,Northern Ireland
99,2 November 2020 00:45,262,160,Northern Ireland
100,2 November 2020 01:00,266,157,Northern Ireland
101,2 November 2020 01:15,271,159,Northern Ireland
102,2 November 2020 01:30,275,155,Northern Ireland
103,2 November 2020 01:45,279,156,Northern Ireland
104,2 November 2020 02:00,284,158,Northern Ireland
105,2 November 2020 02:15,290,157,Northern Ireland
106,2 November 2020 02:30,297,158,Northern Ireland
107,2 November 2020 02:45,304,159,Northern Ireland
108,2 November 2020 03:00,310,160,Northern Ireland
109,2 November 2020 03:15,320,158,Northern Ireland
110,2 November 2020 03:30,330,160,Northern Ireland
111,2 November 2020 03:45,340,159,Northern Ireland
112,2 November 2020 04:00,350,159,Northern Ireland
113,2 November 2020 04:15,357,157,Northern Ireland
114,2 November 2020 04:30,364,202,Northern Ireland
115,2 November 2020 04:45,371,294,Northern Ireland
116,2 November 2020 05:00,378,290,Northern Ireland
117,2 November 2020 05:15,372,288,Northern Ireland
118,2 November 2020 05:30,366,275,Northern Ireland
119,2 November 2020 05:45,360,265,Northern Ireland
120,2 November 2020 06:00,366,253,Northern Ireland
121,2 November 2020 06:15,354,223,Northern Ireland
122,2 November 2020 06:30,343,277,Northern Ireland
123,2 November 2020 06:45,331,284,Northern Ireland
124,2 November 2020 07:00,319,263,Northern Ireland
125,2 November 2020 07:15,315,219,Northern Ireland
126,2 November 2020 07:30,311,202,Northern Ireland
127,2 November 2020 07:45,307,168,Northern Ireland
128,2 November 2020 08:00,302,160,Northern Ireland
129,2 November 2020 08:15,299,144,Northern Ireland
130,2 November 2020 08:30,297,121,Northern Ireland
131,2 November 2020 08:45,294,101,Northern Ireland
132,2 November 2020 09:00,292,96,Northern Ireland
133,2 November 2020 09:15,282,89,Northern Ireland
134,2 November 2020 09:30,271,91,Northern Ireland
135,2 November 2020 09:45,261,91,Northern Ireland
136,2 November 2020 10:00,251,91,Northern Ireland
137,2 November 2020 10:15,247,97,Northern Ireland
138,2 November 2020 10:30,243,98,Northern Ireland
139,2 November 2020 10:45,240,103,Northern Ireland
140,2 November 2020 11:00,236,136,Northern Ireland
141,2 November 2020 11:15,244,101,Northern Ireland
142,2 November 2020 11:30,252,71,Northern Ireland
143,2 November 2020 11:45,260,64,Northern Ireland
144,2 November 2020 12:00,220,62,Northern Ireland
145,2 November 2020 12:15,223,71,Northern Ireland
146,2 November 2020 12:30,226,74,Northern Ireland
147,2 November 2020 12:45,230,91,Northern Ireland
148,2 November 2020 13:00,233,113,Northern Ireland
149,2 November 2020 13:15,233,123,Northern Ireland
150,2 November 2020 13:30,232,159,Northern Ireland
151,2 November 2020 13:45,232,163,Northern Ireland
152,2 November 2020 14:00,232,193,Northern Ireland
153,2 November 2020 14:15,229,188,Northern Ireland
154,2 November 2020 14:30,226,191,Northern Ireland
155,2 November 2020 14:45,223,216,Northern Ireland
156,2 November 2020 15:00,220,217,Northern Ireland
157,2 November 2020 15:15,226,231,Northern Ireland
158,2 November 2020 15:30,232,269,Northern Ireland
159,2 November 2020 15:45,238,366,Northern Ireland
160,2 November 2020 16:00,244,449,Northern Ireland
161,2 November 2020 16:15,272,503,Northern Ireland
162,2 November 2020 16:30,300,532,Northern Ireland
163,2 November 2020 16:45,328,551,Northern Ireland
