,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 October 2020 00:00,96,72,Northern Ireland
1,1 October 2020 00:15,95,73,Northern Ireland
2,1 October 2020 00:30,93,60,Northern Ireland
3,1 October 2020 00:45,92,57,Northern Ireland
4,1 October 2020 01:00,88,59,Northern Ireland
5,1 October 2020 01:15,89,54,Northern Ireland
6,1 October 2020 01:30,89,51,Northern Ireland
7,1 October 2020 01:45,89,54,Northern Ireland
8,1 October 2020 02:00,90,71,Northern Ireland
9,1 October 2020 02:15,90,80,Northern Ireland
10,1 October 2020 02:30,90,66,Northern Ireland
11,1 October 2020 02:45,90,57,Northern Ireland
12,1 October 2020 03:00,90,51,Northern Ireland
13,1 October 2020 03:15,92,59,Northern Ireland
14,1 October 2020 03:30,93,63,Northern Ireland
15,1 October 2020 03:45,94,69,Northern Ireland
16,1 October 2020 04:00,95,71,Northern Ireland
17,1 October 2020 04:15,94,71,Northern Ireland
18,1 October 2020 04:30,93,81,Northern Ireland
19,1 October 2020 04:45,91,78,Northern Ireland
20,1 October 2020 05:00,90,81,Northern Ireland
21,1 October 2020 05:15,87,74,Northern Ireland
22,1 October 2020 05:30,84,71,Northern Ireland
23,1 October 2020 05:45,82,66,Northern Ireland
24,1 October 2020 06:00,79,63,Northern Ireland
25,1 October 2020 06:15,81,64,Northern Ireland
26,1 October 2020 06:30,82,53,Northern Ireland
27,1 October 2020 06:45,84,51,Northern Ireland
28,1 October 2020 07:00,96,44,Northern Ireland
29,1 October 2020 07:15,95,33,Northern Ireland
30,1 October 2020 07:30,92,33,Northern Ireland
31,1 October 2020 07:45,91,29,Northern Ireland
32,1 October 2020 08:00,89,22,Northern Ireland
33,1 October 2020 08:15,88,18,Northern Ireland
34,1 October 2020 08:30,87,19,Northern Ireland
35,1 October 2020 08:45,86,15,Northern Ireland
36,1 October 2020 09:00,85,15,Northern Ireland
37,1 October 2020 09:15,84,13,Northern Ireland
38,1 October 2020 09:30,82,11,Northern Ireland
39,1 October 2020 09:45,80,9,Northern Ireland
40,1 October 2020 10:00,79,5,Northern Ireland
41,1 October 2020 10:15,76,5,Northern Ireland
42,1 October 2020 10:30,72,3,Northern Ireland
43,1 October 2020 10:45,69,3,Northern Ireland
44,1 October 2020 11:00,66,4,Northern Ireland
45,1 October 2020 11:15,66,3,Northern Ireland
46,1 October 2020 11:30,66,5,Northern Ireland
47,1 October 2020 11:45,65,8,Northern Ireland
48,1 October 2020 12:00,65,9,Northern Ireland
49,1 October 2020 12:15,66,10,Northern Ireland
50,1 October 2020 12:30,67,10,Northern Ireland
51,1 October 2020 12:45,68,11,Northern Ireland
52,1 October 2020 13:00,61,10,Northern Ireland
53,1 October 2020 13:15,62,8,Northern Ireland
54,1 October 2020 13:30,63,8,Northern Ireland
55,1 October 2020 13:45,64,10,Northern Ireland
56,1 October 2020 14:00,65,10,Northern Ireland
57,1 October 2020 14:15,65,10,Northern Ireland
58,1 October 2020 14:30,65,10,Northern Ireland
59,1 October 2020 14:45,65,11,Northern Ireland
60,1 October 2020 15:00,65,14,Northern Ireland
61,1 October 2020 15:15,66,12,Northern Ireland
62,1 October 2020 15:30,67,15,Northern Ireland
63,1 October 2020 15:45,68,21,Northern Ireland
64,1 October 2020 16:00,70,22,Northern Ireland
65,1 October 2020 16:15,70,22,Northern Ireland
66,1 October 2020 16:30,70,27,Northern Ireland
67,1 October 2020 16:45,70,30,Northern Ireland
68,1 October 2020 17:00,70,32,Northern Ireland
69,1 October 2020 17:15,69,37,Northern Ireland
70,1 October 2020 17:30,68,38,Northern Ireland
71,1 October 2020 17:45,67,38,Northern Ireland
72,1 October 2020 18:00,67,42,Northern Ireland
73,1 October 2020 18:15,67,47,Northern Ireland
74,1 October 2020 18:30,67,43,Northern Ireland
75,1 October 2020 18:45,68,52,Northern Ireland
76,1 October 2020 19:00,73,59,Northern Ireland
77,1 October 2020 19:15,77,61,Northern Ireland
78,1 October 2020 19:30,80,70,Northern Ireland
79,1 October 2020 19:45,83,67,Northern Ireland
80,1 October 2020 20:00,87,63,Northern Ireland
81,1 October 2020 20:15,87,54,Northern Ireland
82,1 October 2020 20:30,88,50,Northern Ireland
83,1 October 2020 20:45,89,49,Northern Ireland
84,1 October 2020 21:00,89,45,Northern Ireland
85,1 October 2020 21:15,90,46,Northern Ireland
86,1 October 2020 21:30,91,44,Northern Ireland
87,1 October 2020 21:45,92,43,Northern Ireland
88,1 October 2020 22:00,92,49,Northern Ireland
89,1 October 2020 22:15,100,50,Northern Ireland
90,1 October 2020 22:30,107,50,Northern Ireland
91,1 October 2020 22:45,115,53,Northern Ireland
92,1 October 2020 23:00,123,56,Northern Ireland
93,1 October 2020 23:15,128,67,Northern Ireland
94,1 October 2020 23:30,133,68,Northern Ireland
95,1 October 2020 23:45,139,71,Northern Ireland
96,2 October 2020 00:00,144,81,Northern Ireland
97,2 October 2020 00:15,149,92,Northern Ireland
98,2 October 2020 00:30,155,86,Northern Ireland
