,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 August 2017 00:00,2460,-,Ireland
1,1 August 2017 00:15,2415,-,Ireland
2,1 August 2017 00:30,2371,-,Ireland
3,1 August 2017 00:45,2336,-,Ireland
4,1 August 2017 01:00,2288,-,Ireland
5,1 August 2017 01:15,2251,-,Ireland
6,1 August 2017 01:30,2212,-,Ireland
7,1 August 2017 01:45,2194,-,Ireland
8,1 August 2017 02:00,2177,-,Ireland
9,1 August 2017 02:15,2171,-,Ireland
10,1 August 2017 02:30,2156,-,Ireland
11,1 August 2017 02:45,2126,-,Ireland
12,1 August 2017 03:00,2118,-,Ireland
13,1 August 2017 03:15,2095,-,Ireland
14,1 August 2017 03:30,2085,-,Ireland
15,1 August 2017 03:45,2087,-,Ireland
16,1 August 2017 04:00,2091,-,Ireland
17,1 August 2017 04:15,2101,-,Ireland
18,1 August 2017 04:30,2107,-,Ireland
19,1 August 2017 04:45,2111,-,Ireland
20,1 August 2017 05:00,2131,-,Ireland
21,1 August 2017 05:15,2158,-,Ireland
22,1 August 2017 05:30,2150,-,Ireland
23,1 August 2017 05:45,2131,-,Ireland
24,1 August 2017 06:00,2163,-,Ireland
25,1 August 2017 06:15,2256,-,Ireland
26,1 August 2017 06:30,2315,-,Ireland
27,1 August 2017 06:45,2412,-,Ireland
28,1 August 2017 07:00,2529,-,Ireland
29,1 August 2017 07:15,2679,-,Ireland
30,1 August 2017 07:30,2770,-,Ireland
31,1 August 2017 07:45,2882,-,Ireland
32,1 August 2017 08:00,2978,-,Ireland
33,1 August 2017 08:15,3101,-,Ireland
34,1 August 2017 08:30,3179,-,Ireland
35,1 August 2017 08:45,3247,-,Ireland
36,1 August 2017 09:00,3322,-,Ireland
37,1 August 2017 09:15,3364,-,Ireland
38,1 August 2017 09:30,3397,-,Ireland
39,1 August 2017 09:45,3413,-,Ireland
40,1 August 2017 10:00,3424,-,Ireland
41,1 August 2017 10:15,3418,-,Ireland
42,1 August 2017 10:30,3428,-,Ireland
43,1 August 2017 10:45,3430,-,Ireland
44,1 August 2017 11:00,3438,-,Ireland
45,1 August 2017 11:15,3444,-,Ireland
46,1 August 2017 11:30,3437,-,Ireland
47,1 August 2017 11:45,3456,-,Ireland
48,1 August 2017 12:00,3453,-,Ireland
49,1 August 2017 12:15,3466,-,Ireland
50,1 August 2017 12:30,3475,-,Ireland
51,1 August 2017 12:45,3487,-,Ireland
52,1 August 2017 13:00,3484,-,Ireland
53,1 August 2017 13:15,3442,-,Ireland
54,1 August 2017 13:30,3411,-,Ireland
55,1 August 2017 13:45,3394,-,Ireland
56,1 August 2017 14:00,3376,-,Ireland
57,1 August 2017 14:15,3379,-,Ireland
58,1 August 2017 14:30,3370,-,Ireland
59,1 August 2017 14:45,3346,-,Ireland
60,1 August 2017 15:00,3349,-,Ireland
61,1 August 2017 15:15,3348,-,Ireland
62,1 August 2017 15:30,3355,-,Ireland
63,1 August 2017 15:45,3338,-,Ireland
64,1 August 2017 16:00,3344,-,Ireland
65,1 August 2017 16:15,3373,-,Ireland
66,1 August 2017 16:30,3406,-,Ireland
67,1 August 2017 16:45,3428,-,Ireland
68,1 August 2017 17:00,3442,-,Ireland
69,1 August 2017 17:15,3482,-,Ireland
70,1 August 2017 17:30,3520,-,Ireland
71,1 August 2017 17:45,3523,-,Ireland
72,1 August 2017 18:00,3512,-,Ireland
73,1 August 2017 18:15,3467,-,Ireland
74,1 August 2017 18:30,3441,-,Ireland
75,1 August 2017 18:45,3412,-,Ireland
76,1 August 2017 19:00,3381,-,Ireland
77,1 August 2017 19:15,3330,-,Ireland
78,1 August 2017 19:30,3285,-,Ireland
79,1 August 2017 19:45,3237,-,Ireland
80,1 August 2017 20:00,3214,-,Ireland
81,1 August 2017 20:15,3191,-,Ireland
82,1 August 2017 20:30,3167,-,Ireland
83,1 August 2017 20:45,3154,-,Ireland
84,1 August 2017 21:00,3142,-,Ireland
85,1 August 2017 21:15,3127,-,Ireland
86,1 August 2017 21:30,3142,-,Ireland
87,1 August 2017 21:45,3171,-,Ireland
88,1 August 2017 22:00,3145,-,Ireland
89,1 August 2017 22:15,3080,-,Ireland
90,1 August 2017 22:30,2985,-,Ireland
91,1 August 2017 22:45,2918,-,Ireland
92,1 August 2017 23:00,2831,-,Ireland
93,1 August 2017 23:15,2743,-,Ireland
94,1 August 2017 23:30,2672,-,Ireland
95,1 August 2017 23:45,2606,-,Ireland
96,2 August 2017 00:00,2522,-,Ireland
97,2 August 2017 00:15,2485,-,Ireland
98,2 August 2017 00:30,2410,-,Ireland
99,2 August 2017 00:45,2349,-,Ireland
100,2 August 2017 01:00,2296,-,Ireland
101,2 August 2017 01:15,2278,-,Ireland
102,2 August 2017 01:30,2230,-,Ireland
103,2 August 2017 01:45,2199,-,Ireland
104,2 August 2017 02:00,2174,-,Ireland
105,2 August 2017 02:15,2156,-,Ireland
106,2 August 2017 02:30,2143,-,Ireland
107,2 August 2017 02:45,2134,-,Ireland
108,2 August 2017 03:00,2123,-,Ireland
109,2 August 2017 03:15,2128,-,Ireland
110,2 August 2017 03:30,2108,-,Ireland
111,2 August 2017 03:45,2117,-,Ireland
112,2 August 2017 04:00,2125,-,Ireland
113,2 August 2017 04:15,2115,-,Ireland
114,2 August 2017 04:30,2122,-,Ireland
115,2 August 2017 04:45,2140,-,Ireland
116,2 August 2017 05:00,2157,-,Ireland
117,2 August 2017 05:15,2168,-,Ireland
118,2 August 2017 05:30,2187,-,Ireland
119,2 August 2017 05:45,2166,-,Ireland
120,2 August 2017 06:00,2197,-,Ireland
121,2 August 2017 06:15,2294,-,Ireland
122,2 August 2017 06:30,2344,-,Ireland
123,2 August 2017 06:45,2433,-,Ireland
124,2 August 2017 07:00,2549,-,Ireland
125,2 August 2017 07:15,2697,-,Ireland
126,2 August 2017 07:30,2776,-,Ireland
127,2 August 2017 07:45,2898,-,Ireland
128,2 August 2017 08:00,2985,-,Ireland
129,2 August 2017 08:15,3104,-,Ireland
130,2 August 2017 08:30,3173,-,Ireland
131,2 August 2017 08:45,3205,-,Ireland
132,2 August 2017 09:00,3265,-,Ireland
133,2 August 2017 09:15,3338,-,Ireland
134,2 August 2017 09:30,3388,-,Ireland
135,2 August 2017 09:45,3407,-,Ireland
136,2 August 2017 10:00,3433,-,Ireland
137,2 August 2017 10:15,3459,-,Ireland
138,2 August 2017 10:30,3481,-,Ireland
139,2 August 2017 10:45,3508,-,Ireland
140,2 August 2017 11:00,3500,-,Ireland
141,2 August 2017 11:15,3509,-,Ireland
142,2 August 2017 11:30,3503,-,Ireland
143,2 August 2017 11:45,3500,-,Ireland
144,2 August 2017 12:00,3526,-,Ireland
145,2 August 2017 12:15,3563,-,Ireland
146,2 August 2017 12:30,3554,-,Ireland
147,2 August 2017 12:45,3579,-,Ireland
148,2 August 2017 13:00,3565,-,Ireland
149,2 August 2017 13:15,3534,-,Ireland
150,2 August 2017 13:30,3482,-,Ireland
151,2 August 2017 13:45,3490,-,Ireland
152,2 August 2017 14:00,3443,-,Ireland
153,2 August 2017 14:15,3481,-,Ireland
154,2 August 2017 14:30,3440,-,Ireland
155,2 August 2017 14:45,3462,-,Ireland
156,2 August 2017 15:00,3447,-,Ireland
157,2 August 2017 15:15,3435,-,Ireland
158,2 August 2017 15:30,3423,-,Ireland
159,2 August 2017 15:45,3419,-,Ireland
160,2 August 2017 16:00,3419,-,Ireland
161,2 August 2017 16:15,3443,-,Ireland
162,2 August 2017 16:30,3461,-,Ireland
163,2 August 2017 16:45,3510,-,Ireland
164,2 August 2017 17:00,3521,-,Ireland
165,2 August 2017 17:15,3541,-,Ireland
166,2 August 2017 17:30,3564,-,Ireland
167,2 August 2017 17:45,3560,-,Ireland
168,2 August 2017 18:00,3584,-,Ireland
169,2 August 2017 18:15,3519,-,Ireland
170,2 August 2017 18:30,3502,-,Ireland
171,2 August 2017 18:45,3459,-,Ireland
