,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 May 2017 00:00,2630,-,Ireland
1,1 May 2017 00:15,2645,-,Ireland
2,1 May 2017 00:30,2619,-,Ireland
3,1 May 2017 00:45,2573,-,Ireland
4,1 May 2017 01:00,2540,-,Ireland
5,1 May 2017 01:15,2497,-,Ireland
6,1 May 2017 01:30,2461,-,Ireland
7,1 May 2017 01:45,2422,-,Ireland
8,1 May 2017 02:00,2397,-,Ireland
9,1 May 2017 02:15,2369,-,Ireland
10,1 May 2017 02:30,2354,-,Ireland
11,1 May 2017 02:45,2317,-,Ireland
12,1 May 2017 03:00,2294,-,Ireland
13,1 May 2017 03:15,2276,-,Ireland
14,1 May 2017 03:30,2265,-,Ireland
15,1 May 2017 03:45,2235,-,Ireland
16,1 May 2017 04:00,2215,-,Ireland
17,1 May 2017 04:15,2213,-,Ireland
18,1 May 2017 04:30,2216,-,Ireland
19,1 May 2017 04:45,2214,-,Ireland
20,1 May 2017 05:00,2231,-,Ireland
21,1 May 2017 05:15,2242,-,Ireland
22,1 May 2017 05:30,2238,-,Ireland
23,1 May 2017 05:45,2238,-,Ireland
24,1 May 2017 06:00,2193,-,Ireland
25,1 May 2017 06:15,2219,-,Ireland
26,1 May 2017 06:30,2229,-,Ireland
27,1 May 2017 06:45,2266,-,Ireland
28,1 May 2017 07:00,2316,-,Ireland
29,1 May 2017 07:15,2385,-,Ireland
30,1 May 2017 07:30,2418,-,Ireland
31,1 May 2017 07:45,2483,-,Ireland
32,1 May 2017 08:00,2544,-,Ireland
33,1 May 2017 08:15,2617,-,Ireland
34,1 May 2017 08:30,2660,-,Ireland
35,1 May 2017 08:45,2737,-,Ireland
36,1 May 2017 09:00,2793,-,Ireland
37,1 May 2017 09:15,2846,-,Ireland
38,1 May 2017 09:30,2889,-,Ireland
39,1 May 2017 09:45,2937,-,Ireland
40,1 May 2017 10:00,2983,-,Ireland
41,1 May 2017 10:15,3038,-,Ireland
42,1 May 2017 10:30,3063,-,Ireland
43,1 May 2017 10:45,3094,-,Ireland
44,1 May 2017 11:00,3119,-,Ireland
45,1 May 2017 11:15,3135,-,Ireland
46,1 May 2017 11:30,3138,-,Ireland
47,1 May 2017 11:45,3143,-,Ireland
48,1 May 2017 12:00,3152,-,Ireland
49,1 May 2017 12:15,3156,-,Ireland
50,1 May 2017 12:30,3157,-,Ireland
51,1 May 2017 12:45,3154,-,Ireland
52,1 May 2017 13:00,3140,-,Ireland
53,1 May 2017 13:15,3121,-,Ireland
54,1 May 2017 13:30,3080,-,Ireland
55,1 May 2017 13:45,3046,-,Ireland
56,1 May 2017 14:00,3015,-,Ireland
57,1 May 2017 14:15,2992,-,Ireland
58,1 May 2017 14:30,2966,-,Ireland
59,1 May 2017 14:45,2953,-,Ireland
60,1 May 2017 15:00,2940,-,Ireland
61,1 May 2017 15:15,2930,-,Ireland
62,1 May 2017 15:30,2925,-,Ireland
63,1 May 2017 15:45,2924,-,Ireland
64,1 May 2017 16:00,2922,-,Ireland
65,1 May 2017 16:15,2938,-,Ireland
66,1 May 2017 16:30,2969,-,Ireland
67,1 May 2017 16:45,2997,-,Ireland
68,1 May 2017 17:00,3031,-,Ireland
69,1 May 2017 17:15,3071,-,Ireland
70,1 May 2017 17:30,3111,-,Ireland
71,1 May 2017 17:45,3159,-,Ireland
72,1 May 2017 18:00,3186,-,Ireland
73,1 May 2017 18:15,3184,-,Ireland
74,1 May 2017 18:30,3179,-,Ireland
75,1 May 2017 18:45,3176,-,Ireland
76,1 May 2017 19:00,3160,-,Ireland
77,1 May 2017 19:15,3141,-,Ireland
78,1 May 2017 19:30,3129,-,Ireland
79,1 May 2017 19:45,3117,-,Ireland
80,1 May 2017 20:00,3100,-,Ireland
81,1 May 2017 20:15,3084,-,Ireland
82,1 May 2017 20:30,3067,-,Ireland
83,1 May 2017 20:45,3090,-,Ireland
84,1 May 2017 21:00,3150,-,Ireland
85,1 May 2017 21:15,3237,-,Ireland
86,1 May 2017 21:30,3251,-,Ireland
87,1 May 2017 21:45,3194,-,Ireland
88,1 May 2017 22:00,3150,-,Ireland
89,1 May 2017 22:15,3067,-,Ireland
90,1 May 2017 22:30,2971,-,Ireland
91,1 May 2017 22:45,2868,-,Ireland
92,1 May 2017 23:00,2794,-,Ireland
93,1 May 2017 23:15,2724,-,Ireland
94,1 May 2017 23:30,2638,-,Ireland
95,1 May 2017 23:45,2554,-,Ireland
96,2 May 2017 00:00,2525,-,Ireland
97,2 May 2017 00:15,2523,-,Ireland
98,2 May 2017 00:30,2490,-,Ireland
99,2 May 2017 00:45,2452,-,Ireland
100,2 May 2017 01:00,2420,-,Ireland
101,2 May 2017 01:15,2385,-,Ireland
102,2 May 2017 01:30,2350,-,Ireland
103,2 May 2017 01:45,2319,-,Ireland
104,2 May 2017 02:00,2278,-,Ireland
105,2 May 2017 02:15,2256,-,Ireland
106,2 May 2017 02:30,2227,-,Ireland
107,2 May 2017 02:45,2202,-,Ireland
108,2 May 2017 03:00,2183,-,Ireland
109,2 May 2017 03:15,2175,-,Ireland
110,2 May 2017 03:30,2158,-,Ireland
111,2 May 2017 03:45,2148,-,Ireland
112,2 May 2017 04:00,2146,-,Ireland
113,2 May 2017 04:15,2154,-,Ireland
114,2 May 2017 04:30,2155,-,Ireland
115,2 May 2017 04:45,2169,-,Ireland
116,2 May 2017 05:00,2189,-,Ireland
117,2 May 2017 05:15,2217,-,Ireland
118,2 May 2017 05:30,2243,-,Ireland
119,2 May 2017 05:45,2240,-,Ireland
120,2 May 2017 06:00,2294,-,Ireland
121,2 May 2017 06:15,2409,-,Ireland
122,2 May 2017 06:30,2478,-,Ireland
123,2 May 2017 06:45,2609,-,Ireland
124,2 May 2017 07:00,2780,-,Ireland
125,2 May 2017 07:15,3011,-,Ireland
126,2 May 2017 07:30,3147,-,Ireland
127,2 May 2017 07:45,3283,-,Ireland
128,2 May 2017 08:00,3381,-,Ireland
129,2 May 2017 08:15,3467,-,Ireland
130,2 May 2017 08:30,3491,-,Ireland
131,2 May 2017 08:45,3511,-,Ireland
132,2 May 2017 09:00,3542,-,Ireland
133,2 May 2017 09:15,3569,-,Ireland
134,2 May 2017 09:30,3578,-,Ireland
135,2 May 2017 09:45,3572,-,Ireland
136,2 May 2017 10:00,3578,-,Ireland
137,2 May 2017 10:15,3548,-,Ireland
138,2 May 2017 10:30,3548,-,Ireland
139,2 May 2017 10:45,3530,-,Ireland
140,2 May 2017 11:00,3538,-,Ireland
141,2 May 2017 11:15,3535,-,Ireland
142,2 May 2017 11:30,3532,-,Ireland
143,2 May 2017 11:45,3529,-,Ireland
144,2 May 2017 12:00,3527,-,Ireland
145,2 May 2017 12:15,3538,-,Ireland
146,2 May 2017 12:30,3544,-,Ireland
147,2 May 2017 12:45,3547,-,Ireland
148,2 May 2017 13:00,3544,-,Ireland
149,2 May 2017 13:15,3518,-,Ireland
150,2 May 2017 13:30,3471,-,Ireland
151,2 May 2017 13:45,3462,-,Ireland
152,2 May 2017 14:00,3460,-,Ireland
153,2 May 2017 14:15,3471,-,Ireland
154,2 May 2017 14:30,3470,-,Ireland
155,2 May 2017 14:45,3474,-,Ireland
156,2 May 2017 15:00,3462,-,Ireland
157,2 May 2017 15:15,3477,-,Ireland
158,2 May 2017 15:30,3479,-,Ireland
159,2 May 2017 15:45,3483,-,Ireland
160,2 May 2017 16:00,3499,-,Ireland
161,2 May 2017 16:15,3518,-,Ireland
162,2 May 2017 16:30,3535,-,Ireland
163,2 May 2017 16:45,3562,-,Ireland
164,2 May 2017 17:00,3578,-,Ireland
165,2 May 2017 17:15,3596,-,Ireland
166,2 May 2017 17:30,3619,-,Ireland
167,2 May 2017 17:45,3638,-,Ireland
168,2 May 2017 18:00,3619,-,Ireland
169,2 May 2017 18:15,3578,-,Ireland
170,2 May 2017 18:30,3547,-,Ireland
171,2 May 2017 18:45,3502,-,Ireland
172,2 May 2017 19:00,3451,-,Ireland
173,2 May 2017 19:15,3411,-,Ireland
174,2 May 2017 19:30,3385,-,Ireland
175,2 May 2017 19:45,3354,-,Ireland
176,2 May 2017 20:00,3336,-,Ireland
177,2 May 2017 20:15,3308,-,Ireland
178,2 May 2017 20:30,3303,-,Ireland
179,2 May 2017 20:45,3339,-,Ireland
180,2 May 2017 21:00,3352,-,Ireland
181,2 May 2017 21:15,3427,-,Ireland
182,2 May 2017 21:30,3457,-,Ireland
183,2 May 2017 21:45,3438,-,Ireland
184,2 May 2017 22:00,3356,-,Ireland
185,2 May 2017 22:15,3258,-,Ireland
186,2 May 2017 22:30,3140,-,Ireland
187,2 May 2017 22:45,3015,-,Ireland
188,2 May 2017 23:00,2904,-,Ireland
189,2 May 2017 23:15,2815,-,Ireland
190,2 May 2017 23:30,2744,-,Ireland
191,2 May 2017 23:45,2671,-,Ireland
192,3 May 2017 00:00,2626,-,Ireland
193,3 May 2017 00:15,2607,-,Ireland
194,3 May 2017 00:30,2562,-,Ireland
195,3 May 2017 00:45,2513,-,Ireland
196,3 May 2017 01:00,2480,-,Ireland
197,3 May 2017 01:15,2445,-,Ireland
198,3 May 2017 01:30,2414,-,Ireland
199,3 May 2017 01:45,2383,-,Ireland
200,3 May 2017 02:00,2351,-,Ireland
201,3 May 2017 02:15,2322,-,Ireland
202,3 May 2017 02:30,2309,-,Ireland
203,3 May 2017 02:45,2294,-,Ireland
204,3 May 2017 03:00,2282,-,Ireland
205,3 May 2017 03:15,2278,-,Ireland
206,3 May 2017 03:30,2268,-,Ireland
207,3 May 2017 03:45,2269,-,Ireland
208,3 May 2017 04:00,2279,-,Ireland
209,3 May 2017 04:15,2285,-,Ireland
210,3 May 2017 04:30,2285,-,Ireland
211,3 May 2017 04:45,2297,-,Ireland
212,3 May 2017 05:00,2301,-,Ireland
213,3 May 2017 05:15,2324,-,Ireland
214,3 May 2017 05:30,2338,-,Ireland
215,3 May 2017 05:45,2318,-,Ireland
216,3 May 2017 06:00,2362,-,Ireland
217,3 May 2017 06:15,2457,-,Ireland
218,3 May 2017 06:30,2547,-,Ireland
219,3 May 2017 06:45,2674,-,Ireland
220,3 May 2017 07:00,2832,-,Ireland
221,3 May 2017 07:15,3068,-,Ireland
222,3 May 2017 07:30,3177,-,Ireland
223,3 May 2017 07:45,3315,-,Ireland
224,3 May 2017 08:00,3374,-,Ireland
225,3 May 2017 08:15,3478,-,Ireland
226,3 May 2017 08:30,3479,-,Ireland
227,3 May 2017 08:45,3498,-,Ireland
228,3 May 2017 09:00,3507,-,Ireland
229,3 May 2017 09:15,3524,-,Ireland
230,3 May 2017 09:30,3520,-,Ireland
231,3 May 2017 09:45,3530,-,Ireland
232,3 May 2017 10:00,3511,-,Ireland
233,3 May 2017 10:15,3486,-,Ireland
234,3 May 2017 10:30,3469,-,Ireland
235,3 May 2017 10:45,3475,-,Ireland
236,3 May 2017 11:00,3501,-,Ireland
237,3 May 2017 11:15,3501,-,Ireland
238,3 May 2017 11:30,3501,-,Ireland
